cuda_syncthreads
n iter,1000
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,min,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,med,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,avg,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
""
n_blocks,2
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,min,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,med,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,avg,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
""
n_blocks,20
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,min,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,med,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,avg,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
""
n_blocks,40
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,min,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,med,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
int,avg,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,2.8888888888888888e-05,3.888888888888889e-05,4.6666666666666665e-05
""
n_blocks,80
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,3.555555555555555e-05,3.888888888888889e-05,4.6666666666666665e-05
int,min,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,3.555555555555555e-05,3.888888888888889e-05,4.6666666666666665e-05
int,med,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,3.555555555555555e-05,3.888888888888889e-05,4.6666666666666665e-05
int,avg,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.2222222222222222e-05,1.3333333333333333e-05,1.5555555555555555e-05,2e-05,3.555555555555555e-05,3.888888888888889e-05,4.6666666666666665e-05
