cuda_syncwarp
n iter,1000
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06,4.444444444444444e-06
int,min,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06
int,med,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
int,avg,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
""
n_blocks,2
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06,4.444444444444444e-06
int,min,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06
int,med,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
int,avg,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
""
n_blocks,20
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06,4.444444444444444e-06
int,min,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06
int,med,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
int,avg,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
""
n_blocks,40
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06,4.444444444444444e-06
int,min,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06
int,med,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06
int,avg,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.888888888888889e-06
""
n_blocks,80
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,4.444444444444444e-06,3.888888888888889e-06,4.444444444444444e-06
int,min,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.888888888888889e-06
int,med,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.888888888888889e-06
int,avg,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,2.777777777777778e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.888888888888889e-06
