omp_atomicadd_array_v2
n iter,1000
arr step,16
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,7.1110379e-09,7.4004384e-09,6.9198831e-09,7.5597156e-09,6.5614162e-09,7.5716365e-09,7.2299631e-09,6.9908896e-09,7.4095677e-09,7.060358e-09,1.34297003e-08,1.27303491e-08,1.27517947e-08,1.27400293e-08,1.27306607e-08,1.27380725e-08,2.10310132e-08,1.43507442e-08,1.58708133e-08,1.12597234e-08,1.28595309e-08,1.50807872e-08,1.92594452e-08,1.20798256e-08,1.25707216e-08,1.31001254e-08,1.21396819e-08,1.8891498e-08,1.43398813e-08,1.67306596e-08,1.32892644e-08,1.52004385e-08,1.69103709e-08,1.43591895e-08,1.16492833e-08,1.47710925e-08,1.52804268e-08,1.37991693e-08,1.38496492e-08,1.54399786e-08,3.29994221e-08,2.74986871e-08,2.55311467e-08,3.62797112e-08
int,min,7.1110379e-09,6.9092961e-09,6.3416196e-09,6.370648e-09,6.3400864e-09,6.3612131e-09,6.3502043e-09,6.369928e-09,6.3514047e-09,6.3494865e-09,5.9693935e-09,5.9614616e-09,5.9491136e-09,5.9399002e-09,5.9497162e-09,5.9707478e-09,5.9395844e-09,5.9604971e-09,5.9409927e-09,1.08309871e-08,5.7092017e-09,1.08104605e-08,9.9800238e-09,6.1296606e-09,6.341857e-09,6.280076e-09,5.9702245e-09,7.3695345e-09,5.9497488e-09,6.3515588e-09,5.950247e-09,5.9791911e-09,5.9605261e-09,5.9590843e-09,5.9014806e-09,5.9409944e-09,6.1693536e-09,7.6899196e-09,9.1588805e-09,1.12005469e-08,8.379512e-09,1.02812688e-08,6.8196278e-09,1.4684029e-09
int,med,7.1110379e-09,7.1548672e-09,6.8002342e-09,6.8444598e-09,6.5520792e-09,6.8405135e-09,6.5608177e-09,6.5893372e-09,6.5614145e-09,6.4501547e-09,6.3693221e-09,5.9498085e-09,5.9514619e-09,1.05602962e-08,1.12895857e-08,1.23952248e-08,1.25398758e-08,1.25251456e-08,1.25804884e-08,1.26251344e-08,1.25111412e-08,1.23793438e-08,1.24811786e-08,1.22794321e-08,1.21497733e-08,1.21603531e-08,1.1930312e-08,1.23998795e-08,1.25392163e-08,1.2544554e-08,1.17816081e-08,1.22503368e-08,1.24694652e-08,1.23892968e-08,1.23683829e-08,1.24949329e-08,1.24198517e-08,1.26644668e-08,1.2140188e-08,1.21360532e-08,2.10000124e-08,2.0850789e-08,1.98403894e-08,1.87497212e-08
int,avg,7.1110379e-09,7.1548672e-09,6.6870276e-09,6.900008e-09,6.5176379e-09,6.9625542e-09,6.7749242e-09,6.5721053e-09,6.5988104e-09,6.5188344e-09,7.5350421e-09,8.0230181e-09,8.7577163e-09,9.4370613e-09,1.00543848e-08,1.06560005e-08,1.28083071e-08,1.13248637e-08,1.21686454e-08,1.1995387e-08,1.17165107e-08,1.20219641e-08,1.30636372e-08,1.1168643e-08,1.08724837e-08,1.12453384e-08,1.06782471e-08,1.16263895e-08,1.17192877e-08,1.28436494e-08,1.04395321e-08,1.09482166e-08,1.16128947e-08,1.13275454e-08,1.11636786e-08,1.20666255e-08,1.18147374e-08,1.20672404e-08,1.19615575e-08,1.20266787e-08,2.26478858e-08,1.92102972e-08,1.88808468e-08,2.0957293e-08
ull,max,7.2695677e-09,6.9903709e-09,7.6096111e-09,7.19063e-09,7.3303026e-09,7.1712657e-09,7.8285608e-09,7.0495557e-09,6.9795731e-09,7.1894998e-09,1.34394705e-08,1.27484923e-08,1.28817265e-08,1.27906642e-08,1.2769566e-08,1.27798415e-08,1.2779514e-08,1.28088629e-08,1.27897377e-08,1.28092744e-08,1.28197536e-08,1.32095502e-08,1.59493654e-08,1.25810158e-08,1.593881e-08,1.33919502e-08,1.77202362e-08,1.65907619e-08,1.40505484e-08,1.89396405e-08,1.59099184e-08,1.26604288e-08,1.36595943e-08,1.63903227e-08,1.80899438e-08,1.44407776e-08,1.28290149e-08,1.56393506e-08,1.63992363e-08,1.57594017e-08,2.49809343e-08,3.33487979e-08,3.12908359e-08,3.32596017e-08
ull,min,7.2695677e-09,6.8105988e-09,6.3513283e-09,6.3504594e-09,6.5621204e-09,6.3509456e-09,6.3497021e-09,6.3415213e-09,6.3491599e-09,6.3484808e-09,6.368125e-09,5.9512938e-09,5.9503355e-09,5.9413617e-09,5.9515334e-09,5.959944e-09,5.9497327e-09,5.9594728e-09,5.9501118e-09,1.04687788e-08,1.05099625e-08,6.8601175e-09,6.8500366e-09,5.9511263e-09,6.8016083e-09,5.9500398e-09,6.6097311e-09,5.9702081e-09,5.9701077e-09,7.270359e-09,6.5611548e-09,5.9716492e-09,5.9699516e-09,5.9512672e-09,5.9688824e-09,5.9683762e-09,5.9403114e-09,5.9593553e-09,8.1799731e-09,1.02387273e-08,6.0890558e-09,5.1707483e-09,6.7008817e-09,3.39599e-10
ull,med,7.2695677e-09,6.8406327e-09,7.4409695e-09,6.690214e-09,7.4691724e-09,6.5798402e-09,6.5608777e-09,6.560022e-09,6.5599605e-09,6.5654158e-09,6.3491383e-09,5.9599399e-09,5.9801956e-09,1.08306915e-08,1.09492862e-08,1.18582759e-08,1.19691821e-08,1.23157743e-08,1.23999493e-08,1.25058378e-08,1.23607359e-08,1.23950674e-08,1.24302611e-08,1.23986237e-08,1.23197865e-08,1.22399493e-08,1.24598975e-08,1.21437551e-08,1.23693677e-08,1.23998189e-08,1.25494986e-08,1.23846149e-08,1.19998051e-08,1.2539075e-08,1.25910872e-08,1.24639613e-08,1.2410161e-08,1.24201714e-08,1.25582474e-08,1.26305424e-08,1.87489232e-08,2.11301305e-08,2.06689842e-08,1.87150471e-08
ull,avg,7.2695677e-09,6.8406327e-09,7.1829962e-09,6.7304822e-09,7.126996e-09,6.7020557e-09,6.7682685e-09,6.6696834e-09,6.631804e-09,6.6527778e-09,7.6008995e-09,7.9943537e-09,8.857616e-09,9.375265e-09,9.9839954e-09,1.05719463e-08,1.09428458e-08,1.13927696e-08,1.16357324e-08,1.21356227e-08,1.20600285e-08,1.16753876e-08,1.19374745e-08,1.12846571e-08,1.1812908e-08,1.08727644e-08,1.15503295e-08,1.13078485e-08,1.14175329e-08,1.18838084e-08,1.18580176e-08,1.12177894e-08,1.11008552e-08,1.1944015e-08,1.24994832e-08,1.15479058e-08,1.17138679e-08,1.18231746e-08,1.20288212e-08,1.23012623e-08,1.89802675e-08,2.16050462e-08,1.98683498e-08,1.99647212e-08
float,max,1.1380616e-08,1.20807759e-08,1.19197815e-08,1.18503127e-08,1.06693639e-08,1.20903127e-08,1.16502206e-08,1.18414987e-08,1.13997574e-08,1.22098494e-08,1.07992937e-08,1.22682724e-08,1.42495938e-08,1.22196649e-08,1.30097748e-08,1.36491975e-08,1.36490247e-08,1.41294839e-08,1.41404631e-08,1.42006865e-08,1.70692287e-08,1.54294717e-08,1.57780502e-08,1.88311584e-08,1.97613393e-08,1.5910614e-08,1.77609065e-08,1.61614288e-08,1.87823128e-08,1.35488879e-08,1.27593118e-08,2.1158083e-08,1.36186493e-08,1.42886539e-08,1.55700325e-08,1.42289964e-08,1.43203456e-08,1.75281554e-08,1.40502202e-08,1.38305438e-08,2.83411516e-08,2.65895895e-08,3.00111208e-08,3.33897995e-08
float,min,1.1380616e-08,1.10384235e-08,1.0689552e-08,1.06591382e-08,1.06617847e-08,1.06700154e-08,1.06614e-08,1.06610678e-08,1.06608032e-08,1.06696783e-08,1.06608e-08,1.06602191e-08,1.06598784e-08,1.06597745e-08,1.06611842e-08,1.06695795e-08,1.06612325e-08,1.06506526e-08,1.07699168e-08,8.9817838e-09,8.9802293e-09,1.10907169e-08,1.118134e-08,1.21200421e-08,1.22700844e-08,1.07078685e-08,1.06813959e-08,1.06601396e-08,1.06417258e-08,1.06989758e-08,1.06706679e-08,1.06888828e-08,1.06603487e-08,1.06706084e-08,1.07395955e-08,1.06394424e-08,1.08191574e-08,1.07301628e-08,1.07701611e-08,9.0790413e-09,1.13499043e-08,9.8889793e-09,1.08899706e-08,1.15394539e-08
