omp_atomicadd_array_v2_close
n iter,1000
arr step,1
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,6.5591125e-09,3.46915315e-08,5.88797069e-08,6.73508046e-08,8.74504901e-08,1.086291655e-07,1.321299394e-07,1.391701566e-07,1.455189021e-07,1.530215359e-07,1.395403696e-07,1.382197124e-07,1.510807649e-07,1.403519682e-07,1.49619678e-07,1.437378613e-07,1.690501848e-07,1.856301268e-07,1.915496011e-07,2.239693446e-07,2.451406287e-07,2.873507881e-07,2.695813358e-07,3.02068378e-07,3.009900999e-07,4.319412189e-07,3.730487849e-07,3.79970166e-07,4.39770481e-07,3.047700238e-07,2.929410913e-07,5.720894008e-07,6.68961214e-07,7.969311063e-07,6.229405342e-07,3.810907176e-07,4.302896103e-07,4.858903868e-07,7.561492677e-07,9.413603194e-07,6.313098914e-07,9.313485756e-07,5.195086371e-07,1.0542703316e-06
int,min,6.5591125e-09,3.45789304e-08,3.07096542e-08,4.77010504e-08,5.39205658e-08,7.70703975e-08,8.33596831e-08,9.2239662e-08,1.59211856e-08,5.4422081e-08,5.43195453e-08,4.63607753e-08,7.38681631e-08,6.95491946e-08,8.14100282e-08,9.88301646e-08,1.023105237e-07,1.187787238e-07,1.160313298e-07,1.256998073e-07,1.180311908e-07,8.10506126e-08,7.61580157e-08,9.56298058e-08,9.48203014e-08,9.99599959e-08,1.039683139e-07,1.025518973e-07,6.69901971e-08,9.06997743e-08,6.29200058e-08,4.22993834e-08,1.73213493e-08,7.27400983e-08,5.81579515e-08,9.89997191e-08,5.25584229e-08,1.947502621e-07,1.304501492e-07,9.0819576e-08,1.585783144e-07,5.57289297e-08,8.07695517e-08,1.706495439e-07
int,med,6.5591125e-09,3.46352724e-08,5.87104297e-08,5.77353833e-08,8.79207213e-08,9.25394877e-08,1.291308762e-07,1.108653447e-07,1.028499672e-07,1.029334334e-07,9.52903934e-08,9.47595152e-08,1.08978539e-07,1.040642976e-07,1.32959355e-07,1.213894642e-07,1.547298776e-07,1.303449308e-07,1.522494962e-07,1.630999063e-07,1.572410045e-07,1.638800519e-07,1.756697641e-07,2.323511088e-07,2.09689254e-07,3.532852064e-07,2.548601749e-07,2.655399718e-07,3.198698099e-07,3.719943289e-07,1.141687871e-07,4.756402475e-07,5.147287613e-07,4.422150197e-07,5.119997696e-07,2.525342561e-07,4.248307149e-07,5.29720948e-07,5.767604642e-07,4.823755589e-07,5.379307291e-07,8.311112068e-07,3.984580902e-07,7.294544983e-07
int,avg,6.5591125e-09,3.46352724e-08,4.94365873e-08,5.7497554e-08,7.5014888e-08,9.23563027e-08,1.111557806e-07,1.139542726e-07,1.109598106e-07,1.13356419e-07,1.047420187e-07,1.005466554e-07,1.13322551e-07,1.081169712e-07,1.207384479e-07,1.204214763e-07,1.345888447e-07,1.445243937e-07,1.478172489e-07,1.734140133e-07,1.821878805e-07,1.914608884e-07,1.986651425e-07,2.178260704e-07,2.109054894e-07,3.172731126e-07,2.593104217e-07,2.561479048e-07,3.011808375e-07,2.487608071e-07,2.078089312e-07,4.263833157e-07,4.710432873e-07,4.467242399e-07,5.013593839e-07,3.095380301e-07,3.784282855e-07,4.235221108e-07,5.357822155e-07,5.17174846e-07,4.76504174e-07,7.41925835e-07,3.549717103e-07,6.797375902e-07
ull,max,7.3199631e-09,3.90200188e-08,5.76894307e-08,7.22305255e-08,7.22307716e-08,7.69497246e-08,7.4359465e-08,7.25798056e-08,9.45808511e-08,1.103599422e-07,1.241188844e-07,1.49261194e-07,1.53349785e-07,1.663601765e-07,1.719201834e-07,1.819092926e-07,2.010594899e-07,2.057016066e-07,2.257488565e-07,2.403290103e-07,2.355021909e-07,2.32732029e-07,2.551480507e-07,2.926303925e-07,4.020414867e-07,3.918679094e-07,3.087084645e-07,3.472801459e-07,3.015292667e-07,3.523091046e-07,3.163980962e-07,5.933790242e-07,5.038394981e-07,4.852305954e-07,4.438402849e-07,5.613283946e-07,1.424680273e-07,5.938995332e-07,3.237508018e-07,3.697900491e-07,6.080407263e-07,9.946684251e-07,7.458402142e-07,6.172012563e-07
ull,min,7.3199631e-09,3.88802669e-08,3.04314978e-08,4.56716223e-08,1.19896172e-08,3.63092502e-08,3.72698074e-08,5.08019345e-08,5.0858679e-08,6.12502464e-08,4.91703867e-08,5.05193118e-08,5.54804193e-08,7.08394066e-08,5.26306055e-08,8.29498428e-08,5.88695569e-08,1.177913078e-07,1.078495125e-07,9.72909753e-08,1.119899248e-07,8.14892975e-08,1.36799719e-08,4.17810385e-08,3.63302277e-08,6.44795041e-08,4.97303677e-08,5.16489018e-08,2.17513246e-08,1.21503798e-08,1.323898236e-07,1.207694792e-07,1.035391803e-07,-5.70085872e-08,2.274091313e-07,1.290711253e-07,2.91509093e-08,4.27912398e-08,7.87998164e-08,7.87906888e-08,3.702488744e-07,1.765901373e-07,1.085104907e-07,4.48498831e-08
ull,med,7.3199631e-09,3.89554141e-08,5.75196902e-08,6.0409964e-08,5.20987068e-08,5.16308636e-08,6.10619833e-08,6.11211771e-08,7.48096468e-08,1.01024045e-07,7.95688797e-08,1.018494868e-07,1.215677005e-07,1.178960191e-07,1.151203215e-07,1.303846535e-07,1.45329147e-07,1.477057468e-07,1.488481874e-07,1.721365283e-07,1.674787451e-07,1.696046239e-07,1.861395979e-07,2.204349239e-07,2.57740233e-07,2.867045366e-07,2.039814796e-07,2.753200883e-07,2.056102431e-07,2.222405789e-07,2.161402759e-07,3.525759303e-07,3.617107388e-07,2.705746991e-07,3.085220473e-07,5.353956058e-07,3.053608557e-07,4.381543999e-07,3.824715585e-07,3.267355287e-07,5.68121301e-07,7.388396228e-07,5.167796904e-07,6.192606021e-07
ull,avg,7.3199631e-09,3.89554141e-08,4.85468729e-08,5.9680519e-08,5.30462515e-08,5.56453398e-08,5.76971379e-08,6.14791609e-08,7.21011911e-08,9.13919815e-08,9.09857211e-08,1.083626436e-07,1.150091772e-07,1.20133532e-07,1.247190352e-07,1.392013624e-07,1.484405847e-07,1.604419013e-07,1.687257297e-07,1.864065965e-07,1.796964788e-07,1.841601526e-07,1.929144318e-07,2.167910836e-07,2.229857807e-07,3.085941566e-07,2.203396141e-07,2.28625797e-07,2.322871207e-07,2.34801219e-07,2.156249397e-07,3.294130589e-07,3.773451848e-07,3.062133449e-07,3.103723649e-07,4.283997494e-07,1.952370701e-07,4.044893576e-07,2.708813834e-07,3.154674681e-07,5.770476021e-07,7.179500558e-07,4.80391907e-07,5.557368615e-07
float,max,1.13121492e-08,5.5039389e-08,1.065981464e-07,1.456817368e-07,1.850114748e-07,2.236180487e-07,2.505592886e-07,2.948304254e-07,2.868898994e-07,3.120408618e-07,2.937902625e-07,2.950099504e-07,2.777998817e-07,3.018607845e-07,2.825701941e-07,2.939683997e-07,3.244517506e-07,3.655494084e-07,4.258312862e-07,4.334193234e-07,4.602403427e-07,5.482395595e-07,5.741883263e-07,6.559498955e-07,6.951199336e-07,6.819095663e-07,6.775891075e-07,7.274719109e-07,6.959893098e-07,5.697988747e-07,7.089104143e-07,7.978920145e-07,7.978517979e-07,9.211200075e-07,8.522504378e-07,9.229481363e-07,9.011209294e-07,8.914995662e-07,1.0723085991e-06,1.0188599695e-06,9.688495447e-07,8.092300706e-07,9.224403088e-07,9.035403703e-07
float,min,1.13121492e-08,5.18009244e-08,5.70812604e-08,1.097496727e-07,1.022013617e-07,1.539194237e-07,1.632112073e-07,2.150894107e-07,3.01704582e-08,1.569986705e-07,1.077099956e-07,1.005202953e-07,1.40031335e-07,1.495486369e-07,1.613999495e-07,2.081100702e-07,2.038789978e-07,2.155795053e-07,1.842795865e-07,2.181904849e-07,2.194806651e-07,2.673714607e-07,2.182795485e-07,1.824594563e-07,2.150014197e-07,2.000802466e-07,1.985708498e-07,8.51200862e-08,2.398015182e-07,5.59612033e-08,6.92709267e-08,2.753788521e-07,2.959711539e-07,3.302206099e-07,8.34806552e-08,5.78409187e-07,3.409509891e-07,2.886002876e-07,3.078008051e-07,2.916601836e-07,4.60286511e-08,7.33014719e-08,8.84382941e-08,3.49813884e-08
