omp_atomicadd_array_v2_spread
n iter,1000
arr step,64
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,7.1000868e-09,7.4314328e-09,7.3896164e-09,7.460043e-09,7.3200739e-09,7.4381221e-09,7.7707413e-09,6.6996794e-09,7.1694998e-09,6.8811371e-09,1.38299861e-08,1.29699255e-08,1.41809644e-08,1.35499579e-08,1.41195067e-08,1.37985123e-08,1.3319211e-08,1.3378624e-08,1.45181848e-08,1.35805731e-08,1.29992586e-08,1.33279932e-08,1.24300014e-08,1.29901451e-08,1.24587674e-08,1.28898418e-08,1.25602251e-08,1.85395572e-08,1.24112674e-08,1.26098697e-08,1.91090381e-08,1.55706699e-08,1.29700252e-08,1.29683838e-08,1.39999132e-08,1.74304947e-08,1.6420694e-08,1.63289844e-08,1.3000325e-08,1.57083612e-08,2.48617358e-08,2.65016975e-08,3.17780232e-08,3.14408963e-08
int,min,7.1000868e-09,6.5697862e-09,6.3506108e-09,7.4810687e-09,6.3885666e-09,6.3494319e-09,6.3492537e-09,6.3481589e-09,6.340744e-09,6.3700618e-09,6.3689543e-09,5.9400119e-09,5.9597603e-09,5.9504942e-09,5.940782e-09,5.9484267e-09,5.9492491e-09,5.9710542e-09,6.7099763e-09,1.25103714e-08,6.5890695e-09,1.05885637e-08,6.2006848e-09,5.9507826e-09,5.9599272e-09,5.9592711e-09,5.9405663e-09,5.9490213e-09,5.9607068e-09,5.9591095e-09,6.9089064e-09,6.7702667e-09,5.9695245e-09,5.9702385e-09,5.9598189e-09,5.9511557e-09,5.9699338e-09,5.9404901e-09,9.0396851e-09,1.26808156e-08,5.9497534e-09,1.97686035e-08,4.5702992e-09,1.74197806e-08
int,med,7.1000868e-09,7.0058556e-09,6.7911992e-09,7.460043e-09,6.5694632e-09,6.6852744e-09,6.5703206e-09,6.5698882e-09,6.5601186e-09,6.5846477e-09,6.5787627e-09,6.8802197e-09,6.7709149e-09,1.27348335e-08,1.26806587e-08,1.32538035e-08,1.27497903e-08,1.28806274e-08,1.27812488e-08,1.27905846e-08,1.28786554e-08,1.26735648e-08,1.30899614e-08,1.30591637e-08,1.29210037e-08,1.29693867e-08,1.29402637e-08,1.29043219e-08,1.28002847e-08,1.27186376e-08,1.30690437e-08,1.29005089e-08,1.29101451e-08,1.28567586e-08,1.27809377e-08,1.28957634e-08,1.29599559e-08,1.28700266e-08,1.29099504e-08,1.29351955e-08,1.96687941e-08,2.05488957e-08,2.24596327e-08,2.17896298e-08
int,avg,7.1000868e-09,7.0058556e-09,6.8401501e-09,7.3926898e-09,6.7201778e-09,6.7916104e-09,6.8069152e-09,6.5651891e-09,6.5695312e-09,6.5512883e-09,7.7807279e-09,8.6472602e-09,8.7052232e-09,1.02575676e-08,1.08443729e-08,1.16389124e-08,1.1618445e-08,1.14807568e-08,1.28293237e-08,1.28275217e-08,1.25826855e-08,1.28737586e-08,1.2069546e-08,1.22507614e-08,1.15843619e-08,1.23419829e-08,1.14595557e-08,1.17783542e-08,1.13332683e-08,1.10257375e-08,1.28124034e-08,1.23240938e-08,1.15873559e-08,1.18069972e-08,1.20008385e-08,1.22949748e-08,1.30764728e-08,1.273654e-08,1.28236513e-08,1.3136603e-08,2.16319117e-08,2.25780309e-08,2.31650327e-08,2.19107952e-08
ull,max,6.6993086e-09,6.9289687e-09,7.1998148e-09,7.4199751e-09,7.6806055e-09,7.1589687e-09,7.1515565e-09,7.3720006e-09,7.3494998e-09,7.1300989e-09,1.35505208e-08,1.35209961e-08,1.34507486e-08,1.29888432e-08,1.37585123e-08,1.39385123e-08,1.33992284e-08,1.41195067e-08,1.42520026e-08,1.29806404e-08,1.29897856e-08,1.33503247e-08,1.34213914e-08,1.21316028e-08,1.28301692e-08,1.29201451e-08,1.29687036e-08,1.75706546e-08,1.69809097e-08,1.3168544e-08,1.2958308e-08,1.29481404e-08,1.65392168e-08,1.65910127e-08,1.29803047e-08,1.29902809e-08,1.67507739e-08,2.01591016e-08,1.60206578e-08,1.80502121e-08,3.10098329e-08,2.61808182e-08,2.64103745e-08,2.80692773e-08
ull,min,6.6993086e-09,6.7802713e-09,6.3399519e-09,6.5711227e-09,6.5691504e-09,5.9483298e-09,5.9694238e-09,5.9504156e-09,5.969595e-09,5.9595306e-09,5.9680151e-09,5.9500294e-09,5.9708647e-09,5.9509026e-09,5.9509869e-09,5.9500563e-09,5.9500418e-09,5.9703702e-09,6.3388899e-09,1.27288112e-08,1.14289667e-08,6.8395407e-09,1.10085954e-08,6.171837e-09,6.5984895e-09,5.9505339e-09,5.9384061e-09,7.0398735e-09,5.9294635e-09,5.9796045e-09,5.9511621e-09,5.9694769e-09,5.9791609e-09,5.9790526e-09,5.6716653e-09,5.9808131e-09,6.3600356e-09,5.9612544e-09,8.3190784e-09,1.21417287e-08,4.910999e-09,1.43114503e-08,4.5900124e-09,5.7011588e-09
ull,med,6.6993086e-09,6.8450589e-09,6.5600011e-09,6.7507044e-09,7.3493761e-09,6.4645222e-09,6.5797754e-09,6.4594816e-09,6.5608096e-09,6.4853409e-09,6.5802188e-09,6.6356992e-09,6.5699884e-09,1.28151591e-08,1.28909534e-08,1.28399807e-08,1.279795e-08,1.29939351e-08,1.29701366e-08,1.28647437e-08,1.28607721e-08,1.28716269e-08,1.28002068e-08,1.27597736e-08,1.27787279e-08,1.28454718e-08,1.28601369e-08,1.2824908e-08,1.28792662e-08,1.2873143e-08,1.29396739e-08,1.28409098e-08,1.28293289e-08,1.30190338e-08,1.28900693e-08,1.2838841e-08,1.2829438e-08,1.29456497e-08,1.28111252e-08,1.29966878e-08,2.11203358e-08,2.1000928e-08,2.04595595e-08,2.13137255e-08
ull,avg,6.6993086e-09,6.8450589e-09,6.7301302e-09,6.8357338e-09,7.2654527e-09,6.688092e-09,6.643507e-09,6.5269987e-09,6.5736352e-09,6.5370674e-09,7.6470679e-09,7.6923294e-09,9.7620412e-09,1.00995791e-08,1.08181618e-08,1.14749033e-08,1.18427758e-08,1.23531043e-08,1.26839899e-08,1.28194612e-08,1.26925288e-08,1.25476338e-08,1.28372801e-08,1.17138543e-08,1.2341101e-08,1.19183572e-08,1.12551031e-08,1.26877049e-08,1.15260049e-08,1.23710899e-08,1.10270374e-08,1.16066736e-08,1.16074767e-08,1.26777207e-08,1.20800293e-08,1.22490845e-08,1.2669704e-08,1.3790795e-08,1.30126332e-08,1.41983498e-08,2.37621189e-08,2.07383372e-08,2.14944329e-08,2.09461826e-08
float,max,1.21891145e-08,1.28910237e-08,1.24696019e-08,1.29208e-08,1.33201772e-08,1.23004605e-08,1.28683479e-08,1.31892506e-08,1.21691145e-08,1.23691386e-08,1.51499423e-08,1.51703737e-08,1.52193181e-08,1.46295111e-08,1.51912247e-08,1.51899118e-08,1.52498717e-08,1.52205058e-08,1.52400754e-08,1.5221143e-08,1.76694444e-08,1.69509897e-08,1.68003107e-08,1.62095517e-08,2.11613589e-08,1.63102745e-08,1.62509415e-08,1.880159e-08,1.91383789e-08,1.50580415e-08,1.86890294e-08,1.92290459e-08,2.03890744e-08,1.93814104e-08,1.80102396e-08,1.76683029e-08,1.72308539e-08,1.98582234e-08,1.54992001e-08,2.0019325e-08,3.00600584e-08,3.48089545e-08,3.44887245e-08,3.21104811e-08
float,min,1.21891145e-08,1.12699014e-08,1.22998615e-08,1.12995972e-08,1.12799991e-08,1.12795952e-08,1.13089549e-08,1.12812756e-08,1.12990457e-08,1.128976e-08,1.12818918e-08,1.12797725e-08,1.12809779e-08,1.13003064e-08,1.12903435e-08,1.12713727e-08,1.13006813e-08,1.12998976e-08,1.12908138e-08,1.50801871e-08,1.51114853e-08,1.49097412e-08,1.33798631e-08,1.13083884e-08,1.20299274e-08,1.12784093e-08,1.12800992e-08,1.12819194e-08,1.13099051e-08,1.12706578e-08,1.12711395e-08,1.1288777e-08,1.12708812e-08,1.12888014e-08,1.12806374e-08,1.12878177e-08,1.12800423e-08,1.12894472e-08,1.5079733e-08,1.50977115e-08,1.12899329e-08,1.51594334e-08,9.8411363e-09,7.5505791e-09
