omp_atomicadd_scalar
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,7.0108092e-09,3.69119093e-08,5.83597664e-08,7.23710681e-08,9.75493341e-08,1.077897093e-07,1.264702304e-07,1.517804431e-07,1.627896992e-07,1.7217036e-07,2.036486807e-07,2.143600035e-07,2.316005516e-07,2.470812064e-07,2.726195273e-07,2.944711182e-07,3.07220928e-07,3.145309824e-07,3.483293817e-07,3.661617133e-07,3.777805049e-07,3.869005081e-07,4.071097105e-07,4.210019704e-07,4.487806142e-07,4.501486784e-07,4.654503261e-07,4.842891286e-07,4.988993137e-07,5.175498018e-07,5.361997845e-07,5.674502084e-07,5.887395332e-07,6.025610222e-07,6.199505644e-07,6.421090678e-07,6.28869998e-07,6.719996272e-07,6.456706198e-07,6.80119052e-07,7.057096638e-07,7.66210847e-07,7.833192957e-07,7.620380536e-07
int,min,7.0108092e-09,3.68999884e-08,3.30087189e-08,5.00588612e-08,5.85702806e-08,7.71499916e-08,8.1600746e-08,1.022600232e-07,1.031487956e-07,1.228700458e-07,1.215712894e-07,1.4961026e-07,1.682189922e-07,1.842720856e-07,1.916915982e-07,2.149009892e-07,2.314497466e-07,2.31199565e-07,2.382392717e-07,2.40059225e-07,2.312784799e-07,2.482795978e-07,2.320184702e-07,2.513614317e-07,2.373506973e-07,2.508899393e-07,2.454690388e-07,2.351194769e-07,2.500684666e-07,2.543609071e-07,2.461606787e-07,2.791189474e-07,2.906998528e-07,2.604319931e-07,2.880811719e-07,2.680619783e-07,2.660195816e-07,4.148504384e-07,4.338798605e-07,4.60411196e-07,4.800192429e-07,5.206693951e-07,5.07988683e-07,4.984515115e-07
int,med,7.0108092e-09,3.69059489e-08,5.82381729e-08,6.12051972e-08,9.82691994e-08,9.25946819e-08,1.262818169e-07,1.276396015e-07,1.581090465e-07,1.482950971e-07,2.036010016e-07,1.820494807e-07,1.73948555e-07,1.850506316e-07,1.972496303e-07,2.240100766e-07,2.561401688e-07,2.450957645e-07,2.735099133e-07,2.932445972e-07,2.765692986e-07,3.23319471e-07,3.270803496e-07,3.445159647e-07,3.680407191e-07,3.611850134e-07,3.553099464e-07,3.418906528e-07,3.85069973e-07,3.910948166e-07,3.896706195e-07,4.133602509e-07,4.355305698e-07,4.246846717e-07,4.764800677e-07,4.498543391e-07,4.51949752e-07,4.629655621e-07,4.33790833e-07,5.667401827e-07,4.825503505e-07,5.259113545e-07,5.570988371e-07,5.728843345e-07
int,avg,7.0108092e-09,3.69059489e-08,4.98688861e-08,6.12377402e-08,8.23358362e-08,9.27516408e-08,1.072815591e-07,1.269589744e-07,1.353869657e-07,1.475158212e-07,1.665135747e-07,1.818006299e-07,1.982486823e-07,2.180330374e-07,2.303958836e-07,2.52878467e-07,2.64581824e-07,2.674384994e-07,2.919247917e-07,3.030883839e-07,3.06455546e-07,3.297819706e-07,3.286603876e-07,3.551433698e-07,3.457821208e-07,3.5577578e-07,3.724521207e-07,3.780291327e-07,4.074978127e-07,4.199017525e-07,4.259683724e-07,4.577944248e-07,4.798753201e-07,4.815450304e-07,5.043865459e-07,5.219031264e-07,5.08436876e-07,5.347394879e-07,5.266073063e-07,5.695637272e-07,5.755455268e-07,6.223211544e-07,6.312067458e-07,6.198754125e-07
ull,max,5.9787933e-09,3.63806662e-08,5.91901958e-08,7.04784972e-08,9.98902031e-08,1.085795605e-07,1.287509253e-07,1.450699982e-07,1.662811841e-07,1.780600893e-07,2.021602437e-07,2.104586726e-07,2.276480051e-07,2.427205582e-07,2.68597879e-07,2.929003252e-07,3.069405051e-07,3.211395876e-07,3.403993362e-07,3.538800711e-07,3.791205602e-07,3.897687103e-07,3.99938306e-07,4.179102338e-07,4.316399779e-07,4.712696581e-07,4.687091383e-07,4.852016353e-07,5.072606239e-07,5.266883449e-07,5.459390622e-07,5.646382281e-07,5.938279153e-07,5.928316302e-07,6.114697514e-07,6.17299131e-07,6.252093198e-07,6.605693947e-07,6.597615039e-07,7.114609323e-07,7.091214124e-07,7.202203685e-07,7.708202829e-07,7.594590723e-07
ull,min,5.9787933e-09,3.65903409e-08,3.13512634e-08,4.42990182e-08,5.77501825e-08,6.68086255e-08,8.19814957e-08,9.58794791e-08,9.20991718e-08,1.188707246e-07,1.243014793e-07,1.661105168e-07,1.47730481e-07,1.918120183e-07,1.709799634e-07,1.908994359e-07,2.160907173e-07,2.519902892e-07,2.089719469e-07,2.30958924e-07,2.488399304e-07,2.352689169e-07,2.329501462e-07,2.335098529e-07,2.307715878e-07,2.435994931e-07,2.342791666e-07,2.412385437e-07,2.48311333e-07,2.541498666e-07,2.731908771e-07,2.830687337e-07,2.84509655e-07,2.811405901e-07,2.699813522e-07,2.74870778e-07,2.772812225e-07,1.699795415e-07,4.382308345e-07,4.36281013e-07,5.023098703e-07,5.191384474e-07,5.008979073e-07,4.939815697e-07
ull,med,5.9787933e-09,3.64852051e-08,5.94894193e-08,5.89545351e-08,9.98098515e-08,9.19203588e-08,1.272300621e-07,1.20144769e-07,1.197696411e-07,1.467404266e-07,1.683105528e-07,1.674449397e-07,1.839689252e-07,1.957691753e-07,1.188411728e-07,2.411363768e-07,2.20820786e-07,2.499502184e-07,3.317399522e-07,2.899953015e-07,3.519605086e-07,2.830294967e-07,2.879914296e-07,2.950054783e-07,3.711817838e-07,3.615448418e-07,3.480188197e-07,3.801941806e-07,3.875305569e-07,4.070292232e-07,4.091288582e-07,4.155993447e-07,4.301082613e-07,4.314796903e-07,4.488985222e-07,4.320233653e-07,4.34750372e-07,4.653857568e-07,4.50210558e-07,5.739495049e-07,5.035909518e-07,5.229252902e-07,5.470604625e-07,5.649894641e-07
ull,avg,5.9787933e-09,3.64852051e-08,4.99170726e-08,5.80044371e-08,8.34144194e-08,8.97115888e-08,1.093933332e-07,1.2501997e-07,1.363440331e-07,1.4811357e-07,1.702946965e-07,1.848140091e-07,1.957337652e-07,2.146570877e-07,2.198303768e-07,2.420862561e-07,2.589190078e-07,2.795323085e-07,2.772869321e-07,2.911096299e-07,3.165175993e-07,3.155257183e-07,3.226408312e-07,3.258766482e-07,3.285121376e-07,3.660920311e-07,3.788622468e-07,3.814851446e-07,4.006580113e-07,4.303992235e-07,4.449218075e-07,4.456350041e-07,4.786066088e-07,4.784439221e-07,4.938129093e-07,4.978937343e-07,4.982949937e-07,5.360526074e-07,5.384511061e-07,5.76015463e-07,5.885746024e-07,5.935203874e-07,6.172661846e-07,6.204892779e-07
float,max,1.09998349e-08,8.00400812e-08,1.365892467e-07,1.660906174e-07,2.402090956e-07,2.651296858e-07,2.880185794e-07,3.738310471e-07,4.03820107e-07,4.55380974e-07,5.092601253e-07,5.162502119e-07,5.965592932e-07,6.284395685e-07,6.418994525e-07,7.249996201e-07,7.727307094e-07,8.460608983e-07,8.203582573e-07,8.816988402e-07,9.563803973e-07,9.155001784e-07,9.994496111e-07,1.1042900696e-06,1.0873299594e-06,1.0843712234e-06,1.1531198114e-06,1.2343104352e-06,1.3882698436e-06,1.2314099619e-06,1.5462707443e-06,9.985502617e-07,7.902601404e-07,5.692105367e-07,3.108688965e-07,4.216309679e-07,7.17351026e-07,9.113799252e-07,1.0493711885e-06,1.0714785506e-06,1.0778684535e-06,1.1200213341e-06,1.1215607042e-06,1.1820704333e-06
float,min,1.09998349e-08,7.99512366e-08,7.9309183e-08,1.144803075e-07,1.345211685e-07,1.601898427e-07,2.04401655e-07,1.878897316e-07,2.824895915e-07,2.711101204e-07,2.999592085e-07,3.182182205e-07,3.39930229e-07,3.892982724e-07,4.372699303e-07,4.314905141e-07,3.963015028e-07,5.074693578e-07,5.233696228e-07,5.266815759e-07,5.201102196e-07,5.382791052e-07,5.351805057e-07,5.120002457e-07,5.546093578e-07,5.316105798e-07,5.379486807e-07,5.5346912e-07,5.278503609e-07,4.865979176e-07,5.117117448e-07,5.262004564e-07,5.738202605e-07,5.38370462e-07,5.510079822e-07,5.34970392e-07,6.558597826e-07,4.405112556e-07,6.561511369e-07,4.537212437e-07,7.304698485e-07,7.156504718e-07,6.800693776e-07,7.205419174e-07
