omp_atomiccaptureincrement
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,7.3676343e-09,3.67914951e-08,5.90587039e-08,7.37716879e-08,1.000382262e-07,1.025290109e-07,1.336204294e-07,1.520308336e-07,1.703190314e-07,1.791713266e-07,2.073597536e-07,2.137815771e-07,2.432111295e-07,2.606022501e-07,2.729792493e-07,2.982816676e-07,3.088909169e-07,3.274808768e-07,3.450502005e-07,3.606286148e-07,3.843712285e-07,3.906293887e-07,4.081083102e-07,4.239498929e-07,4.509800114e-07,4.610792627e-07,4.875190828e-07,5.019594684e-07,5.290707108e-07,5.227691685e-07,5.395387119e-07,5.647887277e-07,5.855300203e-07,5.81538181e-07,5.888595325e-07,6.222091968e-07,6.117393378e-07,6.758783727e-07,6.636693573e-07,6.827701724e-07,7.52249476e-07,7.643692554e-07,7.411587787e-07,7.918980518e-07
int,min,7.3676343e-09,3.67015263e-08,3.10089989e-08,4.98486497e-08,5.97693282e-08,6.93896806e-08,8.14391206e-08,1.019694852e-07,1.052307825e-07,1.232802303e-07,1.271199763e-07,1.410295735e-07,1.76059446e-07,1.850095868e-07,1.715205066e-07,2.242506367e-07,2.154606276e-07,2.3586914e-07,2.223102925e-07,2.3446925e-07,2.550307152e-07,2.395416884e-07,2.415820416e-07,2.39159032e-07,2.505101468e-07,2.56069902e-07,2.604107643e-07,2.267801129e-07,2.651007219e-07,2.580398015e-07,2.444482922e-07,2.672490471e-07,2.69829547e-07,2.548109604e-07,2.496207265e-07,4.416803069e-07,2.807191701e-07,3.010803722e-07,4.303695782e-07,4.318289618e-07,5.143798172e-07,5.069598688e-07,5.052813652e-07,4.560098325e-07
int,med,7.3676343e-09,3.67548703e-08,5.89990993e-08,6.2179545e-08,9.99998209e-08,8.52400877e-08,1.343194591e-07,1.26874501e-07,1.67450715e-07,1.481360216e-07,2.034300436e-07,1.772255356e-07,1.808784932e-07,2.223606538e-07,1.919415761e-07,2.278711514e-07,2.605599991e-07,2.524904249e-07,2.769495956e-07,2.860712019e-07,2.884886896e-07,3.088496275e-07,3.671401991e-07,3.328304709e-07,4.000796729e-07,3.639896286e-07,4.095300735e-07,3.791645911e-07,3.910784285e-07,4.091397056e-07,3.856802144e-07,4.207601653e-07,4.062817993e-07,4.286714436e-07,4.348784955e-07,4.633902991e-07,4.244291754e-07,4.781150648e-07,4.466894598e-07,5.625704243e-07,5.229391508e-07,5.280407092e-07,5.175187929e-07,5.539645003e-07
int,avg,7.3676343e-09,3.67548703e-08,4.96228913e-08,6.19203806e-08,8.38434058e-08,8.56648701e-08,1.118233796e-07,1.265732448e-07,1.401841779e-07,1.575863531e-07,1.707719919e-07,1.781184063e-07,2.079329276e-07,2.21701742e-07,2.30023271e-07,2.576894062e-07,2.592726134e-07,2.738484598e-07,2.876983649e-07,2.973611466e-07,3.177461235e-07,3.205850667e-07,3.188044431e-07,3.285720136e-07,3.487216076e-07,3.605188864e-07,3.753939696e-07,3.904137304e-07,4.206196095e-07,4.209418938e-07,4.229587648e-07,4.518514598e-07,4.625041531e-07,4.773337135e-07,4.725959334e-07,5.13711853e-07,4.993135928e-07,5.448959352e-07,5.453176459e-07,5.625100136e-07,6.094873446e-07,6.173415974e-07,6.001767175e-07,6.312314347e-07
ull,max,7.3985733e-09,3.36898251e-08,5.89791489e-08,7.37995827e-08,9.86800447e-08,1.084883549e-07,1.271586862e-07,1.468910844e-07,1.68190228e-07,1.849298648e-07,2.053905511e-07,2.16549686e-07,2.428399484e-07,2.502594121e-07,2.779799675e-07,2.97050878e-07,3.17159155e-07,3.401110783e-07,3.442197026e-07,3.789692914e-07,3.735700932e-07,3.842706523e-07,3.990691583e-07,4.249107768e-07,4.367204785e-07,4.711992322e-07,4.828999446e-07,4.886613423e-07,5.0965892e-07,5.265999057e-07,5.270918744e-07,5.51989617e-07,5.836785779e-07,5.992604776e-07,6.317217073e-07,6.086597708e-07,6.468095296e-07,6.721895898e-07,6.887014996e-07,6.830610275e-07,7.06800284e-07,7.435591559e-07,7.378695898e-07,7.541989673e-07
ull,min,7.3985733e-09,3.24690727e-08,3.07694626e-08,4.68214694e-08,6.046955e-08,7.75409351e-08,8.23212158e-08,1.097884032e-07,1.134402164e-07,1.279400468e-07,1.470520525e-07,1.450790862e-07,1.927804132e-07,1.749987178e-07,1.826989458e-07,2.283804214e-07,2.242103415e-07,2.350409561e-07,2.27440161e-07,2.435504514e-07,2.339607556e-07,2.48328327e-07,2.35240206e-07,2.395490724e-07,2.364782814e-07,2.438406677e-07,2.561700714e-07,2.49170179e-07,2.634195253e-07,2.346292564e-07,2.395290269e-07,2.435385767e-07,2.459810532e-07,2.593391135e-07,2.707112668e-07,2.39071288e-07,2.367098148e-07,2.766385954e-07,3.236107161e-07,4.358808456e-07,5.104992734e-07,5.128898262e-07,5.013100163e-07,4.885697346e-07
ull,med,7.3985733e-09,3.3088794e-08,5.87411935e-08,6.20886937e-08,9.88707796e-08,9.16542548e-08,1.238995042e-07,1.228345213e-07,1.627599962e-07,1.536412748e-07,1.505806529e-07,1.679198418e-07,1.185512897e-07,2.097811446e-07,1.501509831e-07,2.406838422e-07,2.315210722e-07,2.623888084e-07,2.659582715e-07,3.143045294e-07,3.502305199e-07,3.320093772e-07,3.161984555e-07,3.262988697e-07,3.086890904e-07,3.65640473e-07,3.633417776e-07,3.878005116e-07,3.948499925e-07,3.957305239e-07,3.772306094e-07,3.908132227e-07,4.41689328e-07,4.372411996e-07,4.562992128e-07,4.182049749e-07,4.283011679e-07,4.772707568e-07,5.574684012e-07,5.629944361e-07,5.055882591e-07,5.280451589e-07,5.254493625e-07,5.523552137e-07
ull,avg,7.3985733e-09,3.3088794e-08,4.94966017e-08,6.11270391e-08,8.466942e-08,9.24468354e-08,1.067576061e-07,1.313323204e-07,1.4772558e-07,1.555542612e-07,1.750308898e-07,1.879091958e-07,2.077502164e-07,2.114593391e-07,2.372310412e-07,2.628138122e-07,2.686321171e-07,2.904268703e-07,2.84796712e-07,3.158723012e-07,3.026004761e-07,3.227870975e-07,3.183304934e-07,3.46436571e-07,3.329149353e-07,3.623849056e-07,3.840534587e-07,4.018201626e-07,4.142879243e-07,4.100946441e-07,4.171047401e-07,4.403559896e-07,4.563156193e-07,4.716380498e-07,5.063713042e-07,4.904167179e-07,5.210454924e-07,5.470082449e-07,5.559028539e-07,5.629536756e-07,5.877217125e-07,6.107679232e-07,6.088434713e-07,6.144486466e-07
float,max,1.12791591e-08,7.95914938e-08,1.392697569e-07,1.635306926e-07,2.489605788e-07,2.67299146e-07,3.530289101e-07,3.689613895e-07,4.035889388e-07,4.436105824e-07,4.922707085e-07,3.90160137e-07,3.584499788e-07,5.777906519e-07,5.358006099e-07,5.700280354e-07,6.353900528e-07,6.200007971e-07,7.009800812e-07,6.816700409e-07,7.025888599e-07,7.926179398e-07,7.559889749e-07,8.190478938e-07,8.326301308e-07,8.616599442e-07,8.815383821e-07,8.737492078e-07,8.935490947e-07,9.298300403e-07,9.164417102e-07,9.843512061e-07,9.908392903e-07,1.0173889278e-06,1.015711384e-06,1.0015405836e-06,1.0140303648e-06,1.0774888971e-06,1.0730586827e-06,1.1721801091e-06,1.1421196616e-06,1.1900204028e-06,1.2558295854e-06,1.2437891782e-06
float,min,1.12791591e-08,7.94584427e-08,7.94512006e-08,1.059485422e-07,1.57141512e-07,1.788397229e-07,1.936598421e-07,2.122612819e-07,2.104478117e-07,2.725199257e-07,2.999107944e-07,3.066597894e-07,3.267294931e-07,4.337201601e-07,3.9656076e-07,4.086812671e-07,4.485114786e-07,4.74628815e-07,5.469506271e-07,4.621413658e-07,4.773190654e-07,5.22159016e-07,4.907502081e-07,5.215088567e-07,5.341120064e-07,5.222997185e-07,5.176794528e-07,5.082611928e-07,5.632992445e-07,5.253599495e-07,4.850786842e-07,5.376002411e-07,5.354003256e-07,5.283009938e-07,5.555699324e-07,4.898108664e-07,4.542493039e-07,4.216591907e-07,7.74800083e-07,7.664589932e-07,8.15520593e-07,7.795304453e-07,7.666690193e-07,7.471992648e-07
