omp_atomicread_close
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,5.903516e-10,5.901949e-10,1.1201543e-09,1.1291763e-09,1.0588095e-09,9.090132e-10,6.191832e-10,1.1308884e-09,6.192816e-10,1.1288152e-09,1.0089027e-09,6.191667e-10,6.197284e-10,6.194986e-10,6.192137e-10,6.2017e-10,1.1199397e-09,1.1293825e-09,6.193539e-10,6.110776e-10,9.196617e-10,9.903909e-10,9.203909e-10,9.596339e-10,9.606549e-10,9.592784e-10,9.512395e-10,9.590265e-10,9.585532e-10,9.506827e-10,9.592462e-10,9.587733e-10,9.598602e-10,9.588457e-10,9.594733e-10,9.591057e-10,9.595279e-10,9.593893e-10,9.592004e-10,9.504665e-10,1.6508884e-09,1.4588754e-09,1.7496521e-09,1.7888361e-09
int,min,5.903516e-10,5.607272e-10,5.699454e-10,4.288939e-10,4.205806e-10,4.203909e-10,4.202696e-10,5.603769e-10,4.203484e-10,4.203712e-10,5.215497e-10,4.209145e-10,4.205344e-10,4.201764e-10,4.204544e-10,4.212254e-10,4.206529e-10,4.200012e-10,4.208365e-10,4.210478e-10,4.812793e-10,5.205826e-10,5.209209e-10,5.210973e-10,4.216943e-10,4.214291e-10,4.21808e-10,4.212697e-10,4.208694e-10,5.404327e-10,5.398007e-10,4.211415e-10,4.21526e-10,5.403604e-10,5.401282e-10,5.394455e-10,4.808084e-10,4.20988e-10,5.000896e-10,6.70015e-10,4.504062e-10,4.612042e-10,4.807422e-10,4.601924e-10
int,med,5.903516e-10,5.754928e-10,5.893387e-10,8.591846e-10,6.098433e-10,5.791277e-10,6.097144e-10,6.003439e-10,6.187746e-10,5.893375e-10,5.903966e-10,5.898071e-10,5.900197e-10,5.881349e-10,5.886661e-10,5.8918e-10,5.89505e-10,5.888914e-10,5.896504e-10,5.892194e-10,5.900285e-10,5.89863e-10,5.898553e-10,5.898801e-10,5.914995e-10,5.903326e-10,8.497594e-10,8.938232e-10,8.805396e-10,9.190498e-10,9.197943e-10,9.098698e-10,9.096959e-10,9.093628e-10,8.499161e-10,8.448508e-10,8.10479e-10,8.204034e-10,7.807718e-10,7.606035e-10,6.697542e-10,6.70228e-10,6.689594e-10,6.754241e-10
int,avg,5.903516e-10,5.754928e-10,7.538484e-10,8.169365e-10,6.613098e-10,5.832802e-10,5.777849e-10,6.63098e-10,5.848661e-10,6.634467e-10,6.269425e-10,5.740363e-10,5.724971e-10,5.783997e-10,5.647875e-10,5.727026e-10,5.98925e-10,6.262076e-10,5.735353e-10,5.826276e-10,6.370896e-10,6.684062e-10,6.591345e-10,6.922293e-10,7.041165e-10,7.246277e-10,7.454129e-10,7.694195e-10,7.795864e-10,8.095924e-10,8.180504e-10,8.161245e-10,8.254489e-10,8.301389e-10,7.981646e-10,8.033475e-10,7.976974e-10,8.063677e-10,7.840166e-10,7.820523e-10,7.16573e-10,7.209732e-10,7.149833e-10,8.102063e-10
ull,max,3.898521e-10,3.906429e-10,1.0404131e-09,5.705356e-10,1.0396858e-09,1.038102e-09,5.509956e-10,5.496288e-10,5.483595e-10,5.691985e-10,5.694327e-10,1.0388774e-09,9.803548e-10,5.695894e-10,1.0000768e-09,5.690671e-10,5.69644e-10,5.5108e-10,5.710973e-10,6.880682e-10,9.195926e-10,9.104962e-10,9.099048e-10,9.191896e-10,9.188432e-10,9.504099e-10,9.415047e-10,9.590169e-10,9.592447e-10,9.61129e-10,9.61219e-10,9.59243e-10,9.598285e-10,9.501796e-10,9.597324e-10,9.498056e-10,9.594135e-10,9.595898e-10,9.599863e-10,9.595412e-10,8.799948e-10,1.421082e-09,1.6488252e-09,1.429783e-09
ull,min,3.898521e-10,3.900285e-10,3.895303e-10,3.897766e-10,3.700856e-10,3.703516e-10,3.709715e-10,3.704797e-10,3.699956e-10,3.700305e-10,3.705083e-10,3.712355e-10,3.702025e-10,3.70448e-10,3.705553e-10,3.699879e-10,3.703186e-10,3.706232e-10,3.705006e-10,3.699486e-10,3.702805e-10,3.699759e-10,3.71162e-10,3.704652e-10,3.706987e-10,3.69595e-10,3.71162e-10,3.701205e-10,3.707317e-10,3.705489e-10,3.70573e-10,3.812407e-10,3.912126e-10,4.213548e-10,4.205902e-10,4.209454e-10,4.910141e-10,3.897328e-10,4.41808e-10,6.505078e-10,4.813757e-10,4.313974e-10,4.417313e-10,4.202933e-10
ull,med,3.898521e-10,3.899962e-10,3.898718e-10,4.753867e-10,3.911873e-10,4.647109e-10,3.911314e-10,4.54696e-10,3.908015e-10,4.54821e-10,3.905267e-10,5.156272e-10,5.103242e-10,5.152545e-10,4.905051e-10,5.008522e-10,4.998706e-10,5.014107e-10,5.096408e-10,5.194295e-10,5.106847e-10,5.100034e-10,5.193616e-10,5.193919e-10,5.305573e-10,5.300643e-10,6.887396e-10,6.893463e-10,6.899759e-10,8.347392e-10,8.110153e-10,7.506308e-10,6.905228e-10,8.209703e-10,8.490378e-10,8.338371e-10,8.105914e-10,8.097075e-10,8.200723e-10,7.909984e-10,6.498164e-10,6.597914e-10,6.690695e-10,6.649205e-10
ull,avg,3.898521e-10,3.899962e-10,6.064912e-10,4.779844e-10,5.448e-10,6.093185e-10,4.581631e-10,4.657029e-10,4.538143e-10,4.613973e-10,4.59115e-10,5.229594e-10,4.986632e-10,4.795666e-10,4.963279e-10,4.742241e-10,4.690202e-10,4.688103e-10,4.711164e-10,4.974128e-10,5.358152e-10,5.504922e-10,5.8282e-10,6.120158e-10,6.349356e-10,6.59071e-10,6.627546e-10,6.795291e-10,7.002216e-10,7.277596e-10,7.137992e-10,7.3108e-10,7.396696e-10,7.657061e-10,7.860241e-10,7.876362e-10,7.88533e-10,7.861805e-10,7.976499e-10,7.886766e-10,6.472748e-10,6.793574e-10,7.174129e-10,6.906909e-10
float,max,1.0101e-12,1.0249e-12,3.476e-13,9.6698e-12,9.492e-12,1.3701e-12,1.12689e-11,9.8799e-12,8.0811e-12,1.02194e-11,1.0984e-11,2.591e-13,9.093e-13,1.01387e-11,1.02507e-11,8.8895e-12,6.303e-13,5.11784e-11,1.8454e-12,1.00989e-11,8.7943e-12,1.4127e-12,2.0181e-12,1.6333e-12,1.947e-12,6.05356e-11,1.03693e-11,9.3407e-12,9.9397e-12,1.8575e-12,1.10522e-11,9.5259e-12,9.8686e-12,1.01048e-11,9.1512e-12,1.2149e-12,1.11363e-11,1.9237e-12,4.04987e-11,1.0309e-11,8.093912e-10,2.494257e-10,1.300647e-10,1.0380116e-09
float,min,1.0101e-12,9.622e-13,-5.4e-13,1.949e-13,-8.76e-14,1.8951e-12,1.0202e-12,1.086e-12,-1.4203e-12,5.292e-13,7.14e-13,3.186e-13,-4.369e-13,8.188e-13,8.055e-13,-1.0426e-12,6.39e-14,8.56e-14,4.596e-13,7.971e-13,5.661e-13,-3.098e-13,7.967e-13,5.287e-13,9.309e-13,4.57e-13,6.593e-13,4.509e-13,8.8063e-12,2.64e-13,2.0595e-12,8.31e-13,1.0748e-12,5.383e-13,8.266e-13,-3.25e-13,5.087e-13,5.272e-13,2.95471e-11,7.318e-13,8.0397e-12,8.3804e-12,-4.09e-14,4.03e-14
float,med,1.0101e-12,1.1276e-12,-1.555e-13,4.9071e-12,5.54e-14,1.0596e-12,1.0202e-12,1.1864e-12,-3.198e-13,1.1778e-12,6.082e-13,1.0319e-12,7.437e-13,8.633e-13,1.0426e-12,9.165e-13,-2.21e-14,-1.695e-13,1.0406e-12,4.025e-13,-2.29e-14,-8.205e-13,1.0478e-12,5.2518e-12,4.561e-13,9.109e-13,9.5845e-12,9.335e-12,8.19e-14,9.9542e-12,1.10579e-11,5.412e-13,6.693e-13,8.69e-13,1.3127e-12,5.3384e-12,1.06384e-11,1.01921e-11,5.80176e-11,5.4858e-12,8.091e-12,5.273e-13,5.2e-13,3.521e-13
