omp_atomicread_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,5.910141e-10,5.898972e-10,1.1184744e-09,6.192499e-10,6.189015e-10,1.1191522e-09,1.1296802e-09,6.182358e-10,6.187428e-10,1.1289168e-09,6.107951e-10,6.484427e-10,6.188533e-10,6.101237e-10,1.1287798e-09,6.194797e-10,6.104042e-10,6.110973e-10,6.20172e-10,9.492651e-10,9.188368e-10,9.598184e-10,9.580771e-10,9.597144e-10,9.590398e-10,9.593933e-10,9.595107e-10,9.586356e-10,9.588577e-10,9.591623e-10,9.605713e-10,9.590887e-10,9.594568e-10,9.593756e-10,9.513258e-10,9.589923e-10,9.590349e-10,9.592386e-10,9.507088e-10,9.589754e-10,1.3912439e-09,1.8408727e-09,1.4805038e-09,2.0299675e-09
int,min,5.910141e-10,5.897493e-10,5.601764e-10,5.888698e-10,5.692258e-10,4.203516e-10,4.221564e-10,4.212146e-10,4.206416e-10,4.21021e-10,4.206384e-10,4.213644e-10,4.212564e-10,4.216341e-10,4.199365e-10,4.204906e-10,4.195412e-10,4.202278e-10,4.205882e-10,4.209703e-10,4.206581e-10,4.212222e-10,4.206308e-10,4.211664e-10,4.202399e-10,4.217502e-10,4.306613e-10,4.206352e-10,4.205605e-10,4.199474e-10,4.203757e-10,4.210591e-10,4.299747e-10,4.882169e-10,4.203757e-10,4.214038e-10,4.216023e-10,4.299924e-10,5.898755e-10,6.596588e-10,4.711572e-10,4.599968e-10,4.206677e-10,4.620053e-10
int,med,5.910141e-10,5.892953e-10,5.891852e-10,6.041782e-10,5.898433e-10,6.145621e-10,6.199956e-10,6.009776e-10,5.902234e-10,5.898666e-10,5.903307e-10,5.898116e-10,5.896071e-10,5.90587e-10,5.900032e-10,5.89149e-10,5.896123e-10,5.891173e-10,5.894504e-10,5.90137e-10,5.898903e-10,5.910306e-10,5.89227e-10,5.898401e-10,5.900595e-10,5.906308e-10,6.898807e-10,7.745297e-10,8.796625e-10,6.886348e-10,8.40509e-10,8.353928e-10,6.887943e-10,6.893837e-10,6.893254e-10,6.901065e-10,6.906207e-10,6.889433e-10,6.901611e-10,6.895685e-10,6.701398e-10,6.693159e-10,6.608035e-10,6.705664e-10
int,avg,5.910141e-10,5.892953e-10,7.524955e-10,6.040195e-10,5.901317e-10,6.897297e-10,7.282735e-10,5.778285e-10,5.776753e-10,6.271635e-10,5.751997e-10,5.837179e-10,5.811258e-10,5.774314e-10,6.136695e-10,5.787525e-10,5.6851e-10,5.733762e-10,5.740491e-10,6.088937e-10,6.006759e-10,6.297766e-10,6.48775e-10,6.657522e-10,7.068878e-10,7.329588e-10,7.308429e-10,7.485824e-10,7.574686e-10,7.498543e-10,7.623134e-10,7.711655e-10,7.385925e-10,7.488812e-10,7.459022e-10,7.200377e-10,7.347593e-10,7.265935e-10,7.382268e-10,7.176715e-10,6.971776e-10,7.047701e-10,7.133635e-10,7.23921e-10
ull,max,3.900876e-10,3.904118e-10,3.904962e-10,1.0400165e-09,9.899321e-10,1.0405508e-09,9.882137e-10,5.699245e-10,9.887822e-10,7.008542e-10,7.399004e-10,9.884547e-10,5.698598e-10,5.692696e-10,5.696002e-10,5.688678e-10,5.685138e-10,5.705324e-10,5.692061e-10,9.407228e-10,8.786179e-10,9.585327e-10,9.50896e-10,9.605191e-10,9.605147e-10,9.60125e-10,9.581775e-10,9.510254e-10,9.587834e-10,9.594708e-10,9.590302e-10,9.596669e-10,9.595476e-10,9.596536e-10,9.586159e-10,9.602615e-10,9.590767e-10,9.591185e-10,9.503085e-10,9.202049e-10,1.428329e-09,1.3909811e-09,1.4501973e-09,1.7420186e-09
ull,min,3.900876e-10,3.897525e-10,3.706023e-10,3.89399e-10,3.70507e-10,3.709341e-10,3.705641e-10,3.70587e-10,3.688489e-10,3.70542e-10,3.700984e-10,3.713745e-10,3.703769e-10,3.714259e-10,3.709145e-10,3.713669e-10,3.706561e-10,3.706834e-10,3.71348e-10,3.708015e-10,3.700977e-10,3.712299e-10,3.702692e-10,3.703033e-10,3.707678e-10,3.704315e-10,3.704906e-10,4.395717e-10,3.71162e-10,3.906308e-10,3.716895e-10,3.713536e-10,3.703363e-10,4.599638e-10,3.7062e-10,3.705927e-10,3.706296e-10,3.911905e-10,4.714717e-10,6.616316e-10,4.211177e-10,4.399936e-10,3.901439e-10,4.214613e-10
ull,med,3.900876e-10,3.903954e-10,3.904797e-10,6.846211e-10,3.915015e-10,3.898851e-10,3.903745e-10,4.303138e-10,3.995323e-10,4.35185e-10,3.899606e-10,4.309293e-10,3.910503e-10,4.903915e-10,4.604665e-10,4.355454e-10,4.608751e-10,4.954337e-10,5.000558e-10,5.190896e-10,5.198553e-10,5.191096e-10,5.198907e-10,5.310645e-10,5.404391e-10,5.499068e-10,6.895805e-10,6.894865e-10,6.899454e-10,6.908141e-10,8.49595e-10,7.502747e-10,6.901909e-10,6.894098e-10,6.889136e-10,7.353549e-10,6.898976e-10,6.909868e-10,6.894078e-10,6.903809e-10,6.599522e-10,6.601965e-10,6.508e-10,6.54053e-10
ull,avg,3.900876e-10,3.903954e-10,3.839186e-10,6.942737e-10,5.423942e-10,5.051207e-10,5.108859e-10,4.595254e-10,5.059998e-10,4.766348e-10,4.735343e-10,4.931536e-10,4.577719e-10,4.70657e-10,4.562304e-10,4.572785e-10,4.578032e-10,4.764322e-10,4.749645e-10,5.195774e-10,5.173821e-10,5.422671e-10,5.758255e-10,6.274778e-10,6.555261e-10,6.595615e-10,6.898869e-10,6.756627e-10,7.151663e-10,7.264098e-10,7.507516e-10,7.476832e-10,7.238995e-10,7.144169e-10,7.322114e-10,7.479775e-10,7.580147e-10,7.67533e-10,7.457397e-10,7.382095e-10,7.046895e-10,7.116265e-10,6.943378e-10,7.257826e-10
float,max,1.2126e-12,1.2982e-12,4.817e-13,1.0306e-12,1.638e-12,3.99803e-11,1.3834e-12,1.2387e-12,1.6289e-12,1.3022e-12,4.11391e-11,1.4461e-12,1.01552e-11,1.8727e-12,2.179e-13,1.10451e-11,1.2881e-12,1.03368e-11,1.1153e-12,1.8253e-12,5.81923e-11,2.3015e-12,1.1305e-12,1.02303e-11,2.95476e-11,1.0542e-11,4.90228e-11,8.8152e-12,9.8277e-12,9.688e-12,9.9052e-12,1.06569e-11,1.0424e-11,1.07144e-11,9.6826e-12,9.4086e-12,1.5982e-12,5.94733e-11,9.2105e-12,9.8807e-12,5.218059e-10,1.599014e-10,2.104128e-10,1.093991e-10
float,min,1.2126e-12,-3.86e-14,1.35e-13,6.883e-13,-2.234e-13,1.3191e-12,1.9571e-12,9.268e-13,-2.62e-13,1.3022e-12,9.9719e-12,3.865e-13,-7.629e-13,-5.127e-13,1.3933e-12,9.0277e-12,-1.828e-13,8.5367e-12,3.206e-13,1.2769e-12,1.1632e-12,1.7775e-12,8.241e-13,-1.808e-13,9.2912e-12,4.404e-13,9.846e-13,3.27e-13,-3.247e-13,7.457e-13,7.336e-13,4.396e-13,1.2531e-12,6.625e-13,1.172e-12,1.1464e-12,-2.524e-13,8.936e-12,8.5603e-12,1.636e-12,2.989e-13,1.042e-13,1.611e-13,-3.821e-13
float,med,1.2126e-12,4.926e-13,5.038e-13,1.0306e-12,9.74e-14,1.5172e-12,1.7743e-12,1.3092e-12,6.203e-13,1.3037e-12,5.115e-13,3.009e-13,9.747e-13,4.4837e-12,1.3933e-12,4.878e-13,1.0463e-12,4.0685e-12,9.433e-12,1.2431e-12,-1.759e-13,4.7245e-12,8.241e-13,1.09587e-11,9.2386e-12,1.2675e-12,5.653e-13,1.2608e-12,2.423e-13,5.4565e-12,-1.265e-13,5.324e-13,7.04279e-11,1.07144e-11,9.4949e-12,2.081e-13,1.1873e-12,5.235e-13,1.0667e-12,1.0309e-12,8.7842e-12,-1.71391e-10,7.98752e-11,3.49245e-11
float,avg,1.2126e-12,4.926e-13,1.395e-13,7.141e-13,1.608e-13,1.78858e-11,1.9571e-12,1.3322e-12,1.0111e-12,1.86549e-11,3.14271e-11,1.4534e-11,4.4775e-12,2.3886e-12,1.31072e-11,1.1779e-12,1.6036e-12,4.1968e-12,1.31539e-11,4.6289e-12,-8.78e-14,5.9869e-12,2.4316e-12,6.4363e-12,5.6522e-12,5.5971e-12,8.3322e-12,3.4823e-12,5.3194e-12,5.5505e-12,5.0769e-12,3.9192e-12,5.29253e-11,3.3183e-12,3.6276e-12,2.0843e-11,6.3975e-12,9.6686e-12,2.2027e-12,2.7872e-12,4.65799e-11,3.71715e-11,1.487339e-10,-1.41877e-11
double,max,2.93069e-11,1.07417e-11,1.06805e-11,1.00201e-11,8.9859e-12,1.18156e-11,2.1741e-12,4.126e-13,9.7195e-12,1.7091e-12,1.10828e-11,9.8433e-12,5.97887e-11,1.0812e-12,1.1784e-12,1.1398e-12,1.191084e-10,7.639e-13,1.03279e-11,2.2589e-12,2.01434e-11,1.6653e-12,4.95395e-11,7.14163e-11,6.01282e-11,2.04451e-11,5.92317e-11,6.96059e-11,7.16348e-11,6.91515e-11,7.0526e-11,7.09924e-11,6.07356e-11,1.983e-11,1.16537e-11,6.9736e-11,6.8658e-11,8.14439e-11,6.10892e-11,8.04037e-11,6.400406e-10,1.099422e-10,2.805215e-10,2.296814e-10
double,min,2.93069e-11,1.3573e-12,-2.283e-13,1.794e-12,5.171e-13,7.506e-13,8.377e-13,5.115e-13,7.57e-13,-7.309e-13,2.652e-13,9.8e-15,1.04323e-11,1.482e-13,4.463e-13,1.2463e-12,2.12717e-11,4.111e-13,8.4119e-12,9.8312e-12,5.862e-13,-8.84e-12,-2.097e-13,4.713e-13,5.504e-13,5.457e-13,2.109e-13,-3.102e-13,9.125e-13,-7.297e-13,4.588e-13,-2.994e-13,3.02592e-11,9.282e-13,6.984e-13,1.523e-13,9.566e-13,-4.045e-13,1.10197e-11,1.15863e-11,8.5258e-12,1.00772e-11,2.0644e-12,1.06366e-11
double,med,2.93069e-11,5.9734e-12,3.90939e-11,6.5623e-12,9.133e-12,5.462e-12,9.7003e-12,4.7809e-12,1.13e-14,-7.309e-13,-2.118e-13,4.8433e-12,1.6417e-12,8.2724e-12,9.1225e-12,8.6066e-12,5.06622e-11,1.967e-13,9.523e-12,1.08627e-11,9.988e-13,7.887e-13,-5.524e-13,1.5927e-12,-5.388e-13,-6.35e-14,1.1411e-12,4.7266e-12,1.0547e-12,2.704e-13,8.606e-13,1.0812e-12,4.677e-13,6.06573e-11,5.9969e-11,3.55871e-11,7.98003e-11,5.96179e-11,4.99646e-11,4.97867e-11,3.8679e-11,4.91377e-11,3.98607e-11,1.298179e-10
