omp_atomicwrite_scalar
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,2.596693e-10,9.1992711e-09,1.40498418e-08,4.7388808e-08,7.36292747e-08,1.185512784e-07,1.570587505e-07,2.309491255e-07,2.722991855e-07,3.344506232e-07,3.646190781e-07,5.406713918e-07,5.63928562e-07,5.655496648e-07,6.454590253e-07,7.373299518e-07,7.910294829e-07,7.829899638e-07,1.0012502927e-06,1.0574089671e-06,1.134760692e-06,1.0216118355e-06,1.1599399934e-06,1.1993994711e-06,1.0473306271e-06,1.2351002431e-06,1.2318002869e-06,1.5083493587e-06,1.5565287492e-06,1.7280401506e-06,1.5790192914e-06,1.6301906058e-06,1.7664607434e-06,1.8754585844e-06,1.9013981332e-06,1.9508285233e-06,2.0458315157e-06,2.2214188278e-06,2.1912499136e-06,2.3179501602e-06,2.3070493556e-06,2.8903906665e-06,2.4541004388e-06,2.4678211139e-06
int,min,2.596693e-10,8.8210262e-09,7.1094434e-09,4.1520784e-08,3.99807898e-08,1.001290701e-07,9.86110875e-08,1.985193663e-07,1.971894891e-07,2.687897948e-07,2.674200211e-07,4.821305304e-07,4.650002672e-07,4.556078586e-07,5.069803119e-07,6.002300824e-07,6.170291057e-07,6.36660049e-07,8.031383144e-07,8.679697849e-07,9.497288423e-07,8.349698599e-07,9.474104317e-07,9.6404922e-07,7.942604453e-07,8.843911101e-07,8.809715445e-07,9.179503571e-07,1.0001617462e-06,9.99160239e-07,9.695101659e-07,8.873600714e-07,9.305007759e-07,9.707797464e-07,1.0307602396e-06,8.746904469e-07,9.33819688e-07,1.0093903371e-06,1.3318017126e-06,2.1351605946e-06,2.1027794012e-06,2.7687495665e-06,2.1930288072e-06,2.1489811128e-06
int,med,2.596693e-10,9.0106888e-09,1.39091335e-08,4.45660244e-08,6.48389264e-08,1.101951704e-07,1.349181671e-07,2.166262652e-07,2.712389941e-07,3.042652872e-07,3.620691107e-07,4.939401599e-07,4.939620464e-07,5.121554487e-07,6.278695201e-07,6.716561625e-07,7.657108131e-07,7.095954201e-07,9.90538492e-07,9.149901381e-07,1.0998699753e-06,9.25789239e-07,1.1239904222e-06,1.1053099631e-06,9.662093723e-07,1.1365661143e-06,1.1527290678e-06,1.3650095709e-06,1.4153600888e-06,1.5970859514e-06,1.5343709348e-06,1.5351406893e-06,1.6569795497e-06,1.7852254694e-06,1.8552288638e-06,1.8607936427e-06,1.9931604872e-06,2.1415545493e-06,2.1853109068e-06,2.2605050431e-06,2.2086916418e-06,2.8613855044e-06,2.3291592084e-06,2.3665698029e-06
int,avg,2.596693e-10,9.0106888e-09,1.10867207e-08,4.45178605e-08,5.99997375e-08,1.097500452e-07,1.270072524e-07,2.16078313e-07,2.40150697e-07,3.039242236e-07,3.216838468e-07,5.117003958e-07,5.178700027e-07,5.135158448e-07,5.796879224e-07,6.71796909e-07,7.104552618e-07,7.142761399e-07,9.101698993e-07,9.709851e-07,1.0521103282e-06,9.362812909e-07,1.0641291848e-06,1.0929336546e-06,9.425243781e-07,1.1055575794e-06,1.1069550125e-06,1.3503536408e-06,1.4080115995e-06,1.5764521353e-06,1.4268218854e-06,1.4755282691e-06,1.6262614704e-06,1.7350296186e-06,1.7684459592e-06,1.8306838607e-06,1.9221548208e-06,2.1231257786e-06,2.0990324794e-06,2.25733678e-06,2.2360958103e-06,2.8468986847e-06,2.342542694e-06,2.3337736929e-06
ull,max,2.794568e-10,1.00906683e-08,1.79898688e-08,4.70118452e-08,7.1938835e-08,1.424683536e-07,1.502410414e-07,2.258995686e-07,2.906507826e-07,3.322708662e-07,4.466418045e-07,4.786091583e-07,5.048593312e-07,6.014299055e-07,6.638105621e-07,7.976483426e-07,7.858203142e-07,9.908493419e-07,1.0500501514e-06,1.1314085324e-06,1.1138402792e-06,1.1558915633e-06,1.202710372e-06,1.2670107417e-06,1.228551512e-06,1.3524292477e-06,1.1812396004e-06,1.5065902544e-06,1.5017612918e-06,1.661138116e-06,1.5854890887e-06,1.8644394524e-06,2.0184595793e-06,2.1263881145e-06,2.0520893799e-06,2.1926497623e-06,2.1751912045e-06,2.2251883e-06,2.3674298572e-06,2.3573610977e-06,2.4508101714e-06,2.4225104292e-06,2.5178714149e-06,2.591709209e-06
ull,min,2.794568e-10,1.00607454e-08,1.08298595e-08,3.52000729e-08,4.09104527e-08,1.149996396e-07,1.033688905e-07,1.700298985e-07,2.204997641e-07,2.619915117e-07,3.419703967e-07,3.831796936e-07,3.868999786e-07,4.866211816e-07,5.187711876e-07,6.483115646e-07,6.158088445e-07,8.287514809e-07,8.444300899e-07,9.729401509e-07,9.102207333e-07,9.133497786e-07,9.77818934e-07,9.627608888e-07,9.686908107e-07,1.0058191725e-06,8.693313205e-07,9.031900699e-07,9.049512061e-07,9.743093951e-07,1.0220385652e-06,9.45320921e-07,1.0100006363e-06,1.0747702966e-06,1.0301490875e-06,1.03451041e-06,1.0154508368e-06,9.523492239e-07,2.2354695251e-06,2.2107794089e-06,2.2386486786e-06,2.2099295764e-06,2.2499886479e-06,2.2410707228e-06
ull,med,2.794568e-10,1.00760168e-08,1.78706595e-08,4.1809946e-08,7.08220415e-08,1.292451749e-07,1.481103078e-07,1.932993201e-07,2.851809691e-07,2.992400214e-07,4.329811287e-07,4.301050528e-07,4.918386618e-07,5.476401759e-07,6.505300581e-07,7.292603233e-07,7.72619335e-07,9.138501298e-07,9.826104012e-07,1.0219911381e-06,9.673894295e-07,9.959455183e-07,1.0627595805e-06,1.115689085e-06,1.1644791789e-06,1.2580492823e-06,1.1335688638e-06,1.361460379e-06,1.3593291551e-06,1.5365838976e-06,1.5560603e-06,1.73330493e-06,1.9194014281e-06,2.0312352596e-06,1.9393104185e-06,2.0964801514e-06,2.0717608398e-06,2.1442464152e-06,2.264860242e-06,2.2985091608e-06,2.3548901685e-06,2.3248354639e-06,2.3978007161e-06,2.5060941822e-06
ull,avg,2.794568e-10,1.00760168e-08,1.55634128e-08,4.15050879e-08,5.93618335e-08,1.293624843e-07,1.298679673e-07,1.957074999e-07,2.589321766e-07,2.990173822e-07,3.97160466e-07,4.316617218e-07,4.515628148e-07,5.463904935e-07,5.953839149e-07,7.274009292e-07,7.052392405e-07,9.134255388e-07,9.580528362e-07,1.0553024611e-06,1.0167514905e-06,1.0429145542e-06,1.100616281e-06,1.1381275419e-06,1.1291575725e-06,1.2226276763e-06,1.0728247733e-06,1.3449436361e-06,1.3433476503e-06,1.514673487e-06,1.4514140753e-06,1.7174128914e-06,1.9027171983e-06,2.0111075848e-06,1.9389920376e-06,2.1041356251e-06,2.0866021335e-06,2.1291984716e-06,2.3088146373e-06,2.2986495538e-06,2.3797418723e-06,2.3496897202e-06,2.4075752047e-06,2.4596491253e-06
float,max,2.800285e-10,9.169213e-09,1.75111592e-08,5.38497864e-08,6.53206389e-08,1.452105508e-07,1.623999007e-07,2.259505032e-07,2.362601321e-07,3.48669968e-07,3.707806233e-07,5.00639248e-07,5.613392857e-07,5.604493723e-07,7.277013112e-07,8.404302083e-07,8.347506271e-07,9.081087549e-07,1.0623089931e-06,1.0402903438e-06,1.1035381177e-06,1.02921036e-06,1.2323697212e-06,1.2468087581e-06,1.0617897281e-06,1.3434918011e-06,1.2995591171e-06,1.521750363e-06,1.4108481825e-06,1.5795413788e-06,1.6658904993e-06,1.6922105539e-06,1.438491981e-06,1.8791214844e-06,1.9785312453e-06,1.6686800352e-06,2.2120289755e-06,2.1591387733e-06,2.4087196088e-06,2.2199899174e-06,2.425840127e-06,2.4428600809e-06,2.5012985312e-06,2.1766394998e-06
float,min,2.800285e-10,9.0688968e-09,5.3401212e-09,4.13678795e-08,3.85497272e-08,1.152899146e-07,1.100790388e-07,1.73809671e-07,1.568588696e-07,2.776494218e-07,2.805493887e-07,4.167410966e-07,4.774908817e-07,4.599897151e-07,6.224694284e-07,6.941888733e-07,6.655194478e-07,7.717910054e-07,8.918499739e-07,8.826812253e-07,8.922290891e-07,7.901503926e-07,1.0046405595e-06,9.942401637e-07,8.294691524e-07,9.044213766e-07,9.434197049e-07,9.291006728e-07,8.742092461e-07,9.513195758e-07,9.808503398e-07,9.239000359e-07,7.866815733e-07,1.0044704732e-06,1.1029989629e-06,7.770088371e-07,1.0313187564e-06,1.0220213585e-06,2.2808698875e-06,2.1186097139e-06,2.2233197365e-06,2.2196993669e-06,2.2607118657e-06,1.8143494891e-06
