omp_criticaladd_scalar_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,1.54594476e-08,7.07299098e-08,2.111419783e-07,2.505301099e-07,5.371596329e-07,6.908689859e-07,8.159600693e-07,1.1572086566e-06,1.3403899809e-06,1.5806496988e-06,1.8559597551e-06,1.7804814893e-06,2.3492992857e-06,1.4329415044e-06,2.653760316e-06,2.8196496478e-06,2.2964813701e-06,2.6116099507e-06,4.3913620509e-06,2.0621686954e-06,4.7649804868e-06,5.1048403604e-06,5.4031317099e-06,5.4298198697e-06,5.4842499619e-06,4.112560649e-06,6.4041989127e-06,2.9187084187e-06,7.0765318573e-06,4.5714808212e-06,5.7243597603e-06,4.9062512148e-06,4.1927901964e-06,3.2085393953e-06,6.6223902716e-06,6.6284092656e-06,6.7992589326e-06,7.366179991e-06,7.5526800278e-06,8.6151479605e-06,2.97692415182e-05,2.97597797473e-05,3.24109890071e-05,3.17555789218e-05
int,min,1.54594476e-08,5.44812204e-08,1.447996245e-07,2.559896481e-07,2.804491171e-07,3.987211938e-07,6.628006404e-07,1.0157402823e-06,1.3194313074e-06,1.3861980013e-06,1.6218689581e-06,1.58611009e-06,1.9799593727e-06,4.237001778e-07,2.0954011127e-06,2.2157301505e-06,1.4277793489e-06,1.0406399493e-06,4.1232198022e-06,1.4327007312e-06,4.4438908159e-06,4.489288483e-06,4.7304003717e-06,3.8741496687e-06,3.7711482747e-06,1.6680989351e-06,4.8805998506e-06,2.709009589e-07,5.6625400516e-06,1.5398387193e-06,3.7341894791e-06,1.6174011633e-06,-9.02120425e-08,-4.3011618e-09,3.0549716768e-06,3.2161683365e-06,3.071617845e-06,-8.7511006e-08,4.9077989484e-06,5.3962815817e-06,2.25282884483e-05,2.43208706789e-05,2.647372936e-05,2.46683104878e-05
int,med,1.54594476e-08,6.26055651e-08,1.970295193e-07,2.01539613e-07,5.344694426e-07,5.943390572e-07,8.161293143e-07,1.0687497597e-06,1.2500501447e-06,1.4869559863e-06,1.7030906732e-06,1.6862418531e-06,2.1191012796e-06,1.0262947791e-06,2.1602802151e-06,2.5406496485e-06,1.6692797945e-06,2.1880247742e-06,4.0615499913e-06,1.6712750364e-06,5.0050910286e-06,4.7625353616e-06,5.0038218332e-06,4.6763846007e-06,4.6668118529e-06,3.1318058086e-06,5.6045905246e-06,1.4717558645e-06,6.4009515775e-06,3.5134545456e-06,4.5365209937e-06,3.5655200749e-06,3.1722799997e-06,1.7386440902e-06,5.020351104e-06,5.2670343393e-06,5.1889586816e-06,6.0885835865e-06,5.7327513075e-06,6.7443946253e-06,2.75023305698e-05,2.75545783661e-05,3.20089296992e-05,3.02450639066e-05
int,avg,1.54594476e-08,6.26055651e-08,1.843237074e-07,2.282102071e-07,4.522674662e-07,5.623261972e-07,7.375000865e-07,1.0801589148e-06,1.3057977222e-06,1.4528160193e-06,1.7430250261e-06,1.7066118896e-06,2.2067439345e-06,9.494081477e-07,2.3196123787e-06,2.5703034063e-06,1.7706864817e-06,1.9319067458e-06,4.1553579788e-06,1.6932976026e-06,4.6214425066e-06,4.8233396737e-06,5.0868662975e-06,4.7172254603e-06,4.8062161383e-06,3.205542332e-06,5.4974603407e-06,1.6823652129e-06,6.4415311179e-06,3.5191663554e-06,4.7379784416e-06,3.490153073e-06,2.718392284e-06,1.7985903875e-06,5.4771837527e-06,5.4703193681e-06,5.6410840119e-06,6.2639982906e-06,6.1936307779e-06,7.2155491913e-06,2.68083553079e-05,2.75264932652e-05,3.13129433024e-05,2.92397752726e-05
ull,max,1.6329727e-08,9.162957e-08,2.567788152e-07,4.683283128e-07,4.974998193e-07,4.817207445e-07,6.60311006e-07,1.140661512e-06,1.2091306265e-06,1.6059291034e-06,1.7875309567e-06,1.9564189606e-06,7.101517027e-07,2.588840302e-06,2.6238793964e-06,2.8094911659e-06,1.6317596425e-06,2.695020473e-06,3.9394000523e-06,4.0731380757e-06,4.084979366e-06,2.2987699609e-06,5.3526406509e-06,5.5863981635e-06,5.2789502756e-06,5.0025181815e-06,2.0904385817e-06,3.0467797264e-06,3.5324197104e-06,2.9864080052e-06,6.3282484338e-06,4.1755296844e-06,2.6360490776e-06,7.7745682449e-06,6.5846003354e-06,6.1029300983e-06,9.3436484018e-06,7.0254990459e-06,6.7893413232e-06,6.9392601959e-06,3.11187912442e-05,3.13797009894e-05,3.23706896066e-05,3.21065104565e-05
ull,min,1.6329727e-08,7.54985033e-08,1.582099821e-07,3.985110321e-07,9.21293088e-08,6.61090141e-08,1.1292412547e-06,1.3544703656e-06,8.883105487e-07,-1.095109355e-07,1.5822006148e-06,2.0848198582e-06,7.90699747e-08,1.9711392577e-06,2.047299413e-06,2.3248798007e-06,1.1551381721e-06,1.8795902815e-06,2.5207695955e-06,1.428201116e-06,3.0625705933e-06,4.15692267e-08,4.3827107777e-06,1.4349703941e-06,4.7824198901e-06,3.0569395525e-06,2.349195279e-07,1.2012906548e-06,1.1003988956e-06,7.081984949e-07,4.2529300198e-06,7.934189403e-07,-6.680903424e-07,5.8991284947e-06,3.8173499007e-06,1.12567866e-06,5.1812307335e-06,5.0181101952e-06,5.2491385497e-06,3.4430996155e-06,2.48737401427e-05,2.48392315622e-05,2.81037091226e-05,2.57456592348e-05
ull,med,1.6329727e-08,8.36238084e-08,2.510591534e-07,4.3253567e-07,4.002920079e-07,3.469763688e-07,5.755795921e-07,1.0912808646e-06,9.427884685e-07,1.6562435409e-06,1.4624108955e-06,1.996155074e-06,1.064400916e-07,2.356579614e-06,2.4009402963e-06,2.4741453889e-06,9.391896504e-07,1.7136803362e-06,3.6083506236e-06,3.6496049668e-06,3.4985512209e-06,1.6944205862e-06,5.0735392786e-06,5.3841099226e-06,5.2368498596e-06,4.1702049789e-06,8.552601231e-07,1.8856446581e-06,2.3088506595e-06,1.8535513035e-06,5.0479811481e-06,3.038255644e-06,1.3268901151e-06,6.6446146373e-06,5.0747388141e-06,4.9714302128e-06,8.0443398032e-06,5.4936347932e-06,5.2373302831e-06,4.3415161585e-06,3.01722003514e-05,2.95872096169e-05,3.16531984096e-05,3.11136942998e-05
ull,avg,1.6329727e-08,8.36238084e-08,2.223893193e-07,4.291054227e-07,3.756318382e-07,3.480501243e-07,6.970320097e-07,1.1867843642e-06,1.0162786725e-06,1.3612666495e-06,1.601078541e-06,1.9944413829e-06,2.658366497e-07,2.3592234898e-06,2.3536915058e-06,2.4935518025e-06,1.1924132062e-06,2.0192718423e-06,3.6035749243e-06,3.4537546985e-06,3.684155399e-06,1.5349629864e-06,5.0777318897e-06,4.8986882827e-06,4.9888692067e-06,4.2732432761e-06,9.352335746e-07,2.1106901277e-06,2.3523477264e-06,1.7217514909e-06,5.5196369609e-06,2.8709214071e-06,1.1283300486e-06,6.8179881043e-06,5.5674332769e-06,4.5994592482e-06,8.3459936536e-06,5.7920138457e-06,5.6960832671e-06,5.0569638896e-06,2.92920870199e-05,2.84757051307e-05,3.1485416867e-05,3.03725016125e-05
float,max,1.57100346e-08,1.466315768e-07,2.67528456e-07,3.675715625e-07,5.523193697e-07,7.061891908e-07,9.412497839e-07,4.480309566e-07,1.2208311612e-06,1.340280421e-06,6.756980217e-07,2.0087099005e-06,2.4021693327e-06,2.2585290239e-06,2.4755201544e-06,3.3146591153e-06,2.541200798e-06,3.7540995673e-06,4.2994586246e-06,1.7988403279e-06,4.3721005791e-06,4.8484991461e-06,5.3567906693e-06,5.5445589439e-06,5.4660590469e-06,5.5233988362e-06,6.0536701341e-06,5.9071803783e-06,5.2652091957e-06,7.1434309819e-06,6.7678612503e-06,7.0784207256e-06,6.2899297746e-06,6.7752516048e-06,6.0662686075e-06,5.7948199092e-06,9.0877215489e-06,6.6213900793e-06,7.8972610384e-06,9.7669912799e-06,3.32968487987e-05,3.32700302818e-05,3.44198800032e-05,3.11097396414e-05
float,min,1.57100346e-08,1.472300075e-07,1.262886264e-07,3.82780383e-07,3.917497084e-07,5.409706699e-07,7.310489577e-07,6.21786078e-08,1.0769808672e-06,-2.740614499e-07,3.345396005e-07,1.6658011246e-06,2.0540897569e-06,1.8028300525e-06,1.8011696561e-06,2.5990998544e-06,6.924699536e-07,3.2697617606e-06,3.7153396111e-06,4.842401801e-07,3.5021001649e-06,4.7939813594e-06,4.8094605376e-06,4.9386395326e-06,1.2613083676e-06,4.0712692125e-06,4.4532400723e-06,2.0856999646e-06,3.9549623244e-06,5.281409816e-06,5.7407397052e-06,4.4011517473e-06,1.6176403465e-06,4.0652716521e-06,1.3973312257e-06,3.853590776e-07,5.6406617358e-06,7.556985854e-07,5.0903511696e-06,7.1977417844e-06,2.63081502014e-05,2.694224992e-05,2.70644492622e-05,2.50439106389e-05
