omp_flush_array_close
n iter,1000
arr step,1
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,7.9591542e-09,7.81584613e-08,1.563111386e-07,3.786490958e-07,4.649916794e-07,6.620198106e-07,7.002503114e-07,8.300395847e-07,8.887700801e-07,1.0172612428e-06,1.0503292921e-06,1.2168200893e-06,1.4531295451e-06,1.5764116115e-06,1.5324209666e-06,1.7036014635e-06,1.8562318828e-06,1.9860411984e-06,2.0397786345e-06,1.9532599197e-06,2.0825391309e-06,2.0449487723e-06,2.0424517024e-06,1.9033414665e-06,1.7241203151e-06,1.7509010893e-06,1.518910562e-06,1.5204100612e-06,1.6521405653e-06,1.4762407027e-06,1.6575394576e-06,1.6254401195e-06,1.8401186716e-06,1.6544982834e-06,1.5846997244e-06,1.64372048e-06,1.8199103357e-06,1.8362300618e-06,1.677100085e-06,1.4355309789e-06,1.7843212268e-06,1.6509794543e-06,1.3760993837e-06,1.2549302122e-06
int,min,7.9591542e-09,7.79583917e-08,1.541095354e-07,3.522293604e-07,3.905186798e-07,6.448404918e-07,6.320695326e-07,8.383701012e-07,5.055116985e-07,4.240718108e-07,7.987594304e-07,1.2133298418e-06,1.4483594374e-06,1.427162141e-06,1.0592581322e-06,1.2055279399e-06,1.3064697635e-06,1.3243693005e-06,5.862095189e-07,7.921400027e-07,1.0880500797e-06,1.1770987308e-06,1.5521596782e-06,1.4995507999e-06,1.5989180612e-06,1.7411507779e-06,1.0271493805e-06,9.230992436e-07,1.5990581844e-06,1.7943685841e-06,1.0894105147e-06,1.1389908119e-06,1.4221093462e-06,1.100178905e-06,9.263803676e-07,8.766108357e-07,1.4092401451e-06,1.3920000958e-06,1.5095813586e-06,1.1607494955e-06,7.062711649e-07,1.1868791884e-06,7.795493915e-07,9.168902048e-07
int,med,7.9591542e-09,7.80680643e-08,1.56239613e-07,3.649156167e-07,4.659401221e-07,6.598951768e-07,7.000503471e-07,8.410247207e-07,8.590891866e-07,1.0002202749e-06,1.0478196893e-06,1.2302159811e-06,1.4146398978e-06,1.5793401205e-06,1.4949613712e-06,1.5356408881e-06,1.8222916505e-06,2.0075551252e-06,1.6680404126e-06,1.6437751289e-06,1.8333005547e-06,1.8709157439e-06,1.6339796667e-06,1.7045496416e-06,1.4039095651e-06,1.35791418e-06,1.5570682945e-06,1.5674151594e-06,1.5922998862e-06,1.5130704127e-06,1.6300091969e-06,1.5815503721e-06,1.8307512056e-06,1.6228941782e-06,1.4913783026e-06,1.6529830491e-06,1.7798398871e-06,1.7989489237e-06,1.6575288481e-06,1.3653004653e-06,1.5693003622e-06,1.5447804572e-06,1.289439326e-06,1.2083061199e-06
int,avg,7.9591542e-09,7.80680643e-08,1.555343438e-07,3.653452504e-07,4.383939418e-07,6.575651679e-07,6.753984579e-07,8.373346906e-07,8.321213614e-07,9.223038448e-07,1.008578628e-06,1.2207974924e-06,1.4426678226e-06,1.5371203541e-06,1.3624825522e-06,1.5259454128e-06,1.6193173019e-06,1.7786406576e-06,1.7478357701e-06,1.6896850571e-06,1.7862514462e-06,1.7738181655e-06,1.7655281894e-06,1.7294352875e-06,1.5562947296e-06,1.6163072825e-06,1.4248621388e-06,1.4499540604e-06,1.6237541703e-06,1.539861818e-06,1.490310993e-06,1.4345957433e-06,1.6751068958e-06,1.5629778935e-06,1.4044907924e-06,1.497452166e-06,1.6365958193e-06,1.627116754e-06,1.5305986703e-06,1.3460304364e-06,1.5367415173e-06,1.4183822228e-06,1.1899146602e-06,1.1344740139e-06
ull,max,8.049057e-09,6.18599557e-08,2.151106046e-07,4.655699998e-07,4.822904832e-07,5.642703232e-07,6.179682159e-07,7.800192195e-07,8.63460302e-07,9.35849848e-07,1.0692322484e-06,1.1002104106e-06,1.1519707381e-06,1.17257106e-06,1.3134210323e-06,1.1579504546e-06,1.2866709221e-06,1.4054397209e-06,1.4005203691e-06,1.3898888327e-06,1.4310612172e-06,1.5038013409e-06,1.4373196832e-06,1.355571292e-06,1.5455480365e-06,1.3346699944e-06,1.4168506653e-06,1.3003212057e-06,1.2799712776e-06,9.460909744e-07,1.0022805618e-06,1.3467097781e-06,1.0582412787e-06,1.0137184549e-06,1.2573416237e-06,1.357608672e-06,1.0494188177e-06,1.2594413681e-06,1.2987611935e-06,1.0206895438e-06,9.130313249e-07,1.1633791115e-06,9.919401709e-07,9.021905707e-07
ull,min,8.049057e-09,6.00389011e-08,1.613991957e-07,4.370796919e-07,3.591092987e-07,5.206304262e-07,5.512010756e-07,5.311686415e-07,4.222902689e-07,4.184706964e-07,4.294913834e-07,6.922691637e-07,7.539998994e-07,9.369999567e-07,9.763491646e-07,4.868997609e-07,2.712004469e-07,4.768803607e-07,8.001896635e-07,6.619496179e-07,5.905097552e-07,4.583092097e-07,5.735800348e-07,5.524286803e-07,6.562112332e-07,2.461406557e-07,5.689584937e-07,8.022784348e-07,6.588298912e-07,1.1661916763e-06,9.853890472e-07,7.509102255e-07,7.028801387e-07,7.232895651e-07,7.48771749e-07,5.030587929e-07,6.965603378e-07,5.341596463e-07,8.973499182e-07,8.389678331e-07,5.72418775e-07,4.660003865e-07,5.185590485e-07,3.529220016e-07
ull,med,8.049057e-09,6.094466e-08,2.150896101e-07,4.571605133e-07,4.589199481e-07,5.450297247e-07,6.626090964e-07,7.83429617e-07,8.355093539e-07,7.581599512e-07,1.0797989839e-06,9.349385896e-07,1.079309048e-06,1.1462000443e-06,1.3355605815e-06,1.1349866422e-06,1.2275102354e-06,1.4023240786e-06,1.3757696439e-06,1.4200243002e-06,1.4111393739e-06,1.4732649549e-06,1.4228709641e-06,1.3005247015e-06,1.4833384856e-06,1.4712198374e-06,1.2889821115e-06,1.3114303323e-06,1.4238204195e-06,8.211003802e-07,9.313410345e-07,1.0846608449e-06,9.967083159e-07,8.128404852e-07,9.815600307e-07,1.2858601938e-06,1.1004805688e-06,1.1879039758e-06,1.1181605943e-06,1.170189652e-06,8.334393837e-07,1.1054497137e-06,9.391405022e-07,9.043008991e-07
ull,avg,8.049057e-09,6.094466e-08,1.972937386e-07,4.542656315e-07,4.4728952e-07,5.453964741e-07,6.099124873e-07,7.191373716e-07,7.456721224e-07,7.623449059e-07,9.173982063e-07,9.624258278e-07,1.0475461871e-06,1.1361342787e-06,1.2702382834e-06,9.70898296e-07,1.0912973718e-06,1.1843902279e-06,1.1835276217e-06,1.2297208312e-06,1.2113621131e-06,1.2148128181e-06,1.1140680726e-06,1.0742789393e-06,1.2350194824e-06,1.1154798176e-06,1.1969126513e-06,1.1542463393e-06,1.0530938784e-06,1.013080442e-06,9.626505373e-07,1.1459526207e-06,1.0054198452e-06,8.879931553e-07,1.0301925956e-06,1.1980643895e-06,1.082443385e-06,1.1085663328e-06,1.1332704571e-06,1.0574662116e-06,8.091317117e-07,1.0254317487e-06,9.196848565e-07,7.609323885e-07
float,max,6.8504175e-09,3.71391621e-08,1.480694734e-07,2.574914302e-07,4.236201802e-07,4.784102867e-07,5.415604221e-07,6.546896327e-07,7.703301341e-07,8.28969709e-07,1.0993305098e-06,1.1711017838e-06,1.2327798486e-06,1.5416897371e-06,1.5034106293e-06,1.6179289203e-06,1.7497209158e-06,1.7672607654e-06,1.8391305266e-06,1.9881910193e-06,1.9279296167e-06,1.9176003635e-06,1.6271687904e-06,1.6758210065e-06,1.6129097421e-06,1.5249716898e-06,1.317090361e-06,1.2594884415e-06,1.3293798689e-06,1.1850195718e-06,1.4404399939e-06,1.4727904607e-06,1.3146601797e-06,1.2291193837e-06,1.5245684607e-06,1.4530602327e-06,1.4766486221e-06,1.4379114139e-06,1.4856197818e-06,1.3933582027e-06,1.3328809438e-06,1.6256907104e-06,1.302900193e-06,1.1168701534e-06
float,min,6.8504175e-09,3.46996928e-08,1.149402965e-07,2.221795523e-07,3.476390265e-07,4.265695065e-07,4.18939854e-07,6.08871324e-07,4.986882947e-07,1.500094835e-07,9.175903987e-07,1.2312499664e-06,1.2166085115e-06,1.3987398987e-06,1.1416392282e-06,1.2541099831e-06,1.4614005264e-06,1.3698483505e-06,9.63850631e-07,9.293006612e-07,1.3550992537e-06,1.3583289476e-06,1.596859482e-06,1.6853781136e-06,1.3075093222e-06,1.3471288145e-06,1.5660104895e-06,8.49109268e-07,1.4412001068e-06,1.3482485829e-06,5.021085387e-07,6.961495667e-07,1.0494701329e-06,6.497498734e-07,8.221599368e-07,8.767309183e-07,1.3009004343e-06,1.2021206029e-06,1.4046695677e-06,1.2342619144e-06,6.147996759e-07,9.445199545e-07,1.1425110878e-06,1.0570019492e-06
