omp_flush_array_spread
n iter,1000
arr step,4
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,7.9689598e-09,8.92806422e-08,1.272486082e-07,2.803801576e-07,1.570096721e-07,1.955291338e-07,3.10068598e-07,2.842008403e-07,4.354998055e-07,2.772713289e-07,3.282681941e-07,3.672203539e-07,3.448109705e-07,3.061583493e-07,4.568212131e-07,3.62340612e-07,3.285201714e-07,3.696904002e-07,3.474804893e-07,2.826284113e-07,2.895495119e-07,2.829201872e-07,5.861302765e-07,5.686296712e-07,5.719710545e-07,6.419196982e-07,6.921488326e-07,7.206908089e-07,8.429577858e-07,8.55519929e-07,7.943600984e-07,8.39220287e-07,8.579182298e-07,8.23799267e-07,7.209900073e-07,8.633002333e-07,8.053798746e-07,8.384800299e-07,8.075690672e-07,8.743683534e-07,9.081485684e-07,8.86939075e-07,7.715312891e-07,6.80359935e-07
int,min,7.9689598e-09,8.91409921e-08,1.275297742e-07,1.133199829e-07,1.278318002e-07,1.488008118e-07,1.93061468e-07,1.378586745e-07,2.374005069e-07,1.189606374e-07,1.371000894e-07,7.00588921e-08,7.81699306e-08,1.163104791e-07,1.305406146e-07,9.45796643e-08,8.61505481e-08,2.370518387e-07,1.205209428e-07,1.866104475e-07,1.72040161e-07,2.595008899e-07,2.127696585e-07,2.169818382e-07,2.862496906e-07,3.429495732e-07,3.150099374e-07,2.534501659e-07,1.597592606e-07,3.892297856e-07,3.718413998e-07,2.687891975e-07,2.238700711e-07,3.38110359e-07,2.729718231e-07,2.57981687e-07,1.563289267e-07,3.626502094e-07,2.555901181e-07,2.268791655e-07,1.270496683e-07,2.313286494e-07,3.365301991e-07,3.06649967e-07
int,med,7.9689598e-09,8.92150771e-08,1.265500418e-07,2.718666827e-07,1.452903415e-07,1.888851368e-07,2.776780801e-07,2.685447936e-07,3.595615671e-07,2.714158606e-07,3.375699948e-07,3.443393228e-07,2.96111089e-07,2.301643533e-07,1.997104721e-07,2.905754276e-07,3.018899141e-07,2.515593072e-07,2.912300079e-07,2.394658662e-07,2.412113661e-07,2.63215109e-07,3.766005084e-07,4.264149672e-07,5.444095587e-07,4.875594415e-07,6.479787698e-07,5.657843192e-07,6.87588172e-07,5.391201204e-07,6.846694693e-07,5.736999476e-07,7.100591798e-07,6.342806153e-07,5.213302776e-07,7.376197169e-07,6.770798338e-07,6.744055673e-07,7.132408157e-07,6.088163694e-07,7.410899596e-07,6.332185984e-07,5.573902921e-07,5.658697012e-07
int,avg,7.9689598e-09,8.92150771e-08,1.270765809e-07,2.349176499e-07,1.462422269e-07,1.796603635e-07,2.702828585e-07,2.453944075e-07,3.420243954e-07,2.328679201e-07,2.514949031e-07,2.791918793e-07,2.529441341e-07,2.234553835e-07,2.956165015e-07,2.785392442e-07,2.659017968e-07,2.732856997e-07,2.37227833e-07,2.544863655e-07,2.481076464e-07,2.674499648e-07,4.185048925e-07,4.281067309e-07,5.007844029e-07,4.918987441e-07,6.058365605e-07,5.200985047e-07,6.500266722e-07,5.67656808e-07,6.474186302e-07,5.959205925e-07,6.695048496e-07,6.242383576e-07,5.113719214e-07,7.047689999e-07,6.169458021e-07,6.488196843e-07,6.828074912e-07,5.724849642e-07,6.559487662e-07,6.741419218e-07,5.465616564e-07,5.815229031e-07
ull,max,8.0689305e-09,6.33597278e-08,6.88102982e-08,1.351502153e-07,1.981996338e-07,1.340106757e-07,1.485782899e-07,1.618512242e-07,1.408302394e-07,2.342401723e-07,1.432403085e-07,1.963193808e-07,1.68300714e-07,1.529319301e-07,1.7449091e-07,1.792407884e-07,1.821015671e-07,1.713194221e-07,1.651887372e-07,1.64541261e-07,2.155490997e-07,2.58719016e-07,3.566097075e-07,4.795899654e-07,4.222493906e-07,4.973509805e-07,4.975407228e-07,6.337608278e-07,4.737509804e-07,7.075803568e-07,4.591695576e-07,4.762505301e-07,4.430005052e-07,4.831002545e-07,4.901290134e-07,6.365013042e-07,5.129496135e-07,5.798706876e-07,4.802992754e-07,4.881707558e-07,5.111601233e-07,5.41099346e-07,5.630298567e-07,6.758182349e-07
ull,min,8.0689305e-09,6.17198712e-08,5.93986618e-08,8.92481764e-08,7.82209912e-08,8.79605664e-08,8.30607965e-08,1.085384055e-07,8.86285684e-08,1.233490128e-07,6.47000893e-08,1.539415247e-07,1.066009888e-07,9.6069969e-08,1.201597937e-07,1.263205948e-07,8.02409409e-08,1.002288785e-07,9.36301682e-08,1.243787535e-07,8.44103358e-08,1.232911337e-07,9.29901709e-08,6.78799834e-08,1.842489856e-07,8.47603174e-08,6.35979231e-08,5.66292323e-08,7.95212398e-08,7.35892162e-08,7.19600771e-08,6.96216699e-08,6.43706982e-08,6.49195126e-08,1.154896774e-07,1.175381111e-07,7.19501062e-08,1.024904755e-07,5.30697971e-08,7.03394264e-08,7.87599844e-08,7.34195859e-08,9.27999245e-08,8.78089285e-08
ull,med,8.0689305e-09,6.25397995e-08,6.56612489e-08,1.285616889e-07,1.764086389e-07,1.316745849e-07,1.311792848e-07,1.441054443e-07,1.209718109e-07,2.160505766e-07,1.372805673e-07,1.672344728e-07,1.443497565e-07,1.451937572e-07,1.500400655e-07,1.497885771e-07,1.482104181e-07,1.491989387e-07,1.343815437e-07,1.388684375e-07,1.663096036e-07,1.865638172e-07,2.201984929e-07,1.833450018e-07,3.157008231e-07,3.684441945e-07,3.328301003e-07,3.267254358e-07,3.625986998e-07,4.048303192e-07,2.770187224e-07,3.044255697e-07,3.288395081e-07,3.222904747e-07,3.377612744e-07,4.161847996e-07,3.452994331e-07,4.271244229e-07,3.380792599e-07,3.073152902e-07,3.342501976e-07,3.703158633e-07,3.215801674e-07,3.978252927e-07
ull,avg,8.0689305e-09,6.25397995e-08,6.45597325e-08,1.203284993e-07,1.639619774e-07,1.220114027e-07,1.229771997e-07,1.42548571e-07,1.270261048e-07,1.94413392e-07,1.185718155e-07,1.760201516e-07,1.501401874e-07,1.385963318e-07,1.461455419e-07,1.562798427e-07,1.418592599e-07,1.473766157e-07,1.397004961e-07,1.462052611e-07,1.616445197e-07,2.014240425e-07,2.116557435e-07,2.484037797e-07,2.999927662e-07,2.9976973e-07,2.937968379e-07,3.415540581e-07,3.374802222e-07,3.766006042e-07,2.877561362e-07,2.943091868e-07,2.941112605e-07,3.024645743e-07,3.408838798e-07,3.919120486e-07,3.2742331e-07,3.803041181e-07,3.267367153e-07,3.039696336e-07,3.251494856e-07,3.733232707e-07,3.129704617e-07,4.002118254e-07
float,max,6.9306212e-09,3.77198997e-08,1.029311089e-07,1.235004932e-07,1.825200423e-07,1.911512469e-07,2.715490234e-07,2.945800121e-07,4.329902026e-07,3.888103867e-07,3.286107135e-07,3.834894887e-07,3.345212711e-07,3.467099571e-07,3.320896869e-07,3.130806171e-07,3.288381129e-07,3.081295338e-07,3.302995111e-07,3.223093918e-07,2.828293347e-07,3.799496149e-07,5.098197273e-07,5.783086765e-07,7.098801627e-07,5.961796452e-07,6.977993619e-07,7.351785149e-07,7.887892726e-07,6.156606766e-07,8.646906998e-07,7.362901357e-07,5.93740058e-07,6.56578264e-07,7.473597153e-07,6.794914122e-07,7.008888467e-07,7.435099591e-07,8.735392953e-07,8.328513002e-07,9.158405922e-07,7.947105353e-07,7.805478098e-07,8.265818257e-07
float,min,6.9306212e-09,3.64991966e-08,1.019602534e-07,1.314311902e-07,1.090014629e-07,1.408388031e-07,1.772801871e-07,1.479394209e-07,2.181911871e-07,2.4632959e-07,1.779090996e-07,8.13814296e-08,2.138295549e-07,1.369114314e-07,1.424981207e-07,1.66679496e-07,6.46602536e-08,9.74193428e-08,1.270213547e-07,1.46810838e-07,1.798903905e-07,2.248808755e-07,2.819900624e-07,2.67319337e-07,7.34303194e-08,2.825304034e-07,3.680910564e-07,2.399906429e-07,1.847408768e-07,1.395915335e-07,2.742005475e-07,2.710711148e-07,2.790989133e-07,2.070903418e-07,3.300305899e-07,3.519400569e-07,2.152694284e-07,3.342996545e-07,4.875593129e-07,8.74988376e-08,2.392907408e-07,2.948789621e-07,2.673206763e-07,3.431786632e-07
