omp_flush_close
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,8.0790277e-09,5.90408769e-08,1.091317401e-07,4.479302249e-07,5.126402367e-07,7.575790588e-07,5.96930493e-07,9.263919899e-07,1.0319101183e-06,1.0773995966e-06,1.1503301128e-06,1.1188881619e-06,1.3199599692e-06,1.4711597957e-06,1.5926794885e-06,1.6795392467e-06,1.9095791565e-06,1.6859512498e-06,1.5668396123e-06,2.1175701302e-06,1.5760519231e-06,1.6579586867e-06,1.7877291945e-06,1.5546508423e-06,1.8919801355e-06,1.4630304439e-06,1.7234800551e-06,1.9314288026e-06,1.7304215895e-06,1.788549077e-06,1.3924587662e-06,1.6366101508e-06,1.8188311905e-06,1.6635207822e-06,1.3927809631e-06,1.3566194565e-06,1.2516097177e-06,1.2959685904e-06,1.1726689476e-06,1.437888186e-06,1.389301245e-06,9.64430444e-07,1.6485293611e-06,1.7431020601e-06
int,min,8.0790277e-09,5.6899481e-08,7.54510077e-08,4.149808578e-07,4.460486876e-07,3.387794586e-07,3.119503821e-07,9.281210312e-07,4.043300589e-07,4.321692323e-07,4.072905299e-07,4.789396893e-07,1.3570198891e-06,1.4277715027e-06,8.091506427e-07,1.5253182841e-06,6.851407257e-07,1.2949119023e-06,9.433691479e-07,1.6738983376e-06,1.6067604753e-06,1.4108217853e-06,1.3331596051e-06,1.4951303857e-06,1.3727906296e-06,1.6608809074e-06,1.6334304178e-06,1.0907206595e-06,4.127313896e-07,1.8081303447e-06,2.0827702753e-06,5.945295851e-07,1.708112084e-06,1.3189904912e-06,3.908493227e-07,1.6417900529e-06,1.39548983e-06,1.4295382378e-06,9.741988751e-07,6.719121671e-07,8.754393425e-07,6.324990414e-07,1.0823203064e-06,1.1194893678e-06
int,med,8.0790277e-09,5.79702121e-08,1.090498119e-07,4.409004531e-07,5.124502885e-07,7.565954487e-07,5.253203677e-07,9.446998808e-07,1.0664693546e-06,1.0535337294e-06,1.1222396358e-06,9.790194816e-07,1.3694599713e-06,1.4933911361e-06,1.6280203629e-06,1.7027743675e-06,1.9665692033e-06,1.3396107491e-06,1.5175798138e-06,1.5322560254e-06,1.6100305464e-06,1.6547517147e-06,1.7508691263e-06,1.6026854768e-06,1.8953515958e-06,1.4287842381e-06,1.6117504021e-06,1.9378303514e-06,1.746170455e-06,1.7862454598e-06,1.4348704254e-06,1.6905555865e-06,1.7503894826e-06,1.6419604762e-06,1.3974412076e-06,1.3398104402e-06,8.822600603e-07,1.2769950446e-06,7.186503441e-07,1.2862339358e-06,1.3118598393e-06,7.224152882e-07,1.6360595351e-06,1.6404939365e-06
int,avg,8.0790277e-09,5.79702121e-08,9.7908274e-08,4.362633276e-07,4.911656327e-07,6.461813433e-07,4.926344671e-07,9.368253776e-07,8.966229621e-07,9.039108743e-07,9.45216423e-07,9.060115718e-07,1.3425406996e-06,1.4758180629e-06,1.4946787382e-06,1.6856214521e-06,1.7472959315e-06,1.4496945717e-06,1.4896653095e-06,1.7973670903e-06,1.5701275296e-06,1.5965899826e-06,1.6830040142e-06,1.5510955542e-06,1.742218221e-06,1.4856726713e-06,1.6142647263e-06,1.6904844582e-06,1.5398287613e-06,1.73353887e-06,1.493369199e-06,1.604596383e-06,1.6154345701e-06,1.4493564401e-06,1.2967804632e-06,1.3761610599e-06,1.015560928e-06,1.2500000658e-06,9.44298339e-07,1.1866866656e-06,1.2750828912e-06,7.112946892e-07,1.6404636354e-06,1.5585138223e-06
ull,max,6.3007431e-09,5.68779721e-08,1.388910968e-07,1.460910936e-07,5.082394266e-07,5.207914374e-07,7.0429086e-07,9.14911127e-07,9.3534839e-07,1.1089102989e-06,1.1380183488e-06,1.1326206982e-06,1.2204615421e-06,1.3315182733e-06,1.3928602235e-06,1.3816397293e-06,1.2490088345e-06,1.4275487198e-06,1.3641501572e-06,1.433700228e-06,1.451139756e-06,1.4239298846e-06,1.31247939e-06,1.405911185e-06,1.3752779683e-06,1.3688410081e-06,1.6087683031e-06,1.2129807385e-06,1.4052786177e-06,1.3487403209e-06,1.1979709532e-06,1.2748495009e-06,1.2656296651e-06,1.0767889441e-06,1.7218479466e-06,1.220509931e-06,1.6405900992e-06,1.0339291359e-06,1.1158393484e-06,1.0532001913e-06,1.0487010728e-06,1.5367097623e-06,1.0679903833e-06,1.5355297008e-06
ull,min,6.3007431e-09,5.47195612e-08,7.21998831e-08,9.05493071e-08,4.325489275e-07,2.958111304e-07,6.368501863e-07,8.548797401e-07,4.066402548e-07,7.332308749e-07,7.801411351e-07,7.789108591e-07,1.0451200539e-06,1.0626604547e-06,1.0102088602e-06,8.593099077e-07,3.902090645e-07,4.074486031e-07,8.109784959e-07,8.752303271e-07,5.602893971e-07,1.2329705537e-06,2.588906732e-07,9.197183569e-07,7.875404222e-07,4.252408284e-07,8.704796548e-07,1.0098392355e-06,1.2937192152e-06,1.1407491515e-06,1.0358492278e-06,9.3979185e-07,7.500403056e-07,5.392689316e-07,9.700409558e-07,9.450814688e-07,1.3403906648e-06,8.056297989e-07,6.455182494e-07,1.2861305774e-06,4.248483147e-07,5.826490643e-07,6.93299164e-07,3.137083516e-07
ull,med,6.3007431e-09,5.5743953e-08,1.389309065e-07,1.20724616e-07,5.059490073e-07,4.976715245e-07,7.031194482e-07,9.120742047e-07,9.286798224e-07,1.1015849093e-06,1.1556188716e-06,9.954003773e-07,1.2422794472e-06,1.2568697044e-06,1.3939593332e-06,1.3732139787e-06,1.2138893825e-06,1.4334946955e-06,1.3269811639e-06,1.2809658039e-06,1.4459114824e-06,1.2447839954e-06,1.2861004823e-06,1.2437695055e-06,1.3156517764e-06,1.2675560944e-06,1.4942097362e-06,1.0525251215e-06,1.3475096954e-06,1.310335377e-06,1.1593514836e-06,1.3192852124e-06,1.1304908588e-06,1.1123198625e-06,1.7447599734e-06,1.0786651816e-06,1.5286788522e-06,9.370001153e-07,1.0156706299e-06,1.0267202422e-06,8.158692184e-07,1.2549548809e-06,1.0383215953e-06,1.4224805732e-06
ull,avg,6.3007431e-09,5.5743953e-08,1.164567032e-07,1.184520067e-07,4.835761341e-07,4.788790519e-07,6.768601543e-07,9.054264715e-07,8.688254394e-07,9.718919181e-07,1.0642067068e-06,1.0010715326e-06,1.1859948353e-06,1.2341266486e-06,1.2710113224e-06,1.2852093376e-06,1.1398196264e-06,1.2292223698e-06,1.2459202625e-06,1.2239058479e-06,1.2066559805e-06,1.2944105395e-06,1.0321697336e-06,1.2288276247e-06,1.269707501e-06,1.1171219779e-06,1.3505057524e-06,1.0939479735e-06,1.391739418e-06,1.2493616578e-06,1.1195863547e-06,1.2524841373e-06,1.1657157047e-06,1.051762464e-06,1.6040952315e-06,1.1223710654e-06,1.5066175455e-06,9.667585758e-07,9.982126312e-07,1.0128809751e-06,9.221880286e-07,1.3416530025e-06,1.0220945226e-06,1.3185116736e-06
float,max,5.3500519e-09,1.59199913e-08,1.263607327e-07,4.206517081e-07,4.724487527e-07,6.309418478e-07,8.617097729e-07,5.789882854e-07,8.86349864e-07,9.434101912e-07,9.392002289e-07,1.2378193217e-06,1.2414896411e-06,1.2308004753e-06,1.4601414038e-06,1.4165080495e-06,1.3658195699e-06,1.4520592328e-06,1.846491985e-06,1.7428095351e-06,1.6462415732e-06,1.7394797333e-06,1.7219104253e-06,1.5642797636e-06,1.8941706197e-06,1.844468271e-06,1.3536711333e-06,1.8488383685e-06,1.6939496257e-06,1.5717310555e-06,1.7097380133e-06,1.2501201187e-06,1.4949103508e-06,1.4723287431e-06,1.4967310379e-06,1.3087595056e-06,1.5180709593e-06,1.0981692494e-06,1.2253591483e-06,1.3626409933e-06,9.974804463e-07,1.2894685724e-06,1.3515014655e-06,1.3822290347e-06
float,min,5.3500519e-09,1.49982379e-08,7.35715613e-08,3.893604677e-07,4.781994112e-07,3.416298735e-07,4.087002345e-07,3.695413731e-07,8.578396506e-07,9.581902977e-07,4.351509006e-07,1.2557297974e-06,1.2228214063e-06,1.2012588974e-06,1.459180598e-06,1.1277096368e-06,1.2115206812e-06,1.038269193e-06,1.2416406972e-06,1.2265412958e-06,1.4518795038e-06,1.1582797693e-06,1.95419929e-07,1.5628005482e-06,1.7396096152e-06,1.6967315279e-06,1.6346103192e-06,8.924615125e-07,4.844784619e-07,1.4296097404e-06,1.0103902443e-06,1.5800409949e-06,7.763290004e-07,1.2366690611e-06,2.101400865e-06,1.0105607561e-06,9.55821375e-07,1.3890989276e-06,1.3262901382e-06,7.617698401e-07,9.269410539e-07,1.2635103766e-06,9.550490138e-07,1.1382082646e-06
float,med,5.3500519e-09,1.54591146e-08,1.264803339e-07,4.11065798e-07,4.506514639e-07,6.165550576e-07,8.667116879e-07,6.118555682e-07,8.837511015e-07,9.538993487e-07,9.279312549e-07,1.2525495272e-06,1.2904083051e-06,1.2569593122e-06,1.4339211276e-06,1.4051652166e-06,1.3121183995e-06,1.4221609795e-06,1.8544588301e-06,1.733094986e-06,1.6130814955e-06,1.4454297692e-06,1.5834798299e-06,1.5679800974e-06,1.7655008809e-06,1.7419954033e-06,1.3614201604e-06,1.8911502701e-06,1.6874107985e-06,1.5994048872e-06,1.7653515311e-06,1.2736043488e-06,1.3199795969e-06,1.4076800216e-06,1.5239699646e-06,1.139218858e-06,1.5082914925e-06,9.68415196e-07,9.365501357e-07,1.3476018326e-06,9.745790462e-07,1.2119304324e-06,1.2210604349e-06,1.2638552023e-06
float,avg,5.3500519e-09,1.54591146e-08,1.087976226e-07,4.081081592e-07,4.570221341e-07,5.778397799e-07,7.964757602e-07,5.43852773e-07,8.784798119e-07,9.517421374e-07,8.219487708e-07,1.2504667415e-06,1.2347262562e-06,1.2287712371e-06,1.4599240095e-06,1.3683871105e-06,1.3083620447e-06,1.3612823409e-06,1.7217626779e-06,1.6591048795e-06,1.5925794765e-06,1.5661983794e-06,1.3242739173e-06,1.5493286119e-06,1.798777478e-06,1.7129633627e-06,1.3817804193e-06,1.6334999472e-06,1.4124050963e-06,1.3156424232e-06,1.6270642723e-06,1.2871375685e-06,1.1981407026e-06,1.2559087668e-06,1.5767309102e-06,1.103703929e-06,1.3682294363e-06,9.86855951e-07,1.0147238089e-06,1.2290076832e-06,9.852857407e-07,1.2291542597e-06,1.3023550614e-06,1.3271365965e-06
double,max,6.8504175e-09,5.04506845e-08,1.077991736e-07,1.966917403e-07,4.621580042e-07,6.184487195e-07,6.676498755e-07,8.169707549e-07,8.44690473e-07,9.469691124e-07,1.0918189832e-06,1.2011704338e-06,1.0492508228e-06,1.1094517665e-06,1.1751102773e-06,1.3872196838e-06,1.2907104524e-06,1.2757706119e-06,1.2679799867e-06,1.4081784825e-06,1.3380890958e-06,1.4387494266e-06,1.2438286531e-06,1.3200891473e-06,1.354010351e-06,1.3136608134e-06,1.2407690688e-06,1.1488312019e-06,1.1847597063e-06,1.1843308308e-06,1.4134801488e-06,1.1941104449e-06,1.0955802293e-06,1.7697894147e-06,1.1271191992e-06,1.0264195531e-06,1.1266088068e-06,1.228488793e-06,1.4102505649e-06,1.0086614961e-06,8.986418341e-07,1.0122393893e-06,1.0283085829e-06,1.2661405078e-06
double,min,6.8504175e-09,5.00688176e-08,5.46907368e-08,1.718189281e-07,4.057602998e-07,6.136508615e-07,6.416006401e-07,7.628796526e-07,3.301878252e-07,4.71170984e-07,9.138616232e-07,1.021169175e-06,6.92900475e-07,5.566507957e-07,7.654906322e-07,7.79509772e-07,4.485502687e-07,3.878117677e-07,8.755300574e-07,6.557603323e-07,1.1495295412e-06,3.005502617e-07,4.729788719e-07,4.755300581e-07,7.296991911e-07,6.452906531e-07,9.117994531e-07,1.109919397e-06,1.1192109369e-06,6.402006036e-07,6.812300342e-07,1.0531299568e-06,1.0548391631e-06,1.0445693413e-06,9.697994077e-07,9.111612459e-07,2.042290538e-07,5.384204277e-07,8.929003923e-07,9.774797009e-07,6.848605872e-07,5.818703059e-07,6.656800458e-07,7.931490266e-07
double,med,6.8504175e-09,5.02748219e-08,1.081396489e-07,1.84534855e-07,4.608204759e-07,6.224653777e-07,6.766501768e-07,8.177350137e-07,7.930590088e-07,9.256549547e-07,9.641795389e-07,1.1947340926e-06,1.0467001634e-06,1.0399558637e-06,1.1712704903e-06,1.3450354528e-06,1.3043410721e-06,1.2539747646e-06,9.687409853e-07,1.3796539387e-06,1.1459210474e-06,1.2904554546e-06,1.1747707117e-06,1.2418287069e-06,1.3731806787e-06,1.2037754285e-06,1.2314894402e-06,1.0336590556e-06,1.2943311519e-06,1.2302004687e-06,1.4819107814e-06,1.1318953366e-06,1.2064613245e-06,1.5409245573e-06,1.0622997849e-06,1.0783607816e-06,1.1314696291e-06,1.2776298817e-06,1.2725013805e-06,1.0380997456e-06,9.73061355e-07,8.665308033e-07,9.791009718e-07,1.2056600893e-06
double,avg,6.8504175e-09,5.02748219e-08,9.02567431e-08,1.842679063e-07,4.410908617e-07,6.21238151e-07,6.640528962e-07,7.993262662e-07,7.507366448e-07,8.469129693e-07,9.912926317e-07,1.176512351e-06,9.800950132e-07,9.782913155e-07,1.1381991963e-06,1.2338538041e-06,1.1771344178e-06,1.2295311712e-06,1.065433013e-06,1.1890937812e-06,1.1775269368e-06,1.1749031809e-06,9.802873372e-07,1.0840164036e-06,1.1142125404e-06,1.0702089902e-06,1.0955660319e-06,1.0699085356e-06,1.1684643848e-06,1.064774769e-06,1.3673227906e-06,1.146620854e-06,1.1154622347e-06,1.5020181354e-06,1.0421590715e-06,1.0295739003e-06,1.0780452176e-06,1.1788803607e-06,1.2803128241e-06,1.0359734375e-06,8.951054258e-07,8.469456063e-07,9.834348015e-07,1.1591287729e-06
