omp_flush_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
int,max,6.2805765e-09,5.73498611e-08,1.652391559e-07,4.39268647e-07,2.262892856e-07,7.303487219e-07,7.67020965e-07,8.512702264e-07,5.819819341e-07,7.922292558e-07,1.1179612093e-06,1.0992705647e-06,1.1611601256e-06,1.6061208336e-06,1.2351581892e-06,1.4210989757e-06,1.6269907086e-06,1.6257902859e-06,1.5973306308e-06,2.0552594315e-06,1.8724280656e-06,1.9461492816e-06,2.0046785544e-06,1.7349703813e-06,1.6156408815e-06,1.7162103864e-06,1.7318102992e-06,1.7875210152e-06,1.8757412802e-06,1.4647702272e-06,1.5513299539e-06,1.445819312e-06,1.4658790881e-06,1.7227386472e-06,1.5671395589e-06,1.6703699841e-06,1.4443510751e-06,1.292109859e-06,1.2304078883e-06,1.4971397437e-06,1.0191390559e-06,1.5548689415e-06,1.391398257e-06,1.0761999936e-06
int,min,6.2805765e-09,5.73507892e-08,1.601619299e-07,4.312297165e-07,1.28880999e-07,3.357206712e-07,7.369700609e-07,8.443799983e-07,3.124320598e-07,4.246783855e-07,5.160402248e-07,4.982100938e-07,1.1281290808e-06,7.401611745e-07,1.2252185187e-06,1.5080716891e-06,9.633312958e-07,1.0238703346e-06,1.276269805e-06,1.268421338e-06,1.2722103732e-06,1.6709614725e-06,3.511614868e-07,1.7914099837e-06,-3.499090044e-07,1.8078215686e-06,9.332992015e-07,1.4394013905e-06,1.3697405287e-06,1.2588604912e-06,2.044539922e-06,1.3604696863e-06,9.224690451e-07,1.2202201945e-06,5.611211494e-07,1.6846888049e-06,1.2073200851e-06,1.5059605418e-06,1.0586990764e-06,1.394199509e-06,5.234606685e-07,1.1039603194e-06,1.2522311247e-06,9.109403046e-07
int,med,6.2805765e-09,5.72995292e-08,1.649278728e-07,4.499950132e-07,2.262991699e-07,7.212338823e-07,7.714606781e-07,8.626504424e-07,5.233686607e-07,7.423546088e-07,1.1143077864e-06,1.0158202968e-06,1.1557587758e-06,1.6462047256e-06,1.2947890601e-06,1.4534501228e-06,1.6537388817e-06,1.6462555795e-06,1.5445900569e-06,1.9215202319e-06,1.8956591504e-06,1.8005605983e-06,1.4634381555e-06,1.7547191704e-06,1.4957505203e-06,1.743494173e-06,1.7396491025e-06,1.706143281e-06,1.859351259e-06,1.4573613219e-06,1.4976315211e-06,1.467159564e-06,1.4806192851e-06,1.6804987022e-06,1.6116809178e-06,1.6577037655e-06,1.4406711526e-06,1.2705400418e-06,1.2398702585e-06,1.4689806304e-06,9.414802386e-07,1.489989082e-06,1.3107196693e-06,9.94874352e-07
int,avg,6.2805765e-09,5.72995292e-08,1.629530845e-07,4.42867669e-07,1.888240152e-07,6.251167103e-07,7.583287841e-07,8.550043345e-07,5.050656572e-07,6.978090612e-07,9.668800023e-07,9.248751069e-07,1.1537121457e-06,1.4070577736e-06,1.2305445073e-06,1.4569233401e-06,1.4548752324e-06,1.5331936443e-06,1.5380588936e-06,1.8370641467e-06,1.7486267132e-06,1.8186286039e-06,1.5507135504e-06,1.7500758857e-06,1.4893170527e-06,1.7142592385e-06,1.5891044098e-06,1.6628680328e-06,1.6481636849e-06,1.4291004724e-06,1.5354749992e-06,1.4686925293e-06,1.4230415106e-06,1.528874154e-06,1.4556231125e-06,1.5062064019e-06,1.3404878885e-06,1.2285908846e-06,1.1595174334e-06,1.4837412169e-06,9.718736832e-07,1.5271987465e-06,1.2304796445e-06,1.0153041127e-06
ull,max,6.3298744e-09,6.40487178e-08,1.790900322e-07,4.407399272e-07,3.994715085e-07,6.577785094e-07,6.081397958e-07,7.904295413e-07,8.193415938e-07,1.0502300838e-06,1.0042700139e-06,1.3011705858e-06,1.1103283574e-06,1.2011887029e-06,1.2301197713e-06,1.2495298459e-06,1.4392400327e-06,1.4206013461e-06,1.3827201952e-06,1.4872597185e-06,1.4246908371e-06,1.4079095058e-06,1.3818407466e-06,1.2587911839e-06,1.3767601575e-06,1.1541510406e-06,1.2922205464e-06,1.2301401286e-06,1.4214004822e-06,1.2192798676e-06,1.1422612045e-06,8.808394812e-07,1.5463686536e-06,1.4184485878e-06,1.7176101964e-06,1.2765788713e-06,1.2207299097e-06,1.2210298203e-06,1.5417319397e-06,1.3316096118e-06,9.132298216e-07,9.851003316e-07,1.019110786e-06,1.6544802365e-06
ull,min,6.3298744e-09,6.40109242e-08,1.260017709e-07,4.729112677e-07,3.957202002e-07,6.273292923e-07,4.424197771e-07,5.621804468e-07,6.352499829e-07,5.626308705e-07,8.603219229e-07,9.45928736e-07,6.860901564e-07,3.260092267e-07,4.778513066e-07,7.646798946e-07,5.991094553e-07,7.529590703e-07,9.158791197e-07,8.71780023e-07,1.1713896249e-06,6.593399466e-07,9.147202237e-07,6.066690192e-07,5.090398555e-07,5.253884586e-07,8.46081731e-07,8.711100323e-07,4.555604338e-07,5.456705275e-07,3.25442146e-07,8.163302974e-07,1.0244195992e-06,9.375816624e-07,9.824795067e-07,1.2308196411e-06,8.137512425e-07,9.160009721e-07,7.105701324e-07,1.1190999463e-06,3.248404808e-07,3.417798895e-07,3.065388033e-07,4.260209225e-07
ull,med,6.3298744e-09,6.40258403e-08,1.793093773e-07,4.575154324e-07,3.947603574e-07,6.544942934e-07,6.015998251e-07,7.657858098e-07,7.868602405e-07,1.0368390723e-06,9.602598593e-07,1.12201924e-06,1.1410899883e-06,1.2602447533e-06,1.246358924e-06,1.2590410918e-06,1.3165708263e-06,1.403406263e-06,1.3540193666e-06,1.4466597976e-06,1.2806908975e-06,1.3318493275e-06,1.3349297827e-06,1.2359387988e-06,1.1851901775e-06,1.095743018e-06,1.2935404544e-06,1.1232892989e-06,1.4347691431e-06,1.3397901656e-06,8.535203172e-07,9.992848476e-07,1.4226186795e-06,1.3290006258e-06,1.6658092531e-06,1.3070744602e-06,1.1512015118e-06,1.2086799683e-06,1.3077313536e-06,1.2611318182e-06,9.325204195e-07,9.189501701e-07,1.0325180688e-06,1.6980657197e-06
ull,avg,6.3298744e-09,6.40258403e-08,1.614540012e-07,4.576876729e-07,3.847686189e-07,6.511246353e-07,5.569424546e-07,7.22727864e-07,7.443051217e-07,9.314965386e-07,9.477218238e-07,1.1473535815e-06,1.0288407845e-06,1.0661654165e-06,1.1288677849e-06,1.1869659012e-06,1.2574061706e-06,1.262559895e-06,1.2259609753e-06,1.303462007e-06,1.2835486676e-06,1.2119626663e-06,1.1968016553e-06,1.1276542229e-06,1.1991318848e-06,1.0129454443e-06,1.1415674731e-06,1.0655933907e-06,1.2889455276e-06,1.1292680252e-06,1.003812869e-06,9.629806914e-07,1.346035471e-06,1.2686016694e-06,1.4740829736e-06,1.2585673893e-06,1.1113495481e-06,1.2097230701e-06,1.2894320984e-06,1.2793184733e-06,8.525907967e-07,8.674898596e-07,1.0111998953e-06,1.3773430471e-06
float,max,6.8606702e-09,8.26015335e-08,1.127600845e-07,1.596297459e-07,1.902500885e-07,4.574881804e-07,7.289584148e-07,7.482705949e-07,6.634200439e-07,1.0334291382e-06,7.630186633e-07,1.1885602121e-06,1.2938993527e-06,1.3052505576e-06,1.3299601047e-06,1.6464312808e-06,1.7751802353e-06,1.7821785808e-06,1.4884907066e-06,1.6022191991e-06,2.0632116122e-06,2.0457696352e-06,1.8691402753e-06,1.5075002043e-06,1.4857607799e-06,1.885581331e-06,1.9174701843e-06,1.3567797603e-06,1.32684998e-06,1.5178003967e-06,1.219621722e-06,1.3243604924e-06,1.7589701079e-06,1.1691205127e-06,1.3368095476e-06,1.4271587433e-06,1.1812286462e-06,1.2217110562e-06,1.3679900615e-06,1.5013387843e-06,1.8835696283e-06,1.4060200562e-06,1.3028320964e-06,1.6890411031e-06
float,min,6.8606702e-09,8.2790845e-08,5.93594728e-08,1.051478346e-07,1.066404591e-07,3.070497574e-07,6.868617012e-07,1.859991734e-07,4.054108253e-07,1.026479248e-06,4.253905597e-07,4.841479857e-07,1.2936514763e-06,1.3105403297e-06,1.2663415013e-06,1.5599405281e-06,9.12691637e-07,4.638694412e-07,5.389095042e-07,1.2909202272e-06,1.4204307759e-06,1.6147815524e-06,5.736600139e-07,1.3085303314e-06,1.4431090511e-06,1.8574899854e-06,1.9300098138e-06,1.4729717195e-06,7.647697491e-07,1.7365179568e-06,1.5427990991e-06,2.1409103291e-06,1.462440036e-06,6.074697049e-07,1.3319778554e-06,1.2429611969e-06,1.4441818654e-06,4.499107219e-07,5.910505199e-07,1.0835312672e-06,1.5923499464e-06,1.4833702362e-06,1.1770605449e-06,1.4708102351e-06
