cuda_syncwarp
n iter,1000
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.964539007092199e-06,5.673758865248227e-06
int,min,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,3.546099290780142e-06,4.964539007092199e-06
int,med,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
int,avg,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
""
n_blocks,2
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.964539007092199e-06,5.673758865248227e-06
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,3.546099290780142e-06,4.255319148936171e-06,3.546099290780142e-06,4.964539007092199e-06
int,med,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
int,avg,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
""
n_blocks,54
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.964539007092199e-06,5.673758865248227e-06
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,3.546099290780142e-06,4.964539007092199e-06
int,med,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
int,avg,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
""
n_blocks,108
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
int,max,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.964539007092199e-06,5.673758865248227e-06
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,3.546099290780142e-06,4.964539007092199e-06
int,med,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
int,avg,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,3.546099290780142e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06
""
n_blocks,216
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,786,1024
