cuda_vote_any_sync
n iter,1000
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,7.801418439716311e-06
int,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,avg,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.0638297872340426e-05
""
n_blocks,2
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,7.801418439716311e-06
int,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,avg,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.0638297872340426e-05
""
n_blocks,54
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,7.801418439716311e-06
int,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,avg,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.0638297872340426e-05
""
n_blocks,108
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,8.510638297872341e-06
int,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.1347517730496454e-05
int,avg,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,1.0638297872340426e-05
""
n_blocks,216
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.964539007092199e-06,1.1347517730496454e-05,1.1347517730496454e-05
int,min,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,4.964539007092199e-06,9.21985815602837e-06
int,med,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,5.673758865248227e-06,1.1347517730496454e-05
int,avg,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,4.255319148936171e-06,5.673758865248227e-06,6.3829787234042555e-06,1.0638297872340426e-05
