omp_atomicadd_array_v2
n iter,1000
arr step,8
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,9.2199298e-09,1.00196127e-08,3.21908116e-08,3.03584911e-08,4.01489276e-08,3.32708495e-08,4.32196864e-08,4.17814447e-08,5.9670405e-08,5.32811241e-08,5.72211255e-08,5.90311694e-08,5.9780381e-08,5.85606985e-08,5.95895349e-08,6.02304449e-08,5.47095537e-08,6.05209186e-08,6.12612749e-08,5.83391171e-08,5.68299794e-08,6.47079369e-08,5.23904033e-08,5.65705438e-08,5.95395172e-08,6.03781879e-08,5.58382498e-08,6.59604826e-08,5.47602858e-08,5.17410501e-08,5.62995955e-08,6.36504597e-08,5.59812061e-08,7.59501033e-08,7.71204999e-08,7.84197626e-08,8.66693585e-08,9.0420188e-08,1.072385085e-07,1.385908656e-07,1.039205464e-07,9.98210881e-08,1.087505733e-07,1.083300546e-07,1.173015689e-07,1.314704616e-07,1.655880244e-07,1.372194667e-07,1.704994304e-07,1.429407556e-07,2.311998833e-07,1.530685361e-07,2.187095911e-07,2.108894511e-07,2.040878329e-07,2.208288503e-07,2.437477644e-07,2.385197903e-07,2.745807996e-07,2.520002844e-07,2.699800041e-07,2.808500992e-07,2.688512027e-07,2.819884021e-07,2.439997102e-07,2.376181708e-07,2.507388087e-07,2.664598721e-07
int,min,9.2199298e-09,4.8705515e-09,4.7597731e-09,4.7904962e-09,5.4318068e-09,5.2696408e-09,5.4886098e-09,5.0702951e-09,7.4788701e-09,5.7513087e-09,8.0802097e-09,8.0988187e-09,7.428645e-09,7.4400568e-09,8.3290738e-09,8.0301985e-09,6.3995493e-09,8.2882458e-09,7.7282866e-09,8.6406299e-09,7.7486319e-09,7.2410597e-09,8.1997733e-09,7.2980013e-09,8.3904486e-09,8.041517e-09,7.5106422e-09,7.7915781e-09,7.7679665e-09,7.6987946e-09,7.9699934e-09,7.5388608e-09,2.03217361e-08,1.76486957e-08,1.72399454e-08,2.06587708e-08,2.41097519e-08,1.71904832e-08,4.4721483e-08,1.70692377e-08,9.4787726e-09,1.03985388e-08,3.02195949e-08,2.36987383e-08,2.39000233e-08,2.93413937e-08,4.25414555e-08,2.74104375e-08,2.74904317e-08,2.24908632e-08,4.23398869e-08,4.38715439e-08,1.97582826e-08,2.00496599e-08,1.234979e-08,2.95410863e-08,2.03000404e-08,2.6158799e-08,2.628335e-09,2.13699406e-08,1.8979827e-08,5.1988374e-09,1.11202467e-08,-3.20791695e-08,3.97491847e-08,5.62492612e-08,2.8694188e-09,5.36890472e-08
int,med,9.2199298e-09,7.4593125e-09,3.22816946e-08,2.13138506e-08,3.71413751e-08,2.04954427e-08,2.6339052e-08,3.36291711e-08,4.55108679e-08,4.10306552e-08,4.70094748e-08,4.30914938e-08,4.47716838e-08,4.39546573e-08,4.67295001e-08,4.31354813e-08,4.22812039e-08,4.08345992e-08,4.33203015e-08,4.50895576e-08,4.42402539e-08,4.28392438e-08,4.66386818e-08,4.49241244e-08,4.42308685e-08,4.23255314e-08,4.35419351e-08,4.93252228e-08,4.09588057e-08,4.29335066e-08,4.49888789e-08,5.06451405e-08,4.50008008e-08,5.56305211e-08,4.83506082e-08,5.34508169e-08,4.96209668e-08,5.77745804e-08,5.9900372e-08,4.9905218e-08,6.1910547e-08,6.76160308e-08,7.34513721e-08,6.30103548e-08,7.18716678e-08,5.64854343e-08,1.041719627e-07,7.55000735e-08,9.11988091e-08,9.61658778e-08,1.244598793e-07,1.262351406e-07,1.419794336e-07,1.248858706e-07,1.59168889e-07,1.824437805e-07,1.951605051e-07,1.804856973e-07,2.241980196e-07,2.227539227e-07,2.482191956e-07,2.40944532e-07,2.627203287e-07,2.521261991e-07,1.788295821e-07,1.992201568e-07,2.119894778e-07,1.954691096e-07
int,avg,9.2199298e-09,7.4593125e-09,2.30665326e-08,1.94543151e-08,2.66766485e-08,1.94344226e-08,2.95157369e-08,3.00616639e-08,4.34212203e-08,3.54375862e-08,3.90523571e-08,3.9483134e-08,4.26070396e-08,3.9778866e-08,4.1152425e-08,4.01750408e-08,4.05706834e-08,4.20081847e-08,4.33901753e-08,4.35433735e-08,4.39230804e-08,4.41801198e-08,4.06385616e-08,4.1485896e-08,4.29898055e-08,4.1408099e-08,4.41197408e-08,4.62354781e-08,4.53184014e-08,4.19213403e-08,4.32968911e-08,4.65289079e-08,4.58132867e-08,5.41946566e-08,5.10535379e-08,5.12375923e-08,5.58093069e-08,6.20133871e-08,6.91767114e-08,5.96353557e-08,6.4140337e-08,6.67589859e-08,7.22302923e-08,6.69446362e-08,7.69532505e-08,6.94958297e-08,9.77129515e-08,8.81433288e-08,1.052009857e-07,8.34071859e-08,1.312105151e-07,1.12473518e-07,1.209666471e-07,1.122530146e-07,1.357148991e-07,1.52205327e-07,1.713220485e-07,1.668660796e-07,2.025049397e-07,1.985742925e-07,2.167959262e-07,2.270360663e-07,2.431444913e-07,2.398584301e-07,1.656984077e-07,1.833991104e-07,1.956350496e-07,1.93260942e-07
ull,max,9.5082547e-09,7.3009198e-09,8.0182101e-09,8.89034e-09,1.00196988e-08,9.5098782e-09,1.00292174e-08,1.00187541e-08,9.4997124e-09,8.2600098e-09,9.4897124e-09,1.0000675e-08,9.9898164e-09,9.4712302e-09,1.12117009e-08,7.5202814e-09,9.511739e-09,8.4222324e-09,9.4916711e-09,1.00298164e-08,1.00298164e-08,5.1595325e-09,7.7513596e-09,6.6202477e-09,9.5008426e-09,9.5003192e-09,1.00480011e-08,1.00222006e-08,1.00293532e-08,1.13177612e-08,9.5102255e-09,9.4999641e-09,1.08496008e-08,1.08588101e-08,1.17409799e-08,1.08207603e-08,1.09507811e-08,1.08808904e-08,1.18015111e-08,1.12587706e-08,1.07300043e-08,1.06906766e-08,9.5908832e-09,1.14513388e-08,1.46399347e-08,1.08317775e-08,1.40602974e-08,2.18401488e-08,1.9448356e-08,1.89212384e-08,9.8509605e-09,1.36192671e-08,1.97101418e-08,2.60110207e-08,3.04793018e-08,3.43304732e-08,5.16379475e-08,3.50809866e-08,2.97306e-08,5.07786131e-08,6.47384865e-08,6.492901e-08,6.05599777e-08,7.61504715e-08,1.9329565e-08,1.41211996e-08,2.45106583e-08,2.26495306e-08
ull,min,9.5082547e-09,4.4401915e-09,4.8709235e-09,4.8597841e-09,9.4904095e-09,5.0096069e-09,4.8707796e-09,2.8409399e-09,5.0203918e-09,5.0096222e-09,5.0208507e-09,5.001539e-09,5.0285574e-09,5.0313451e-09,5.0281583e-09,5.009543e-09,5.0287094e-09,5.0000914e-09,5.0090903e-09,5.0199461e-09,4.9988629e-09,5.0285635e-09,5.0287698e-09,5.0108481e-09,5.0189374e-09,5.0297163e-09,5.0102145e-09,5.0114351e-09,5.0289337e-09,5.0094221e-09,5.0310829e-09,5.0285571e-09,5.0106364e-09,5.008949e-09,5.0008382e-09,5.0100758e-09,5.0384207e-09,5.0301947e-09,5.0010532e-09,5.0004486e-09,5.03864e-09,5.0300348e-09,5.0204132e-09,5.0300763e-09,5.0191327e-09,5.0686807e-09,5.1697015e-09,5.0097014e-09,5.0381296e-09,5.0290993e-09,5.2678052e-09,5.0397818e-09,7.0718512e-09,5.0196254e-09,6.5694272e-09,5.0385406e-09,1.04988487e-08,5.2693059e-09,9.7498807e-09,1.19492993e-08,5.040519e-09,5.6603738e-09,1.7220032e-08,1.98194333e-08,5.5990192e-09,1.05804668e-08,6.3813405e-09,9.1913988e-09
ull,med,9.5082547e-09,5.8513348e-09,4.8710431e-09,4.8649925e-09,1.00196806e-08,8.4450176e-09,5.8502029e-09,6.7650694e-09,7.8517767e-09,3.2946455e-09,5.0181651e-09,5.0095901e-09,9.5200249e-09,4.9917482e-09,5.0017256e-09,3.635019e-09,4.9992799e-09,7.6297562e-09,4.9998775e-09,5.0192584e-09,4.9992517e-09,5.0154796e-09,7.5301318e-09,5.9393789e-09,5.0117848e-09,5.0301636e-09,5.5404625e-09,6.3612833e-09,3.840377e-09,6.4252353e-09,5.0317645e-09,5.03039e-09,5.0010997e-09,5.0112695e-09,4.9790143e-09,5.0000604e-09,5.0586803e-09,5.0383537e-09,5.4722035e-09,5.0249364e-09,5.040401e-09,4.8388837e-09,1.08388896e-08,1.07755579e-08,1.43892093e-08,1.08639223e-08,1.15196654e-08,1.61742514e-08,1.71991162e-08,1.91102653e-08,1.22995193e-08,1.32758203e-08,1.96108704e-08,2.30449961e-08,2.59612697e-08,3.72647646e-08,4.27792424e-08,3.00497857e-08,2.61304794e-08,4.86848997e-08,6.446e-08,4.82663934e-08,5.43997891e-08,6.99552246e-08,1.22386404e-08,1.57447404e-08,1.76207253e-08,1.49057291e-08
ull,avg,9.5082547e-09,5.8513348e-09,5.4790523e-09,6.0096475e-09,9.796044e-09,8.124169e-09,6.6045613e-09,6.8092926e-09,6.9817548e-09,5.2615987e-09,6.753757e-09,6.1621359e-09,8.3054757e-09,6.6849384e-09,7.2392941e-09,5.2392903e-09,5.9938202e-09,7.0569075e-09,5.4907779e-09,6.0539019e-09,5.9223246e-09,5.1126431e-09,6.5869557e-09,5.5360099e-09,5.709818e-09,5.643335e-09,7.1165909e-09,6.5612995e-09,5.9876307e-09,6.7519208e-09,5.2814193e-09,5.1790723e-09,5.3652418e-09,5.6912412e-09,6.1008461e-09,6.2962984e-09,6.619682e-09,6.8829918e-09,7.2334176e-09,7.3590743e-09,7.5469314e-09,7.7416368e-09,7.8222384e-09,8.2711059e-09,1.16765801e-08,8.5879827e-09,1.10537192e-08,1.49702997e-08,1.43579929e-08,1.67214806e-08,9.5632522e-09,1.17192492e-08,1.79997618e-08,2.04820493e-08,2.12233953e-08,2.9232076e-08,3.89740998e-08,2.81209448e-08,2.32164088e-08,4.23720552e-08,5.6281599e-08,4.45941229e-08,5.14267868e-08,6.33731954e-08,1.33925933e-08,1.41575168e-08,1.74251805e-08,1.66604205e-08
float,max,1.06678064e-08,1.35717068e-08,5.08104897e-08,6.91097911e-08,9.03504456e-08,9.39406927e-08,9.38693271e-08,1.011205269e-07,1.291900604e-07,1.356495425e-07,1.287607477e-07,1.277798894e-07,1.317209105e-07,1.372402473e-07,1.296686633e-07,1.317700365e-07,1.307909682e-07,1.231203275e-07,1.310100523e-07,1.430609026e-07,1.258385123e-07,1.212905768e-07,1.200903987e-07,1.362097675e-07,1.142182974e-07,1.328594896e-07,1.134895274e-07,1.595986247e-07,1.354306396e-07,1.426904123e-07,1.309589159e-07,1.066815013e-07,1.346301706e-07,1.293798123e-07,1.433215181e-07,1.586195448e-07,1.431904391e-07,1.648313593e-07,1.363001904e-07,1.482383305e-07,1.625791431e-07,1.463992558e-07,1.527088255e-07,1.782613139e-07,2.128411951e-07,1.895307666e-07,1.799989784e-07,1.953596173e-07,2.051312857e-07,2.253593451e-07,2.151784113e-07,1.896896338e-07,2.245905795e-07,1.844384988e-07,2.461594212e-07,2.03511015e-07,2.697500233e-07,2.661411758e-07,2.483204694e-07,2.637505595e-07,2.759206345e-07,2.74529285e-07,2.796695139e-07,2.726906152e-07,2.432288261e-07,2.443615785e-07,2.292193918e-07,2.523515266e-07
float,min,1.06678064e-08,9.7617314e-09,1.26390431e-08,1.51399522e-08,2.12215385e-08,1.70813715e-08,2.5489185e-08,1.96580762e-08,1.21609406e-08,2.00420349e-08,2.62699289e-08,2.40900838e-08,2.76199773e-08,2.01492906e-08,2.2888741e-08,2.65899512e-08,2.34987175e-08,2.01190041e-08,1.38702539e-08,2.68394324e-08,2.37917654e-08,1.99587703e-08,2.71608269e-08,1.67597787e-08,1.88799995e-08,2.47194749e-08,2.10203601e-08,1.7702025e-08,1.34510414e-08,1.89613034e-08,2.51500235e-08,2.1000096e-08,2.92981873e-08,2.63414214e-08,3.80015363e-08,2.73909856e-08,2.7561512e-08,2.57901912e-08,2.37288719e-08,1.96997351e-08,2.48692679e-08,2.54905821e-08,1.66696745e-08,2.06586357e-08,2.0862047e-08,2.277828e-08,3.05281154e-08,1.95699358e-08,1.85285162e-08,1.87000107e-08,1.53621082e-08,3.049978e-08,2.50310185e-08,2.62918343e-08,1.63696974e-08,2.46204536e-08,2.63101851e-08,1.63591922e-08,1.78994241e-08,1.46608813e-08,1.89009834e-08,2.79301558e-08,1.9200311e-08,1.7608577e-09,2.59390088e-08,2.33879448e-08,2.41985603e-08,2.20200381e-08
