omp_atomicadd_array_v2_close
n iter,1000
arr step,16
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,9.4780252e-09,9.5189732e-09,9.4999461e-09,1.12688914e-08,9.5015654e-09,9.5091176e-09,1.00303671e-08,1.00293713e-08,9.5016333e-09,1.00378276e-08,1.01088264e-08,9.5310721e-09,9.6106689e-09,7.3692574e-09,8.9894167e-09,7.2093532e-09,6.0597308e-09,9.4915732e-09,9.489317e-09,9.4812457e-09,1.00302797e-08,8.567654e-09,9.5190953e-09,1.06181807e-08,1.00494588e-08,7.821848e-09,9.4900218e-09,9.5322324e-09,8.6191423e-09,6.7796088e-09,9.4694528e-09,9.5094907e-09,1.08389757e-08,1.17400049e-08,1.07600217e-08,1.08785336e-08,1.08703664e-08,1.14592506e-08,1.07887585e-08,1.09802455e-08,9.8908955e-09,1.02201971e-08,9.5797859e-09,1.37996001e-08,8.3209659e-09,1.47398779e-08,1.97180605e-08,1.15418999e-08,1.80788538e-08,2.04506358e-08,3.78289554e-08,1.77488921e-08,3.4300537e-08,2.04508055e-08,2.60413622e-08,4.08599219e-08,4.42583708e-08,1.22380994e-08,5.31713181e-08,3.60501427e-08,8.03399608e-08,5.46509406e-08,6.51694849e-08,6.01613208e-08,3.53601671e-08,2.41986551e-08,1.5970013e-08,2.05113475e-08
int,min,9.4780252e-09,4.87897e-09,4.8708054e-09,9.5015048e-09,5.0200827e-09,5.7999193e-09,6.229975e-09,5.0192424e-09,5.0191562e-09,5.1792734e-09,5.0304114e-09,5.0285625e-09,5.0292746e-09,5.0281053e-09,5.011122e-09,5.0196248e-09,5.0204564e-09,5.0101137e-09,5.0285132e-09,5.0282611e-09,5.0097157e-09,5.009285e-09,4.9994669e-09,5.0000267e-09,5.0191383e-09,5.0096487e-09,5.0313367e-09,5.0002827e-09,5.0385403e-09,5.009684e-09,4.9998111e-09,5.0292455e-09,5.0284596e-09,5.009995e-09,5.0112898e-09,5.0005891e-09,5.0392976e-09,5.0013586e-09,5.0086569e-09,5.0309224e-09,5.0296004e-09,5.0099066e-09,5.0009093e-09,5.0001407e-09,5.0108539e-09,5.0390114e-09,5.0102309e-09,5.0402733e-09,5.0294176e-09,5.0093828e-09,5.0019377e-09,5.0286456e-09,5.0290353e-09,4.9694646e-09,4.9889227e-09,5.0193553e-09,8.3699098e-09,1.11788109e-08,7.4197609e-09,1.0927977e-08,7.000386e-09,1.85698535e-08,1.44800069e-08,1.69012492e-08,4.1202034e-09,1.37201187e-08,6.0500081e-09,1.28987152e-08
int,med,9.4780252e-09,7.1894621e-09,4.8710481e-09,1.12736598e-08,7.8497836e-09,9.5098782e-09,9.5003053e-09,7.849059e-09,5.9986353e-09,8.5983966e-09,7.2697244e-09,5.0346657e-09,5.0115872e-09,8.6990739e-09,5.0112814e-09,7.3404834e-09,5.029836e-09,5.0144514e-09,4.9998952e-09,5.0300481e-09,5.0089401e-09,7.1846285e-09,5.0097113e-09,9.6345387e-09,7.5206284e-09,4.7509931e-09,5.0382936e-09,5.0062665e-09,5.0399176e-09,4.9991072e-09,4.9990257e-09,5.0303206e-09,5.0011931e-09,5.0609194e-09,5.0087419e-09,5.0146626e-09,5.0393372e-09,4.9992992e-09,5.0085719e-09,5.0990919e-09,5.278466e-09,5.0046699e-09,1.08308824e-08,1.31693979e-08,9.4514375e-09,1.20139683e-08,1.73899205e-08,1.1479911e-08,1.61709201e-08,1.65012321e-08,2.66794032e-08,1.60546964e-08,2.68192226e-08,2.18145063e-08,2.2639129e-08,3.78856501e-08,3.64406256e-08,1.20697826e-08,4.52605896e-08,3.42596191e-08,6.99120023e-08,5.00145926e-08,6.04514444e-08,6.05101336e-08,1.76901738e-08,1.65347321e-08,1.69505307e-08,1.51747218e-08
int,avg,9.4780252e-09,7.1894621e-09,6.4135291e-09,1.08308092e-08,7.4187407e-09,8.2815911e-09,8.6820059e-09,7.4156865e-09,6.459048e-09,8.0266689e-09,7.3523967e-09,5.937508e-09,6.3542024e-09,7.2731605e-09,5.7490896e-09,6.6246274e-09,4.9991229e-09,6.1547174e-09,6.5927013e-09,5.7295374e-09,6.1072004e-09,6.7820737e-09,5.6189007e-09,7.6591469e-09,7.3160271e-09,5.3679727e-09,5.4149013e-09,5.2653436e-09,5.3221301e-09,5.1177324e-09,5.2749137e-09,5.17527e-09,5.3632383e-09,5.8674495e-09,5.9902581e-09,6.305835e-09,6.6049284e-09,6.9481029e-09,7.0816371e-09,7.4123234e-09,7.6832503e-09,7.6804259e-09,7.5675958e-09,1.11404322e-08,6.8176367e-09,1.02574347e-08,1.44103079e-08,9.9005327e-09,1.35165047e-08,1.4956575e-08,2.39683177e-08,1.40307813e-08,2.49949622e-08,2.07758218e-08,2.05834384e-08,3.3596427e-08,3.33599755e-08,1.29763248e-08,3.87210913e-08,3.11118005e-08,5.67453198e-08,4.61920668e-08,5.47954505e-08,5.90690436e-08,1.39475452e-08,1.51024196e-08,1.62623148e-08,1.65284303e-08
ull,max,5.6484853e-09,9.3507326e-09,9.5004094e-09,9.5217313e-09,1.00209648e-08,1.00310522e-08,1.00286681e-08,1.00281174e-08,1.00292174e-08,7.8597325e-09,9.4993471e-09,1.00395946e-08,1.00408983e-08,1.00291313e-08,7.2192601e-09,9.5183226e-09,9.4916333e-09,9.509445e-09,9.5193471e-09,9.4997725e-09,9.5198103e-09,9.498748e-09,9.5207747e-09,9.5283527e-09,1.12897501e-08,4.7597809e-09,9.4902435e-09,9.4992792e-09,9.5078593e-09,9.0285005e-09,9.5112379e-09,9.5112001e-09,1.10515401e-08,1.1830325e-08,1.10495685e-08,1.10600409e-08,1.10414702e-08,1.18184041e-08,1.10200134e-08,1.10592126e-08,1.10395309e-08,1.18395416e-08,1.10489998e-08,1.10702446e-08,1.18305772e-08,1.10410069e-08,1.10197226e-08,1.1169166e-08,1.10513069e-08,1.10797713e-08,1.10400438e-08,1.17999782e-08,1.10605933e-08,1.10577733e-08,1.1111656e-08,1.10692401e-08,1.10598705e-08,1.10801483e-08,1.10614885e-08,1.10606429e-08,1.18406039e-08,1.10600896e-08,1.10502229e-08,1.16810599e-08,1.50502992e-08,2.50496994e-08,1.885052e-08,1.69396417e-08
ull,min,5.6484853e-09,7.7294862e-09,4.7392891e-09,9.5288838e-09,5.0092538e-09,4.8906058e-09,5.0094313e-09,4.9405756e-09,5.0012282e-09,5.0282988e-09,5.0202905e-09,4.9990907e-09,5.0110728e-09,5.0108083e-09,3.9703026e-09,5.009492e-09,5.0088107e-09,5.0297752e-09,5.0008517e-09,5.0200119e-09,5.0204552e-09,5.0112634e-09,5.0278178e-09,4.9998651e-09,5.0014778e-09,5.0106842e-09,5.0280499e-09,4.9907962e-09,5.0208217e-09,5.000811e-09,5.0011714e-09,5.0204916e-09,5.0014082e-09,5.0298283e-09,4.9997305e-09,5.0199434e-09,5.0014589e-09,5.0101025e-09,5.0296352e-09,5.0204066e-09,5.0200883e-09,5.0298039e-09,5.0012195e-09,5.0288232e-09,5.0098437e-09,5.0194801e-09,5.0020964e-09,4.9919414e-09,5.0083398e-09,5.0216331e-09,5.010592e-09,5.0110345e-09,5.0210057e-09,5.0205386e-09,5.0086836e-09,5.0296434e-09,5.0192548e-09,5.029548e-09,5.0303075e-09,5.0195572e-09,5.0407721e-09,4.9993039e-09,5.009458e-09,1.08706087e-08,4.9095987e-09,1.05996875e-08,5.1097063e-09,3.6596674e-09
ull,med,5.6484853e-09,8.5340853e-09,4.7292891e-09,9.5199762e-09,5.0096672e-09,5.0344436e-09,7.8519064e-09,8.0265934e-09,4.9994221e-09,5.0011198e-09,5.0289511e-09,9.5053053e-09,7.8181506e-09,6.1299155e-09,7.5788872e-09,6.4352351e-09,5.0085327e-09,5.0389545e-09,5.0098273e-09,4.9995186e-09,5.0205577e-09,7.879726e-09,5.0299605e-09,5.0100352e-09,7.8390984e-09,3.0502106e-09,5.0380421e-09,4.999823e-09,5.0302345e-09,5.0096587e-09,5.0104546e-09,5.00017e-09,5.0094498e-09,5.1395296e-09,5.0008324e-09,5.0086986e-09,5.0006479e-09,5.1464372e-09,5.0490848e-09,5.0537669e-09,5.0480904e-09,5.5797187e-09,1.08310536e-08,1.08618839e-08,1.08501506e-08,1.08495685e-08,1.08508986e-08,1.08614023e-08,1.08505721e-08,1.0855606e-08,1.08393089e-08,1.1065649e-08,1.08493456e-08,1.08501637e-08,1.0858587e-08,1.08684465e-08,1.08594135e-08,1.08703062e-08,1.08589748e-08,1.08783916e-08,1.08602403e-08,1.08601204e-08,1.08517297e-08,1.08496507e-08,1.08720862e-08,1.4055415e-08,1.86294913e-08,1.89752023e-08
ull,avg,5.6484853e-09,8.5340853e-09,6.3203038e-09,9.5228075e-09,7.004454e-09,6.5846243e-09,7.3599955e-09,7.5232404e-09,5.7407106e-09,5.3732652e-09,6.7076823e-09,7.9111009e-09,6.9639393e-09,7.0174489e-09,6.2362237e-09,6.6634973e-09,6.0466171e-09,5.6831262e-09,6.0977603e-09,6.0344719e-09,5.9384932e-09,7.3532397e-09,5.7788254e-09,5.8300131e-09,7.5852358e-09,3.8656939e-09,5.6350003e-09,5.4651219e-09,5.3250565e-09,5.1466112e-09,5.2852342e-09,5.1392934e-09,5.3798825e-09,5.9129862e-09,6.020234e-09,6.3194893e-09,6.6093005e-09,7.0600626e-09,7.1417977e-09,7.3608012e-09,7.6086619e-09,8.0272285e-09,8.0211441e-09,8.2333227e-09,8.6498288e-09,8.5942577e-09,8.7337064e-09,9.0863104e-09,9.0869159e-09,9.2442286e-09,9.3654386e-09,9.821914e-09,9.6585632e-09,9.8014815e-09,9.9606663e-09,1.00500704e-08,1.02087688e-08,1.02750854e-08,1.0402138e-08,1.05248374e-08,1.07873236e-08,1.07369344e-08,1.07841461e-08,1.10600912e-08,1.26944236e-08,1.81362519e-08,1.68462668e-08,1.94986986e-08
float,max,1.35995419e-08,1.31492944e-08,1.36096098e-08,1.36397612e-08,1.31481004e-08,9.201111e-09,1.36013115e-08,1.31306801e-08,1.30982321e-08,1.31586316e-08,1.11978262e-08,1.36009317e-08,1.3618532e-08,1.30886316e-08,1.31406204e-08,1.31791669e-08,1.31400851e-08,1.35880687e-08,1.31290907e-08,1.3167773e-08,1.36199373e-08,1.31710117e-08,1.31096939e-08,1.36114473e-08,1.35681366e-08,1.31504805e-08,1.35803326e-08,1.3568875e-08,1.31704805e-08,1.30991628e-08,1.3158372e-08,1.28305643e-08,1.12198329e-08,1.11296292e-08,1.11193323e-08,1.12007295e-08,1.11398851e-08,1.12008533e-08,1.12099008e-08,1.11999947e-08,1.18497139e-08,1.10802823e-08,1.1189669e-08,1.11712387e-08,1.11387369e-08,1.12508173e-08,1.09800983e-08,1.60992484e-08,1.18008372e-08,1.0819857e-08,1.1080255e-08,1.04714165e-08,2.14786176e-08,3.19810825e-08,9.7518303e-09,3.86103227e-08,4.39291006e-08,4.80503381e-08,3.89786958e-08,5.05502095e-08,4.23394788e-08,4.15703795e-08,5.37700734e-08,5.73105652e-08,3.13897527e-08,2.56711691e-08,2.49711971e-08,2.20109204e-08
float,min,1.35995419e-08,9.769397e-09,1.00004417e-08,1.12298126e-08,1.02899249e-08,1.02992482e-08,1.03191307e-08,1.05709952e-08,1.05703035e-08,1.05795157e-08,1.05789186e-08,1.06007791e-08,1.04406239e-08,1.05800166e-08,1.05789636e-08,1.05802228e-08,1.05895108e-08,1.05792711e-08,1.05810042e-08,1.05786789e-08,1.06092032e-08,1.05821899e-08,1.05708731e-08,1.05804471e-08,1.05800328e-08,1.05882819e-08,1.05799065e-08,1.05989627e-08,1.05812617e-08,1.05795723e-08,1.05816127e-08,1.05800928e-08,1.05913626e-08,1.05898088e-08,1.05894135e-08,1.05907219e-08,1.05893817e-08,1.0591515e-08,1.05899866e-08,1.05895912e-08,1.05906337e-08,1.05914505e-08,1.06092218e-08,1.05810617e-08,1.05799603e-08,1.06095901e-08,1.05509799e-08,1.07804091e-08,1.06003857e-08,1.05996739e-08,1.06002283e-08,1.08104341e-08,1.05903685e-08,1.05902531e-08,1.08394823e-08,1.05688052e-08,1.05699843e-08,1.85207465e-08,1.06203616e-08,1.93586794e-08,1.47409039e-08,1.38682199e-08,1.86694633e-08,1.84206137e-08,8.4108292e-09,8.8591238e-09,1.05792717e-08,1.09909584e-08
