omp_atomicadd_array_v2_spread
n iter,1000
arr step,8
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,8.5910484e-09,9.5101077e-09,3.09591565e-08,3.37905469e-08,4.34119031e-08,4.05502626e-08,4.39210159e-08,4.30094389e-08,5.88608197e-08,5.32189714e-08,5.69416525e-08,5.8291391e-08,5.98290875e-08,5.54893825e-08,5.97789024e-08,5.62989917e-08,5.8699525e-08,5.9700506e-08,5.52901015e-08,5.33309096e-08,5.69784575e-08,5.70180315e-08,5.66698914e-08,5.89602161e-08,5.61602397e-08,5.75415456e-08,7.36698761e-08,5.65491406e-08,6.10789299e-08,5.31309052e-08,5.45613057e-08,6.2670593e-08,5.2570239e-08,5.6968297e-08,7.2720752e-08,8.92204404e-08,7.78899094e-08,6.94097987e-08,1.039601439e-07,1.120905341e-07,1.071097067e-07,1.329709113e-07,9.14702142e-08,9.13807819e-08,1.20960159e-07,1.181311615e-07,1.261102792e-07,1.452596722e-07,1.551116985e-07,1.438996681e-07,1.81500687e-07,1.890792441e-07,1.889782092e-07,2.061507243e-07,1.97670985e-07,2.133803433e-07,2.419013115e-07,2.233380891e-07,2.55009837e-07,2.611404727e-07,2.784111626e-07,2.566807248e-07,2.796012531e-07,2.914091963e-07,2.450416173e-07,2.444893309e-07,2.292609515e-07,2.234896275e-07
int,min,8.5910484e-09,9.5084885e-09,4.7220369e-09,5.0292049e-09,6.4320781e-09,5.0378381e-09,5.5990997e-09,5.5798779e-09,7.2101178e-09,6.6104669e-09,7.6996144e-09,7.8605231e-09,8.5704697e-09,7.8298708e-09,8.2196455e-09,6.9400278e-09,7.8802837e-09,7.691291e-09,8.0692923e-09,6.840782e-09,7.8109329e-09,7.3318488e-09,8.4308202e-09,7.3681567e-09,8.0601189e-09,8.2199504e-09,8.049454e-09,7.0394228e-09,7.9383342e-09,7.4890376e-09,7.9997514e-09,7.3282729e-09,1.84195755e-08,2.08013055e-08,2.60487544e-08,1.86410858e-08,3.14705135e-08,2.11806015e-08,2.34478351e-08,2.58710098e-08,2.43288232e-08,1.9672007e-08,1.54782031e-08,1.47391595e-08,7.3392725e-09,2.53908846e-08,2.8288381e-08,2.8928833e-08,3.30199832e-08,4.29508568e-08,2.42410284e-08,1.39994426e-08,3.44112982e-08,2.50918208e-08,3.27498085e-08,3.3194341e-09,1.02403856e-08,2.49208859e-08,2.03390082e-08,1.56993652e-08,1.7819967e-08,8.4700481e-09,2.62888463e-08,-9.9897124e-09,8.41399591e-08,1.051113364e-07,6.61807407e-08,4.45205139e-08
int,med,8.5910484e-09,9.5101077e-09,3.08494839e-08,2.04557957e-08,3.83904567e-08,2.59453294e-08,2.68791248e-08,3.15901345e-08,4.37396931e-08,4.45854236e-08,4.17797581e-08,4.19709431e-08,4.01095975e-08,3.90393967e-08,4.24300854e-08,4.11463669e-08,4.29600882e-08,4.14999533e-08,4.86099496e-08,3.61147645e-08,4.7701012e-08,4.19000522e-08,4.40502661e-08,4.28440692e-08,4.58091624e-08,4.82458979e-08,5.10718381e-08,4.55954231e-08,5.00504222e-08,4.24193549e-08,4.98501096e-08,4.70500916e-08,4.2638987e-08,4.48743824e-08,5.33084714e-08,5.33650938e-08,4.0677715e-08,6.10601342e-08,6.23810559e-08,7.04906811e-08,6.4548969e-08,6.35394458e-08,6.30616632e-08,6.96107719e-08,5.79398489e-08,5.32804095e-08,7.73201079e-08,1.007359111e-07,7.39109535e-08,8.76096832e-08,1.421994522e-07,1.428140707e-07,1.3998007e-07,1.355552868e-07,1.648984819e-07,1.963394769e-07,2.154576561e-07,1.806506865e-07,2.152804269e-07,2.204800916e-07,2.303801462e-07,2.160211166e-07,2.424887936e-07,2.589809748e-07,2.025191568e-07,1.960058718e-07,1.84300217e-07,1.909302194e-07
int,avg,8.5910484e-09,9.5101077e-09,2.21925053e-08,1.98579612e-08,2.84758105e-08,2.40268823e-08,2.93754463e-08,2.9363246e-08,4.28799019e-08,3.6832846e-08,3.75657891e-08,3.83526861e-08,4.17841818e-08,3.76457488e-08,4.0266567e-08,3.81299459e-08,4.43432243e-08,3.98311135e-08,4.23754443e-08,3.5650378e-08,4.3771552e-08,4.2678871e-08,4.168822e-08,4.14039912e-08,4.38402417e-08,4.41562377e-08,4.98740124e-08,4.03588041e-08,4.70717009e-08,4.12630941e-08,4.48174994e-08,4.67866928e-08,4.05586026e-08,4.5218662e-08,5.02578515e-08,5.9811331e-08,6.08306422e-08,5.41577452e-08,6.30919018e-08,7.20375143e-08,7.01897974e-08,7.75543033e-08,7.01769332e-08,5.89084687e-08,6.73871321e-08,7.09009649e-08,8.0292071e-08,1.017176218e-07,8.99036069e-08,8.23398483e-08,1.058538163e-07,1.237506677e-07,1.309054237e-07,1.21241355e-07,1.439140755e-07,1.685922959e-07,1.833795238e-07,1.576395673e-07,1.922882276e-07,2.006241062e-07,2.166259616e-07,2.065366539e-07,2.192508031e-07,2.464351345e-07,1.922507744e-07,1.756976486e-07,1.740129805e-07,1.782050905e-07
ull,max,9.5304051e-09,6.9801118e-09,5.3383022e-09,6.9803008e-09,9.5003415e-09,9.5103415e-09,9.4697124e-09,9.5197124e-09,6.1020087e-09,1.06819334e-08,9.9981369e-09,4.7998799e-09,9.5103716e-09,8.5485504e-09,9.3983827e-09,9.4893471e-09,9.5388237e-09,9.3882925e-09,5.8003114e-09,6.3197803e-09,9.4993849e-09,6.0817012e-09,1.00508788e-08,7.4099539e-09,9.4783905e-09,6.9284283e-09,9.5002057e-09,6.9792805e-09,6.7693253e-09,9.4703114e-09,7.3279272e-09,1.00384267e-08,1.08806886e-08,1.08489799e-08,1.08386998e-08,1.08901248e-08,1.04401334e-08,1.08102417e-08,1.08396638e-08,1.06699263e-08,1.1459561e-08,1.08091908e-08,1.04081903e-08,1.08501195e-08,1.02513899e-08,2.15217261e-08,6.7992485e-09,1.08505025e-08,2.50000597e-08,2.7939884e-08,2.66695366e-08,1.97801642e-08,2.89614391e-08,2.49492609e-08,2.83996774e-08,3.47401199e-08,4.14205891e-08,4.26691223e-08,7.18917679e-08,4.48400464e-08,4.26390738e-08,5.17414536e-08,4.99282516e-08,6.00806119e-08,2.90604463e-08,3.26803914e-08,2.04692976e-08,2.72697723e-08
ull,min,9.5304051e-09,5.6900436e-09,4.8796207e-09,8.5587782e-09,5.0101981e-09,5.0199931e-09,5.8390607e-09,5.001217e-09,5.0289592e-09,5.0309999e-09,5.000509e-09,5.0089774e-09,4.9996571e-09,5.0190289e-09,5.0294255e-09,5.0100829e-09,5.0204185e-09,5.0116786e-09,5.0286963e-09,5.0212735e-09,5.0295377e-09,4.992095e-09,4.9990938e-09,5.0301782e-09,5.0096797e-09,5.0292241e-09,5.0296056e-09,5.0100484e-09,5.0284451e-09,5.0098631e-09,5.0309448e-09,5.0298465e-09,5.0289023e-09,5.0294971e-09,5.0301775e-09,5.0283548e-09,5.0287982e-09,5.0014294e-09,5.0097517e-09,5.0085536e-09,5.0311824e-09,5.0192268e-09,5.0413112e-09,5.0202971e-09,5.0306046e-09,5.0012645e-09,4.9600601e-09,4.8698663e-09,5.0287999e-09,5.010231e-09,5.0017973e-09,7.819265e-09,4.9995155e-09,7.0899858e-09,5.5501926e-09,7.5593246e-09,6.9714151e-09,5.0096904e-09,7.3995422e-09,8.5501146e-09,1.18413074e-08,1.13595497e-08,1.51888158e-08,2.26695195e-08,4.2889967e-09,1.09816547e-08,5.9592413e-09,6.9300046e-09
ull,med,9.5304051e-09,6.3304212e-09,4.2784901e-09,8.645801e-09,9.5098782e-09,5.0247615e-09,9.4701756e-09,5.8344601e-09,5.0004564e-09,8.2202616e-09,5.0107906e-09,5.0085855e-09,6.4184178e-09,8.6949462e-09,5.0019441e-09,5.0137962e-09,5.0188399e-09,4.5889265e-09,4.9806842e-09,3.1154346e-09,5.0305025e-09,5.0002899e-09,6.6408531e-09,3.5559176e-09,5.0200967e-09,4.5117507e-09,5.00097e-09,5.0146737e-09,5.6406647e-09,5.0205499e-09,5.0297331e-09,5.9412034e-09,7.2080014e-09,5.0366327e-09,5.0393492e-09,5.0268013e-09,4.7800763e-09,4.9996858e-09,5.0188344e-09,4.9099188e-09,5.2882568e-09,4.8992141e-09,1.08386247e-08,1.08614742e-08,1.07812843e-08,1.86853597e-08,8.6095027e-09,1.09749434e-08,1.9559994e-08,2.52850932e-08,1.84007542e-08,1.71396033e-08,2.65501007e-08,2.26500833e-08,2.48614586e-08,3.00110874e-08,4.3699729e-08,4.22596358e-08,6.11700911e-08,3.99555733e-08,3.92206146e-08,4.19305681e-08,4.46396643e-08,5.51801714e-08,1.57709457e-08,1.9394967e-08,1.87585686e-08,1.96755946e-08
ull,avg,9.5304051e-09,6.3304212e-09,4.5388052e-09,8.1552548e-09,7.7777336e-09,6.500207e-09,8.5096276e-09,6.6958844e-09,5.5398933e-09,7.724351e-09,6.6073912e-09,4.9359499e-09,6.6331423e-09,7.3434204e-09,6.2738616e-09,5.6825321e-09,6.1070287e-09,5.6240091e-09,5.279806e-09,4.5279257e-09,6.1025099e-09,5.0732966e-09,6.5710586e-09,4.8870602e-09,5.5177097e-09,5.1962135e-09,5.4715673e-09,5.2672059e-09,5.277344e-09,5.2861598e-09,5.1817649e-09,6.4546229e-09,6.5726e-09,5.7023143e-09,6.0280481e-09,6.3331826e-09,6.5355458e-09,6.8426882e-09,7.116136e-09,7.2513486e-09,7.7630619e-09,7.7754253e-09,7.8337083e-09,8.2838512e-09,8.1167755e-09,1.51846711e-08,6.211713e-09,9.0329758e-09,1.84351152e-08,2.16735687e-08,1.81315346e-08,1.52225422e-08,2.26568954e-08,2.14780781e-08,2.23790053e-08,2.5939865e-08,3.36546722e-08,3.8622766e-08,5.12735774e-08,3.66203183e-08,3.59876815e-08,5.28052655e-08,4.1492399e-08,5.38344253e-08,1.84583051e-08,2.16838711e-08,1.67508798e-08,1.78829385e-08
float,max,1.06208365e-08,6.7589651e-09,5.60688974e-08,7.20410027e-08,9.29315312e-08,8.46112056e-08,9.72904819e-08,9.45694931e-08,1.368214307e-07,1.291488458e-07,1.230408978e-07,1.189987457e-07,1.281492142e-07,9.95887526e-08,1.33908701e-07,1.345696642e-07,1.281780905e-07,1.255292934e-07,1.343292809e-07,1.514085577e-07,1.297890649e-07,1.263591418e-07,1.335498604e-07,1.232489151e-07,1.29191127e-07,1.345682738e-07,1.418885361e-07,1.393107733e-07,1.399605193e-07,1.188321976e-07,1.340605667e-07,1.289994299e-07,1.357899979e-07,1.375289136e-07,1.51940968e-07,1.426797571e-07,1.464206172e-07,1.381101651e-07,1.714697748e-07,1.696201472e-07,1.610305438e-07,1.568100667e-07,1.612218727e-07,1.549018616e-07,1.684606099e-07,1.793007617e-07,1.870499448e-07,1.924683577e-07,2.660696313e-07,2.240111723e-07,1.9035101e-07,2.113096613e-07,2.386492015e-07,2.269882138e-07,2.337902281e-07,2.435589162e-07,2.610801376e-07,2.653179036e-07,2.807602773e-07,2.936204774e-07,2.962286169e-07,2.709997501e-07,2.82310712e-07,2.870691545e-07,2.439005156e-07,2.534402191e-07,2.558280553e-07,2.469505478e-07
float,min,1.06208365e-08,5.9210028e-09,1.18779097e-08,1.62592638e-08,1.84292096e-08,1.91395349e-08,2.85810422e-08,2.07707025e-08,1.85402213e-08,2.00702217e-08,2.30509111e-08,2.11003423e-08,2.64005641e-08,1.95098878e-08,1.66688774e-08,2.24506725e-08,1.57318741e-08,1.80696333e-08,1.46984537e-08,1.83100299e-08,1.8449276e-08,1.61986952e-08,2.91403992e-08,1.86911346e-08,2.45096249e-08,1.77817296e-08,1.89401425e-08,1.90597023e-08,2.00487993e-08,1.99093503e-08,1.99403181e-08,2.64596452e-08,3.27789188e-08,2.62805394e-08,2.66600316e-08,2.49003986e-08,2.63297777e-08,2.51190622e-08,2.62619292e-08,2.68596756e-08,2.59104579e-08,2.55298297e-08,2.21398701e-08,2.69515279e-08,2.9350489e-08,1.81799397e-08,2.18080586e-08,1.84601459e-08,1.78909224e-08,1.51892595e-08,2.1991879e-08,1.81286234e-08,2.89495409e-08,2.49987421e-08,2.48101776e-08,1.58797182e-08,2.58096655e-08,2.50589896e-08,2.36689848e-08,1.75005003e-08,1.3711317e-08,2.52008696e-08,2.85522461e-08,2.16702968e-08,1.73307436e-08,2.48812968e-08,2.38295622e-08,2.57919342e-08
