omp_atomicadd_scalar
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,8.6115051e-09,2.51598428e-08,4.17598793e-08,5.42303763e-08,7.17596344e-08,9.90704263e-08,1.221606358e-07,1.41850126e-07,1.578408841e-07,1.695198972e-07,1.882096404e-07,2.030502129e-07,1.953013646e-07,2.353505577e-07,2.478495305e-07,2.228210361e-07,2.455812257e-07,2.498111215e-07,2.288016379e-07,3.263593309e-07,2.681920117e-07,2.945312869e-07,3.319891431e-07,3.334090742e-07,4.257310089e-07,3.497906889e-07,3.940313673e-07,4.375487976e-07,4.652594879e-07,4.551892088e-07,4.334899379e-07,4.638702225e-07,5.239300232e-07,5.313594243e-07,5.982900548e-07,6.082889648e-07,6.292411095e-07,6.436401443e-07,6.914816107e-07,7.195608069e-07,7.180481705e-07,7.39849711e-07,7.88620843e-07,7.9259011e-07,8.290283975e-07,7.748106552e-07,8.30019413e-07,8.781281911e-07,8.585507614e-07,9.079891479e-07,9.574300081e-07,9.828001773e-07,9.906204494e-07,9.809295604e-07,9.707505266e-07,1.0118704169e-06,1.0396703984e-06,1.0542795923e-06,1.0727504547e-06,1.0558498619e-06,1.176928997e-06,1.1360790581e-06,1.1617799089e-06,1.2183099922e-06,1.1929316818e-06,1.2482400305e-06,1.2098284731e-06,1.1965403079e-06
int,min,8.6115051e-09,2.48681694e-08,4.17890829e-08,1.91996239e-08,2.32486061e-08,5.86592152e-08,9.42481784e-08,1.270495639e-07,1.211592258e-07,1.438307585e-07,1.604502579e-07,1.792209879e-07,1.355802994e-07,1.878199886e-07,1.936514424e-07,2.232096584e-07,2.039608218e-07,1.881579207e-07,2.140597839e-07,2.78230643e-07,2.39269453e-07,2.559896478e-07,3.008491745e-07,2.300492868e-07,3.415994293e-07,2.935819588e-07,3.202497203e-07,3.495108971e-07,3.426302246e-07,3.663599706e-07,3.261002402e-07,3.88619792e-07,4.434297758e-07,3.99139612e-07,4.231001483e-07,4.299200676e-07,4.707906888e-07,4.223685564e-07,4.709800325e-07,4.684406691e-07,4.049203778e-07,4.59951214e-07,4.845198549e-07,4.63690506e-07,4.592380939e-07,3.590201128e-07,4.639001436e-07,4.599711867e-07,4.559409244e-07,4.581001268e-07,4.527003374e-07,4.812803233e-07,4.750401843e-07,3.817692628e-07,4.72808744e-07,4.65271064e-07,5.073401761e-07,4.462700629e-07,4.419708861e-07,4.671102939e-07,4.806216989e-07,4.345304111e-07,6.714889589e-07,9.913885162e-07,9.18169362e-07,9.986291585e-07,8.777393419e-07,9.990598126e-07
int,med,8.6115051e-09,2.49798368e-08,4.17894368e-08,5.34342899e-08,7.03105127e-08,9.50900282e-08,1.212403401e-07,1.332038423e-07,1.573901421e-07,1.545907995e-07,1.868494762e-07,1.903996979e-07,1.841204152e-07,2.146296082e-07,2.46930549e-07,1.805202095e-07,2.410288014e-07,2.107305085e-07,2.02149333e-07,3.047154607e-07,2.612896962e-07,2.505445557e-07,3.053506352e-07,2.794257783e-07,4.122714252e-07,2.972251296e-07,3.716018356e-07,3.791896513e-07,4.553703481e-07,3.996855613e-07,4.038592769e-07,4.067093597e-07,4.968794673e-07,4.820647443e-07,5.526612639e-07,5.347307365e-07,5.943481923e-07,5.989046098e-07,6.167307518e-07,6.489687191e-07,6.098999297e-07,6.342306072e-07,6.846295387e-07,6.752851895e-07,6.97581391e-07,6.582491798e-07,7.186603166e-07,7.322198941e-07,7.060609695e-07,8.100396961e-07,8.069317908e-07,8.469196182e-07,8.095002271e-07,8.340707346e-07,8.301481262e-07,9.318401038e-07,9.923703847e-07,9.319733251e-07,9.244118294e-07,9.569998658e-07,1.0100802943e-06,9.633599621e-07,1.0442006091e-06,1.0647849702e-06,1.0714704926e-06,1.1399514175e-06,1.0377510822e-06,1.126049872e-06
int,avg,8.6115051e-09,2.49798368e-08,4.17965566e-08,4.50823712e-08,6.08196521e-08,8.43619868e-08,1.102886317e-07,1.33849876e-07,1.425973021e-07,1.565634894e-07,1.762601184e-07,1.907477314e-07,1.658121104e-07,2.137654735e-07,2.246815851e-07,2.032254625e-07,2.235816369e-07,2.211041344e-07,1.923731552e-07,3.029637177e-07,2.219848796e-07,2.632105762e-07,3.096085665e-07,2.998179848e-07,3.857564205e-07,3.082192867e-07,3.546343189e-07,3.950905857e-07,4.166834632e-07,4.119233434e-07,3.862005115e-07,4.227139674e-07,4.662973514e-07,4.723399129e-07,5.112924528e-07,5.170610741e-07,5.627081396e-07,5.635523768e-07,5.874644805e-07,6.106750657e-07,5.997629774e-07,6.283652483e-07,6.540088702e-07,6.556818971e-07,6.916983934e-07,6.372016339e-07,6.978124484e-07,7.293145508e-07,7.213700864e-07,7.698640301e-07,8.088692405e-07,8.442039606e-07,8.419244592e-07,8.302087916e-07,8.576457691e-07,9.125241018e-07,9.373324834e-07,9.2603866e-07,9.48431997e-07,9.649821014e-07,1.0393095352e-06,1.0217119453e-06,1.0557431811e-06,1.1200719032e-06,1.0999753516e-06,1.1478693142e-06,1.1004489622e-06,1.1189908656e-06
ull,max,6.5187288e-09,2.52394113e-08,3.64996748e-08,4.46596921e-08,6.57686034e-08,8.73188921e-08,1.1165966e-07,1.33770903e-07,1.632985437e-07,1.802615935e-07,1.916200499e-07,2.083698187e-07,1.684898175e-07,2.405413881e-07,2.387711748e-07,2.098878958e-07,2.000814964e-07,3.109388292e-07,2.245414944e-07,2.454898647e-07,3.32071761e-07,3.583902161e-07,3.013897728e-07,3.897995403e-07,3.493899814e-07,3.99811143e-07,3.550507597e-07,4.657913004e-07,3.883189021e-07,4.749804469e-07,4.892991238e-07,4.801387445e-07,4.699498624e-07,5.145192012e-07,5.800094699e-07,5.898505818e-07,6.40729649e-07,6.228715092e-07,6.858703049e-07,7.056201433e-07,7.359013191e-07,7.14639762e-07,7.638501204e-07,7.525814639e-07,7.568792894e-07,8.335999599e-07,8.707291522e-07,8.453588496e-07,8.862302802e-07,9.043983936e-07,9.194900081e-07,9.306506561e-07,9.778000461e-07,9.763408647e-07,1.0118907425e-06,9.983687157e-07,1.0061678703e-06,1.098680179e-06,1.1321516444e-06,1.0892196442e-06,1.1638589143e-06,1.1873290614e-06,1.1409700584e-06,1.1489696745e-06,1.2203194843e-06,1.2484317831e-06,1.270550442e-06,1.2899408472e-06
ull,min,6.5187288e-09,2.53296474e-08,2.96605392e-08,1.0881011e-08,2.16897765e-08,4.26697815e-08,7.35208038e-08,9.35683414e-08,1.260306836e-07,1.472806882e-07,1.418811797e-07,1.726517415e-07,1.233383897e-07,2.11249137e-07,1.541008534e-07,1.939698337e-07,1.885793277e-07,2.760986383e-07,1.776309784e-07,2.087118997e-07,2.516188934e-07,2.514685846e-07,2.528121814e-07,3.283782176e-07,2.804891129e-07,3.211997661e-07,2.785279326e-07,4.123210768e-07,3.314693753e-07,2.893298947e-07,3.955220476e-07,4.041616548e-07,3.737295949e-07,3.802596512e-07,4.532580002e-07,3.954907359e-07,4.47580322e-07,4.076013962e-07,4.79862126e-07,4.151585033e-07,4.581503638e-07,4.32180536e-07,4.770997411e-07,4.475590166e-07,3.570909634e-07,4.830300403e-07,4.694984937e-07,4.39141469e-07,4.815009177e-07,4.735683546e-07,4.640504541e-07,4.73250497e-07,4.470003165e-07,4.779091539e-07,4.582291844e-07,4.891796768e-07,4.574910759e-07,5.021890875e-07,4.89730448e-07,4.899393724e-07,5.373697046e-07,4.43418846e-07,6.584717802e-07,8.529607996e-07,1.0716302884e-06,9.542018204e-07,1.0263685564e-06,9.218913815e-07
ull,med,6.5187288e-09,2.52847108e-08,3.63896381e-08,4.20654774e-08,6.51291783e-08,8.65215816e-08,1.094303653e-07,1.197546467e-07,1.61949006e-07,1.619653517e-07,1.810304982e-07,1.998350358e-07,1.659881746e-07,2.280517369e-07,2.215708606e-07,1.694748366e-07,1.912398915e-07,2.913308537e-07,2.057212674e-07,1.90170136e-07,3.183008794e-07,3.358540274e-07,2.637911629e-07,3.603151374e-07,3.375387071e-07,3.469195161e-07,3.350800298e-07,4.24424179e-07,3.332709651e-07,4.085892173e-07,4.61979884e-07,4.151547452e-07,4.55522137e-07,4.67830048e-07,5.489185513e-07,5.068494044e-07,5.82938736e-07,5.556950751e-07,6.126606361e-07,6.272750754e-07,6.532294235e-07,6.175150441e-07,6.760900967e-07,6.499295495e-07,6.61769814e-07,7.289790616e-07,7.918398061e-07,6.996939697e-07,7.286598141e-07,7.829062834e-07,7.794906483e-07,8.207090859e-07,8.480302786e-07,8.290246191e-07,9.070795509e-07,8.702246465e-07,9.079700999e-07,9.83320139e-07,9.745580498e-07,9.583696329e-07,1.0139398898e-06,1.0542700114e-06,9.857496521e-07,1.069850003e-06,1.1462191064e-06,1.0609399281e-06,1.1345302531e-06,1.1807447908e-06
ull,avg,6.5187288e-09,2.52847108e-08,3.41901452e-08,3.49080078e-08,5.5081451e-08,7.29118976e-08,9.66802223e-08,1.188172731e-07,1.471902886e-07,1.623926973e-07,1.767937877e-07,1.988678511e-07,1.466545679e-07,2.279208709e-07,2.108196921e-07,1.871847176e-07,1.67448082e-07,2.943145555e-07,1.915174804e-07,2.158210798e-07,2.997337093e-07,3.407189267e-07,2.557379407e-07,3.607686487e-07,3.127126267e-07,3.556035487e-07,3.10798086e-07,4.386737928e-07,3.324218531e-07,4.11862466e-07,4.338815536e-07,4.360143158e-07,4.12832816e-07,4.554395747e-07,5.126910235e-07,4.860309933e-07,5.41913152e-07,5.295247956e-07,5.878628911e-07,5.907503936e-07,6.217989723e-07,6.130346542e-07,6.484187026e-07,6.350983245e-07,6.228024098e-07,6.931920209e-07,7.500151511e-07,6.995142613e-07,7.296085226e-07,7.675756711e-07,7.789606556e-07,8.034123319e-07,8.399111425e-07,8.383961016e-07,8.887021708e-07,8.712481443e-07,9.104269116e-07,9.847119937e-07,1.0050275618e-06,9.703194214e-07,1.0533201296e-06,1.0816856857e-06,1.0598304676e-06,1.0630847337e-06,1.1865000482e-06,1.0949694807e-06,1.1616219169e-06,1.1584950228e-06
float,max,6.6689142e-09,8.47613124e-08,1.261804346e-07,1.094498767e-07,1.779799966e-07,2.863100516e-07,3.472206097e-07,4.342306146e-07,4.493584839e-07,4.419101486e-07,5.012597169e-07,6.158684868e-07,6.704007619e-07,7.606392381e-07,8.435089445e-07,8.420613504e-07,9.399004176e-07,1.0150504967e-06,1.0335600624e-06,1.0906801776e-06,1.1700383382e-06,1.2048485612e-06,1.29269813e-06,1.275370952e-06,1.3430688058e-06,1.3910798297e-06,1.4214301384e-06,1.5717715865e-06,1.5869396109e-06,1.6822899075e-06,1.7039812013e-06,1.6175102231e-06,1.4238588025e-06,1.1473507256e-06,7.857115961e-07,8.237012347e-07,1.0119897798e-06,1.2207884882e-06,1.3837814018e-06,1.4591614935e-06,1.358948049e-06,1.4264887302e-06,1.4675687068e-06,1.4330991583e-06,1.4231398027e-06,1.521080607e-06,1.4850208723e-06,1.521309594e-06,1.6305513272e-06,1.5332900597e-06,1.5013701866e-06,1.6155700591e-06,1.5902017632e-06,1.6832589392e-06,1.7540696765e-06,1.7577600227e-06,1.6725002844e-06,1.7433293657e-06,1.744889913e-06,1.8261202487e-06,1.7540905957e-06,1.8001809006e-06,1.9115707953e-06,1.9427702377e-06,1.865200432e-06,1.9217985477e-06,2.0281304134e-06,2.08992095e-06
float,min,6.6689142e-09,8.47197464e-08,1.20698701e-07,-2.25005719e-08,7.49593286e-08,1.459288139e-07,2.443983098e-07,3.46919937e-07,3.281805185e-07,3.711596751e-07,4.382689119e-07,5.221500993e-07,5.699903391e-07,6.062598837e-07,6.63390152e-07,7.115994481e-07,7.566900706e-07,8.281709856e-07,8.157299118e-07,9.160999638e-07,9.961284351e-07,1.0246504707e-06,9.728210493e-07,1.145160071e-06,1.1308298489e-06,1.154819402e-06,1.0615901973e-06,1.3849206924e-06,1.2516901733e-06,1.406199272e-06,1.4894979973e-06,1.7052899727e-06,1.1497005251e-06,1.0270280212e-06,4.578818805e-07,7.608792542e-07,7.71431012e-07,9.18700015e-07,1.0993393178e-06,1.064850079e-06,1.0687995169e-06,1.0352503705e-06,1.0134695285e-06,1.0615190344e-06,7.885398375e-07,1.0998707222e-06,1.0663996834e-06,1.0214588719e-06,1.3418583757e-06,1.0132490707e-06,1.1070001772e-06,1.2224899211e-06,1.052818351e-06,1.1150387871e-06,1.0953694307e-06,1.1010590169e-06,1.1134613063e-06,9.883510181e-07,1.0643097893e-06,1.6284312582e-06,1.7511497311e-06,1.0761785936e-06,1.5840806659e-06,1.7893005826e-06,1.3849217795e-06,1.5885197397e-06,1.6275796724e-06,1.6015302635e-06
