omp_atomiccaptureincrement
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,6.2907643e-09,3.00199931e-08,4.01296446e-08,5.41703165e-08,6.86898059e-08,9.70293822e-08,1.330491298e-07,1.393488367e-07,1.192114507e-07,1.82140522e-07,2.01448705e-07,2.153387259e-07,2.246911925e-07,2.390207364e-07,1.798718484e-07,2.600002762e-07,2.120317589e-07,2.971515506e-07,3.377597008e-07,2.906990611e-07,2.842297993e-07,3.335893231e-07,3.227696677e-07,4.028197241e-07,3.767417226e-07,4.120102757e-07,4.55710006e-07,3.97389192e-07,4.34158588e-07,4.349308691e-07,4.725510767e-07,5.135302344e-07,5.414911961e-07,5.896378857e-07,5.975119131e-07,6.072487009e-07,6.295101396e-07,6.370289214e-07,7.172500153e-07,6.782909042e-07,6.956707651e-07,7.881105922e-07,7.766102213e-07,8.097604854e-07,7.748680594e-07,8.47389908e-07,8.13921001e-07,8.773285815e-07,8.77930728e-07,8.804603073e-07,9.013000256e-07,9.346387402e-07,9.459600844e-07,9.675898361e-07,1.0240507758e-06,9.841193275e-07,1.0969199977e-06,1.0226115768e-06,1.1065198871e-06,1.116611143e-06,1.1014502757e-06,1.1665812976e-06,1.1559298613e-06,1.2478313699e-06,1.1846708212e-06,1.1796302408e-06,1.2532882333e-06,1.3111101637e-06
int,min,6.2907643e-09,3.00390666e-08,4.00118416e-08,2.13090837e-08,1.85003108e-08,5.26914151e-08,9.68689348e-08,1.037606624e-07,1.02379211e-07,1.198590685e-07,1.654989491e-07,1.720195557e-07,1.678705177e-07,1.625211189e-07,1.891291074e-07,1.836705681e-07,2.134204051e-07,2.508200926e-07,3.009593298e-07,2.688503825e-07,2.40888163e-07,2.434704253e-07,3.006890721e-07,3.280194121e-07,3.223090761e-07,3.523784966e-07,3.546994884e-07,3.03628508e-07,3.256899403e-07,3.45970265e-07,3.873099307e-07,4.192094292e-07,3.45829967e-07,4.242006985e-07,4.305016078e-07,3.993417676e-07,4.209386784e-07,3.943803334e-07,5.037220685e-07,4.62220239e-07,3.794202139e-07,5.01880737e-07,4.751084937e-07,4.622912897e-07,4.169988045e-07,4.947914377e-07,4.76459601e-07,4.724493155e-07,4.616906953e-07,4.694593048e-07,4.747594073e-07,4.68958685e-07,4.822500262e-07,4.717109056e-07,4.807712267e-07,3.855695154e-07,5.254195326e-07,4.933793172e-07,5.225791464e-07,5.227918134e-07,5.398887755e-07,5.523399625e-07,7.296308115e-07,1.0280497815e-06,9.531305055e-07,9.042290088e-07,9.811012431e-07,1.1204788536e-06
int,med,6.2907643e-09,3.00295299e-08,4.01209871e-08,5.16898028e-08,6.7061407e-08,9.57943739e-08,1.329102934e-07,1.235496361e-07,1.213095341e-07,1.674505254e-07,1.994482118e-07,1.952340792e-07,2.221898859e-07,2.143007702e-07,1.714008363e-07,2.322555061e-07,1.972688805e-07,2.658507674e-07,3.20240511e-07,2.456263369e-07,2.688793607e-07,2.946165597e-07,3.153089708e-07,3.669237964e-07,3.684808835e-07,3.660052493e-07,3.938993414e-07,3.360860465e-07,4.221501561e-07,3.66491088e-07,4.660604713e-07,4.43450185e-07,4.939696049e-07,5.227439034e-07,5.649105566e-07,5.250702355e-07,5.374307967e-07,5.758946978e-07,6.470486443e-07,5.952356736e-07,6.020913615e-07,6.847202943e-07,6.799883717e-07,6.962660619e-07,6.625807896e-07,7.767593536e-07,6.979795345e-07,7.371241815e-07,7.427010464e-07,7.522445551e-07,7.49479136e-07,8.379950386e-07,8.219405417e-07,8.521560826e-07,8.490983275e-07,8.162853761e-07,9.392494449e-07,8.904397512e-07,9.301095445e-07,9.804705334e-07,9.854102007e-07,9.957454936e-07,9.59320589e-07,1.1440603193e-06,1.0422901888e-06,1.0438850172e-06,1.1499001656e-06,1.2586439598e-06
int,avg,6.2907643e-09,3.00295299e-08,4.00706391e-08,4.47147514e-08,5.78222102e-08,8.19114145e-08,1.176312815e-07,1.227021619e-07,1.07407913e-07,1.649387126e-07,1.852233584e-07,1.934210241e-07,2.018894844e-07,2.152206143e-07,1.528194723e-07,2.320439863e-07,1.853282423e-07,2.657929362e-07,3.233737051e-07,2.626060778e-07,2.440534579e-07,3.086580499e-07,2.869822924e-07,3.686331583e-07,3.446369323e-07,3.772648213e-07,4.131671963e-07,3.514211014e-07,3.805074122e-07,3.875899357e-07,4.255125183e-07,4.58492479e-07,4.780327995e-07,5.160267064e-07,5.129246229e-07,5.198832638e-07,5.350778248e-07,5.421672589e-07,6.242626726e-07,5.769832229e-07,5.775501066e-07,6.668604534e-07,6.562288647e-07,6.642740614e-07,6.38785663e-07,7.309562831e-07,6.924531649e-07,7.361254574e-07,7.353873925e-07,7.566589431e-07,7.642651362e-07,7.938159617e-07,8.147447822e-07,8.541755176e-07,8.676616084e-07,8.469419973e-07,9.726003754e-07,9.073178825e-07,9.774495012e-07,1.0118945313e-06,9.980007909e-07,1.0472918227e-06,1.0336824811e-06,1.134981958e-06,1.0653355993e-06,1.0837487895e-06,1.1519402304e-06,1.2101993642e-06
ull,max,5.0302199e-09,3.1228266e-08,4.01915579e-08,5.66898482e-08,7.35499301e-08,1.011698149e-07,1.268312024e-07,9.5428689e-08,1.698495631e-07,1.88658331e-07,2.056203658e-07,2.176509793e-07,2.200001384e-07,1.917597397e-07,1.910896167e-07,2.117800958e-07,1.935693327e-07,2.161490034e-07,2.297889868e-07,2.858204976e-07,3.18111212e-07,3.860391283e-07,3.094585965e-07,3.498494162e-07,3.410405695e-07,3.914717239e-07,4.348188805e-07,4.281509766e-07,4.597098094e-07,4.663413596e-07,4.820098349e-07,4.834705545e-07,5.426991624e-07,5.759790971e-07,5.783701477e-07,6.201290981e-07,6.446009491e-07,7.015402898e-07,7.031292763e-07,7.077988113e-07,7.288000731e-07,7.848481422e-07,7.766518619e-07,8.073111833e-07,8.32928268e-07,8.317803749e-07,8.470798128e-07,9.111287845e-07,8.587184833e-07,9.003793958e-07,8.963295129e-07,9.488993961e-07,9.898699687e-07,1.0134605814e-06,9.899703046e-07,1.0697203526e-06,1.0762195831e-06,1.0708311987e-06,1.0966416577e-06,1.1010298427e-06,1.1385488385e-06,1.205199202e-06,1.2298808232e-06,1.1876803809e-06,1.2184404941e-06,1.229579948e-06,1.2272315993e-06,1.3275101244e-06
ull,min,5.0302199e-09,3.11393387e-08,3.94191534e-08,1.87505028e-08,2.17201152e-08,5.97597276e-08,8.84603223e-08,4.41400842e-08,1.390796158e-07,1.506090067e-07,1.76091281e-07,1.839795622e-07,1.793201723e-07,1.802117043e-07,1.552100047e-07,1.919899377e-07,1.91169539e-07,1.878503746e-07,1.892292583e-07,2.526003082e-07,2.375916747e-07,3.116200221e-07,2.67610182e-07,3.131214836e-07,2.871407339e-07,3.504795953e-07,3.586904846e-07,3.842501842e-07,3.917589404e-07,4.072419839e-07,4.320685835e-07,3.611290991e-07,4.04101046e-07,4.412084242e-07,4.37099644e-07,4.84251474e-07,4.796899893e-07,4.957577415e-07,4.830203223e-07,4.723785172e-07,4.806790901e-07,4.910107054e-07,4.781189717e-07,4.999579024e-07,4.73840188e-07,4.899306526e-07,5.041392683e-07,4.880086227e-07,4.925581354e-07,4.310293382e-07,4.04859884e-07,4.473181143e-07,4.821299397e-07,4.776786458e-07,4.693902754e-07,5.239097429e-07,4.955592012e-07,4.645601678e-07,4.910189156e-07,5.093510098e-07,4.789795033e-07,4.98799205e-07,7.861501852e-07,8.642689726e-07,9.63088951e-07,1.0479212561e-06,8.595488828e-07,1.0797407364e-06
ull,med,5.0302199e-09,3.11740298e-08,4.00103598e-08,5.6469311e-08,7.2457973e-08,1.005045023e-07,1.271392545e-07,6.74144856e-08,1.697711909e-07,1.713257583e-07,2.042703297e-07,2.019742045e-07,2.163797054e-07,1.49250447e-07,1.891408493e-07,1.707602885e-07,1.810003566e-07,1.737653455e-07,1.967107932e-07,2.46324532e-07,2.999410069e-07,3.522406789e-07,2.993791719e-07,3.058063521e-07,3.23510401e-07,3.373395063e-07,4.079502423e-07,3.699745769e-07,4.515082117e-07,4.155354561e-07,4.632315244e-07,4.255499078e-07,5.239787114e-07,5.206364618e-07,5.386806068e-07,5.598700351e-07,5.683803528e-07,6.174741745e-07,6.246202242e-07,6.398805164e-07,6.34899379e-07,6.822206052e-07,6.783881554e-07,7.572655072e-07,7.313886116e-07,7.248196983e-07,7.498109404e-07,7.809297502e-07,7.531585121e-07,7.580702727e-07,7.42028777e-07,7.749006963e-07,8.315593456e-07,8.526453477e-07,8.542897115e-07,9.561200432e-07,9.495011411e-07,9.192894144e-07,9.714993552e-07,9.632441695e-07,9.959510182e-07,1.0217608308e-06,1.097538615e-06,1.1090500686e-06,1.0664907518e-06,1.1032155259e-06,1.0566806972e-06,1.2825343364e-06
ull,avg,5.0302199e-09,3.11740298e-08,3.98728678e-08,4.71119778e-08,6.26575389e-08,8.72679002e-08,1.1153434e-07,6.8588159e-08,1.56302494e-07,1.710362443e-07,1.92634886e-07,2.013940912e-07,2.019814441e-07,1.689238613e-07,1.649023866e-07,1.822654195e-07,1.610129138e-07,1.778343481e-07,1.901065602e-07,2.60377382e-07,2.827341677e-07,3.547843462e-07,2.575077477e-07,3.198305745e-07,2.993386434e-07,3.509151443e-07,3.841425169e-07,3.822372554e-07,4.180996035e-07,4.276079627e-07,4.499954579e-07,4.38805624e-07,4.756641871e-07,5.052666356e-07,4.973837117e-07,5.400505088e-07,5.561536247e-07,5.945420406e-07,6.018933588e-07,6.146146169e-07,6.172616696e-07,6.599213504e-07,6.575231518e-07,7.022819521e-07,7.056845371e-07,7.190993206e-07,7.054518412e-07,7.679341357e-07,7.328656438e-07,7.570782133e-07,7.675569499e-07,8.037582962e-07,8.417042027e-07,8.572990084e-07,8.608229839e-07,9.476511787e-07,9.527820334e-07,9.474524431e-07,9.765448204e-07,9.904782892e-07,1.0369358946e-06,1.081731653e-06,1.1288121421e-06,1.0879393766e-06,1.1138362245e-06,1.1286332424e-06,1.0869927153e-06,1.2282616793e-06
float,max,1.057991e-08,7.2479276e-08,1.256490887e-07,9.85918805e-08,2.027989311e-07,2.539318199e-07,2.855090787e-07,3.506198418e-07,3.908387155e-07,4.558591e-07,4.86967888e-07,3.991900853e-07,2.049399896e-07,4.876914192e-07,5.151005843e-07,5.721490814e-07,6.281591258e-07,6.188192711e-07,7.214814975e-07,7.627413136e-07,7.477391498e-07,8.528899512e-07,8.40881338e-07,9.468906085e-07,9.598492827e-07,9.608189197e-07,1.0521709959e-06,1.0437705078e-06,1.0748998428e-06,1.2094396541e-06,1.1855100763e-06,1.2848203195e-06,1.3232618053e-06,1.2874600975e-06,1.3379014037e-06,1.332499269e-06,1.2897293538e-06,1.3429093047e-06,1.4441205286e-06,1.3960295949e-06,1.3805192763e-06,1.4680488004e-06,1.4828600406e-06,1.5094586476e-06,1.4696994066e-06,1.4820502579e-06,1.5047600191e-06,1.5866201848e-06,1.5546316388e-06,1.5461403716e-06,1.5319607304e-06,1.6966993355e-06,1.6535201071e-06,1.6168899188e-06,1.7209204732e-06,1.6510285237e-06,1.6674192061e-06,1.7167891779e-06,1.7747196782e-06,1.7182493787e-06,1.8318521643e-06,1.9139987932e-06,1.9002803607e-06,1.775528161e-06,1.9216686565e-06,1.9109915663e-06,1.9534122853e-06,2.031719481e-06
float,min,1.057991e-08,7.24612106e-08,1.248793468e-07,-2.65997235e-08,1.386290997e-07,1.167198576e-07,1.482414771e-07,3.176210541e-07,3.343703767e-07,3.715313356e-07,3.488286266e-07,3.671585492e-07,1.542201227e-07,4.307095326e-07,3.944989709e-07,4.702520221e-07,5.190713757e-07,5.232219543e-07,5.503900601e-07,6.326282191e-07,6.373702586e-07,7.089895538e-07,5.006388092e-07,7.895586514e-07,7.709584689e-07,7.337801297e-07,8.373597455e-07,7.768611073e-07,7.718315353e-07,9.827504674e-07,9.175114345e-07,1.0088301488e-06,1.1401387094e-06,1.0627378563e-06,1.0207600116e-06,9.622915616e-07,8.628200645e-07,1.1177389685e-06,1.1016400256e-06,1.1108903397e-06,8.845202321e-07,1.0494411124e-06,9.150704791e-07,1.0863616586e-06,9.505387927e-07,1.023779946e-06,8.551299493e-07,1.0867506439e-06,9.794088585e-07,1.0585401108e-06,9.657801007e-07,1.2356100174e-06,1.1229895958e-06,1.030448745e-06,1.1279700316e-06,1.1462398683e-06,1.1242699246e-06,1.1037710008e-06,1.1407000743e-06,1.1808784038e-06,1.188539077e-06,1.4611480421e-06,1.5374594206e-06,1.3903516887e-06,1.5946483052e-06,1.4761420958e-06,1.5201378151e-06,1.5877093361e-06
