omp_atomicread_close
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.0501402e-09,1.0504829e-09,1.0516132e-09,1.0586279e-09,1.05099e-09,1.0585271e-09,1.0599956e-09,1.0594757e-09,1.059722e-09,1.0587263e-09,1.0514931e-09,1.0583475e-09,1.0506638e-09,1.0512463e-09,1.0515079e-09,1.0513364e-09,1.0603548e-09,1.0508128e-09,1.0500342e-09,1.0509277e-09,1.050417e-09,1.0512424e-09,1.0510768e-09,1.050495e-09,1.0917212e-09,1.0893495e-09,1.050882e-09,2.3000652e-09,1.0511194e-09,2.6696693e-09,1.0904448e-09,2.2597786e-09,1.079384e-09,2.5105154e-09,2.6591663e-09,2.6890257e-09,2.6704411e-09,2.670665e-09,2.6699329e-09,2.6596497e-09,2.6800233e-09,2.6983824e-09,2.6602608e-09,2.6906372e-09,2.6897469e-09,2.6807301e-09,2.7006187e-09,2.6984938e-09,2.6912497e-09,2.7102283e-09,2.7191772e-09,2.7000896e-09,2.7094585e-09,2.7199397e-09,2.7298384e-09,2.7004207e-09,2.6981883e-09,2.8603714e-09,3.0004965e-09,2.6905522e-09,2.9092111e-09,2.7094283e-09,2.6893665e-09,2.6797321e-09,2.7002438e-09,2.6890276e-09,2.8900607e-09,4.1096913e-09
int,min,1.0501402e-09,1.0497931e-09,6.317863e-10,6.39677e-10,1.0508313e-09,8.497067e-10,1.049863e-09,8.406429e-10,7.898381e-10,7.910382e-10,1.0496376e-09,1.0499297e-09,1.0507457e-09,8.418752e-10,9.006601e-10,8.406252e-10,9.005006e-10,9.009245e-10,9.013002e-10,8.405356e-10,7.907831e-10,6.615465e-10,7.902965e-10,7.011873e-10,6.10415e-10,5.097609e-10,4.112183e-10,3.702045e-10,3.513049e-10,3.505794e-10,4.607486e-10,4.51078e-10,1.0492265e-09,5.303737e-10,1.0500246e-09,7.40988e-10,8.401767e-10,8.998473e-10,1.0507104e-09,1.0505814e-09,1.0506369e-09,9.116582e-10,9.700888e-10,7.007196e-10,9.009113e-10,7.405269e-10,8.999963e-10,8.616438e-10,9.007806e-10,4.607408e-10,9.698172e-10,9.700935e-10,1.050511e-09,9.714015e-10,1.0493892e-09,8.41886e-10,8.418521e-10,8.499268e-10,1.1207935e-09,8.517204e-10,9.708545e-10,9.401285e-10,8.890431e-10,1.469985e-09,1.0501732e-09,1.0505109e-09,1.0511311e-09,1.0501476e-09
int,med,1.0501402e-09,1.0505591e-09,7.915103e-10,9.246014e-10,1.0507285e-09,1.0499124e-09,1.0498027e-09,1.0499498e-09,1.0505762e-09,1.0500193e-09,1.0505521e-09,1.0497842e-09,1.0499454e-09,1.0503528e-09,1.0492511e-09,1.0500768e-09,1.0501848e-09,1.0503479e-09,1.0492398e-09,1.0499313e-09,1.0487099e-09,1.051078e-09,1.0500864e-09,1.0500317e-09,1.051217e-09,1.0497756e-09,1.0501218e-09,1.04938e-09,1.0494022e-09,1.0496947e-09,1.0502728e-09,1.0501333e-09,1.0492535e-09,1.0504797e-09,1.0500386e-09,1.0499855e-09,1.0497247e-09,1.0501872e-09,1.0507533e-09,1.0587374e-09,1.1007574e-09,1.060881e-09,1.4296388e-09,2.3150092e-09,2.0900571e-09,2.2911213e-09,2.2807172e-09,2.2904097e-09,2.3094943e-09,2.5045993e-09,2.4795041e-09,2.3093965e-09,2.4587848e-09,2.3999278e-09,2.4392841e-09,2.4056001e-09,2.4601515e-09,2.5346645e-09,2.6294363e-09,2.4153611e-09,2.4809056e-09,2.4189731e-09,2.2596324e-09,2.280509e-09,2.1806572e-09,2.1850938e-09,2.0802257e-09,2.1242329e-09
int,avg,1.0501402e-09,1.0505591e-09,8.268203e-10,8.877035e-10,1.05099e-09,1.0188598e-09,1.0514103e-09,1.0247565e-09,1.0239944e-09,1.026035e-09,1.0525678e-09,1.0530297e-09,1.0515348e-09,1.0381982e-09,1.0424987e-09,1.0392565e-09,1.0430846e-09,1.0431822e-09,1.0427777e-09,1.0428514e-09,1.0395626e-09,1.0344747e-09,1.0343019e-09,1.037462e-09,1.0371079e-09,1.0314588e-09,1.0283811e-09,1.1154314e-09,1.0277091e-09,1.1363092e-09,1.0300226e-09,1.108373e-09,1.0528478e-09,1.1859168e-09,1.2562081e-09,1.4136828e-09,1.4458521e-09,1.5437619e-09,1.5264555e-09,1.6226424e-09,1.7150217e-09,1.7460308e-09,1.7524302e-09,1.910033e-09,1.8391405e-09,1.9129416e-09,1.925585e-09,1.9174378e-09,2.0350951e-09,2.129449e-09,2.1284906e-09,2.0985172e-09,2.1877863e-09,2.165553e-09,2.2147329e-09,2.2091856e-09,2.2924393e-09,2.3579971e-09,2.539795e-09,2.3077778e-09,2.3719024e-09,2.3172191e-09,2.1686697e-09,2.2128707e-09,2.0905241e-09,2.1233491e-09,2.0401238e-09,2.0606954e-09
ull,max,1.0394688e-09,1.0385588e-09,1.0402399e-09,1.0894897e-09,1.0319868e-09,1.039446e-09,1.0317128e-09,1.0994504e-09,1.0899936e-09,1.0891217e-09,1.0905139e-09,1.0888666e-09,1.089644e-09,1.0992531e-09,1.2003885e-09,1.0996649e-09,1.1001454e-09,1.0910921e-09,1.089771e-09,1.1002106e-09,1.1009976e-09,1.1012476e-09,1.0997195e-09,1.0995279e-09,1.0995139e-09,1.0997139e-09,1.0299638e-09,1.090188e-09,1.031221e-09,1.0996404e-09,1.0316075e-09,1.1004913e-09,2.1603415e-09,2.2007646e-09,2.2612628e-09,2.2790643e-09,2.2505536e-09,2.2498959e-09,2.2104721e-09,2.2090707e-09,2.250033e-09,2.2193941e-09,2.2511868e-09,2.2213364e-09,2.2787042e-09,2.2207344e-09,2.2305701e-09,2.2588118e-09,2.2686436e-09,2.2700217e-09,2.2800168e-09,2.2202133e-09,2.279202e-09,2.2599297e-09,2.2591864e-09,2.3888292e-09,2.2489742e-09,2.3000516e-09,2.2692924e-09,2.2309039e-09,2.2802686e-09,2.2913527e-09,2.3096175e-09,2.220858e-09,4.5090363e-09,2.5597044e-09,4.4581917e-09,2.608868e-09
ull,min,1.0394688e-09,1.0301973e-09,7.297163e-10,5.411327e-10,5.412495e-10,1.0308916e-09,7.308313e-10,1.030912e-09,7.800426e-10,6.204372e-10,1.0304131e-09,1.0296356e-09,1.0297658e-09,1.0308369e-09,1.030528e-09,9.997943e-10,1.0300652e-09,1.0311848e-09,1.0302805e-09,8.898088e-10,1.0300711e-09,8.305223e-10,6.513155e-10,5.198413e-10,4.196802e-10,3.894218e-10,3.416245e-10,3.412109e-10,3.401656e-10,3.411708e-10,4.604283e-10,5.922383e-10,6.598682e-10,7.693709e-10,1.0305476e-09,9.605597e-10,8.812981e-10,1.030777e-09,1.0306236e-09,1.0297478e-09,7.80356e-10,9.51561e-10,9.515517e-10,8.908542e-10,8.314471e-10,1.0307742e-09,1.0297557e-09,1.0305144e-09,7.807935e-10,6.900314e-10,7.313237e-10,7.719559e-10,5.91313e-10,6.49951e-10,5.405742e-10,6.209836e-10,4.71718e-10,1.0299654e-09,9.512976e-10,9.617863e-10,1.0009543e-09,1.0316243e-09,1.0317743e-09,8.796498e-10,6.316336e-10,9.318411e-10,1.0306386e-09,1.0317487e-09
ull,med,1.0394688e-09,1.0343923e-09,1.030528e-09,1.0358789e-09,1.039335e-09,1.0361029e-09,1.0395914e-09,1.0391864e-09,1.0394556e-09,1.0342276e-09,1.0398312e-09,1.035851e-09,1.0387569e-09,1.0359679e-09,1.0392555e-09,1.0338965e-09,1.0308015e-09,1.0389056e-09,1.0394179e-09,1.0310097e-09,1.0306308e-09,1.0398019e-09,1.0404266e-09,1.0343658e-09,1.0403592e-09,1.0304239e-09,1.0296324e-09,1.0405545e-09,1.0303705e-09,1.0354398e-09,1.0304335e-09,1.0310439e-09,1.0390988e-09,1.038771e-09,1.0394086e-09,1.0387766e-09,1.0403137e-09,1.0392068e-09,1.0406558e-09,1.0406281e-09,1.0400494e-09,1.0414677e-09,2.0687541e-09,1.7309981e-09,2.1200081e-09,2.1090506e-09,2.1185629e-09,2.1299036e-09,2.1305452e-09,2.1202728e-09,2.120629e-09,2.1293027e-09,2.1210953e-09,2.1293025e-09,2.1398157e-09,2.279151e-09,2.1394254e-09,2.1310634e-09,2.1204491e-09,2.1291939e-09,2.1395457e-09,2.1402189e-09,2.1402074e-09,2.0041451e-09,1.3996638e-09,1.7752715e-09,2.0800269e-09,1.8902282e-09
ull,avg,1.0394688e-09,1.0343923e-09,9.369252e-10,9.524336e-10,9.374568e-10,1.0359023e-09,9.975582e-10,1.0428481e-09,1.0150587e-09,9.994411e-10,1.0405745e-09,1.0372344e-09,1.0364981e-09,1.0394796e-09,1.1330583e-09,1.0362687e-09,1.0375933e-09,1.0379704e-09,1.0385725e-09,1.0348519e-09,1.036669e-09,1.03068e-09,1.0234083e-09,1.0216016e-09,1.0139855e-09,1.0113536e-09,1.0073515e-09,1.0135947e-09,1.008557e-09,1.0111032e-09,1.0120488e-09,1.0189802e-09,1.1254072e-09,1.2000179e-09,1.2484619e-09,1.2862645e-09,1.3727623e-09,1.4030041e-09,1.3795299e-09,1.4582251e-09,1.508965e-09,1.5622974e-09,1.649839e-09,1.5719211e-09,1.6785981e-09,1.6722966e-09,1.7118207e-09,1.7888461e-09,1.7557348e-09,1.8041194e-09,1.8255522e-09,1.8455931e-09,1.8841361e-09,1.8650186e-09,1.9283443e-09,2.0660052e-09,1.9990673e-09,1.9725148e-09,1.9469679e-09,1.9658015e-09,2.0328482e-09,2.0615634e-09,2.0104698e-09,1.8732996e-09,1.5541226e-09,1.7280915e-09,1.9753441e-09,1.8213383e-09
float,max,7.02101e-11,6.06546e-11,4.90634e-11,5.91945e-11,6.92993e-11,6.02863e-11,6.00648e-11,6.84653e-11,6.20415e-11,7.89839e-11,9.01888e-11,1.1115e-11,7.06705e-11,1.696e-12,6.02144e-11,6.07196e-11,6.91257e-11,5.91261e-11,8.05774e-11,5.93298e-11,8.10715e-11,7.05321e-11,6.91077e-11,7.00093e-11,7.94257e-11,1.3565e-12,6.9684e-11,1.369e-12,6.09978e-11,8.01926e-11,4.9182e-11,1.04871e-11,4.10593e-11,6.78479e-11,9.988e-13,1.8611e-12,4.95419e-11,1.5881e-12,1.378574e-10,9.783e-12,3.88771e-11,1.4854e-12,9.912e-13,4.01402e-11,1.799884e-10,1.09964e-11,1.5546e-12,1.08299e-10,4.293097e-10,8.337e-13,4.797e-13,9.3185e-12,3.603932e-10,5.94601e-11,1.3139e-12,9.329e-13,1.6559e-12,6.99767e-11,1.03656e-11,1.3203e-12,6.071e-13,1.08313e-11,1.0992e-12,8.0303e-11,1.085394e-10,2.4312886e-09,2.5790245e-09,3.3907788e-09
float,min,7.02101e-11,8.3913e-12,-1.1179e-12,4.3e-13,1.579e-13,1.515e-13,1.1395e-12,9.172e-13,-5.353e-13,-9.1505e-12,9.666e-13,1.05968e-11,8.7308e-12,1.39e-13,2.563e-13,1.4743e-12,-8.432e-13,-1.78477e-11,9.9783e-12,2.96761e-11,9.668e-13,3.45e-13,5.095e-13,-5.528e-13,4.738e-13,-8.667e-13,-2.417e-13,3.983e-13,-4.036e-13,-7.28e-13,1.2303e-12,4.343e-13,7.15e-13,-9.32e-14,1.402e-13,2.53e-14,-3.593e-13,-5.284e-13,6.036e-13,5.356e-13,-2.788e-13,-1.427e-13,7.924e-13,2.081e-13,-8.562e-13,1.1029e-12,-3.474e-13,1.17e-13,3.08575e-11,4.33e-13,-7.407e-13,-3.607e-13,7.86e-14,2.14e-14,-2.547e-13,-3.7e-15,7.521e-13,7.104e-13,8.289e-13,2.12e-14,7.584e-13,-1.913e-13,1.656e-13,2.66e-13,-9.08e-14,5.77e-14,2.78e-14,-4.648e-13
