omp_atomicread_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.0501402e-09,1.0490024e-09,1.0502881e-09,1.0582523e-09,1.0589859e-09,1.0608446e-09,1.0494122e-09,1.0591217e-09,1.0602817e-09,1.0598477e-09,1.0511194e-09,1.0511784e-09,1.0510222e-09,1.0995906e-09,1.0512769e-09,1.0583121e-09,1.0914267e-09,1.050495e-09,1.0496782e-09,1.0501651e-09,1.0501009e-09,1.0506416e-09,1.0507176e-09,1.1405995e-09,1.0509044e-09,1.0502829e-09,1.050338e-09,1.0498602e-09,1.0896428e-09,1.0504463e-09,2.4092358e-09,2.409239e-09,2.4597409e-09,2.5987685e-09,2.6298831e-09,2.6708908e-09,2.6904399e-09,2.6795576e-09,2.701019e-09,2.6996292e-09,2.6997102e-09,2.6805055e-09,2.7085062e-09,2.7087166e-09,2.7008092e-09,2.6901431e-09,2.7005019e-09,2.6904524e-09,2.7003471e-09,2.7008289e-09,2.6994298e-09,2.6999341e-09,2.6989111e-09,2.6986653e-09,2.6906384e-09,2.8593623e-09,2.860896e-09,2.8391209e-09,2.7004301e-09,2.699628e-09,2.8689473e-09,2.8309584e-09,2.7003841e-09,2.7094781e-09,4.8583394e-09,2.7494977e-09,3.1188016e-09,4.6400862e-09
int,min,1.0501402e-09,1.04909e-09,1.0511105e-09,7.004601e-10,6.997372e-10,9.710097e-10,7.010458e-10,1.050448e-09,8.40078e-10,9.700406e-10,1.049908e-09,1.0509659e-09,1.0497296e-09,7.894962e-10,9.710611e-10,8.491052e-10,8.998401e-10,9.006987e-10,8.417775e-10,7.902652e-10,6.710426e-10,7.90851e-10,8.406866e-10,6.316823e-10,5.507489e-10,9.000519e-10,9.018727e-10,7.409804e-10,6.012769e-10,5.006465e-10,4.212286e-10,3.50184e-10,3.913231e-10,4.513733e-10,6.015979e-10,1.0499156e-09,7.416228e-10,1.0502455e-09,9.109088e-10,9.713019e-10,1.0499097e-09,8.503773e-10,1.0507155e-09,7.40838e-10,7.797478e-10,7.911504e-10,4.596819e-10,7.491968e-10,3.708739e-10,6.309912e-10,9.002982e-10,1.0500423e-09,7.900313e-10,8.411327e-10,1.0504182e-09,8.417204e-10,1.0493999e-09,1.0498595e-09,4.914726e-10,9.704726e-10,9.695264e-10,7.016028e-10,1.0501247e-09,1.1405707e-09,6.022369e-10,1.05127e-09,1.051899e-09,1.0501512e-09
int,med,1.0501402e-09,1.0490138e-09,1.0515726e-09,1.0503078e-09,1.0497075e-09,1.0503474e-09,1.0500209e-09,1.0503694e-09,1.0509145e-09,1.0513721e-09,1.0500438e-09,1.0505661e-09,1.0492575e-09,1.0502941e-09,1.0500438e-09,1.0487404e-09,1.0498959e-09,1.0492194e-09,1.0510796e-09,1.0493089e-09,1.0496376e-09,1.0500414e-09,1.0497308e-09,1.0497684e-09,1.0500185e-09,1.0501065e-09,1.0503098e-09,1.0497953e-09,1.0502977e-09,1.049939e-09,1.0498216e-09,1.0499974e-09,1.0508662e-09,1.0500198e-09,1.0505568e-09,1.0508542e-09,1.0605127e-09,1.0509398e-09,1.059519e-09,1.060088e-09,1.0583864e-09,1.0608434e-09,1.5890012e-09,2.0601421e-09,2.2894218e-09,2.2893893e-09,2.2994034e-09,2.0143613e-09,2.2900012e-09,2.3254196e-09,2.3305479e-09,2.324964e-09,2.4205884e-09,2.4603017e-09,2.3508305e-09,2.5904204e-09,2.5388266e-09,2.569908e-09,2.4404413e-09,2.4343204e-09,2.5204477e-09,2.5142093e-09,2.3304935e-09,2.4193945e-09,1.7604349e-09,2.1148613e-09,2.1705824e-09,2.0501333e-09
int,avg,1.0501402e-09,1.0490138e-09,1.0506032e-09,9.622072e-10,9.814258e-10,1.0270576e-09,1.0014436e-09,1.0514712e-09,1.0216049e-09,1.0450511e-09,1.0521336e-09,1.0518978e-09,1.0505858e-09,1.0336967e-09,1.0464716e-09,1.0379611e-09,1.0464074e-09,1.0430915e-09,1.0403046e-09,1.0374399e-09,1.0325298e-09,1.032774e-09,1.0434059e-09,1.0377537e-09,1.0313605e-09,1.0459256e-09,1.0470684e-09,1.0401084e-09,1.0388285e-09,1.0327958e-09,1.1184232e-09,1.125714e-09,1.1181837e-09,1.165693e-09,1.2962722e-09,1.4124611e-09,1.5124816e-09,1.4844627e-09,1.6457096e-09,1.639847e-09,1.6749654e-09,1.7419252e-09,1.7613164e-09,1.8400197e-09,1.828711e-09,1.8752425e-09,1.9061316e-09,1.8341498e-09,1.9825654e-09,2.0848492e-09,2.0947044e-09,2.0979359e-09,2.2166291e-09,2.2122543e-09,2.1709606e-09,2.4035593e-09,2.3271667e-09,2.4262287e-09,2.3260222e-09,2.3085755e-09,2.3476603e-09,2.3975428e-09,2.2591477e-09,2.3297779e-09,1.8745808e-09,2.0893005e-09,2.1538917e-09,1.9626525e-09
ull,max,1.0393648e-09,1.0295882e-09,1.0407907e-09,1.0397766e-09,1.0319113e-09,1.0996605e-09,1.0994644e-09,1.0389911e-09,1.0907863e-09,1.0894568e-09,1.0985049e-09,1.0993889e-09,1.0909354e-09,1.0991643e-09,1.0991547e-09,1.0995146e-09,1.0390944e-09,1.0997112e-09,1.1001547e-09,1.0999663e-09,1.0998007e-09,1.101162e-09,1.1014597e-09,1.1005754e-09,1.0996091e-09,1.1091832e-09,1.0899333e-09,1.1001929e-09,1.0997633e-09,1.09983e-09,1.0990036e-09,1.0997665e-09,1.8404384e-09,2.1896959e-09,2.1499289e-09,2.1897581e-09,2.2700888e-09,2.1905167e-09,2.2191254e-09,2.2097722e-09,2.2195468e-09,2.2510596e-09,2.1594713e-09,2.1698618e-09,2.24972e-09,2.2091777e-09,2.2495828e-09,2.2209052e-09,2.2507304e-09,2.2499156e-09,2.2798067e-09,2.2908832e-09,2.2496634e-09,2.2406964e-09,2.2501361e-09,2.2905281e-09,2.2702522e-09,2.2692346e-09,2.259308e-09,2.4289525e-09,2.5295042e-09,2.2395418e-09,2.2687991e-09,2.2991446e-09,3.438761e-09,2.3792746e-09,3.4890422e-09,4.3493642e-09
ull,min,1.0393648e-09,7.7901e-10,7.804512e-10,1.0403484e-09,8.310852e-10,1.0305344e-09,1.0311366e-09,1.030446e-09,9.511105e-10,1.0305617e-09,1.0305573e-09,9.503178e-10,8.896826e-10,7.304062e-10,5.907959e-10,7.307216e-10,8.299574e-10,6.601772e-10,5.216975e-10,5.200089e-10,4.096432e-10,4.307541e-10,5.915846e-10,5.914629e-10,8.307373e-10,7.811346e-10,8.211632e-10,9.605051e-10,1.0307698e-09,8.907176e-10,7.299542e-10,8.892752e-10,1.0308495e-09,7.008803e-10,1.0300755e-09,1.0298831e-09,9.505119e-10,1.0110924e-09,9.498015e-10,9.513882e-10,8.902322e-10,8.306131e-10,1.0300647e-09,5.202524e-10,7.311247e-10,6.919827e-10,1.0298357e-09,8.299304e-10,1.0311821e-09,8.816574e-10,7.300024e-10,8.816321e-10,8.890515e-10,6.907385e-10,6.506461e-10,6.60047e-10,7.295174e-10,6.199687e-10,6.203296e-10,9.399953e-10,1.00073e-09,7.198132e-10,7.096037e-10,7.097453e-10,5.706926e-10,1.0313582e-09,1.0306192e-09,1.0304724e-09
ull,med,1.0393648e-09,9.043587e-10,1.0404456e-09,1.0397766e-09,1.0408815e-09,1.0346294e-09,1.0386998e-09,1.0380333e-09,1.0409157e-09,1.0387561e-09,1.0394637e-09,1.0386496e-09,1.0390144e-09,1.034649e-09,1.0387593e-09,1.0395805e-09,1.0391566e-09,1.0297252e-09,1.0297493e-09,1.0343877e-09,1.0388087e-09,1.031393e-09,1.030714e-09,1.0312584e-09,1.0303609e-09,1.0346269e-09,1.0400748e-09,1.0315504e-09,1.0305818e-09,1.0314769e-09,1.0302121e-09,1.0388831e-09,1.0392937e-09,1.0299681e-09,1.039689e-09,1.0390431e-09,1.0405348e-09,1.0399443e-09,1.0407983e-09,1.0397919e-09,1.0985938e-09,1.0705246e-09,1.9588573e-09,1.2096658e-09,2.1090039e-09,1.8304902e-09,2.1097545e-09,2.1206482e-09,2.1295013e-09,2.1307191e-09,2.13091e-09,2.1206163e-09,2.1300699e-09,1.9798228e-09,2.1288998e-09,2.1448956e-09,2.130466e-09,2.1347917e-09,2.1098593e-09,2.1302271e-09,2.3292522e-09,2.1196512e-09,2.1094801e-09,2.1007898e-09,1.7596713e-09,1.9749635e-09,1.9607191e-09,2.0495348e-09
ull,avg,1.0393648e-09,9.043587e-10,9.538535e-10,1.0394086e-09,9.970886e-10,1.0419237e-09,1.0414477e-09,1.0369654e-09,1.0322701e-09,1.0395196e-09,1.0389656e-09,1.0353174e-09,1.0337298e-09,1.0162132e-09,1.0136465e-09,1.0243666e-09,1.0240568e-09,1.0170759e-09,1.013747e-09,1.014027e-09,1.0119014e-09,1.0162944e-09,1.0105716e-09,1.0238032e-09,1.0296723e-09,1.0276245e-09,1.0254438e-09,1.0372611e-09,1.0364523e-09,1.0370215e-09,1.0247094e-09,1.0331413e-09,1.0884702e-09,1.1557876e-09,1.189109e-09,1.3217633e-09,1.3416651e-09,1.4201139e-09,1.4327988e-09,1.4654716e-09,1.5500268e-09,1.580914e-09,1.5783186e-09,1.3393132e-09,1.6643389e-09,1.6544932e-09,1.7263236e-09,1.7599969e-09,1.7863034e-09,1.8260322e-09,1.8243108e-09,1.8867404e-09,1.8753324e-09,1.7828909e-09,1.8739138e-09,1.908299e-09,1.9244121e-09,1.9369769e-09,1.9466409e-09,2.0143954e-09,2.2171063e-09,1.9484514e-09,1.8986588e-09,2.0083848e-09,1.691502e-09,1.8677377e-09,1.894047e-09,1.934839e-09
float,max,6.87613e-11,6.08232e-11,-9.805e-13,7.10471e-11,4.94144e-11,6.16153e-11,6.10789e-11,6.12413e-11,6.0188e-11,7.12004e-11,8.00337e-11,5.97876e-11,7.97433e-11,8.86308e-11,1.117079e-10,7.95763e-11,1.108931e-10,5.94757e-11,8.01392e-11,5.81944e-11,5.78033e-11,7.06517e-11,6.13405e-11,6.83719e-11,5.86255e-11,8.08244e-11,7.94162e-11,6.87282e-11,2.1957e-12,1.7336e-12,5.03888e-11,9.01404e-11,1.02878e-11,4.99075e-11,1.00932e-11,1.0276e-11,1.10397e-11,1.3501e-12,7.574e-13,5.04797e-11,4.832e-13,9.9377e-12,1.094052e-10,8.08473e-11,1.0845e-11,3.92598e-11,1.05164e-11,8.9978e-12,8.8961e-11,8.131e-13,1.03291e-11,1.1137e-12,1.2146e-12,1.8925e-12,4.87192e-11,1.03741e-11,1.6034e-12,7.90901e-11,5.92102e-11,9.0865e-12,9.5082e-12,9.20218e-11,8.264e-13,5.97144e-11,6.506238e-10,1.0310204e-09,6.11638e-11,2.795992e-10
float,min,6.87613e-11,9.5267e-12,9.3642e-12,4.828e-13,5.229e-13,4.974e-13,4.35e-13,1.7815e-12,3.91708e-11,-7.95575e-11,1.703e-13,-1.6466e-12,4.434e-13,5.28e-13,1.20552e-11,-1.7325e-12,-5.841e-13,6.018e-13,-7.75e-14,-7.127e-13,1.4308e-12,8.739e-13,1.0046e-12,-5.109e-13,-8.32e-14,-3.058e-13,-5.554e-13,8.597e-13,-4.79e-13,2.322e-13,1.4719e-12,3.607e-13,-3.188e-13,7.651e-13,-3.23e-13,-1.872e-13,-6.239e-13,-7.39e-14,1.1223e-12,1.1314e-12,1.695e-13,1.3382e-12,-4.549e-13,-4.785e-13,-4.918e-13,8.691e-13,8.45e-14,4.59e-13,3.41e-13,-7.065e-13,6.586e-13,-1.712e-13,2.202e-13,-1.512e-13,8.163e-13,-7.129e-13,1.048e-13,8.415e-13,7.159e-13,2.881e-13,-8.963e-13,-8.74e-13,-1.0374e-12,4.372e-13,-1.587e-13,3.689275e-10,8.9e-15,5.8e-15
