omp_atomicwrite_scalar
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,6.709189e-10,1.226206502e-07,1.393381801e-07,1.580786909e-07,2.086984854e-07,3.889313333e-07,4.27140103e-07,4.955400755e-07,5.512585747e-07,6.146286617e-07,6.938101143e-07,7.536194595e-07,7.70499507e-07,8.072291525e-07,8.752185587e-07,9.271696681e-07,9.831108292e-07,1.0277202505e-06,1.0845695407e-06,1.1325808449e-06,1.1951195656e-06,1.2160595998e-06,1.2752695541e-06,1.3360884256e-06,1.3914598946e-06,1.452310056e-06,1.5129901242e-06,1.5400092531e-06,1.5784393015e-06,1.6455297588e-06,1.6954184395e-06,1.7534198422e-06,1.7465488428e-06,1.7470114052e-06,1.737119857e-06,1.759330856e-06,1.7374607303e-06,1.7435485658e-06,1.7221189255e-06,1.7336587648e-06,1.7374192285e-06,1.7392605525e-06,1.7401891733e-06,1.7472504184e-06,1.7506382037e-06,1.7490600197e-06,1.7454402405e-06,1.7578404288e-06,1.7704291084e-06,1.7687806552e-06,1.7798896849e-06,1.748060316e-06,1.770470871e-06,1.7650805615e-06,1.757009967e-06,1.7708914137e-06,1.7962614748e-06,1.7657995206e-06,1.7522598683e-06,1.7805790907e-06,1.7866102945e-06,1.778540285e-06,1.8043506169e-06,1.7925595819e-06,1.8722688847e-06,1.9498614261e-06,1.957279726e-06,2.0118198868e-06
int,min,6.709189e-10,1.225586613e-07,1.389178421e-07,3.25099052e-08,4.61990593e-08,3.386493347e-07,3.692797757e-07,4.175795476e-07,4.827307753e-07,5.294103177e-07,5.831407639e-07,6.415296974e-07,6.502213725e-07,7.01940163e-07,7.424202878e-07,8.055303697e-07,8.210105005e-07,8.854907663e-07,9.090087914e-07,9.831895076e-07,1.0055494397e-06,1.0537314156e-06,1.0824993614e-06,1.1735088828e-06,1.1971097838e-06,1.2818012764e-06,1.3257302721e-06,1.3236899257e-06,1.3447399998e-06,1.4343004018e-06,1.4394304002e-06,1.5095798993e-06,1.4860409349e-06,1.5170301373e-06,1.5008009283e-06,1.515440334e-06,1.4872703934e-06,1.5087709729e-06,1.4687193071e-06,1.4763796886e-06,1.5104308994e-06,1.4988393375e-06,1.4903702144e-06,1.4785599721e-06,1.4913400937e-06,1.5187508293e-06,1.5051902533e-06,1.486949552e-06,1.5268488742e-06,1.5221298492e-06,1.5162997929e-06,1.4935402135e-06,1.5258603726e-06,1.5082103377e-06,1.5129796106e-06,1.5396896371e-06,1.5293802293e-06,1.5077705074e-06,1.4957590906e-06,1.5434900983e-06,1.5126593321e-06,1.5396795712e-06,1.5341113142e-06,1.587680258e-06,1.529139899e-06,1.5528910674e-06,1.493630856e-06,1.5211298718e-06
int,med,6.709189e-10,1.225896558e-07,1.393095699e-07,1.585739194e-07,2.090792247e-07,3.892052801e-07,4.272004709e-07,4.576684396e-07,5.350296637e-07,5.674599766e-07,6.838893297e-07,6.987550514e-07,7.617597725e-07,7.529403486e-07,8.664800099e-07,8.557009568e-07,9.796102945e-07,9.569010123e-07,1.0823502017e-06,1.0580047775e-06,1.1660806526e-06,1.1356204469e-06,1.2689100957e-06,1.2350753023e-06,1.3297000462e-06,1.3259756571e-06,1.4217521539e-06,1.4247104204e-06,1.4881188765e-06,1.5273103848e-06,1.5964884116e-06,1.625994117e-06,1.7188498518e-06,1.632440648e-06,1.7256295135e-06,1.6373359583e-06,1.7343999292e-06,1.6315054269e-06,1.7182899744e-06,1.6146496384e-06,1.7350021072e-06,1.6250397447e-06,1.734980631e-06,1.6139288176e-06,1.7455299667e-06,1.6206355488e-06,1.738429202e-06,1.6280107298e-06,1.7655807758e-06,1.6547294714e-06,1.7732894865e-06,1.6249851811e-06,1.7654711081e-06,1.6426537302e-06,1.7411614177e-06,1.5884798573e-06,1.7871893141e-06,1.6226446336e-06,1.5799380563e-06,1.6206707397e-06,1.6295021663e-06,1.6542000979e-06,1.5625697794e-06,1.6723093751e-06,1.7280602953e-06,1.8044852111e-06,1.790320687e-06,1.909320071e-06
int,avg,6.709189e-10,1.225896558e-07,1.391020705e-07,1.269292305e-07,1.764328796e-07,3.723052961e-07,4.025471998e-07,4.573505286e-07,5.145739102e-07,5.718818334e-07,6.444497355e-07,6.988388559e-07,7.161427157e-07,7.542262398e-07,8.138004301e-07,8.678778722e-07,9.077965143e-07,9.567961371e-07,1.0021280046e-06,1.0586221357e-06,1.1053258252e-06,1.1351537443e-06,1.1818759324e-06,1.2570838159e-06,1.2912661773e-06,1.3592387958e-06,1.4142709768e-06,1.4268950337e-06,1.4654231679e-06,1.5425578083e-06,1.5704445638e-06,1.6260304617e-06,1.6238935363e-06,1.6327133781e-06,1.6222962474e-06,1.636290195e-06,1.616465531e-06,1.6300121691e-06,1.6071709046e-06,1.614133241e-06,1.6293992749e-06,1.62364337e-06,1.6219799253e-06,1.6128269287e-06,1.6270178661e-06,1.6356430518e-06,1.6307839157e-06,1.6282123039e-06,1.6569672091e-06,1.6499966202e-06,1.6561833618e-06,1.6238440143e-06,1.6528633147e-06,1.6460286089e-06,1.6336099964e-06,1.6547293212e-06,1.6732454688e-06,1.6412872328e-06,1.6271113865e-06,1.6667006217e-06,1.6498394242e-06,1.6617575303e-06,1.6693273191e-06,1.691298335e-06,1.714685343e-06,1.7500721049e-06,1.7337316177e-06,1.7918567653e-06
ull,max,2.101872e-10,9.92601888e-08,1.382999879e-07,1.735196721e-07,2.099814105e-07,3.867904556e-07,4.391886014e-07,5.038797696e-07,5.278318413e-07,6.031489026e-07,6.681885623e-07,7.063893755e-07,7.835587637e-07,8.283399141e-07,8.828404597e-07,9.340982104e-07,1.0198794002e-06,1.0177212097e-06,1.0949897252e-06,1.1230192757e-06,1.2142710579e-06,1.2766518066e-06,1.270948671e-06,1.3638602007e-06,1.404170092e-06,1.45932099e-06,1.4753888052e-06,1.58587847e-06,1.5993988029e-06,1.6345408542e-06,1.6785497224e-06,1.7593305325e-06,1.8106910818e-06,1.709310683e-06,1.7313796704e-06,1.7670993561e-06,1.7697509982e-06,1.7185016542e-06,1.8373188631e-06,1.7532718201e-06,1.7554697075e-06,1.7279895038e-06,1.8341288307e-06,1.8086616263e-06,1.7765487337e-06,1.7864592398e-06,1.7967303712e-06,1.7996401241e-06,1.7470497893e-06,1.8015598871e-06,1.7894804488e-06,1.7908413568e-06,1.7514901717e-06,1.8541291985e-06,1.8429579782e-06,1.7622100021e-06,1.7980704669e-06,1.8528903624e-06,1.8394985103e-06,1.7675298541e-06,1.7588411926e-06,1.8192719565e-06,1.8875712259e-06,1.759111555e-06,1.8741890114e-06,1.9984397392e-06,1.9581997711e-06,1.9972496704e-06
ull,min,2.101872e-10,9.92200616e-08,1.370792596e-07,3.98091859e-08,4.32099986e-08,3.489684862e-07,3.93948922e-07,4.342212514e-07,4.284706628e-07,5.107496323e-07,5.592913808e-07,5.982305174e-07,6.553692998e-07,7.046602762e-07,7.482690694e-07,8.109295416e-07,8.52190029e-07,8.758983563e-07,9.327706633e-07,9.637087637e-07,1.0323799249e-06,1.0993995285e-06,1.0909694894e-06,1.1802293953e-06,1.1896188089e-06,1.2714605984e-06,1.2417388913e-06,1.3477799185e-06,1.3186493906e-06,1.4116994009e-06,1.4242087614e-06,1.4820696513e-06,1.5168309935e-06,1.4888016455e-06,1.508338683e-06,1.4822894661e-06,1.4970906306e-06,1.4740792371e-06,1.5532503755e-06,1.4872600488e-06,1.5430902089e-06,1.5084087976e-06,1.5548694305e-06,1.5313896523e-06,1.5144387067e-06,1.5217991898e-06,1.5141595404e-06,1.5204993706e-06,1.5000891005e-06,1.5094595171e-06,1.4971502409e-06,1.5242592265e-06,1.5135917506e-06,1.572720072e-06,1.5495601257e-06,1.5300593315e-06,1.5511179398e-06,1.56583037e-06,1.5532111713e-06,1.5139917265e-06,1.5094889958e-06,1.537058882e-06,1.5631684387e-06,1.5187495087e-06,1.5041190919e-06,1.5448498074e-06,1.5187003442e-06,1.5267187013e-06
ull,med,2.101872e-10,9.92399232e-08,1.382595451e-07,1.736646462e-07,2.087583232e-07,3.849386721e-07,4.384910349e-07,4.704203642e-07,5.232496454e-07,5.575750702e-07,6.659198283e-07,6.533891909e-07,7.780697063e-07,7.658089999e-07,8.775901477e-07,8.72860664e-07,1.0176108063e-06,9.466205887e-07,1.0908096376e-06,1.0441855229e-06,1.1610811624e-06,1.1861801268e-06,1.2540295218e-06,1.2583389739e-06,1.3963498389e-06,1.3592492113e-06,1.4701293668e-06,1.4669806486e-06,1.5968000404e-06,1.527235283e-06,1.6768999022e-06,1.6219749613e-06,1.7901688448e-06,1.5964654093e-06,1.7288707779e-06,1.6276099632e-06,1.6470599451e-06,1.6025499411e-06,1.834440585e-06,1.6226386548e-06,1.7503098662e-06,1.6205748573e-06,1.8311403011e-06,1.6761953033e-06,1.772829935e-06,1.6562597611e-06,1.7838613866e-06,1.6629159765e-06,1.7404815836e-06,1.663540597e-06,1.7854611794e-06,1.6642342843e-06,1.746938761e-06,1.716544901e-06,1.6510399954e-06,1.5495599358e-06,1.7752191542e-06,1.7151189542e-06,1.8341109222e-06,1.6550058215e-06,1.554659873e-06,1.6787746909e-06,1.5875895113e-06,1.6263800825e-06,1.6352586102e-06,1.8336802844e-06,1.8620216998e-06,1.9303565058e-06
ull,avg,2.101872e-10,9.92399232e-08,1.379399759e-07,1.400885421e-07,1.760058093e-07,3.735901616e-07,4.200382713e-07,4.700815245e-07,4.834657221e-07,5.570242429e-07,6.225016574e-07,6.531691726e-07,7.239000629e-07,7.667781901e-07,8.205801288e-07,8.729265256e-07,9.411135226e-07,9.464450627e-07,1.0187486441e-06,1.0443219907e-06,1.1220275881e-06,1.1880678471e-06,1.1818264426e-06,1.272931757e-06,1.3030719175e-06,1.3655024661e-06,1.3696949752e-06,1.4666521511e-06,1.4653391764e-06,1.5258496801e-06,1.5573060878e-06,1.6220227092e-06,1.675316885e-06,1.5965111588e-06,1.6245125396e-06,1.6262895305e-06,1.6403204271e-06,1.601409012e-06,1.7030067531e-06,1.6217449874e-06,1.6525549613e-06,1.6196394237e-06,1.6992509541e-06,1.675985047e-06,1.6530296761e-06,1.6558316886e-06,1.6547788468e-06,1.6626088336e-06,1.6301445347e-06,1.6627274988e-06,1.6496804165e-06,1.6628404665e-06,1.6383410682e-06,1.7156021071e-06,1.7025478584e-06,1.6481669591e-06,1.6823381961e-06,1.7148515286e-06,1.7031554008e-06,1.6533401209e-06,1.6340889533e-06,1.6782837418e-06,1.731572673e-06,1.6430046424e-06,1.6831849048e-06,1.7815349983e-06,1.7570507896e-06,1.7835195238e-06
float,max,6.793431e-10,9.69114456e-08,1.394511839e-07,1.596796284e-07,2.117706737e-07,3.809010054e-07,4.359600998e-07,5.025590559e-07,5.654611652e-07,6.174794141e-07,6.927813791e-07,7.211700226e-07,7.76578273e-07,8.533396524e-07,8.641892856e-07,9.486611172e-07,9.770305946e-07,1.036539003e-06,1.0739791875e-06,1.1563194531e-06,1.1865990012e-06,1.2360588506e-06,1.2833394913e-06,1.3296807716e-06,1.3765704382e-06,1.4342197191e-06,1.4724690691e-06,1.5307607637e-06,1.5710799715e-06,1.6437193326e-06,1.6894795715e-06,1.7039097012e-06,1.7161197279e-06,1.7425520479e-06,1.7486085626e-06,1.7178004451e-06,1.7075013692e-06,1.7174412331e-06,1.7409882991e-06,1.7297204701e-06,1.7488284367e-06,1.7164600594e-06,1.7697789488e-06,1.740589097e-06,1.7369196774e-06,1.7521297183e-06,1.7495882761e-06,1.7602616318e-06,1.7583889534e-06,1.7541692986e-06,1.7650079837e-06,1.7693098198e-06,1.7178088078e-06,1.7644988205e-06,1.7887206905e-06,1.7978100829e-06,1.7828998825e-06,1.77194088e-06,1.7689620297e-06,1.7565688368e-06,1.768639543e-06,1.7685217412e-06,1.7785202496e-06,1.7608912199e-06,1.8425687804e-06,1.9552210551e-06,1.9316204745e-06,2.0237002792e-06
float,min,6.793431e-10,9.68289061e-08,1.377085153e-07,3.27192122e-08,4.70091304e-08,3.383999319e-07,3.867396159e-07,4.252692732e-07,4.643310469e-07,5.250412636e-07,5.838190135e-07,6.15820005e-07,6.559702101e-07,7.337599432e-07,7.330697809e-07,8.171095093e-07,8.317817378e-07,8.954693158e-07,9.116500168e-07,9.970697554e-07,1.012180835e-06,1.0767094162e-06,1.0940400003e-06,1.1429605649e-06,1.1603295776e-06,1.2317295589e-06,1.24596879e-06,1.334770583e-06,1.3221188411e-06,1.4160701279e-06,1.4783616521e-06,1.4662911725e-06,1.4958102277e-06,1.5036997475e-06,1.505490527e-06,1.4750991678e-06,1.4764792722e-06,1.4550691721e-06,1.5135996242e-06,1.4795607843e-06,1.4812297781e-06,1.4987305959e-06,1.5187413101e-06,1.478050098e-06,1.4735807137e-06,1.5273504118e-06,1.5030484906e-06,1.4960508231e-06,1.5105214699e-06,1.5107404329e-06,1.5054010178e-06,1.5340202408e-06,1.4631015048e-06,1.5090993977e-06,1.5338187334e-06,1.5237891917e-06,1.525018544e-06,1.5236998221e-06,1.5158298878e-06,1.5033511909e-06,1.4901494977e-06,1.5048088252e-06,1.5062388699e-06,1.4748704352e-06,1.4975479279e-06,1.5452593898e-06,1.4849890512e-06,1.5236896997e-06
