omp_criticaladd_scalar_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.46489568e-08,1.140095734e-07,2.696283876e-07,4.320096411e-07,1.1279506602e-06,1.1685616078e-06,1.8613388492e-06,2.3924096991e-06,3.0183595247e-06,3.3748495264e-06,3.6725198154e-06,4.5287296021e-06,4.5308893474e-06,5.3318002979e-06,5.3831289558e-06,6.2994201671e-06,7.0004304564e-06,7.7018796898e-06,8.1259504143e-06,9.3057206613e-06,1.01526689912e-05,1.06601212915e-05,1.1685719841e-05,1.23263603703e-05,1.27622603009e-05,1.33670799484e-05,1.45226792488e-05,1.53969121243e-05,1.59659006053e-05,1.68570910284e-05,1.81001006421e-05,1.84429294974e-05,2.02661003047e-05,2.13880790193e-05,2.03209293787e-05,2.25497684253e-05,2.2519048437e-05,2.26988506065e-05,2.391166088e-05,2.53138612407e-05,2.62025114481e-05,2.72204800926e-05,2.57262495886e-05,2.88574988148e-05,2.80148585164e-05,2.88118204546e-05,3.07819798192e-05,2.98885801047e-05,3.14156788524e-05,3.4073939296e-05,3.43625496346e-05,3.44889021198e-05,3.64382401233e-05,3.53131114957e-05,3.78174796727e-05,3.85595512154e-05,4.05711714359e-05,3.7031829568e-05,3.92338095656e-05,3.84013015176e-05,4.38653505942e-05,4.25194498866e-05,4.55436794257e-05,4.5726119028e-05,4.62873889685e-05,4.50430092595e-05,4.754184976e-05,4.63735596701e-05
int,min,1.46489568e-08,1.098703168e-07,1.051703683e-07,1.728888127e-07,1.1803591548e-06,8.658585437e-07,1.595361077e-06,1.2198695694e-06,2.7175788628e-06,2.596669171e-06,2.7586287535e-06,4.2698091905e-06,3.6714002103e-06,3.5296696988e-06,4.1981598238e-06,4.5305003815e-06,5.2780696608e-06,7.1552984781e-06,7.6613807188e-06,6.2432597636e-06,6.3677808681e-06,5.3121681844e-06,7.1613502563e-06,6.7497693915e-06,1.05797303854e-05,9.4801298636e-06,1.14695897681e-05,9.8090205368e-06,1.17451605441e-05,1.22587583038e-05,1.56190800352e-05,1.1996760723e-05,2.32711895396e-05,2.62057697278e-05,1.73451690317e-05,2.4751649054e-05,2.62054088179e-05,2.42038707076e-05,9.7907991151e-06,2.4324010867e-05,2.4042969306e-05,2.60125792992e-05,1.42134801981e-05,1.93657784746e-05,8.3436688231e-06,1.94229801704e-05,5.1896205391e-06,1.17425300127e-05,1.6796168754e-05,1.92011790794e-05,1.92947992621e-05,1.81687501981e-05,2.03640298599e-05,1.63753106693e-05,1.79506699995e-05,2.09020512962e-05,2.04188881734e-05,1.86320306433e-05,1.94499001358e-05,1.93508804431e-05,2.09856001201e-05,1.92949702803e-05,2.61049707794e-05,4.16385504524e-05,4.32007381567e-05,4.28768606972e-05,4.44665408429e-05,4.45087790958e-05
int,med,1.46489568e-08,1.120998405e-07,2.698601169e-07,4.336096614e-07,1.0898108401e-06,1.1453806847e-06,1.7960303783e-06,2.3951804778e-06,2.9857307509e-06,3.3671259565e-06,3.6101213879e-06,4.4990313784e-06,4.4702203146e-06,5.3126638622e-06,5.1971002214e-06,6.2169042036e-06,6.9341208615e-06,7.604880283e-06,8.0326100021e-06,9.1183143171e-06,1.00707593311e-05,1.0582318978e-05,1.16784512958e-05,1.22327200947e-05,1.2430369518e-05,1.31720148676e-05,1.40172795448e-05,1.52800754376e-05,1.56516601497e-05,1.65402499716e-05,1.77667600641e-05,1.81124289905e-05,1.9725710462e-05,2.03522947617e-05,1.93312500621e-05,2.12230613422e-05,2.15885812849e-05,2.01356307803e-05,2.27761808385e-05,2.32221057938e-05,2.26741489789e-05,2.38552294086e-05,2.28462092004e-05,2.78856044788e-05,2.72569494359e-05,2.85004146311e-05,3.02693617082e-05,2.93221554909e-05,2.93838798962e-05,3.26350696181e-05,3.32967709023e-05,3.2515150246e-05,3.45583101103e-05,3.49947096309e-05,3.67164206458e-05,3.75792100351e-05,3.88393109453e-05,3.64921048728e-05,3.85103299564e-05,3.68319006202e-05,4.30109197072e-05,4.14044901698e-05,4.46971189839e-05,4.44558892116e-05,4.45965585989e-05,4.37823054841e-05,4.70594911429e-05,4.59609853878e-05
int,avg,1.46489568e-08,1.120998405e-07,2.339630476e-07,3.700441722e-07,1.0983042636e-06,1.0581201118e-06,1.7692351854e-06,2.1756008907e-06,2.9889823306e-06,3.2471902005e-06,3.5290129351e-06,4.4499857072e-06,4.1585269101e-06,5.1293201395e-06,5.1647282393e-06,6.1012690582e-06,6.8083097797e-06,7.6136739605e-06,7.9769619481e-06,9.0222584497e-06,9.7425212524e-06,1.01544591243e-05,1.13681116854e-05,1.18503717271e-05,1.23983431815e-05,1.27124512908e-05,1.41747917676e-05,1.49793464685e-05,1.52857618854e-05,1.64346697256e-05,1.77020168596e-05,1.80169114934e-05,1.9906932713e-05,2.06433678517e-05,1.91502070996e-05,2.09817434909e-05,2.10646638197e-05,2.0921897788e-05,2.16474940543e-05,2.28461487966e-05,2.35424324981e-05,2.42872554607e-05,2.27214303622e-05,2.5309276171e-05,2.43752528024e-05,2.54600720663e-05,2.66321074368e-05,2.62442224641e-05,2.76289682818e-05,2.97840094858e-05,3.06045682943e-05,3.06836977705e-05,3.20891704226e-05,3.09028078446e-05,3.35764275514e-05,3.44506046289e-05,3.65729069593e-05,3.39262488161e-05,3.64897435747e-05,3.51021629823e-05,4.14163165741e-05,4.03606000687e-05,4.42859795454e-05,4.47080228897e-05,4.53504807615e-05,4.40628354723e-05,4.67580475178e-05,4.55059202506e-05
ull,max,1.39101289e-08,9.80376726e-08,1.923690347e-07,3.836505226e-07,1.3016402348e-06,1.2824203935e-06,1.827108194e-06,2.0335686275e-06,2.8624798387e-06,3.5754684474e-06,3.7087397351e-06,4.4199089862e-06,4.9998788104e-06,5.3969000664e-06,6.2739592799e-06,6.5002900073e-06,7.2156501703e-06,7.5978389709e-06,8.0116114561e-06,1.01014218008e-05,1.00791390788e-05,1.05492103244e-05,1.17079595564e-05,1.17115399419e-05,1.33850402147e-05,1.3663212036e-05,1.53583694768e-05,1.63873995e-05,1.6730079119e-05,1.78408094913e-05,1.90421396387e-05,1.99724203017e-05,2.01856408275e-05,2.15143009406e-05,2.13919500867e-05,2.12705313708e-05,2.1924772178e-05,2.38165887016e-05,2.28848895305e-05,2.48820102589e-05,2.46948997784e-05,2.49936384793e-05,2.76112408377e-05,2.82027082185e-05,2.93132017656e-05,2.8384900619e-05,2.95305602844e-05,3.18839196819e-05,3.10516678523e-05,3.21726897679e-05,3.2688048878e-05,3.51179001123e-05,3.52696691602e-05,3.714840005e-05,3.65252787363e-05,4.0057370038e-05,3.69326492282e-05,3.73277988458e-05,3.25683294167e-05,3.88731303157e-05,4.18077222871e-05,4.38805212465e-05,4.2836209632e-05,4.15405793779e-05,4.65727400204e-05,4.61325596034e-05,5.55055981027e-05,4.74592094254e-05
ull,min,1.39101289e-08,9.26398759e-08,1.702201793e-07,1.629798225e-07,1.242239621e-06,7.527190596e-07,1.3784190746e-06,6.573490935e-07,2.3690601727e-06,3.1798522026e-06,3.5616505006e-06,4.1210985921e-06,4.9362015918e-06,3.9608292393e-06,6.2344001468e-06,4.4418697223e-06,4.630740603e-06,5.2438700967e-06,5.7047586989e-06,6.8952208414e-06,7.636989628e-06,9.084151458e-06,9.0137091022e-06,9.6509696489e-06,8.1711694165e-06,1.19091504076e-05,9.9779183015e-06,1.04389314485e-05,1.21110801431e-05,1.51201886061e-05,1.15495017288e-05,1.17229014235e-05,2.15311203192e-05,2.35482313348e-05,1.4313159422e-05,1.5128900309e-05,2.328892845e-05,2.71207600249e-05,1.96535402289e-05,1.28312295593e-05,9.6638492445e-06,1.33568594623e-05,1.50650103354e-05,2.13931902982e-05,2.25873806113e-05,1.85593207343e-05,1.6881150065e-05,2.17095999016e-05,1.56783898723e-05,1.63646707062e-05,1.76400207893e-05,1.90227612444e-05,1.91707801459e-05,1.96176503207e-05,1.84294503426e-05,1.96466902486e-05,1.82724303754e-05,1.9266739684e-05,2.06793122704e-05,1.93368198994e-05,2.19536117877e-05,2.07138009636e-05,1.66371902791e-05,3.14234978236e-05,4.39837900797e-05,4.38571699077e-05,5.12889013556e-05,4.76964485667e-05
ull,med,1.39101289e-08,9.53387743e-08,1.934705286e-07,3.786401562e-07,1.2751285521e-06,1.2145948445e-06,1.7796891228e-06,1.9699096748e-06,2.7794996477e-06,3.5404010929e-06,3.7073691568e-06,4.3076645882e-06,4.8872598737e-06,5.42914052e-06,6.156759859e-06,6.4526396701e-06,7.0315993938e-06,7.5822845566e-06,8.0073396921e-06,9.9407145655e-06,9.9243297919e-06,1.05347685822e-05,1.14210998436e-05,1.14997854034e-05,1.32549904704e-05,1.34594602638e-05,1.52597296913e-05,1.61984747214e-05,1.61997614465e-05,1.78361541155e-05,1.846727037e-05,1.98517444446e-05,1.98508712007e-05,1.99668797748e-05,2.10660678589e-05,2.00962290138e-05,2.05370703696e-05,2.23613742912e-05,2.20767182422e-05,2.24874645709e-05,2.27108599081e-05,2.2440364675e-05,2.65048694987e-05,2.73664460024e-05,2.99181602998e-05,2.80176058176e-05,2.88589314923e-05,3.16244904658e-05,3.06210391034e-05,3.16894083886e-05,3.21153903729e-05,3.32485094422e-05,3.26555696075e-05,3.5348909821e-05,3.49812410114e-05,3.95165496778e-05,3.56362497472e-05,3.53427439561e-05,2.87376881398e-05,3.7669109778e-05,4.09413779807e-05,4.3254015136e-05,4.15914405356e-05,4.02578147047e-05,4.50166019299e-05,4.50336495741e-05,5.4758620609e-05,4.67941236425e-05
ull,avg,1.39101289e-08,9.53387743e-08,2.016873497e-07,3.259776644e-07,1.2829955178e-06,1.1376870635e-06,1.7049657076e-06,1.7742484927e-06,2.7386794215e-06,3.4857273294e-06,3.6627079467e-06,4.3020644829e-06,4.9318264278e-06,5.116875491e-06,6.3175306903e-06,6.3297112743e-06,6.9499280358e-06,7.2605380615e-06,7.6651585717e-06,9.8079740551e-06,9.8174506855e-06,1.03521049526e-05,1.14162063259e-05,1.12773238154e-05,1.28803972787e-05,1.33187014577e-05,1.49333598129e-05,1.58111271452e-05,1.61356574605e-05,1.74866083579e-05,1.83647227065e-05,1.93355471685e-05,1.99325351489e-05,2.02485624958e-05,2.06197142596e-05,2.00844097053e-05,2.04408048078e-05,2.19906494525e-05,2.10122741983e-05,2.2372178794e-05,2.18735219008e-05,2.20805360616e-05,2.46472616512e-05,2.48916900493e-05,2.6057989884e-05,2.487569981e-05,2.61169224551e-05,2.83023112243e-05,2.73102878865e-05,2.83243642246e-05,2.87603499074e-05,3.09969807717e-05,3.12077869857e-05,3.30685927214e-05,3.22268845553e-05,3.57299201216e-05,3.28410364301e-05,3.34232815001e-05,2.70983795924e-05,3.5659454029e-05,3.91035283062e-05,4.2092751973e-05,4.10437598144e-05,3.97961522981e-05,4.57344786527e-05,4.50739422752e-05,5.40381989765e-05,4.71319671016e-05
float,max,1.34296339e-08,1.239215381e-07,1.810707451e-07,4.119705052e-07,1.2568319606e-06,1.714581337e-06,1.9310599258e-06,2.3183698676e-06,2.864167886e-06,2.9282014073e-06,4.0694388452e-06,4.1971489096e-06,4.7211899857e-06,5.5083394543e-06,5.8434894362e-06,6.3958998367e-06,7.3674296938e-06,7.8915988599e-06,8.4552211302e-06,9.6822494215e-06,1.06820914362e-05,1.0452330674e-05,1.18915186575e-05,1.19588402809e-05,1.29630105307e-05,1.43030590123e-05,1.45180397575e-05,1.56908100441e-05,1.59732011162e-05,1.81406595517e-05,1.83902888206e-05,1.83067004858e-05,1.98270093904e-05,1.94862403049e-05,2.0615431817e-05,2.22524116077e-05,2.15297407922e-05,2.41420315059e-05,2.32158500711e-05,2.5431970444e-05,2.51635804254e-05,2.79813597362e-05,2.65531300781e-05,2.73373795877e-05,3.05798811717e-05,3.04575908104e-05,3.02745017778e-05,3.25022622079e-05,3.17361303828e-05,3.48860793156e-05,3.52036402094e-05,3.51643795839e-05,3.51952499416e-05,3.47415506303e-05,3.9543901261e-05,3.95950591109e-05,4.07151183727e-05,4.20810188644e-05,4.14563900369e-05,4.14624999081e-05,4.13493598706e-05,4.49832187311e-05,4.65533897972e-05,4.58808309752e-05,4.80067990956e-05,4.8157958524e-05,5.14997017345e-05,5.08926496933e-05
float,min,1.34296339e-08,1.222478397e-07,8.23009976e-08,1.573892696e-07,1.0803987039e-06,1.4815910857e-06,1.7639921155e-06,1.7811698561e-06,2.0467411615e-06,2.0120803603e-06,3.8844792554e-06,3.2698516013e-06,4.0092297374e-06,4.639020433e-06,5.2511416983e-06,4.1542997887e-06,6.9142020259e-06,5.4689290666e-06,7.4543610515e-06,5.4592102713e-06,9.4125610023e-06,6.9774804959e-06,9.1836917889e-06,1.1116129888e-05,1.00414191991e-05,1.33859600294e-05,1.27596515581e-05,1.40409702127e-05,1.28171300487e-05,1.04521806743e-05,1.14628701822e-05,1.65242912045e-05,1.33986103156e-05,1.10822601999e-05,1.32615088074e-05,1.34467696881e-05,1.93266591377e-05,2.56923714412e-05,1.43748709023e-05,5.1396000426e-06,1.41637001656e-05,2.55683093909e-05,2.56277997353e-05,1.73455087546e-05,2.59446609213e-05,2.57529111377e-05,1.57256387468e-05,2.45146282285e-05,2.00973484846e-05,2.02660698235e-05,2.16043618521e-05,1.99080617429e-05,2.01342803276e-05,1.98067285881e-05,2.21681809158e-05,2.17004411337e-05,2.23150410597e-05,2.2863021165e-05,2.43368699916e-05,2.03817292696e-05,2.30340289528e-05,2.35815506197e-05,4.03671800017e-05,4.08383095949e-05,4.55635894914e-05,4.53516096823e-05,4.98579505676e-05,4.82398984401e-05
