omp_flush_array_close
n iter,1000
arr step,4
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.02988872e-08,5.8990146e-08,7.76699269e-08,1.993903236e-07,2.080803583e-07,1.215401523e-07,2.28240208e-07,4.080487357e-07,3.531200958e-07,4.046705521e-07,4.274601877e-07,3.949906081e-07,4.577897615e-07,3.769017551e-07,4.082007814e-07,4.508202975e-07,4.515019409e-07,4.246997015e-07,4.344186284e-07,4.309703029e-07,4.41928045e-07,4.078117877e-07,4.408593198e-07,4.448815413e-07,4.25589946e-07,4.312879114e-07,4.33689198e-07,4.248398802e-07,4.132403416e-07,3.911283206e-07,4.056090764e-07,4.726491353e-07,4.124915292e-07,4.217807251e-07,4.325392223e-07,4.263217354e-07,4.156203543e-07,4.239193645e-07,4.127995735e-07,4.550196935e-07,4.490000172e-07,4.490898489e-07,4.791494522e-07,5.01040791e-07,4.911412328e-07,4.924017262e-07,4.878806415e-07,5.04520009e-07,5.298787444e-07,4.86219969e-07,5.619987691e-07,5.535191727e-07,5.580795326e-07,5.37950423e-07,5.21249364e-07,5.379298216e-07,5.781107164e-07,6.093498001e-07,5.955492094e-07,6.154091693e-07,6.121720099e-07,6.116289494e-07,5.906289166e-07,6.133392909e-07,6.399500104e-07,6.471390456e-07,6.240395036e-07,6.226610696e-07
int,min,1.02988872e-08,5.89710725e-08,6.6710666e-08,1.535914267e-07,1.941800427e-07,3.125214107e-07,2.954902487e-07,3.366601282e-07,3.029493755e-07,3.545117557e-07,3.342214183e-07,2.905101067e-07,2.908580786e-07,2.611402693e-07,4.399310704e-07,3.680604373e-07,3.09529946e-07,3.93420166e-07,3.547614555e-07,2.545108636e-07,3.219807033e-07,3.582180542e-07,5.180110725e-07,3.700009763e-07,3.433594975e-07,3.722201776e-07,3.897182059e-07,3.003207982e-07,3.152695e-07,3.085300224e-07,4.82590253e-07,3.760692343e-07,2.861406145e-07,3.517388733e-07,3.207292046e-07,3.398102448e-07,2.670499709e-07,3.602210231e-07,4.921288452e-07,4.333800296e-07,4.6548133e-07,4.123096164e-07,4.109089043e-07,2.547182417e-07,4.622689854e-07,3.884897762e-07,4.435380992e-07,3.992201221e-07,4.209288988e-07,3.956999141e-07,3.556385458e-07,3.316518472e-07,4.031206635e-07,4.246310066e-07,4.894203307e-07,3.957196449e-07,4.869589397e-07,4.10288105e-07,3.970421814e-07,3.473311362e-07,4.46470052e-07,4.726088055e-07,4.232620157e-07,4.098291483e-07,3.660385663e-07,2.632408655e-07,4.578011311e-07,2.434198332e-07
int,med,1.02988872e-08,5.89806093e-08,7.80800069e-08,1.99914491e-07,2.074199388e-07,1.146193399e-07,1.93040089e-07,4.127154129e-07,3.366701591e-07,4.383402532e-07,3.855004863e-07,4.660001862e-07,5.131514368e-07,3.130951094e-07,3.537599013e-07,3.614549204e-07,3.927196091e-07,4.630203579e-07,3.824404544e-07,4.055600968e-07,3.942683427e-07,3.740252798e-07,3.649708881e-07,3.710499966e-07,4.053808496e-07,4.590991936e-07,3.959698039e-07,4.114498693e-07,4.053783963e-07,4.031657472e-07,3.712416269e-07,4.247251335e-07,4.076597136e-07,4.301694713e-07,4.150214087e-07,4.094744238e-07,4.210797977e-07,4.232998658e-07,4.178307935e-07,4.532544016e-07,4.57391888e-07,4.584943283e-07,4.630101309e-07,4.890293551e-07,4.85208998e-07,4.8012384e-07,5.031801285e-07,5.009742259e-07,4.922006346e-07,4.895506644e-07,5.225302376e-07,5.032986503e-07,5.388508897e-07,4.985192639e-07,4.976805013e-07,5.279887032e-07,5.354699716e-07,5.289450743e-07,5.22388983e-07,5.547006902e-07,5.361998167e-07,5.809639365e-07,5.399686966e-07,5.651350191e-07,5.570986531e-07,5.766996713e-07,5.338404913e-07,5.420743338e-07
int,avg,1.02988872e-08,5.89806093e-08,7.4096534e-08,1.882980151e-07,1.950742385e-07,1.839832519e-07,2.611448674e-07,3.776182201e-07,3.616578411e-07,4.176298882e-07,3.834668179e-07,3.947027535e-07,4.163747758e-07,2.876588464e-07,3.653320495e-07,3.848919329e-07,3.970206786e-07,4.16335761e-07,3.811558451e-07,3.877896577e-07,4.028926964e-07,3.525310883e-07,3.831068126e-07,3.917200575e-07,3.931124445e-07,4.328114791e-07,3.979495973e-07,3.988550436e-07,3.850783979e-07,3.638743799e-07,3.752950795e-07,4.129245705e-07,3.992191637e-07,4.184375831e-07,4.049623377e-07,4.187205361e-07,4.305834612e-07,3.847566232e-07,4.078644396e-07,4.530933405e-07,4.437462686e-07,4.55142554e-07,4.557929005e-07,4.821768364e-07,4.98332536e-07,4.550570849e-07,4.653929562e-07,4.974864442e-07,4.990530245e-07,4.790311269e-07,4.953400273e-07,5.020361926e-07,5.258900137e-07,4.965350763e-07,4.75430463e-07,5.202178732e-07,5.340882067e-07,5.359349022e-07,5.165172019e-07,5.437272764e-07,5.442748518e-07,5.597872745e-07,5.309810066e-07,5.663573104e-07,5.56929739e-07,5.503629341e-07,5.379697878e-07,5.498653955e-07
ull,max,9.7292653e-09,5.04909178e-08,6.37099652e-08,1.430589221e-07,1.335782654e-07,1.569895401e-07,1.76730222e-07,1.704299942e-07,1.389301855e-07,2.351687251e-07,1.062304204e-07,1.17420755e-07,2.375219171e-07,2.829297192e-07,2.38640056e-07,1.416991521e-07,2.138002e-07,2.707997112e-07,1.605382498e-07,1.254898741e-07,2.582799989e-07,2.659798782e-07,1.953104399e-07,1.638913443e-07,3.001888687e-07,3.11159791e-07,2.419594777e-07,1.577484232e-07,3.146102524e-07,3.150203624e-07,3.184896115e-07,1.979718723e-07,3.193509019e-07,3.138702536e-07,3.716100562e-07,2.659294365e-07,3.627800444e-07,3.735012521e-07,3.921913628e-07,2.894194165e-07,4.218608627e-07,4.368212489e-07,4.468797246e-07,3.443003943e-07,4.09130116e-07,4.364389626e-07,4.270006294e-07,3.605902628e-07,4.223492509e-07,4.511304559e-07,4.794783472e-07,3.655300377e-07,4.448006549e-07,4.610289865e-07,4.795788747e-07,4.194989835e-07,4.555698932e-07,4.537895073e-07,4.702310083e-07,4.049005539e-07,4.497792162e-07,4.525814557e-07,4.625784938e-07,3.778914244e-07,4.720691383e-07,4.103983272e-07,4.187400496e-07,3.39239574e-07
ull,min,9.7292653e-09,4.74582335e-08,5.84387785e-08,1.88340089e-07,7.66997606e-08,1.69080024e-07,1.167393898e-07,1.9169959e-07,1.14600499e-07,2.115804288e-07,2.062104253e-07,2.516194188e-07,1.481709012e-07,2.189112103e-07,1.798304596e-07,2.45581067e-07,1.24041774e-07,2.268317186e-07,1.861808714e-07,2.529010748e-07,1.125707999e-07,1.960794647e-07,1.584711563e-07,2.236901749e-07,8.07005769e-08,1.736995825e-07,1.247001724e-07,1.896801849e-07,7.86504848e-08,1.446593492e-07,9.75095317e-08,1.395498883e-07,7.2710267e-08,1.404182214e-07,7.14686945e-08,1.227503226e-07,8.14208269e-08,1.597195767e-07,8.13110461e-08,1.605103503e-07,6.88994209e-08,1.450104796e-07,8.94384879e-08,1.500191913e-07,1.598882127e-07,1.970595229e-07,1.10387977e-07,1.874790494e-07,1.697692082e-07,2.54838983e-07,1.285314574e-07,2.048516821e-07,2.103988129e-07,2.954994582e-07,1.769385652e-07,3.165114366e-07,2.682582356e-07,3.735392674e-07,2.829611102e-07,3.329398795e-07,3.78621568e-07,3.616789034e-07,2.771794978e-07,2.837403102e-07,2.882086603e-07,3.493402454e-07,2.925097409e-07,2.20509957e-07
ull,med,9.7292653e-09,4.89745757e-08,6.0629778e-08,1.607698463e-07,1.227806776e-07,1.81696256e-07,1.697709198e-07,1.225053523e-07,1.771287209e-07,2.435203629e-07,2.91830193e-07,2.089496816e-07,2.355807266e-07,2.881351647e-07,2.63799099e-07,1.714499044e-07,1.933892972e-07,2.841315567e-07,2.956199747e-07,2.285652998e-07,2.494502989e-07,3.012298814e-07,3.212786014e-07,2.558246322e-07,2.892914105e-07,3.238706487e-07,3.31690722e-07,2.65509965e-07,2.915201039e-07,3.015896992e-07,3.443695502e-07,2.509199551e-07,2.961892247e-07,3.232681087e-07,3.451903804e-07,3.030805637e-07,3.04328736e-07,3.644357381e-07,3.519808569e-07,3.373904267e-07,3.742815907e-07,3.852412701e-07,3.914097929e-07,3.58015423e-07,3.449912514e-07,3.687407182e-07,3.711496501e-07,3.220365665e-07,3.749302063e-07,3.936604661e-07,4.053807851e-07,3.815508138e-07,3.987881343e-07,4.264059729e-07,4.347487512e-07,4.16145001e-07,4.305200049e-07,4.238532552e-07,4.537900224e-07,4.150246126e-07,4.447816011e-07,4.300501639e-07,4.398004274e-07,3.957402525e-07,4.279903709e-07,4.180159457e-07,4.3394104e-07,3.50504577e-07
ull,avg,9.7292653e-09,4.89745757e-08,6.09262118e-08,1.632751453e-07,1.190917672e-07,1.677852252e-07,1.593746486e-07,1.547976484e-07,1.581998086e-07,2.318470176e-07,2.301699281e-07,1.793359101e-07,2.420537774e-07,2.785558835e-07,2.412298224e-07,1.704172547e-07,1.871405642e-07,2.59951258e-07,2.540560119e-07,2.249981673e-07,2.596620747e-07,2.897539168e-07,2.941369797e-07,2.418557635e-07,2.878674416e-07,3.083382413e-07,3.15283952e-07,2.472229621e-07,2.742624808e-07,2.951377765e-07,3.279996942e-07,2.488488367e-07,2.780449947e-07,3.113128828e-07,3.311873274e-07,2.932401018e-07,3.090743965e-07,3.465249667e-07,3.514829708e-07,3.303553854e-07,3.540559054e-07,3.751719538e-07,3.841492316e-07,3.491160187e-07,3.367408809e-07,3.669756863e-07,3.653671067e-07,3.207477184e-07,3.527048629e-07,3.900815889e-07,4.044658186e-07,3.60888306e-07,3.876725282e-07,4.209195873e-07,4.366813965e-07,4.03418128e-07,4.241566383e-07,4.216598791e-07,4.482141163e-07,4.031516111e-07,4.298367443e-07,4.233624569e-07,4.338917362e-07,3.888704094e-07,4.232266533e-07,4.108037921e-07,4.223877909e-07,3.397943712e-07
float,max,5.9593842e-09,3.96904071e-08,4.74093994e-08,2.204613165e-07,2.319110809e-07,1.443393758e-07,2.599189145e-07,3.900210089e-07,3.956084186e-07,4.192490494e-07,4.312503793e-07,4.941778481e-07,4.64999343e-07,4.134890707e-07,4.777612154e-07,4.509216179e-07,4.676208408e-07,4.539500777e-07,4.731598405e-07,4.973900336e-07,4.282500099e-07,4.49789767e-07,4.596600908e-07,4.695494896e-07,5.159398419e-07,4.497193359e-07,4.704381602e-07,4.514692694e-07,4.243309938e-07,4.360399454e-07,4.307917697e-07,4.353308229e-07,4.259295677e-07,4.567997858e-07,4.524501857e-07,4.492900711e-07,4.246100163e-07,4.639007964e-07,4.478198392e-07,4.703495605e-07,4.886393562e-07,4.675380971e-07,5.067195883e-07,4.983382359e-07,5.017989095e-07,5.076098604e-07,4.991197652e-07,5.248513599e-07,5.787504482e-07,5.307189662e-07,5.444311111e-07,5.48379731e-07,5.701690273e-07,5.443680783e-07,5.539479904e-07,5.781610896e-07,5.987607935e-07,5.692401123e-07,5.867377278e-07,5.859994916e-07,6.283406686e-07,6.031585805e-07,6.113504234e-07,5.993703304e-07,6.765190778e-07,6.580800212e-07,5.790403641e-07,6.152791611e-07
float,min,5.9593842e-09,3.95688136e-08,4.47394734e-08,1.83331974e-07,2.116584843e-07,3.41319807e-07,3.476512302e-07,3.430109225e-07,3.210192287e-07,3.490893553e-07,3.83989839e-07,2.468485541e-07,3.201688791e-07,3.294492084e-07,4.724897806e-07,4.552708287e-07,3.312491946e-07,4.319610669e-07,4.004682832e-07,3.470598294e-07,3.254308351e-07,3.533496397e-07,4.848302118e-07,3.403887206e-07,3.551391637e-07,3.785102692e-07,4.101204201e-07,3.534782179e-07,3.491408717e-07,3.331998651e-07,4.025907954e-07,4.055289825e-07,3.008701488e-07,3.996888292e-07,2.165491721e-07,2.230805508e-07,2.739485046e-07,3.770408879e-07,4.057592662e-07,4.325697525e-07,5.325209921e-07,4.258517668e-07,4.789697438e-07,3.170220122e-07,4.73509536e-07,4.605602423e-07,5.048296756e-07,4.553216217e-07,5.088608287e-07,3.913891402e-07,3.797684567e-07,3.200294754e-07,4.820001524e-07,4.177394339e-07,4.343617145e-07,4.244996933e-07,4.817604488e-07,4.445802684e-07,4.531679439e-07,3.17058428e-07,4.665511584e-07,4.591307248e-07,5.098593477e-07,4.67820369e-07,2.550885924e-07,3.33168373e-07,3.520099529e-07,3.743200249e-07
