omp_flush_array_spread
n iter,1000
arr step,8
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.03587733e-08,5.14809422e-08,6.22488458e-08,1.499312556e-07,1.203213187e-07,1.813118863e-07,2.095486615e-07,1.83322267e-07,1.705194075e-07,2.65808904e-07,2.08080051e-07,1.032294725e-07,1.986405299e-07,2.835706306e-07,1.364591263e-07,1.75540397e-07,2.333694313e-07,2.458791229e-07,3.137008253e-07,1.757503183e-07,2.791783156e-07,2.818296983e-07,2.054201534e-07,2.271100209e-07,2.791097922e-07,3.112696516e-07,3.553589987e-07,2.38881981e-07,3.089899249e-07,3.20500712e-07,2.703303886e-07,1.812687167e-07,3.293505898e-07,3.56318891e-07,2.46441391e-07,2.66170401e-07,3.694910417e-07,3.629011453e-07,4.038500633e-07,3.170294911e-07,4.178096049e-07,4.252702332e-07,4.006698752e-07,3.163990942e-07,4.116602724e-07,4.503104034e-07,4.445408974e-07,3.491589778e-07,4.089005962e-07,4.391183348e-07,4.532495953e-07,3.871789851e-07,4.508186079e-07,4.674688615e-07,4.85678806e-07,4.196298772e-07,4.599210306e-07,4.569500832e-07,4.592095259e-07,3.249200824e-07,4.51829622e-07,4.611409067e-07,4.817479398e-07,3.615803694e-07,4.210605536e-07,4.362709618e-07,4.015706181e-07,3.486806973e-07
int,min,1.03587733e-08,4.90800671e-08,5.71399571e-08,1.942994868e-07,7.60082011e-08,1.747481099e-07,1.063996355e-07,1.564596091e-07,1.081216068e-07,2.111701247e-07,1.870802582e-07,2.603891731e-07,1.588892734e-07,2.145502505e-07,2.187181549e-07,2.5119821e-07,1.387087221e-07,2.131095569e-07,1.446589307e-07,2.359099748e-07,1.054093184e-07,1.877906035e-07,1.527294052e-07,2.141302695e-07,7.36000903e-08,1.233921411e-07,1.060680339e-07,1.733392725e-07,8.89910944e-08,1.603014484e-07,1.238217546e-07,2.060608728e-07,7.99612982e-08,1.353984126e-07,8.66705e-08,1.419010275e-07,9.88014543e-08,1.178602654e-07,7.27498128e-08,1.280392448e-07,9.8301684e-08,1.678696382e-07,1.00201174e-07,1.868002872e-07,1.603016174e-07,2.103317093e-07,1.449996899e-07,1.843207993e-07,1.979506456e-07,2.050989072e-07,1.5664088e-07,2.636311554e-07,1.623802553e-07,2.5458164e-07,1.559000426e-07,3.040614468e-07,2.084999731e-07,3.729898293e-07,3.647885713e-07,3.534788782e-07,3.531102971e-07,4.01842023e-07,2.98529736e-07,3.37710257e-07,2.233197835e-07,3.122183466e-07,2.437507234e-07,2.505687624e-07
int,med,1.03587733e-08,5.02805047e-08,5.90094391e-08,1.650946773e-07,1.327405424e-07,1.755402429e-07,1.716298579e-07,1.332951282e-07,1.829696074e-07,2.417787293e-07,2.839304543e-07,1.686739176e-07,2.560109808e-07,2.72875032e-07,3.036691615e-07,2.005647906e-07,2.20918804e-07,2.623102763e-07,2.715701094e-07,2.124992239e-07,2.423399905e-07,2.907663049e-07,3.30520105e-07,2.727010147e-07,2.641311885e-07,2.907758125e-07,3.347284119e-07,2.582101168e-07,2.9407938e-07,3.292752859e-07,3.281698526e-07,2.984187276e-07,2.929004535e-07,3.357850234e-07,3.561084332e-07,3.23730684e-07,3.183806058e-07,3.609340546e-07,3.859202864e-07,3.580908809e-07,3.427692366e-07,3.855697747e-07,3.914880891e-07,3.64414639e-07,3.545002419e-07,3.628046944e-07,3.981514792e-07,3.518697524e-07,3.454794582e-07,3.731410014e-07,4.095588322e-07,3.609247772e-07,4.095008417e-07,4.16104744e-07,4.41508811e-07,4.206151421e-07,4.424491704e-07,4.433550869e-07,4.444403763e-07,4.302755286e-07,4.211396248e-07,4.172487012e-07,4.633502304e-07,4.148092991e-07,4.125391966e-07,4.133749709e-07,3.909114612e-07,3.659799596e-07
int,avg,1.03587733e-08,5.02805047e-08,5.94528976e-08,1.686298288e-07,1.15802134e-07,1.735780084e-07,1.685628178e-07,1.526263489e-07,1.74180827e-07,2.489541761e-07,2.46068336e-07,1.746366312e-07,2.326423056e-07,2.617561234e-07,2.509424187e-07,1.915748773e-07,2.273114957e-07,2.448906565e-07,2.55661859e-07,2.07466841e-07,2.409851001e-07,2.848055233e-07,2.889949371e-07,2.581511166e-07,2.713316799e-07,2.912808701e-07,3.258655887e-07,2.578495358e-07,2.832202078e-07,3.081604666e-07,3.211743363e-07,2.770292063e-07,2.789156479e-07,3.207304942e-07,3.313638399e-07,3.041513177e-07,3.13386774e-07,3.472366769e-07,3.700386355e-07,3.326501398e-07,3.270928163e-07,3.700643089e-07,3.810939489e-07,3.386438649e-07,3.496548733e-07,3.710077379e-07,3.902722369e-07,3.350264911e-07,3.468868476e-07,3.690430096e-07,4.127095316e-07,3.522330599e-07,3.85230968e-07,4.129927262e-07,4.327185545e-07,4.096243643e-07,4.270538421e-07,4.395091562e-07,4.433422793e-07,4.118559274e-07,4.126518338e-07,4.168228571e-07,4.573406054e-07,3.97113629e-07,3.996023872e-07,3.975645988e-07,3.747778623e-07,3.515453124e-07
ull,max,6.9607179e-09,1.16388333e-08,9.2005365e-09,1.62414275e-08,1.62489819e-08,1.6231382e-08,1.21582501e-08,1.3779996e-08,1.62497075e-08,1.10805028e-08,1.62282498e-08,5.7093233e-09,1.60401811e-08,6.5813689e-09,1.52616472e-08,8.2792474e-09,1.61888675e-08,7.7690894e-09,8.7501883e-09,1.20993909e-08,1.30392561e-08,1.7250412e-08,1.78282468e-08,2.70302988e-08,2.63912112e-08,2.57104887e-08,6.53611633e-08,2.76915428e-08,5.37915714e-08,1.68783688e-08,1.18701646e-08,3.319272e-09,6.059868e-09,2.3689579e-08,4.25997157e-08,4.06382309e-08,5.9109877e-09,4.05694504e-08,2.04900186e-08,3.35699893e-08,3.78382593e-08,1.68588116e-08,8.2903809e-09,8.1492621e-09,9.320856e-09,9.1399579e-09,9.7779881e-09,1.36898062e-08,1.72291901e-08,6.3886526e-09,1.84412268e-08,1.74999969e-08,1.60000259e-08,4.33296761e-08,2.00878201e-08,3.99399208e-08,3.48407248e-08,5.20305934e-08,4.03891164e-08,5.65091663e-08,5.52118521e-08,6.12114267e-08,3.59482243e-08,3.70988881e-08,2.64688606e-08,3.33707678e-08,3.3668826e-08,2.75107356e-08
ull,min,6.9607179e-09,9.6894994e-09,4.5409601e-09,5.2787566e-09,5.4289598e-09,7.2192545e-09,5.4020184e-09,5.4290527e-09,5.4200642e-09,6.0420644e-09,5.7110751e-09,4.6102493e-09,5.3582289e-09,5.2584851e-09,5.5188843e-09,6.580751e-09,5.3891559e-09,5.2586075e-09,5.2717859e-09,5.940175e-09,5.0296147e-09,9.5906081e-09,1.08603395e-08,1.123021e-08,1.21704893e-08,2.10512387e-08,2.91308263e-08,2.01378107e-08,1.12518744e-08,8.6596043e-09,3.3911678e-09,6.0896486e-09,5.4787889e-09,8.4996042e-09,1.71496367e-08,7.0095178e-09,5.6007132e-09,6.519099e-09,5.7614464e-09,5.7394319e-09,6.309615e-09,6.6796703e-09,5.4202492e-09,5.4688301e-09,5.3913791e-09,5.4997029e-09,5.3812845e-09,6.1493797e-09,7.2594275e-09,5.5109386e-09,8.7394313e-09,7.8615918e-09,7.870936e-09,7.4400533e-09,1.45601639e-08,2.81195909e-08,1.77690613e-08,2.25297284e-08,2.45913759e-08,2.07101198e-08,1.61108713e-08,1.61706464e-08,1.10395175e-08,1.1870443e-08,5.8792702e-09,1.44800969e-08,6.5914038e-09,8.8409831e-09
ull,med,6.9607179e-09,1.06734881e-08,4.9701135e-09,9.6107445e-09,1.22197079e-08,1.48103881e-08,8.8410759e-09,6.0242353e-09,5.4481201e-09,9.9687434e-09,1.30314613e-08,3.3398782e-09,5.169503e-09,4.0901112e-09,9.7780078e-09,6.3042684e-09,5.1089035e-09,3.0903564e-09,3.8903014e-09,1.8948332e-09,4.4219672e-09,1.02802971e-08,1.48812578e-08,2.93449417e-08,1.46008154e-08,2.62101299e-08,5.44292975e-08,2.88506947e-08,5.08006519e-08,6.6747485e-09,1.709174e-09,4.2988632e-09,2.8897192e-09,1.75295641e-08,4.11210779e-08,1.94508602e-08,7.0602982e-09,1.85344716e-08,1.00712306e-08,3.08153456e-08,2.92706165e-08,1.22550388e-08,9.8691626e-09,9.924849e-09,9.9987041e-09,1.00950166e-08,1.00189633e-08,1.39096037e-08,1.0691169e-08,1.02396746e-08,1.27591685e-08,1.42498335e-08,1.506034e-08,1.74448386e-08,2.3150303e-08,3.83557081e-08,3.19106398e-08,4.84259278e-08,3.42291353e-08,5.49444115e-08,5.07794748e-08,5.70493756e-08,3.12011453e-08,3.54364411e-08,1.08603993e-08,2.26044359e-08,1.5891133e-08,2.51691243e-08
ull,avg,6.9607179e-09,1.06734881e-08,6.2294569e-09,1.01732965e-08,1.18019986e-08,1.34895545e-08,8.9070028e-09,8.0517373e-09,8.7682345e-09,8.9922803e-09,1.18181881e-08,4.5290009e-09,8.4370396e-09,5.3606837e-09,9.6278162e-09,7.717043e-09,8.9061214e-09,3.9382765e-09,6.0733227e-09,3.1800088e-09,6.4309853e-09,1.03265237e-08,1.52294037e-08,2.42044114e-08,1.577877e-08,2.70972304e-08,5.05188774e-08,2.36277833e-08,3.89233107e-08,8.7053905e-09,2.1929128e-09,4.0128738e-09,3.6544546e-09,2.07465658e-08,3.75376206e-08,2.45355686e-08,6.3689317e-09,2.07500787e-08,1.43158434e-08,1.90287346e-08,2.44534886e-08,1.16633925e-08,7.3977025e-09,7.7037919e-09,7.8430335e-09,8.0521426e-09,8.3322695e-09,1.23737914e-08,1.14743375e-08,8.2077937e-09,1.24339142e-08,1.47302672e-08,1.44608399e-08,1.8949611e-08,2.15806375e-08,3.87833724e-08,3.1987345e-08,4.51238363e-08,3.4413826e-08,4.96309654e-08,4.58435742e-08,5.24683299e-08,2.83820785e-08,3.31460599e-08,1.17741377e-08,2.41484815e-08,2.01203261e-08,2.3423696e-08
float,max,4.4418225e-09,5.89993181e-08,6.81402278e-08,1.479204674e-07,1.122001869e-07,1.836804411e-07,1.938190231e-07,1.867596968e-07,1.617795963e-07,2.428492776e-07,1.479191809e-07,1.040407115e-07,2.19171255e-07,2.577583957e-07,2.420719559e-07,1.371194322e-07,2.305395683e-07,2.826702531e-07,1.501699741e-07,2.106018552e-07,2.549415283e-07,3.046610864e-07,3.03408889e-07,1.875611597e-07,3.259393422e-07,3.532006911e-07,2.2066957e-07,1.40510864e-07,3.767893188e-07,3.464495087e-07,2.468304599e-07,1.684392683e-07,3.373008174e-07,3.765083801e-07,3.55740723e-07,2.902597469e-07,4.065392441e-07,3.872489076e-07,3.773387268e-07,3.483889551e-07,4.148704446e-07,4.367201436e-07,4.51129938e-07,3.572894701e-07,4.068312178e-07,4.315789325e-07,4.248995827e-07,3.359011739e-07,4.078307993e-07,4.39888517e-07,4.541411235e-07,3.943885878e-07,4.439705736e-07,4.469919983e-07,4.725790894e-07,4.331499728e-07,4.492590002e-07,4.646196797e-07,4.612897231e-07,4.064609814e-07,4.256800348e-07,4.077391463e-07,4.646510129e-07,3.875403001e-07,4.346287181e-07,4.304114642e-07,4.545697423e-07,3.314102136e-07
float,min,4.4418225e-09,5.87097108e-08,6.3800318e-08,1.829517325e-07,7.32000285e-08,1.668897937e-07,1.280520648e-07,1.786702585e-07,1.169787265e-07,2.274900011e-07,2.164698705e-07,2.590580875e-07,1.531384305e-07,2.466784229e-07,1.701305603e-07,2.118789052e-07,1.520879765e-07,2.424501819e-07,1.827810043e-07,1.65180303e-07,1.365402417e-07,2.047896138e-07,1.270885944e-07,2.173312314e-07,1.187402087e-07,1.439000267e-07,1.586498756e-07,1.920506599e-07,1.037890399e-07,1.477006673e-07,1.167802208e-07,1.908086995e-07,9.93599255e-08,1.248601715e-07,6.41088142e-08,1.184821339e-07,8.31198164e-08,1.729082518e-07,7.98197726e-08,1.210698819e-07,1.127015582e-07,1.674421074e-07,9.79699307e-08,1.3722936e-07,1.040897446e-07,1.800500356e-07,1.219394774e-07,2.043483278e-07,1.628010165e-07,2.371196474e-07,1.580806993e-07,2.56930407e-07,2.015108206e-07,2.98680052e-07,1.910388814e-07,3.149002695e-07,2.420416806e-07,2.289009528e-07,2.114486263e-07,3.471692892e-07,2.798200238e-07,3.942590161e-07,2.688602666e-07,3.039388235e-07,3.021986165e-07,2.930912271e-07,2.43289267e-07,2.059807037e-07
