omp_flush_close
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.26009926e-08,5.85882632e-08,7.83602602e-08,1.096801236e-07,1.458991431e-07,2.238591861e-07,3.277092142e-07,3.278892882e-07,4.371686082e-07,4.888915703e-07,5.210210298e-07,5.710586613e-07,5.552288443e-07,6.97889554e-07,7.165512279e-07,7.624592751e-07,7.687710991e-07,8.798809245e-07,8.630097289e-07,9.499689784e-07,8.923907486e-07,9.259308748e-07,9.652587057e-07,1.0027312241e-06,8.935187502e-07,9.640984724e-07,1.0237689946e-06,1.1250609367e-06,1.1977888033e-06,1.025090618e-06,1.1029699384e-06,1.1457488263e-06,1.2605493283e-06,1.1196701949e-06,1.1509289926e-06,1.0936878674e-06,1.0491408685e-06,1.0836506435e-06,1.1136212143e-06,1.1197610861e-06,1.210139082e-06,1.0877006491e-06,1.1484007375e-06,1.1787485603e-06,1.1839891916e-06,1.1385411429e-06,1.1678386931e-06,1.2080296548e-06,1.2320681763e-06,1.111459834e-06,1.4816108e-06,1.0946992212e-06,1.0662811082e-06,1.2237397469e-06,1.2305218468e-06,1.1063196626e-06,1.1966492609e-06,1.1738089703e-06,1.1997092543e-06,1.2462491417e-06,1.250158526e-06,1.1432184921e-06,1.1975600131e-06,1.0958711772e-06,1.1884594672e-06,1.155529474e-06,1.4094993066e-06,1.1809604248e-06
int,min,1.26009926e-08,5.86201584e-08,7.5169875e-08,3.87107967e-08,5.01699179e-08,1.50609846e-07,3.043004314e-07,2.559902847e-07,3.404998734e-07,3.754591629e-07,3.696992744e-07,4.27940143e-07,3.992607742e-07,6.592109419e-07,7.718888168e-07,6.676296078e-07,6.641705394e-07,8.320618628e-07,4.433212187e-07,6.99000732e-07,5.264799847e-07,7.422386769e-07,7.344495033e-07,9.538208379e-07,8.123393987e-07,9.011905725e-07,8.613600392e-07,1.0094688855e-06,6.28778532e-07,9.871493805e-07,1.3351607307e-06,1.3160015686e-06,8.807502499e-07,8.87570835e-07,9.833296315e-07,8.626494835e-07,5.888306967e-07,6.678300851e-07,5.116180441e-07,9.621409563e-07,7.043883908e-07,6.734102209e-07,7.902688112e-07,9.277904405e-07,9.723003851e-07,8.887903177e-07,6.195282613e-07,1.0203813818e-06,9.668704224e-07,8.998500279e-07,7.852502518e-07,5.785100507e-07,7.228405132e-07,8.876396036e-07,9.020309929e-07,8.005791345e-07,8.882006422e-07,1.0149807025e-06,7.260497664e-07,1.0103796965e-06,9.749802129e-07,7.950610606e-07,8.188907494e-07,9.385504329e-07,6.999491147e-07,8.954792688e-07,9.624589839e-07,7.887301299e-07
int,med,1.26009926e-08,5.86085288e-08,7.78976695e-08,1.07990928e-07,1.439804762e-07,2.258709756e-07,3.276498587e-07,2.937708946e-07,4.007693034e-07,4.686490243e-07,5.021195006e-07,5.688504153e-07,5.512687117e-07,6.654302882e-07,6.725384674e-07,7.397994388e-07,7.79981684e-07,8.487314692e-07,7.966416505e-07,9.454355095e-07,8.211901067e-07,8.87140038e-07,9.815594133e-07,9.614583001e-07,9.333195551e-07,9.505645999e-07,9.973302431e-07,1.0552135274e-06,1.226799576e-06,9.833458272e-07,1.0817602216e-06,1.1547056994e-06,1.230100211e-06,1.0356249317e-06,1.1431109894e-06,1.0846306422e-06,9.569291501e-07,1.0489910767e-06,1.1249610098e-06,1.075793588e-06,1.1303685306e-06,1.0110340276e-06,1.0789019582e-06,1.1529803296e-06,1.1324406007e-06,1.098079282e-06,1.1241493298e-06,1.1418257213e-06,1.131111001e-06,1.0392563435e-06,1.4655506232e-06,1.094575362e-06,1.0056417107e-06,1.1818961969e-06,1.2125079973e-06,1.0773101817e-06,1.2037399484e-06,1.1366752499e-06,1.1083715016e-06,1.2098757393e-06,1.0815598123e-06,1.0625249331e-06,1.0983093266e-06,1.0170944209e-06,1.1380105211e-06,1.0704398824e-06,1.243901758e-06,1.1213352235e-06
int,avg,1.26009926e-08,5.86085288e-08,7.70697987e-08,9.1080372e-08,1.254022978e-07,2.001486241e-07,3.341490985e-07,2.930768564e-07,4.687380258e-07,4.933809725e-07,5.056112385e-07,5.547222237e-07,4.972805597e-07,6.670447209e-07,7.505342681e-07,7.241814442e-07,7.709822872e-07,8.668198332e-07,7.946952801e-07,9.052811321e-07,8.516226847e-07,8.770590505e-07,9.627915898e-07,1.0014866308e-06,8.839891342e-07,9.352756075e-07,1.0124132714e-06,1.0993832354e-06,1.1381198393e-06,9.806240935e-07,1.1629563843e-06,1.1961398072e-06,1.1838236008e-06,1.006723564e-06,1.0343935733e-06,9.900213886e-07,9.612932974e-07,1.0005847414e-06,1.0804731664e-06,1.0479963277e-06,1.0914496156e-06,9.784576535e-07,1.081440452e-06,1.1371648377e-06,1.0666803734e-06,1.0447661395e-06,1.0737427094e-06,1.1174423445e-06,1.1140772573e-06,1.0232490056e-06,1.3471750714e-06,1.02603646e-06,9.851695879e-07,1.147098394e-06,1.1579513506e-06,1.0622823352e-06,1.1753505117e-06,1.1432640157e-06,1.0853166693e-06,1.1667535058e-06,1.1510784462e-06,1.1165179396e-06,1.1124569828e-06,9.996033035e-07,1.088531659e-06,1.0562075e-06,1.2492278776e-06,1.0660490845e-06
ull,max,5.4394002e-09,5.06396158e-08,5.64997351e-08,9.92796855e-08,1.669406107e-07,2.46270573e-07,3.227705191e-07,3.611013914e-07,4.056901735e-07,4.977791489e-07,5.09631319e-07,5.424009618e-07,5.87199035e-07,6.338379755e-07,6.715509488e-07,5.819397353e-07,6.802903656e-07,6.963208879e-07,7.361795494e-07,7.460193588e-07,7.266203793e-07,7.133809711e-07,6.845400481e-07,7.016311243e-07,7.074294856e-07,7.61899554e-07,7.375410666e-07,7.628287064e-07,6.661218076e-07,7.253508778e-07,6.496684468e-07,6.803690305e-07,6.768079404e-07,7.502003293e-07,7.878197746e-07,7.070307449e-07,6.850605765e-07,6.672095834e-07,6.878310165e-07,7.173090875e-07,8.590301674e-07,6.940298961e-07,7.714695299e-07,6.601293617e-07,7.214396762e-07,6.97139922e-07,7.024606149e-07,7.090878166e-07,8.737406758e-07,6.978095589e-07,7.956405011e-07,7.663607716e-07,7.395107567e-07,6.964922115e-07,8.483701352e-07,8.220596423e-07,7.612793327e-07,8.565491769e-07,7.852690891e-07,7.823701649e-07,9.158692838e-07,7.935307573e-07,7.855602525e-07,8.754684706e-07,8.826610936e-07,7.665211124e-07,8.022114925e-07,8.800588533e-07
ull,min,5.4394002e-09,5.06297411e-08,1.002312904e-07,5.88298141e-08,8.91917409e-08,2.299211899e-07,2.91258741e-07,3.022291003e-07,4.360592467e-07,4.754406981e-07,6.298905568e-07,3.369091576e-07,4.237899097e-07,5.878485619e-07,5.521114104e-07,5.929099641e-07,5.157199138e-07,6.514090201e-07,5.870392648e-07,7.083397049e-07,4.731492976e-07,4.169909155e-07,6.097798621e-07,5.419694456e-07,6.043608632e-07,6.661591458e-07,6.507993753e-07,6.167715227e-07,3.510107059e-07,4.656090125e-07,8.995905069e-07,5.464707018e-07,5.90328269e-07,5.892898849e-07,3.849315222e-07,5.411097247e-07,5.469989166e-07,3.304783357e-07,4.888705441e-07,5.480902589e-07,6.139306496e-07,4.969198055e-07,7.083787422e-07,5.176814667e-07,6.383705534e-07,5.984000458e-07,7.181103998e-07,5.292796768e-07,6.111506003e-07,5.678903836e-07,5.162902501e-07,6.585390651e-07,3.631300754e-07,6.71439982e-07,5.424507419e-07,6.116296132e-07,6.643986211e-07,7.510401433e-07,3.432090672e-07,6.440290973e-07,6.681703514e-07,6.826688977e-07,5.648222989e-07,4.071507703e-07,5.608400798e-07,4.966709119e-07,4.6569862e-07,4.752818181e-07
ull,med,5.4394002e-09,5.05991901e-08,5.64305937e-08,1.146750911e-07,2.123307397e-07,2.86074976e-07,3.349999805e-07,3.646456353e-07,4.101508049e-07,5.009905228e-07,5.584312564e-07,5.438545322e-07,5.690190936e-07,6.570693238e-07,7.020096022e-07,6.567353833e-07,7.198593469e-07,7.44175073e-07,7.116705455e-07,7.256491032e-07,7.353415138e-07,7.033600502e-07,7.058212859e-07,6.225547561e-07,6.595883521e-07,7.008844891e-07,7.371001903e-07,7.549608165e-07,6.298611082e-07,7.855544197e-07,6.539593025e-07,6.494796396e-07,6.778521201e-07,7.796260495e-07,7.326493365e-07,7.233197999e-07,6.533200964e-07,6.432453333e-07,6.699495076e-07,6.685656613e-07,8.128792633e-07,6.803449896e-07,7.457698337e-07,6.756906873e-07,7.085597659e-07,6.973588825e-07,7.321096117e-07,6.565952571e-07,8.638111235e-07,6.821292429e-07,7.312904898e-07,7.446251275e-07,7.187208797e-07,7.319994444e-07,7.910997514e-07,7.684702528e-07,7.753295334e-07,8.184596561e-07,7.774397864e-07,8.134993964e-07,8.833492712e-07,7.698437105e-07,7.695107605e-07,8.186397381e-07,8.141407899e-07,7.415491893e-07,7.352404669e-07,7.941793391e-07
ull,avg,5.4394002e-09,5.05991901e-08,7.09659119e-08,9.65594783e-08,1.658004038e-07,2.651581597e-07,3.147796742e-07,3.494730549e-07,4.410085013e-07,4.828782407e-07,5.316288104e-07,5.295200902e-07,5.942120222e-07,5.967693771e-07,6.527326055e-07,6.324745979e-07,6.765552345e-07,6.700944934e-07,7.347899949e-07,7.307724042e-07,7.007128012e-07,6.634288899e-07,6.349922046e-07,6.62991415e-07,6.746830339e-07,7.082834715e-07,7.03675744e-07,7.352934513e-07,6.453828735e-07,6.89237936e-07,6.656105084e-07,6.386167616e-07,6.70751162e-07,7.375361171e-07,6.952455778e-07,6.962454852e-07,6.444503049e-07,6.353595925e-07,6.347189398e-07,6.776414941e-07,7.825182693e-07,6.708557829e-07,7.239455806e-07,6.485694021e-07,6.996268833e-07,6.827028167e-07,6.904164493e-07,6.791347413e-07,8.173575767e-07,6.863716892e-07,7.497814329e-07,7.222727778e-07,7.069338729e-07,7.183253125e-07,7.804499272e-07,7.59206262e-07,7.55118698e-07,7.920210095e-07,7.217087699e-07,7.912538917e-07,8.525991826e-07,7.723982365e-07,7.262883485e-07,7.971485612e-07,8.016145334e-07,7.256769372e-07,7.125076834e-07,7.414698332e-07
float,max,5.5595641e-09,4.91704381e-08,1.043900014e-07,1.323206151e-07,2.277904457e-07,3.187700793e-07,3.814814731e-07,3.618105119e-07,4.260499747e-07,5.270712338e-07,4.893803397e-07,5.569209155e-07,6.672183376e-07,6.268205463e-07,8.11910092e-07,7.905804637e-07,8.260810715e-07,9.471898331e-07,9.038015691e-07,9.644997917e-07,9.089094595e-07,9.204496779e-07,9.119114865e-07,9.838316713e-07,1.0144107111e-06,1.0090199947e-06,1.0915698746e-06,1.1482612979e-06,1.1629393364e-06,1.0015493442e-06,1.1955890443e-06,1.2273109869e-06,1.0857219333e-06,1.1982801712e-06,1.2815500148e-06,1.1195597221e-06,1.1155504617e-06,1.1456216301e-06,1.1355084566e-06,1.0250698524e-06,1.0781711435e-06,1.1388611627e-06,1.1862800081e-06,1.2150610085e-06,1.1612407207e-06,1.2113005168e-06,1.2177496188e-06,1.2628202531e-06,1.1603095374e-06,1.1330000464e-06,1.252399621e-06,1.2008489787e-06,1.1623987477e-06,1.2133405614e-06,1.091931649e-06,1.1806793291e-06,1.1615811775e-06,1.1379892578e-06,1.2407480156e-06,1.175501407e-06,1.1708583633e-06,1.213229859e-06,1.1760600108e-06,1.0064994537e-06,1.1151898817e-06,1.1178909175e-06,1.1986003906e-06,1.2104610942e-06
float,min,5.5595641e-09,4.90290804e-08,9.7268958e-08,1.21668233e-07,1.641103357e-07,1.566497256e-07,2.523700803e-07,3.549197791e-07,4.327412891e-07,4.909102879e-07,4.734796143e-07,5.893207626e-07,5.98738903e-07,4.900404129e-07,7.408708922e-07,2.407792769e-07,6.529600443e-07,7.885103772e-07,4.70521445e-07,5.155504547e-07,5.830501587e-07,7.327119434e-07,6.593015555e-07,6.695194478e-07,7.732200934e-07,1.0359697141e-06,8.336003606e-07,9.770805147e-07,9.768098892e-07,1.0088885132e-06,7.436816679e-07,9.414693515e-07,7.444601422e-07,8.930486644e-07,1.122050387e-06,8.199595808e-07,6.059102295e-07,7.156908896e-07,5.098785881e-07,8.117716251e-07,8.383489366e-07,4.809512503e-07,7.505410526e-07,5.639904301e-07,6.681490752e-07,7.420889742e-07,9.83568559e-07,1.0836594063e-06,8.919305659e-07,8.380407903e-07,1.136480641e-06,7.104103969e-07,7.680813181e-07,6.196918523e-07,8.414290796e-07,8.867308968e-07,8.612491251e-07,8.90399998e-07,9.801193463e-07,1.0572796304e-06,1.2367697128e-06,1.3109095711e-06,9.37759818e-07,6.97448429e-07,6.635689917e-07,7.548217155e-07,1.0024396217e-06,8.865206624e-07
