omp_flush_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
int,max,1.45907813e-08,4.44494545e-08,8.98799701e-08,9.53294991e-08,1.705695064e-07,2.696893349e-07,3.458794803e-07,2.965891399e-07,4.317610814e-07,4.960510872e-07,5.206102232e-07,6.027608521e-07,5.287402251e-07,6.916200534e-07,7.414694202e-07,7.282992784e-07,7.558103235e-07,8.35609622e-07,7.506894388e-07,8.265402025e-07,9.088821646e-07,8.865810286e-07,9.594607916e-07,1.0288119656e-06,1.0052385117e-06,1.0243500699e-06,1.0613192561e-06,1.1282501801e-06,1.1564900499e-06,9.865784555e-07,1.1873709216e-06,1.2469384732e-06,1.1957909077e-06,1.1804201785e-06,1.1195699271e-06,1.1786610999e-06,1.2157302541e-06,1.0226801118e-06,1.2409285841e-06,1.104548777e-06,1.2002906366e-06,1.1999605234e-06,1.122840009e-06,1.2426310397e-06,1.1476499902e-06,1.172881049e-06,1.1853492241e-06,1.1797393677e-06,1.1916213095e-06,1.0890410976e-06,1.1806703432e-06,1.208858958e-06,1.2407403854e-06,1.18120923e-06,1.4815290887e-06,1.1185786639e-06,1.2241307133e-06,1.1647912782e-06,1.1877300604e-06,1.2441601543e-06,1.1082588832e-06,1.0998911499e-06,1.0752296394e-06,1.0880792938e-06,1.3777691914e-06,1.0663303999e-06,1.086921407e-06,1.0741480136e-06
int,min,1.45907813e-08,4.47497141e-08,8.75084929e-08,2.73797134e-08,2.161196848e-07,1.232498473e-07,2.412094875e-07,2.276016937e-07,3.715706851e-07,4.148514676e-07,4.669985402e-07,5.468888721e-07,4.237599947e-07,7.604595081e-07,7.865605009e-07,6.014293825e-07,4.21390125e-07,7.838305214e-07,4.75529996e-07,6.188511096e-07,9.347410803e-07,7.593111127e-07,7.843993132e-07,8.385418561e-07,8.513586751e-07,9.164096005e-07,9.476611981e-07,1.0411601425e-06,8.449805405e-07,9.262097836e-07,1.016558176e-06,1.468360797e-06,5.46910594e-07,8.0923064e-07,7.769301341e-07,8.589603142e-07,4.82191924e-07,8.635082204e-07,9.197004608e-07,7.908998691e-07,8.813207607e-07,7.869792194e-07,6.673699432e-07,1.0188590259e-06,8.493507332e-07,7.411584833e-07,7.476199915e-07,8.099699055e-07,7.894993475e-07,9.059412375e-07,8.308495027e-07,4.384100232e-07,9.6446019e-07,7.81158752e-07,1.0231999797e-06,9.907698923e-07,7.015488791e-07,8.488619548e-07,9.991991953e-07,1.0940112508e-06,7.833205692e-07,8.242996896e-07,7.295109259e-07,7.944606898e-07,9.300408101e-07,6.123099561e-07,6.450605721e-07,7.00340128e-07
int,med,1.45907813e-08,4.45760227e-08,8.95184065e-08,9.3855841e-08,1.641704784e-07,2.775600838e-07,3.403494164e-07,2.718801586e-07,4.30709733e-07,5.051551279e-07,5.129504965e-07,5.737557624e-07,5.360589395e-07,6.871792535e-07,7.449003287e-07,7.04289398e-07,7.183603119e-07,7.911257152e-07,7.241312125e-07,8.009797265e-07,9.106494601e-07,8.277904424e-07,8.984794632e-07,9.89576176e-07,9.827612947e-07,1.0004551066e-06,9.303115941e-07,1.1386796484e-06,1.1533810716e-06,9.817148293e-07,1.1538803534e-06,1.2209597532e-06,1.2001798958e-06,1.176831097e-06,1.1983089046e-06,1.1439699351e-06,1.1581213416e-06,9.823711518e-07,1.1613912196e-06,1.0949805762e-06,1.1628211589e-06,1.1143349938e-06,1.0592110947e-06,1.2142911588e-06,1.0980306342e-06,1.1615659019e-06,1.090969772e-06,1.1526501089e-06,1.0953808554e-06,1.0607652351e-06,1.1947601794e-06,1.1438258002e-06,1.219290816e-06,1.1177547008e-06,1.4403791573e-06,1.0539664525e-06,1.1783090466e-06,1.1344393649e-06,1.1422185931e-06,1.2109351637e-06,9.853287917e-07,1.0511554921e-06,1.0683316838e-06,1.0686844449e-06,1.2370604176e-06,1.0085358721e-06,1.0207603448e-06,1.0701097913e-06
int,avg,1.45907813e-08,4.45760227e-08,8.90797163e-08,7.75051548e-08,1.817139524e-07,2.468700642e-07,3.076759622e-07,2.687500207e-07,4.042258548e-07,4.729421707e-07,4.985372928e-07,5.74208661e-07,4.919195601e-07,7.20908905e-07,7.708936484e-07,6.819157054e-07,7.002262438e-07,8.345889212e-07,6.882554672e-07,7.594030803e-07,9.435775035e-07,8.389389394e-07,9.585853194e-07,9.754758891e-07,9.617275918e-07,9.938089313e-07,1.0148761472e-06,1.1106158696e-06,1.0948550405e-06,9.72240071e-07,1.1515687447e-06,1.2773027371e-06,1.1185717713e-06,1.1217330027e-06,1.1035261309e-06,1.1094861127e-06,1.1082222552e-06,9.836672766e-07,1.163823882e-06,1.1036241248e-06,1.1296849729e-06,1.0996161545e-06,1.0158953813e-06,1.1776905807e-06,1.0422635954e-06,1.0967832644e-06,1.0554887462e-06,1.0949764404e-06,1.145042065e-06,1.0483040447e-06,1.1587508723e-06,1.097577868e-06,1.173967127e-06,1.0963251692e-06,1.3917397915e-06,1.047169265e-06,1.1360874003e-06,1.1217017101e-06,1.1575178571e-06,1.1475664382e-06,9.851452563e-07,1.0438272388e-06,1.0198436999e-06,1.0423767593e-06,1.1861019198e-06,9.980375441e-07,9.878214946e-07,9.563676917e-07
ull,max,5.4304327e-09,5.73900017e-08,5.42382697e-08,9.61008379e-08,1.924100931e-07,2.488007146e-07,3.75611356e-07,4.167498819e-07,4.749589053e-07,4.821778751e-07,5.256402798e-07,5.625198897e-07,6.147800511e-07,6.463287328e-07,6.708908745e-07,6.790600333e-07,6.731881839e-07,6.661504572e-07,6.646011946e-07,6.950298466e-07,7.658798369e-07,7.045302409e-07,6.7803951e-07,7.543105074e-07,6.891406316e-07,6.924397992e-07,6.826893875e-07,7.792112132e-07,7.066105136e-07,7.270391261e-07,6.848188274e-07,7.370500928e-07,7.614708917e-07,7.043585745e-07,7.151588838e-07,6.425898068e-07,7.099581627e-07,8.393980603e-07,9.0519897e-07,7.195290295e-07,6.334103984e-07,8.593397192e-07,7.081896603e-07,8.78570554e-07,6.611197058e-07,8.09799062e-07,6.939694756e-07,7.227999368e-07,8.176306288e-07,7.389511388e-07,8.032895734e-07,8.764600896e-07,7.497103873e-07,7.221517305e-07,8.677185655e-07,7.141202222e-07,7.755016574e-07,7.626899518e-07,8.021503572e-07,9.525598869e-07,9.558285283e-07,7.791299162e-07,8.422498187e-07,7.764795628e-07,9.405802594e-07,7.671692099e-07,7.800707658e-07,8.592692731e-07
ull,min,5.4304327e-09,5.71092093e-08,1.018683002e-07,7.41288443e-08,1.941789502e-07,1.815112036e-07,2.952304378e-07,4.198896526e-07,4.099720482e-07,4.320909335e-07,5.47590079e-07,4.365305351e-07,3.656200266e-07,6.102683894e-07,7.774208955e-07,7.516505762e-07,6.310000218e-07,4.670490385e-07,5.606816885e-07,3.943597923e-07,6.956011604e-07,5.682787241e-07,6.387091197e-07,5.767196603e-07,3.84930351e-07,7.226486476e-07,3.369491193e-07,7.22811667e-07,6.008886243e-07,6.341703667e-07,5.537395267e-07,5.469603568e-07,4.82401219e-07,4.746409222e-07,3.066185356e-07,5.127714032e-07,3.28279279e-07,5.668993863e-07,5.077406709e-07,6.053110628e-07,4.211795143e-07,5.709104494e-07,4.392208121e-07,4.508491389e-07,5.724811441e-07,6.33308197e-07,6.51278878e-07,4.658492325e-07,5.243887894e-07,5.824887282e-07,5.114298857e-07,3.881413257e-07,3.541001118e-07,6.463787341e-07,5.261583812e-07,5.693500995e-07,6.447103491e-07,6.861289789e-07,5.885913762e-07,6.069984927e-07,9.002602303e-07,7.890612845e-07,3.828987798e-07,6.654285661e-07,5.859513559e-07,5.974203531e-07,5.264080515e-07,4.993491879e-07
ull,med,5.4304327e-09,5.7214764e-08,5.40308455e-08,1.204054594e-07,1.925694289e-07,2.240893256e-07,3.253914171e-07,4.128487453e-07,4.443389813e-07,4.6424499e-07,6.792508255e-07,5.820052074e-07,6.174988805e-07,6.973548083e-07,7.172799774e-07,7.113534748e-07,7.137616061e-07,7.093449851e-07,7.193203387e-07,6.859954224e-07,7.467598842e-07,6.864802652e-07,6.534600893e-07,6.942303268e-07,5.944197696e-07,7.171401012e-07,6.760596582e-07,7.322888823e-07,8.323897853e-07,7.050191693e-07,6.208184227e-07,6.758858978e-07,8.135801404e-07,7.180605083e-07,6.468397395e-07,6.311461275e-07,6.282092764e-07,7.324403857e-07,8.078792354e-07,7.058599568e-07,6.376816185e-07,8.363802142e-07,6.99041736e-07,8.346801988e-07,7.289995724e-07,7.684996771e-07,6.62009465e-07,7.094341913e-07,7.753991551e-07,6.888689794e-07,7.765888245e-07,8.061789922e-07,7.120607065e-07,7.230397937e-07,7.825006517e-07,6.85249789e-07,7.801092805e-07,7.522948842e-07,7.589492578e-07,9.120654043e-07,9.28021815e-07,7.502153927e-07,7.541215617e-07,7.711754765e-07,8.771193646e-07,7.581402831e-07,7.502287106e-07,7.254252415e-07
ull,avg,5.4304327e-09,5.7214764e-08,7.00462162e-08,1.023575636e-07,1.966620445e-07,2.356849112e-07,3.429152045e-07,4.16116389e-07,5.009340561e-07,4.591451635e-07,5.953600544e-07,5.661429688e-07,6.023726888e-07,6.429630001e-07,6.785721445e-07,6.991502258e-07,6.782770329e-07,6.264040671e-07,6.518097066e-07,6.559597148e-07,7.290220023e-07,6.811176517e-07,6.601475693e-07,6.905472807e-07,6.129186892e-07,7.07313738e-07,6.354760908e-07,7.600821887e-07,7.095926413e-07,7.026910759e-07,6.529200788e-07,6.940497196e-07,7.32839204e-07,6.747439315e-07,6.520191816e-07,6.229781707e-07,6.323729599e-07,7.583322521e-07,7.739962499e-07,6.869254518e-07,6.035068499e-07,8.050945142e-07,6.759626051e-07,7.837438544e-07,6.652246676e-07,7.660197391e-07,6.683463807e-07,7.07703402e-07,7.761378931e-07,7.068516981e-07,7.824958586e-07,7.871714421e-07,6.99176663e-07,7.108468611e-07,7.857926648e-07,6.934800314e-07,7.54216254e-07,7.493990076e-07,7.384004075e-07,8.757076554e-07,8.679615247e-07,7.359241981e-07,7.497598091e-07,7.535737911e-07,8.446125199e-07,7.272690347e-07,7.1784206e-07,7.405863781e-07
float,max,5.5499641e-09,3.1487646e-09,8.37195789e-08,1.500812852e-07,2.138290326e-07,2.847892841e-07,2.572897253e-07,3.700688853e-07,3.860201959e-07,5.250402614e-07,5.382196484e-07,6.456812276e-07,5.779999316e-07,7.621005748e-07,7.775890613e-07,7.688606357e-07,7.973305621e-07,8.917906151e-07,8.269798106e-07,8.522001712e-07,9.169512357e-07,9.771508356e-07,9.801306989e-07,1.0287805536e-06,1.0591596992e-06,1.1678196361e-06,1.0759396381e-06,1.0337691306e-06,1.2561993898e-06,1.1921394574e-06,1.1878484529e-06,1.145440795e-06,1.0961216425e-06,1.1127508293e-06,1.3010297629e-06,1.3283505855e-06,1.0537506075e-06,1.2835089655e-06,1.2645697809e-06,1.153181324e-06,1.1520089743e-06,1.2359194643e-06,1.1804695793e-06,1.2093298677e-06,1.2451712279e-06,1.2232292484e-06,1.2933291614e-06,1.179500415e-06,1.136411449e-06,1.231129599e-06,1.2203798833e-06,1.2616183272e-06,1.0783700339e-06,1.1046112175e-06,1.1786900244e-06,1.2594601102e-06,1.2167406265e-06,1.1825214339e-06,1.147418857e-06,1.2331701067e-06,1.3478120972e-06,1.1767001219e-06,1.1482904529e-06,1.1712603035e-06,1.1146219528e-06,1.1265112486e-06,1.3119790434e-06,1.0517803496e-06
float,min,5.5499641e-09,3.0104819e-09,7.96289923e-08,1.136892924e-07,2.016903587e-07,1.815182043e-07,2.789708524e-07,3.972387988e-07,5.974896954e-07,4.905090002e-07,3.876495226e-07,4.463395876e-07,4.69359994e-07,5.502494275e-07,8.108503456e-07,8.047017763e-07,4.008001285e-07,7.379085876e-07,5.6451008e-07,7.135695572e-07,6.980893713e-07,7.274091635e-07,7.6236875e-07,9.44689628e-07,9.127193503e-07,8.072319453e-07,1.0916206245e-06,9.087096954e-07,6.317910594e-07,1.2725682762e-06,1.3178306979e-06,9.230094482e-07,1.0283806931e-06,8.742707954e-07,1.0571997133e-06,5.415907321e-07,7.043109077e-07,9.994607123e-07,1.1337499289e-06,6.918291306e-07,6.526412672e-07,9.369498221e-07,8.456512906e-07,1.0069882996e-06,8.851810437e-07,8.943196251e-07,1.0150100806e-06,1.0007595187e-06,7.567383322e-07,8.184010201e-07,6.924597034e-07,8.720714886e-07,7.583307909e-07,7.614390097e-07,5.964609969e-07,1.0747787961e-06,8.598706979e-07,1.258110126e-06,9.793218446e-07,9.899903085e-07,1.074179158e-06,8.925298808e-07,8.051100949e-07,1.0067390092e-06,9.280811093e-07,1.0640292801e-06,9.377791875e-07,8.56030365e-07
float,med,5.5499641e-09,3.0796233e-09,8.32601582e-08,1.47486099e-07,1.888296222e-07,2.746514223e-07,4.461506952e-07,4.57259798e-07,3.383408519e-07,5.084198051e-07,5.284810904e-07,6.399103059e-07,5.498621042e-07,7.440646725e-07,7.100702786e-07,7.769506753e-07,7.461808171e-07,8.543497903e-07,7.40030939e-07,8.434148217e-07,9.073798634e-07,9.087091645e-07,8.865408347e-07,1.0314097801e-06,1.0311496014e-06,1.2524060957e-06,9.665501089e-07,1.042278681e-06,1.3260098833e-06,1.2004292741e-06,1.1791200554e-06,1.0588158232e-06,1.052588927e-06,1.0716901389e-06,1.311980629e-06,1.3285111185e-06,1.0214902339e-06,1.2814695391e-06,1.1816503725e-06,1.154244499e-06,1.1168101384e-06,1.1829185492e-06,1.1468711699e-06,1.1729042772e-06,1.2258095473e-06,1.1100150371e-06,1.337921676e-06,1.16961486e-06,1.0699396626e-06,1.2202663696e-06,1.1752803758e-06,1.2184996464e-06,1.0143286882e-06,1.0876550039e-06,1.1125386458e-06,1.217189715e-06,1.1205102832e-06,1.225174446e-06,1.0582496268e-06,1.225294977e-06,1.2837482352e-06,1.0530293623e-06,1.0468421213e-06,1.1478095281e-06,1.1015285739e-06,1.1154451328e-06,1.23722909e-06,9.884246453e-07
float,avg,5.5499641e-09,3.0796233e-09,8.19300045e-08,1.395533168e-07,2.190976064e-07,2.468469521e-07,3.366799806e-07,4.355126598e-07,3.883925224e-07,5.073945182e-07,5.380121936e-07,6.337419184e-07,5.379840362e-07,7.411920324e-07,7.976665978e-07,7.827373633e-07,7.415841342e-07,8.879199372e-07,7.805991358e-07,7.786300428e-07,8.513328452e-07,9.173275416e-07,9.344596677e-07,1.037368298e-06,1.0363221683e-06,1.1531616808e-06,1.0458985129e-06,1.0177825046e-06,1.2004678737e-06,1.1800540292e-06,1.2277917743e-06,1.0524933066e-06,1.0178885617e-06,9.956007682e-07,1.2378525535e-06,1.2625294987e-06,1.0166474316e-06,1.1910384763e-06,1.1962032568e-06,1.0864828944e-06,1.0312825279e-06,1.0830867367e-06,1.0806535788e-06,1.1413376105e-06,1.1273600006e-06,1.0621760048e-06,1.1830443978e-06,1.14031844e-06,1.0168905276e-06,1.1797437037e-06,1.1023062213e-06,1.2298596052e-06,9.997413019e-07,1.0492743536e-06,1.0784185894e-06,1.2296890496e-06,1.1171849971e-06,1.1124946787e-06,1.1254794279e-06,1.1867384367e-06,1.2446891724e-06,1.0767643027e-06,1.0383200786e-06,1.157730724e-06,1.0757053783e-06,1.0328848105e-06,1.1617247701e-06,1.0199677985e-06
double,max,8.0508852e-09,5.24692247e-08,9.77495541e-08,1.110788751e-07,1.206304172e-07,3.386293895e-07,3.039419157e-07,3.654203905e-07,4.341195844e-07,4.695597742e-07,5.654990842e-07,5.968604131e-07,6.48049472e-07,6.163388231e-07,7.304315102e-07,6.989007834e-07,7.136312531e-07,7.605890903e-07,7.034197194e-07,6.853592239e-07,7.206694691e-07,6.988900984e-07,7.520809053e-07,7.295512808e-07,6.79089398e-07,7.507592024e-07,7.464004652e-07,7.261511954e-07,7.271005725e-07,6.888803792e-07,7.377399281e-07,6.888999168e-07,7.6739937e-07,7.387506018e-07,6.998891573e-07,7.057316045e-07,7.220713966e-07,7.07538735e-07,7.779500612e-07,7.222107356e-07,7.463612125e-07,7.599995471e-07,7.103199261e-07,6.928200958e-07,7.284287152e-07,7.773989571e-07,8.213306824e-07,7.879196388e-07,7.957907649e-07,7.101889145e-07,6.97429769e-07,7.193402827e-07,7.749395659e-07,8.037716531e-07,8.015787877e-07,8.188401749e-07,8.561195076e-07,8.944403194e-07,8.507799109e-07,8.397414624e-07,8.886311765e-07,9.153298785e-07,8.071186957e-07,7.953011609e-07,8.003290143e-07,9.197103114e-07,7.785090529e-07,9.003399132e-07
double,min,8.0508852e-09,5.12995358e-08,9.35180667e-08,6.96088907e-08,7.2930858e-08,3.061216037e-07,3.179918028e-07,3.159485353e-07,3.559295667e-07,4.783001993e-07,5.514200038e-07,5.116511125e-07,5.933507654e-07,5.532613271e-07,7.316987141e-07,5.177593581e-07,6.299621083e-07,7.773113834e-07,5.330996794e-07,6.880410718e-07,5.099701497e-07,6.663487157e-07,4.839115955e-07,6.39169922e-07,6.170498538e-07,6.265504402e-07,6.401494685e-07,6.565989e-07,7.70609852e-07,6.672586101e-07,6.49239505e-07,6.336612744e-07,5.382611624e-07,4.333094914e-07,4.529101553e-07,7.089407793e-07,5.116495488e-07,5.8236048e-07,5.476891122e-07,6.454712282e-07,5.165090178e-07,5.289396712e-07,5.607506741e-07,5.93440407e-07,5.933289186e-07,5.696702806e-07,7.18419881e-07,5.968300917e-07,6.294410921e-07,6.309902565e-07,4.224587706e-07,6.372501537e-07,6.955585541e-07,7.652195595e-07,7.371700952e-07,5.933597949e-07,5.296811766e-07,5.398679572e-07,6.244893636e-07,8.055282738e-07,6.316292354e-07,5.293800583e-07,5.705391515e-07,5.270909009e-07,5.062604799e-07,5.424803825e-07,5.775406123e-07,5.841714191e-07
