cuda_vote_any_sync
n iter,1000
""
n_blocks,1
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,6.095238095238095e-06
int,min,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,4.19047619047619e-06
int,med,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,6.095238095238095e-06
int,avg,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,5.7142857142857145e-06
""
n_blocks,2
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
int,max,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,6.095238095238095e-06
int,min,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,4.19047619047619e-06
int,med,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,6.095238095238095e-06
int,avg,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,2.2857142857142856e-06,3.0476190476190477e-06,5.7142857142857145e-06
""
n_blocks,64
type mode,aggregate,1,2,4,8,16,32,64,128,256,512,1024
