omp_atomicadd_array_v2
n iter,1000
arr step,1
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,5.310419e-09,3.01600319e-08,2.54310873e-08,3.2389039e-08,5.49003671e-08,7.40985582e-08,9.18894104e-08,1.001090387e-07,1.105389406e-07,1.088499266e-07,1.011689925e-07,1.065197064e-07,1.082890054e-07,1.045695345e-07,1.089295084e-07,1.058392798e-07,1.255383809e-07,1.236087997e-07,1.363515706e-07,1.469914021e-07,1.591090788e-07,1.736586047e-07,1.822387398e-07,1.834490262e-07,1.864314159e-07,1.853014891e-07,1.943586632e-07,2.044988672e-07,1.931519939e-07,1.798992178e-07,2.045297914e-07,1.847999582e-07,2.10581143e-07,1.955599452e-07,1.939015045e-07,1.976820326e-07
int,min,5.310419e-09,2.73996759e-08,1.65701653e-08,2.38383521e-08,2.50499762e-08,4.52693954e-08,4.64401427e-08,8.00892889e-08,8.1998753e-09,2.75698714e-08,3.46904062e-08,3.92720029e-08,4.91798471e-08,5.73799535e-08,8.47997583e-08,4.83910893e-08,5.4131268e-08,7.19097574e-08,6.42214676e-08,6.34816101e-08,4.91602217e-08,6.04611531e-08,3.30403311e-08,6.06106963e-08,3.83598116e-08,5.14700107e-08,4.51196567e-08,4.48589914e-08,4.30883891e-08,3.96298494e-08,3.90198193e-08,6.28100201e-08,7.11704971e-08,5.97816594e-08,3.50006351e-08,4.25413705e-08
int,med,5.310419e-09,2.87798539e-08,2.53002719e-08,2.78805437e-08,4.07502245e-08,6.57398115e-08,9.42404027e-08,9.51296883e-08,8.33306123e-08,9.14096075e-08,7.80800893e-08,8.48760011e-08,1.054589769e-07,7.75602631e-08,8.34483371e-08,8.83306833e-08,1.099387996e-07,8.55653085e-08,1.082989607e-07,1.179344095e-07,1.178205196e-07,1.334350093e-07,1.522497655e-07,1.214855045e-07,1.300105853e-07,1.69430461e-07,1.675192488e-07,1.416605108e-07,1.697507486e-07,1.145346965e-07,1.552393839e-07,1.21265519e-07,1.546199121e-07,1.41254816e-07,1.408185521e-07,1.552108138e-07
int,avg,5.310419e-09,2.87798539e-08,2.2423194e-08,2.7899733e-08,4.28184309e-08,6.261995e-08,7.77098439e-08,8.85946134e-08,8.91343533e-08,8.63410442e-08,7.97767343e-08,8.31955588e-08,8.48698496e-08,8.19206958e-08,9.1070643e-08,8.69671114e-08,1.053412173e-07,1.022565312e-07,1.109872899e-07,1.149202416e-07,1.206250806e-07,1.367999365e-07,1.441566376e-07,1.289912108e-07,1.347471111e-07,1.455447325e-07,1.430265965e-07,1.475132505e-07,1.374007236e-07,1.172339068e-07,1.298061713e-07,1.267103174e-07,1.399907551e-07,1.430311898e-07,1.35296132e-07,1.496481133e-07
ull,max,5.6203058e-09,2.18410632e-08,1.81894966e-08,2.70981255e-08,3.26286368e-08,3.98311581e-08,3.47219685e-08,4.48597078e-08,6.63921997e-08,7.7059274e-08,9.67209065e-08,1.023316711e-07,9.95000636e-08,1.02419985e-07,1.047295848e-07,9.91205698e-08,9.74301822e-08,9.53497928e-08,7.85610176e-08,1.017907129e-07,1.046112396e-07,1.106501006e-07,1.013698784e-07,1.10977878e-07,1.059403111e-07,1.018118364e-07,1.061201797e-07,1.092101343e-07,1.070786072e-07,9.76098386e-08,1.035799748e-07,1.082202228e-07,1.130817339e-07,1.214399159e-07,1.011788454e-07,1.079699844e-07
ull,min,5.6203058e-09,1.67694368e-08,3.9206079e-09,2.29496443e-08,1.07898816e-08,2.36698892e-08,2.35101744e-08,2.41988342e-08,2.33103862e-08,5.24410657e-08,4.6370607e-08,5.35196721e-08,1.10910277e-08,2.83598544e-08,3.50100551e-08,3.40511427e-08,5.11498076e-08,2.23290233e-08,2.60996251e-08,2.46197569e-08,1.69890607e-08,2.07999919e-08,3.8831188e-08,3.05287276e-08,3.73107947e-08,3.23678636e-08,3.22797018e-08,3.65901357e-08,1.38516916e-08,2.28898697e-08,3.42400687e-08,3.35012077e-08,3.50101595e-08,2.78385291e-08,3.64997299e-08,3.07205049e-08
ull,med,5.6203058e-09,1.930525e-08,1.7981078e-08,2.06295978e-08,2.3979678e-08,3.0674513e-08,3.12799379e-08,4.31954766e-08,5.01482378e-08,5.63165597e-08,7.16702049e-08,7.89559216e-08,7.84096902e-08,7.77849236e-08,5.80206293e-08,6.75395786e-08,7.17496666e-08,6.1808774e-08,6.66389763e-08,8.36054841e-08,8.01699448e-08,7.70601196e-08,8.29504738e-08,5.70555506e-08,7.65789418e-08,7.56096346e-08,7.79091483e-08,8.25545724e-08,8.32509456e-08,8.04495079e-08,8.92580229e-08,7.56845687e-08,8.07595027e-08,7.84739047e-08,8.35082668e-08,7.98410453e-08
ull,avg,5.6203058e-09,1.930525e-08,1.33637275e-08,2.24296581e-08,2.47278355e-08,3.19467963e-08,3.04218433e-08,4.11134864e-08,5.33459544e-08,5.95211326e-08,7.17323514e-08,8.14561377e-08,7.18758446e-08,7.20504733e-08,7.09172882e-08,7.06356216e-08,7.05872677e-08,6.11494423e-08,6.34917043e-08,7.64477411e-08,7.65625775e-08,7.32078265e-08,7.53334534e-08,7.01381057e-08,7.56223064e-08,7.71614824e-08,7.49544973e-08,7.7765772e-08,7.63068705e-08,7.29368535e-08,7.60475933e-08,7.0746692e-08,7.27048794e-08,8.16593392e-08,7.00847952e-08,7.90556604e-08
float,max,1.17496869e-08,2.16586792e-08,2.88311755e-08,3.32882187e-08,6.10299951e-08,9.20710294e-08,1.111302863e-07,1.294806812e-07,1.289091595e-07,1.264592943e-07,1.295495015e-07,1.309208676e-07,1.253080814e-07,1.306690575e-07,1.232418541e-07,1.348109456e-07,1.276307722e-07,1.471610956e-07,1.526502878e-07,1.854113423e-07,2.126999954e-07,2.259700688e-07,2.264085588e-07,2.467203198e-07,2.486906044e-07,2.268397458e-07,2.412804851e-07,2.551000293e-07,2.831096515e-07,2.268494086e-07,2.628502988e-07,2.696201498e-07,2.720585135e-07,3.046413779e-07,2.843188264e-07,3.204218011e-07
float,min,1.17496869e-08,2.27005684e-08,1.6669364e-08,2.17912888e-08,2.5921096e-08,5.06291417e-08,4.66700578e-08,1.089093478e-07,1.33706999e-08,2.91892824e-08,4.01601547e-08,4.3301021e-08,6.54182381e-08,5.90281937e-08,5.35798322e-08,5.75205202e-08,5.64997655e-08,6.62791768e-08,7.77282051e-08,2.241791524e-07,6.82511549e-08,1.799300499e-07,9.50991037e-08,1.809499774e-07,2.119507245e-07,1.531913506e-07,1.327696362e-07,1.9707289e-09,1.696306465e-07,2.130802386e-07,1.841607721e-07,2.213083054e-07,2.083300145e-07,1.878613358e-07,2.221803593e-07,2.355398569e-07
