omp_atomicadd_array_v2_close
n iter,1000
arr step,1
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,1.09194467e-08,6.3911331e-09,2.53000273e-08,3.43118596e-08,6.04701755e-08,6.60183043e-08,9.68805702e-08,1.021198334e-07,1.076582487e-07,1.032802179e-07,1.063182544e-07,1.039818126e-07,1.088512329e-07,1.087179108e-07,1.070815582e-07,1.056795155e-07,1.086981026e-07,1.224396826e-07,1.414612064e-07,1.60190343e-07,1.657797401e-07,1.654701773e-07,1.852997659e-07,1.901212189e-07,1.84499805e-07,1.745208847e-07,1.906182979e-07,1.93471427e-07,2.020520473e-07,1.947596312e-07,1.860104074e-07,1.956297311e-07,1.996395444e-07,2.068890236e-07,1.831507512e-07,1.708811377e-07
int,min,1.09194467e-08,7.6619041e-09,1.70006314e-08,2.48598476e-08,2.22709013e-08,2.5740652e-08,2.46999423e-08,8.03491891e-08,1.09206279e-08,1.66000099e-08,3.53496002e-08,5.00702202e-08,5.1819716e-08,2.63684639e-08,5.59402144e-08,9.1459485e-08,8.71208871e-08,-2.25710696e-08,5.73099536e-08,3.73203537e-08,5.07097353e-08,6.21003381e-08,7.76790771e-08,4.45400217e-08,2.51500752e-08,6.47997479e-08,4.94408698e-08,4.04300043e-08,4.35687592e-08,5.69797311e-08,5.23196873e-08,4.78102492e-08,5.20095125e-08,5.44406335e-08,8.72395998e-08,5.47112303e-08
int,med,1.09194467e-08,7.0265186e-09,2.59604016e-08,2.98105168e-08,4.4970271e-08,5.45456023e-08,1.004382387e-07,8.90344707e-08,8.27287389e-08,8.09697763e-08,8.40281076e-08,8.169078e-08,8.07611626e-08,8.01894816e-08,8.4418311e-08,1.058261088e-07,9.87596742e-08,8.23765292e-08,1.337412321e-07,1.310546564e-07,1.207187573e-07,1.235057513e-07,1.272085786e-07,1.136895436e-07,1.086200352e-07,1.008794392e-07,1.282495288e-07,1.167455845e-07,1.622620633e-07,1.017245907e-07,1.123890305e-07,1.11574914e-07,1.530597702e-07,1.419207113e-07,1.366210915e-07,1.232099036e-07
int,avg,1.09194467e-08,7.0265186e-09,2.3139955e-08,3.02408624e-08,4.53171039e-08,5.19881656e-08,8.44313892e-08,9.18339192e-08,8.49241986e-08,7.67750466e-08,7.91268743e-08,7.82631125e-08,7.96846294e-08,7.77045736e-08,8.70757784e-08,9.10635154e-08,8.67607836e-08,8.71820092e-08,1.19692285e-07,1.242722196e-07,1.17673796e-07,1.244878568e-07,1.35794123e-07,1.311662906e-07,1.235848282e-07,1.189552257e-07,1.213736835e-07,1.3010736e-07,1.266840892e-07,1.255484066e-07,1.243719125e-07,1.234447232e-07,1.419458974e-07,1.367203087e-07,1.280688571e-07,1.255256417e-07
ull,max,5.4492088e-09,1.64109711e-08,3.63304341e-08,3.46896643e-08,3.05402693e-08,3.86116354e-08,3.06310255e-08,4.23712875e-08,6.53306415e-08,7.75004893e-08,9.19800099e-08,1.025196417e-07,1.006517093e-07,1.021583055e-07,1.02860845e-07,1.045291524e-07,9.58298796e-08,1.075105513e-07,1.045706329e-07,1.137397333e-07,1.025402484e-07,1.09420244e-07,1.104505099e-07,9.11189505e-08,1.04397767e-07,9.74193718e-08,1.188298521e-07,9.9298726e-08,9.91083633e-08,9.72612451e-08,1.061286252e-07,1.119208398e-07,1.100114268e-07,1.053495517e-07,8.71911852e-08,1.279698685e-07
ull,min,5.4492088e-09,1.63913007e-08,3.59898448e-08,2.37094524e-08,1.07094698e-08,2.51902072e-08,2.60983794e-08,2.30605998e-08,4.80700957e-08,4.67286725e-08,4.81708601e-08,5.44587386e-08,5.4390982e-09,2.87096616e-08,2.95798308e-08,2.92807541e-08,4.26096799e-08,5.17688641e-08,3.56704086e-08,3.23794154e-08,1.94297548e-08,3.60701263e-08,3.52699794e-08,2.27089088e-08,4.92215654e-08,3.10691998e-08,3.08009538e-08,3.17006537e-08,1.72410713e-08,3.30809863e-08,3.40196144e-08,3.76189937e-08,3.74297922e-08,3.68306436e-08,4.28499776e-08,2.94396848e-08
ull,med,5.4492088e-09,1.64002422e-08,3.60899806e-08,3.13088889e-08,2.84998695e-08,3.15351087e-08,3.85783434e-08,3.51257623e-08,5.00902794e-08,5.51088828e-08,6.57992657e-08,7.80808338e-08,8.26593463e-08,7.92556745e-08,8.20509993e-08,5.4495144e-08,6.30395621e-08,7.26606213e-08,8.25113597e-08,8.72152982e-08,7.38387421e-08,9.12298544e-08,7.32510652e-08,6.26213359e-08,7.2050213e-08,6.94396373e-08,7.95189323e-08,9.22197462e-08,6.66195416e-08,7.14800278e-08,7.27694536e-08,7.42848884e-08,8.16792917e-08,7.36952578e-08,8.85005135e-08,7.76946959e-08
ull,avg,5.4492088e-09,1.64002422e-08,3.61599167e-08,3.00470585e-08,2.5474444e-08,3.09990034e-08,3.32614552e-08,3.48925259e-08,5.32508742e-08,5.69568735e-08,7.0125997e-08,7.81500796e-08,7.3453207e-08,7.48009138e-08,7.28039615e-08,6.83274843e-08,6.61529385e-08,7.41322666e-08,7.30246296e-08,8.51063873e-08,7.49270726e-08,7.76936395e-08,7.54323994e-08,6.667765e-08,7.37069989e-08,6.42017367e-08,7.48602589e-08,7.91176114e-08,7.57251997e-08,6.59056015e-08,7.36276225e-08,7.4286393e-08,8.11456681e-08,7.10088744e-08,7.86772787e-08,8.05971095e-08
float,max,1.02586937e-08,2.8710367e-08,3.46593727e-08,4.27901042e-08,8.58107755e-08,8.59399852e-08,1.094889905e-07,1.292497644e-07,1.296001031e-07,1.334103848e-07,1.276906877e-07,1.273094223e-07,1.207106808e-07,1.192688512e-07,1.2089996e-07,1.359894583e-07,1.476710857e-07,1.541191159e-07,1.649382579e-07,1.797788748e-07,1.90209205e-07,2.088405582e-07,2.417313196e-07,2.547792107e-07,2.697092377e-07,2.562595692e-07,2.346709016e-07,2.312318446e-07,2.286901321e-07,2.349492134e-07,2.410402858e-07,2.435202107e-07,3.003808073e-07,2.931101646e-07,2.818788985e-07,2.89669276e-07
float,min,1.02586937e-08,2.34795276e-08,1.93198862e-08,3.29316443e-08,2.35794435e-08,4.44603142e-08,4.44204326e-08,1.075800847e-07,6.5398024e-09,2.7990215e-08,4.36399315e-08,4.39912593e-08,6.08396074e-08,6.44306625e-08,3.07412363e-08,1.240286862e-07,5.50306372e-08,1.233387527e-07,9.30495682e-08,1.67609062e-08,1.428099605e-07,1.296998813e-07,8.44582083e-08,1.662488458e-07,1.988410248e-07,2.227796054e-07,2.342108002e-07,1.707191112e-07,2.16469388e-07,1.868195741e-07,2.194814404e-07,1.773718036e-07,2.116908635e-07,1.333314835e-07,1.927211002e-07,1.623794708e-07
float,med,1.02586937e-08,2.62951868e-08,3.46985164e-08,3.66555942e-08,6.94992703e-08,7.20900964e-08,1.156199265e-07,1.134743019e-07,9.4249675e-08,9.58044356e-08,9.40899696e-08,9.80947531e-08,9.75597768e-08,9.07095614e-08,9.54898048e-08,1.061496848e-07,1.232095699e-07,1.428447602e-07,1.094022594e-07,1.574914442e-07,1.394999211e-07,1.882747045e-07,1.890187727e-07,2.303303887e-07,2.630702412e-07,2.308241391e-07,1.944284842e-07,1.927705581e-07,2.076404573e-07,2.410353104e-07,2.129481647e-07,2.23999322e-07,2.881604799e-07,2.738600143e-07,2.673708174e-07,2.342397485e-07
float,avg,1.02586937e-08,2.62951868e-08,2.96187656e-08,3.73404515e-08,5.60960117e-08,6.87132825e-08,8.64127968e-08,1.155595759e-07,1.019338356e-07,1.013341718e-07,9.90988524e-08,1.014665057e-07,9.1717785e-08,9.04609901e-08,9.62624649e-08,1.049901828e-07,1.199769867e-07,1.372450769e-07,1.211900224e-07,1.499986933e-07,1.633443989e-07,1.73458334e-07,2.018695441e-07,2.236747145e-07,2.523316119e-07,2.098539529e-07,2.089518697e-07,1.954963883e-07,2.066517791e-07,2.405509664e-07,2.146868878e-07,2.061531677e-07,2.777378785e-07,2.529833283e-07,2.538835379e-07,2.355839415e-07
double,max,6.7603659e-09,2.25293111e-08,3.23311974e-08,3.91086417e-08,3.84599994e-08,3.94597954e-08,4.67510774e-08,3.15904314e-08,7.62413383e-08,9.47094055e-08,1.089207866e-07,1.290101851e-07,1.260398303e-07,1.302202527e-07,1.176497171e-07,1.301704477e-07,1.369206317e-07,1.488606168e-07,1.182607379e-07,1.220118176e-07,1.432298627e-07,1.282402556e-07,1.550191321e-07,1.288403571e-07,1.494689143e-07,1.316598798e-07,1.30837688e-07,1.549817799e-07,1.119411067e-07,1.412405882e-07,1.710195685e-07,1.632704443e-07,1.544085817e-07,1.520296002e-07,1.500900027e-07,1.451609818e-07
double,min,6.7603659e-09,2.43317555e-08,1.72999551e-08,3.01092146e-08,1.32697574e-08,2.68404135e-08,2.68110287e-08,2.5319946e-08,2.41795294e-08,6.2901992e-08,5.68803732e-08,6.92203125e-08,6.7196822e-09,1.06386047e-08,5.43989011e-08,4.8060554e-08,4.32204874e-08,7.95199875e-08,7.46381245e-08,6.45600146e-08,4.68601582e-08,2.14506879e-08,4.90503612e-08,6.68002072e-08,8.87695152e-08,8.78788921e-08,3.26190227e-08,9.15090056e-08,1.103495535e-07,1.1404013e-07,6.28695575e-08,1.362082957e-07,7.71896257e-08,3.9062249e-08,9.27692519e-08,8.76693852e-08
double,med,6.7603659e-09,2.34305333e-08,3.28919443e-08,3.43792648e-08,2.9051671e-08,3.53201895e-08,4.27097824e-08,3.29745316e-08,6.0278019e-08,6.9209249e-08,7.86203963e-08,9.63896523e-08,9.44602991e-08,8.77904071e-08,7.58715149e-08,7.74946764e-08,9.61322298e-08,8.71143812e-08,1.102795183e-07,9.01048658e-08,1.168192557e-07,1.055517426e-07,1.444688383e-07,1.006907871e-07,1.475690036e-07,1.348650095e-07,1.196201883e-07,1.262395161e-07,1.18439924e-07,1.292804149e-07,1.535702483e-07,1.010199033e-07,1.629604443e-07,1.324098386e-07,1.413587877e-07,1.288494312e-07
double,avg,6.7603659e-09,2.34305333e-08,2.70506227e-08,3.43692479e-08,2.93258921e-08,3.36890091e-08,3.91871439e-08,2.85187863e-08,6.61748562e-08,7.66723956e-08,8.45926873e-08,1.046591353e-07,8.5032701e-08,8.70967651e-08,8.66950639e-08,8.86373726e-08,1.04905534e-07,1.016767508e-07,9.92941402e-08,1.09301351e-07,1.055196452e-07,1.007489262e-07,1.349502972e-07,1.111071962e-07,1.370871112e-07,1.249100285e-07,1.145263094e-07,1.337544573e-07,1.116802352e-07,1.341437214e-07,1.387390894e-07,1.358634134e-07,1.503218183e-07,1.273711536e-07,1.400831739e-07,1.418108741e-07
