omp_atomicadd_array_v2_spread
n iter,1000
arr step,8
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,5.3191635e-09,1.0880023e-08,1.70915193e-08,2.26806303e-08,2.2940981e-08,3.31708986e-08,2.88191277e-08,2.31399075e-08,2.37690607e-08,4.14085387e-08,2.8511369e-08,3.3420204e-08,3.21193225e-08,2.8609881e-08,2.5268401e-08,2.07897833e-08,3.08294496e-08,2.79982861e-08,3.42812743e-08,3.20586539e-08,2.56287871e-08,3.12100725e-08,3.14189151e-08,2.54587816e-08,2.3220352e-08,3.14392908e-08,3.44603935e-08,3.7860399e-08,3.35712869e-08,3.59681703e-08,3.78197845e-08,3.58387541e-08,3.87693802e-08,3.85689304e-08,4.44900795e-08,3.67478874e-08
int,min,5.3191635e-09,1.0880023e-08,1.07303221e-08,1.59797986e-08,1.07603062e-08,5.2797807e-09,5.2813504e-09,1.08106741e-08,1.0879563e-08,6.1480669e-09,5.4606232e-09,1.00198738e-08,1.0459897e-08,9.9987907e-09,6.4089737e-09,5.3611763e-09,1.38694453e-08,6.1417076e-09,5.3793306e-09,5.3605208e-09,6.3202966e-09,1.04786209e-08,7.6113637e-09,1.1438812e-08,8.0191641e-09,5.4607573e-09,1.1078782e-08,1.04600948e-08,1.09917853e-08,9.2091533e-09,1.17612337e-08,6.5304214e-09,7.8710786e-09,1.10094742e-08,9.8500684e-09,5.5695468e-09
int,med,5.3191635e-09,1.0880023e-08,1.72406543e-08,1.39644044e-08,1.76893501e-08,1.51057433e-08,1.33096587e-08,1.76743932e-08,2.26203735e-08,1.75107607e-08,2.71386e-08,2.75385504e-08,2.61300493e-08,1.65208868e-08,2.5640383e-08,1.58448603e-08,2.72506387e-08,1.6249927e-08,2.61302063e-08,2.86096787e-08,2.17791655e-08,2.4186133e-08,2.09592641e-08,2.62203163e-08,2.08992717e-08,2.63154295e-08,2.55813631e-08,2.50608375e-08,2.64510011e-08,1.82545849e-08,2.51000203e-08,2.74344569e-08,3.17401431e-08,2.51902254e-08,2.72099507e-08,2.54992471e-08
int,avg,5.3191635e-09,1.0880023e-08,1.50167439e-08,1.40474825e-08,1.81095868e-08,1.75903851e-08,1.91959564e-08,1.68021372e-08,2.21654528e-08,2.18357658e-08,2.43566002e-08,2.41697668e-08,2.10892122e-08,1.82360279e-08,2.25376699e-08,1.50739769e-08,2.29745899e-08,1.91043045e-08,2.32833773e-08,2.35278789e-08,2.05662546e-08,2.25766741e-08,2.24378629e-08,2.33802373e-08,2.18374011e-08,2.37109857e-08,2.48666497e-08,2.30122837e-08,2.52858613e-08,2.21874441e-08,2.61804221e-08,2.79878323e-08,2.87978832e-08,2.30725545e-08,2.48484013e-08,2.27322062e-08
ull,max,8.3300517e-09,1.09595026e-08,1.07996835e-08,1.07999655e-08,1.08715353e-08,1.08608937e-08,1.09400351e-08,1.14286458e-08,1.09580597e-08,1.07106419e-08,1.06205528e-08,1.06395584e-08,1.0621828e-08,1.11293408e-08,1.06590974e-08,1.06198512e-08,1.14280737e-08,1.14191521e-08,1.07600125e-08,1.07618781e-08,1.07904588e-08,1.10888319e-08,1.11515147e-08,1.11711789e-08,1.11503082e-08,1.11610413e-08,1.08494957e-08,1.08394756e-08,1.13901959e-08,1.10592068e-08,1.10795836e-08,1.07106656e-08,1.08308293e-08,1.09091832e-08,1.08801776e-08,1.08796661e-08
ull,min,8.3300517e-09,1.03689806e-08,1.0369581e-08,1.03695151e-08,5.3309045e-09,1.03715399e-08,5.3410057e-09,5.387738e-09,5.3506898e-09,5.3495601e-09,5.5703162e-09,5.3781096e-09,5.3506012e-09,5.3179108e-09,5.5113197e-09,5.5004654e-09,5.5592706e-09,5.5791223e-09,5.6283293e-09,5.6493742e-09,5.6594348e-09,5.6313339e-09,5.6110809e-09,5.5303618e-09,5.6203647e-09,5.6783116e-09,5.670591e-09,5.6702541e-09,5.6586156e-09,5.6788945e-09,5.7099518e-09,5.6702306e-09,5.5301772e-09,5.6701758e-09,5.7002007e-09,5.6809538e-09
ull,med,8.3300517e-09,1.06543268e-08,1.03702237e-08,1.05852428e-08,1.03701801e-08,1.06102935e-08,1.03708044e-08,1.06704079e-08,1.0370453e-08,1.0241394e-08,1.03701151e-08,1.01302692e-08,1.01189261e-08,1.06348608e-08,1.01497466e-08,1.01465903e-08,1.01490988e-08,1.01299265e-08,1.03817177e-08,1.05691447e-08,1.03998647e-08,1.03695493e-08,1.08699873e-08,1.02206205e-08,1.11392645e-08,1.05900967e-08,1.03899297e-08,1.04908121e-08,1.0600347e-08,1.0381299e-08,1.11101147e-08,1.00909299e-08,1.01781642e-08,1.03848182e-08,1.041968e-08,1.02956322e-08
ull,avg,8.3300517e-09,1.06543268e-08,1.04899141e-08,1.05826635e-08,9.4632222e-09,1.06105542e-08,9.8028925e-09,1.00836335e-08,1.00017485e-08,1.00852488e-08,9.6681025e-09,1.0173079e-08,1.01679074e-08,1.02473144e-08,9.8647291e-09,9.9215796e-09,9.7078561e-09,9.8100225e-09,9.6139927e-09,9.2393866e-09,9.9988749e-09,9.629269e-09,9.8929044e-09,9.5405176e-09,9.8887295e-09,8.9830125e-09,9.968996e-09,9.3904111e-09,8.5600119e-09,9.6344792e-09,9.8923593e-09,1.0197548e-08,1.00538335e-08,9.7676522e-09,9.9662975e-09,9.9660441e-09
float,max,1.28000496e-08,1.3498452e-08,2.60196664e-08,2.0349053e-08,3.19811185e-08,2.45904735e-08,2.60394818e-08,2.03707588e-08,3.65287932e-08,2.83896124e-08,2.50114827e-08,2.87514484e-08,3.7141888e-08,3.18408766e-08,3.97101111e-08,2.66192725e-08,4.24398332e-08,3.9031069e-08,3.46785493e-08,3.81696629e-08,3.69311546e-08,3.86604636e-08,3.57311374e-08,3.36902324e-08,3.75304747e-08,3.93087981e-08,4.78197752e-08,4.0599478e-08,3.22207785e-08,3.58704474e-08,3.40702484e-08,4.62405241e-08,5.29684811e-08,4.32999992e-08,5.0828291e-08,4.02716234e-08
float,min,1.28000496e-08,1.28101854e-08,1.28413976e-08,6.4702113e-09,1.24798619e-08,1.32203996e-08,1.33201471e-08,6.5408875e-09,1.73099808e-08,1.50994742e-08,1.51512509e-08,1.43205562e-08,1.61298125e-08,2.44582568e-08,2.38291237e-08,1.43413443e-08,1.42794876e-08,6.9699615e-09,1.37995404e-08,1.88990434e-08,1.52000284e-08,2.00407465e-08,2.08083878e-08,1.40085152e-08,2.36186758e-08,2.07010245e-08,2.61511429e-08,2.56111801e-08,2.09804951e-08,1.91901488e-08,2.58289377e-08,6.8715086e-09,1.94607697e-08,2.10301675e-08,9.5416824e-09,1.19012207e-08
float,med,1.28000496e-08,1.31598976e-08,1.58208473e-08,1.60346033e-08,1.8818492e-08,2.37460534e-08,2.41102721e-08,2.64350416e-08,2.23099915e-08,2.41250369e-08,2.26802122e-08,2.4604707e-08,2.55219287e-08,2.35800198e-08,2.84010492e-08,2.35803735e-08,2.32904657e-08,2.37299454e-08,2.59715028e-08,2.66493103e-08,2.66492165e-08,3.79600047e-08,3.21681865e-08,3.74348772e-08,3.60210249e-08,3.48593974e-08,3.57796152e-08,2.6618912e-08,2.97509773e-08,3.50654524e-08,3.14614314e-08,3.15897984e-08,4.44305539e-08,3.74396912e-08,3.90583601e-08,3.35849027e-08
float,avg,1.28000496e-08,1.31598976e-08,1.8287918e-08,1.47092446e-08,2.18260102e-08,2.05489375e-08,2.2334219e-08,2.15241087e-08,2.67403018e-08,2.32531633e-08,2.25327816e-08,2.32718451e-08,2.67081659e-08,2.34706238e-08,2.98179197e-08,2.43431402e-08,2.96657591e-08,2.45297521e-08,2.58730731e-08,2.77182866e-08,2.71166304e-08,3.22830259e-08,2.89485826e-08,3.26224176e-08,3.19861881e-08,3.22409195e-08,3.48589112e-08,2.68992242e-08,2.95018667e-08,3.48467299e-08,3.33543966e-08,2.84511038e-08,3.73588145e-08,3.49008949e-08,3.55101478e-08,3.34898533e-08
double,max,7.0214049e-09,1.28395016e-08,1.31800172e-08,1.32300172e-08,1.33501108e-08,1.33602444e-08,1.35102768e-08,1.34412315e-08,1.34293274e-08,1.33797456e-08,1.31104747e-08,1.30792703e-08,1.31299684e-08,1.3169455e-08,1.31984152e-08,1.3220218e-08,1.31812762e-08,1.38614389e-08,1.31497798e-08,1.37810236e-08,1.33494841e-08,1.37899901e-08,1.37794156e-08,1.36698221e-08,1.35502733e-08,1.37206023e-08,1.38707193e-08,1.34286798e-08,1.37508379e-08,1.33798796e-08,1.31984906e-08,1.38194145e-08,1.35312549e-08,1.35200453e-08,1.3482047e-08,1.38591835e-08
double,min,7.0214049e-09,6.6621765e-09,6.6092012e-09,6.6615854e-09,6.5984428e-09,6.6600081e-09,6.7007147e-09,6.5592685e-09,6.8394379e-09,6.8099132e-09,6.7710916e-09,6.8284416e-09,6.8304523e-09,6.8421669e-09,6.8611971e-09,6.8498129e-09,6.860168e-09,6.8804639e-09,6.8493129e-09,6.5890607e-09,6.9487817e-09,6.9418423e-09,6.9511075e-09,6.9487224e-09,6.651013e-09,6.9514955e-09,6.9800107e-09,6.9997847e-09,6.9908023e-09,6.9896489e-09,6.9616782e-09,6.9985568e-09,6.6103241e-09,6.9997984e-09,7.0291754e-09,7.0003107e-09
double,med,7.0214049e-09,9.7508892e-09,1.27508029e-08,1.28142506e-08,1.28096866e-08,1.28230443e-08,1.27785631e-08,1.2820114e-08,1.28403885e-08,1.27851289e-08,1.25018404e-08,1.27150087e-08,1.25206204e-08,1.27005706e-08,1.25404111e-08,1.25395429e-08,1.26002025e-08,1.36451105e-08,1.28300073e-08,8.3852398e-09,1.27508362e-08,1.26852607e-08,1.37501839e-08,1.25557309e-08,1.26110519e-08,1.0720174e-08,1.28601793e-08,1.2650305e-08,1.2800011e-08,1.289937e-08,1.25494052e-08,1.27351939e-08,1.26601495e-08,1.28506066e-08,1.27279842e-08,1.2710828e-08
double,avg,7.0214049e-09,9.7508892e-09,1.08409425e-08,1.13697563e-08,1.17803127e-08,1.19729139e-08,1.22128552e-08,1.22685606e-08,1.1626379e-08,1.17415647e-08,1.24922629e-08,1.1978687e-08,1.20845769e-08,1.2123479e-08,1.22646268e-08,1.22900047e-08,1.23333245e-08,1.25310155e-08,1.08917358e-08,9.390895e-09,1.2461478e-08,1.18538218e-08,1.2564679e-08,1.24507281e-08,1.23300847e-08,1.03082477e-08,1.03859308e-08,1.24824566e-08,1.19530676e-08,1.23318177e-08,1.24409928e-08,1.26051837e-08,1.17742385e-08,1.25414445e-08,1.2307622e-08,1.20877469e-08
