omp_atomicadd_scalar
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,5.3409494e-09,1.3070381e-08,2.7780264e-08,3.1391461e-08,4.19009013e-08,6.66084105e-08,9.15400716e-08,1.068512688e-07,1.166503456e-07,1.229498384e-07,1.377911812e-07,1.529409213e-07,1.718686011e-07,1.792298488e-07,1.898098604e-07,2.029779765e-07,2.025621811e-07,2.139598553e-07,2.270007251e-07,2.422200926e-07,2.370295618e-07,2.604892195e-07,2.759392491e-07,2.806785251e-07,2.766395129e-07,2.851604408e-07,3.021821539e-07,3.064508359e-07,3.154093604e-07,3.373591776e-07,3.351208951e-07,3.580403329e-07,3.648696335e-07,3.859286102e-07,3.900812569e-07,4.141603059e-07
int,min,5.3409494e-09,8.2517145e-09,1.41500905e-08,2.43814096e-08,2.41212875e-08,2.42886494e-08,2.69883894e-08,8.07313635e-08,7.44011629e-08,7.67191339e-08,8.1650713e-08,1.21760511e-07,1.509503488e-07,1.332086565e-07,1.531297234e-07,1.666402007e-07,1.455206866e-07,1.549021054e-07,1.501400031e-07,1.589195029e-07,1.612093181e-07,1.927593901e-07,1.8303088e-07,1.559893886e-07,1.798199376e-07,1.786400415e-07,1.923790643e-07,1.934589064e-07,2.062592117e-07,2.372098448e-07,2.330909355e-07,2.405522945e-07,2.952107324e-07,3.18929292e-07,2.919116664e-07,2.800601369e-07
int,med,5.3409494e-09,1.06561658e-08,2.45711099e-08,2.70660094e-08,2.4739532e-08,5.72798203e-08,8.5659664e-08,9.23500419e-08,1.072396112e-07,1.039097307e-07,1.286905571e-07,1.451195486e-07,1.649909828e-07,1.589186988e-07,1.734000081e-07,1.837940703e-07,1.696516846e-07,1.848645223e-07,1.756286739e-07,2.098061355e-07,2.62299052e-07,2.242792964e-07,2.337299263e-07,2.226750202e-07,2.111302313e-07,2.106733562e-07,2.604292903e-07,2.620961726e-07,2.597206154e-07,2.725895422e-07,2.680792e-07,3.12924688e-07,2.943296861e-07,3.342553828e-07,3.31229265e-07,3.72715349e-07
int,avg,5.3409494e-09,1.06561658e-08,2.28235417e-08,2.66284539e-08,3.15816684e-08,5.25875919e-08,7.8440105e-08,9.23959954e-08,1.026164028e-07,1.042150183e-07,1.172646482e-07,1.378339678e-07,1.65875314e-07,1.565423126e-07,1.732763742e-07,1.842714064e-07,1.78319001e-07,1.814457807e-07,1.96907433e-07,2.04989867e-07,2.019518223e-07,2.285702466e-07,2.320259293e-07,2.357121549e-07,2.311927198e-07,2.397483718e-07,2.593143925e-07,2.584014771e-07,2.78135904e-07,2.902295817e-07,2.881385288e-07,3.077983399e-07,3.152858405e-07,3.453630767e-07,3.325709615e-07,3.59998888e-07
ull,max,1.08196609e-08,2.46214127e-08,2.59407719e-08,3.12409468e-08,5.60703876e-08,7.64112534e-08,9.78710609e-08,1.050998373e-07,1.175000009e-07,1.237497272e-07,1.504900984e-07,1.578484636e-07,1.668983228e-07,1.751894768e-07,1.891795676e-07,2.008510995e-07,2.102607721e-07,2.255002759e-07,2.37868597e-07,2.42970058e-07,2.526207788e-07,2.599679146e-07,2.756795245e-07,2.858401149e-07,2.915981e-07,2.981888577e-07,3.031685037e-07,3.208593913e-07,3.292519389e-07,3.409192741e-07,3.415686507e-07,3.595404008e-07,3.654877225e-07,3.669493787e-07,4.00039458e-07,3.87539978e-07
ull,min,1.08196609e-08,2.22086166e-08,1.31982835e-08,2.29396751e-08,2.47711064e-08,5.25599228e-08,5.32789699e-08,8.20521239e-08,9.39299402e-08,1.092509729e-07,8.11498399e-08,1.251311632e-07,1.261686714e-07,1.172316122e-07,1.27390293e-07,1.585306216e-07,1.511496933e-07,1.515693227e-07,1.581701436e-07,1.529782155e-07,1.553698601e-07,1.676097708e-07,1.591482407e-07,1.556710661e-07,1.972212726e-07,1.846287381e-07,1.864006204e-07,1.804397871e-07,2.455395204e-07,2.465403969e-07,2.360799857e-07,2.388595415e-07,2.88528877e-07,3.173391603e-07,2.957187047e-07,2.921078867e-07
ull,med,1.08196609e-08,2.34150146e-08,2.51086574e-08,2.61702469e-08,4.38588408e-08,6.73141608e-08,1.014997917e-07,9.26897327e-08,1.145388422e-07,1.18755648e-07,1.517598863e-07,1.510649778e-07,1.542597539e-07,1.422202608e-07,1.731208949e-07,1.716048481e-07,1.776383931e-07,1.823357842e-07,2.099297911e-07,1.945857471e-07,2.268395111e-07,2.067342824e-07,2.267893987e-07,2.388801328e-07,2.431582669e-07,2.479691609e-07,2.406501598e-07,2.732108405e-07,2.718883946e-07,2.774936658e-07,2.779199992e-07,3.200590708e-07,3.018610258e-07,3.192458721e-07,3.408912766e-07,3.473493357e-07
ull,avg,1.08196609e-08,2.34150146e-08,2.31663534e-08,2.66302789e-08,4.54222577e-08,6.60932148e-08,8.46034076e-08,9.32099692e-08,1.035046493e-07,1.166174805e-07,1.297426111e-07,1.445167021e-07,1.513470124e-07,1.465536562e-07,1.608701362e-07,1.755607406e-07,1.77713091e-07,1.902501532e-07,2.010186033e-07,2.0189733e-07,2.117597386e-07,2.204768914e-07,2.374249406e-07,2.417667678e-07,2.472078846e-07,2.505744341e-07,2.595014266e-07,2.732838967e-07,2.843184104e-07,2.95630843e-07,3.005871489e-07,3.142141126e-07,3.132617191e-07,3.245908079e-07,3.422062182e-07,3.34548542e-07
float,max,6.8698279e-09,2.72203764e-08,3.58502161e-08,4.57887457e-08,1.129805072e-07,1.436508795e-07,1.577602272e-07,2.033307748e-07,2.408001164e-07,2.788492227e-07,3.216508566e-07,3.421413318e-07,3.704197932e-07,4.227108913e-07,4.428101497e-07,4.829703972e-07,5.112118536e-07,5.409899904e-07,5.504992667e-07,6.848082274e-07,7.12449856e-07,7.618002382e-07,7.880293369e-07,8.734900636e-07,9.590910284e-07,1.0603615634e-06,1.1782417471e-06,1.2567615935e-06,1.5107809894e-06,1.6716305005e-06,1.7674596404e-06,1.4734213324e-06,1.3722595277e-06,2.965797476e-07,6.457494853e-07,6.669593288e-07
float,min,6.8698279e-09,2.45398949e-08,1.8741931e-08,3.15005386e-08,2.7959254e-08,7.10189839e-08,6.84902599e-08,1.481106477e-07,1.497103773e-07,1.822508212e-07,1.595891917e-07,2.392496613e-07,2.577709799e-07,2.56249324e-07,3.571187766e-07,3.669519406e-07,3.588997531e-07,3.599210405e-07,3.567194778e-07,3.742200835e-07,3.575196002e-07,3.999902324e-07,3.779606062e-07,3.679595337e-07,3.919989212e-07,3.774393425e-07,4.081506252e-07,4.600205695e-07,4.541503038e-07,4.273803548e-07,3.89078607e-07,3.475890305e-07,1.5309587256e-06,1.446279281e-06,3.847587718e-07,4.801284689e-07
float,med,6.8698279e-09,2.61055379e-08,3.59195595e-08,3.72609683e-08,8.66601939e-08,1.281145095e-07,1.35629211e-07,1.721481961e-07,2.149087914e-07,2.436550642e-07,3.148596783e-07,3.028547316e-07,3.369416856e-07,3.748597034e-07,3.841798148e-07,4.373706576e-07,4.840517336e-07,4.734507753e-07,5.101205843e-07,6.434753871e-07,7.152495715e-07,6.620743643e-07,6.995806194e-07,7.446652158e-07,7.366197826e-07,8.016998525e-07,9.659216443e-07,8.264901514e-07,1.2344615759e-06,1.1663202097e-06,1.355851366e-06,1.3541602856e-06,1.4814717908e-06,3.819550797e-07,5.610805547e-07,5.999193215e-07
float,avg,6.8698279e-09,2.61055379e-08,2.98628784e-08,3.7737113e-08,7.46403744e-08,1.224997711e-07,1.366644668e-07,1.730835038e-07,1.972370608e-07,2.404240483e-07,2.702212492e-07,2.996324426e-07,3.275991983e-07,3.632984448e-07,3.878298245e-07,4.202014376e-07,4.263637528e-07,4.538503775e-07,4.523879519e-07,5.90761748e-07,6.776689692e-07,6.032817085e-07,6.65823676e-07,7.297899996e-07,8.495942674e-07,8.797054138e-07,9.468332912e-07,9.283717401e-07,1.1827378216e-06,1.2575434045e-06,1.443408026e-06,1.3157391771e-06,1.3781085215e-06,3.693637248e-07,5.66460392e-07,5.782178331e-07
double,max,6.6394397e-09,2.2431907e-08,3.47584013e-08,4.68483102e-08,1.018210403e-07,1.583815408e-07,2.137704744e-07,2.38490759e-07,2.743403409e-07,3.068506131e-07,3.409279262e-07,3.61900993e-07,3.99159516e-07,4.259297922e-07,4.881085806e-07,5.109520338e-07,5.323108731e-07,5.992007219e-07,6.386395769e-07,7.199906105e-07,8.087093872e-07,8.990293576e-07,9.025308806e-07,9.758116594e-07,1.1434601613e-06,1.2651986754e-06,1.3347397914e-06,1.5346093602e-06,1.7212797273e-06,1.9133899973e-06,2.1687807747e-06,2.4478316229e-06,2.5709306924e-06,2.9333601274e-06,2.8321912387e-06,2.8152685674e-06
double,min,6.6394397e-09,2.2470054e-08,2.60099684e-08,3.21904427e-08,6.05018129e-08,6.09604068e-08,6.61597884e-08,7.0078979e-08,2.087896989e-07,1.962199574e-07,2.037116263e-07,2.847100943e-07,2.503099583e-07,2.454102814e-07,2.991713934e-07,3.828985451e-07,3.849204614e-07,3.957198439e-07,3.904101221e-07,3.926692763e-07,3.891802025e-07,3.548292661e-07,3.986897974e-07,3.968299278e-07,3.810213872e-07,4.303597221e-07,4.263305797e-07,4.216096144e-07,4.277202209e-07,4.482604567e-07,7.881100549e-07,1.2501605661e-06,1.3002993315e-06,1.5854214531e-06,1.2956690562e-06,1.2530605112e-06
double,med,6.6394397e-09,2.24509805e-08,3.48203902e-08,3.89058463e-08,6.58518547e-08,1.349700285e-07,1.907581235e-07,2.262145863e-07,2.608716289e-07,2.811256287e-07,3.361199969e-07,3.472349368e-07,3.515705052e-07,3.755402571e-07,4.874103987e-07,4.521059562e-07,5.101388759e-07,5.366144142e-07,5.409699947e-07,4.837391938e-07,7.188988911e-07,8.571196474e-07,7.335010413e-07,7.243392967e-07,8.199008514e-07,8.097948502e-07,1.2186500255e-06,1.3192511494e-06,1.6398989781e-06,1.6432006957e-06,1.8122217682e-06,1.9319456866e-06,2.1937920126e-06,2.2102554595e-06,2.4849803923e-06,2.4859256001e-06
