omp_atomiccaptureincrement
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,5.3592314e-09,1.70510269e-08,1.86107458e-08,3.15581277e-08,6.12388628e-08,7.84001155e-08,9.38302138e-08,1.01770242e-07,1.136398553e-07,1.256610789e-07,1.359596292e-07,1.513201347e-07,1.678293446e-07,1.797299132e-07,1.953904089e-07,2.12288884e-07,2.010881387e-07,2.257487569e-07,2.235495558e-07,2.353985915e-07,2.417301027e-07,2.482810484e-07,2.590890167e-07,2.745089609e-07,2.788803142e-07,2.898000992e-07,2.895410735e-07,3.021397102e-07,3.143692934e-07,3.187393417e-07,3.221203384e-07,3.485795486e-07,3.600914594e-07,3.677706369e-07,3.950280267e-07,4.069305803e-07
int,min,5.3592314e-09,1.69286131e-08,3.3801038e-09,2.37308458e-08,4.62704811e-08,5.49100371e-08,5.48009007e-08,8.21001648e-08,8.08003702e-08,7.98606134e-08,6.02983934e-08,1.042509241e-07,7.50412543e-08,7.51195303e-08,1.200203426e-07,1.215808543e-07,9.59205751e-08,1.578291196e-07,1.496687389e-07,1.564304402e-07,1.555805627e-07,1.562606779e-07,1.867483986e-07,1.653908907e-07,1.766710992e-07,1.949604396e-07,1.826507108e-07,1.821494897e-07,1.933082942e-07,2.104099641e-07,2.183812315e-07,2.523095837e-07,2.839491051e-07,3.121319072e-07,3.249516258e-07,3.063006371e-07
int,med,5.3592314e-09,1.69902302e-08,1.85892882e-08,2.65084222e-08,4.94895952e-08,6.97900918e-08,8.87495139e-08,9.05752976e-08,1.010298068e-07,1.063201006e-07,1.295200317e-07,1.240891567e-07,1.436394376e-07,1.47719704e-07,1.605196678e-07,1.550399352e-07,1.725601414e-07,1.865289707e-07,1.681195502e-07,1.965450505e-07,1.848893471e-07,1.999253442e-07,2.264701636e-07,2.3081547e-07,2.151697945e-07,2.272955288e-07,2.731005273e-07,2.483448969e-07,2.59589557e-07,2.820535126e-07,2.615594417e-07,3.062556392e-07,3.08970433e-07,3.549761829e-07,3.703586644e-07,3.726497182e-07
int,avg,5.3592314e-09,1.69902302e-08,1.35267126e-08,2.70764545e-08,5.29097628e-08,6.8228693e-08,8.03960742e-08,9.11874952e-08,9.5737799e-08,1.072898879e-07,1.109614665e-07,1.296762787e-07,1.428938575e-07,1.493960877e-07,1.608928079e-07,1.813281646e-07,1.643829724e-07,1.964339625e-07,1.878930534e-07,1.980625657e-07,2.015379457e-07,2.04112431e-07,2.252920225e-07,2.275132738e-07,2.333151378e-07,2.43255919e-07,2.388989915e-07,2.576333866e-07,2.689808246e-07,2.795791179e-07,2.762164682e-07,3.063837677e-07,3.124904933e-07,3.237122014e-07,3.577731262e-07,3.56294324e-07
ull,max,5.5606099e-09,2.20411125e-08,2.80515253e-08,3.30202449e-08,4.47507172e-08,6.8001015e-08,9.02302129e-08,1.069702597e-07,1.117094888e-07,1.257007831e-07,1.306787921e-07,1.543015923e-07,1.690394351e-07,1.743303914e-07,1.900906459e-07,2.057783025e-07,2.030007338e-07,2.181694136e-07,2.326090984e-07,2.352397757e-07,2.433792239e-07,2.522500148e-07,2.600800162e-07,2.717204393e-07,2.856387912e-07,2.840815851e-07,3.061015305e-07,3.132222418e-07,3.232607944e-07,3.412905899e-07,3.426592209e-07,3.387296887e-07,3.67138851e-07,3.812192873e-07,4.01050405e-07,4.129902617e-07
ull,min,5.5606099e-09,1.70809529e-08,1.66103221e-08,2.36197035e-08,2.45800456e-08,2.52284261e-08,2.59584132e-08,7.86316367e-08,7.97693733e-08,7.97808621e-08,6.46911552e-08,1.144487688e-07,1.184986235e-07,7.48906064e-08,1.038790868e-07,1.687082062e-07,1.453889662e-07,1.195016081e-07,1.571404068e-07,1.402595602e-07,1.452401489e-07,1.761019962e-07,1.710199844e-07,1.511496922e-07,1.769901529e-07,1.952806798e-07,1.969720131e-07,2.155895544e-07,2.13419426e-07,2.250604175e-07,2.590914679e-07,2.287202908e-07,2.863505444e-07,3.188312285e-07,2.740206274e-07,2.897101401e-07
ull,med,5.5606099e-09,1.91014114e-08,2.60879239e-08,2.78214344e-08,3.28510449e-08,5.84745437e-08,9.17508601e-08,9.63500819e-08,1.023687122e-07,1.15513948e-07,1.132111067e-07,1.367551193e-07,1.458498996e-07,1.415498042e-07,1.758201111e-07,1.69675658e-07,1.598282671e-07,1.720906401e-07,2.156203113e-07,1.801742153e-07,1.98240943e-07,1.984742792e-07,2.080983954e-07,2.289796846e-07,2.332289532e-07,2.242288982e-07,2.407400496e-07,2.527399604e-07,2.608701591e-07,2.996938998e-07,2.867986063e-07,2.90374563e-07,3.070004585e-07,3.246804219e-07,3.133496304e-07,3.635451951e-07
ull,avg,5.5606099e-09,1.91014114e-08,2.40468879e-08,2.80802119e-08,3.37739258e-08,5.36710584e-08,7.35668472e-08,9.55975113e-08,9.51979865e-08,1.111479978e-07,1.035994266e-07,1.386367684e-07,1.515114352e-07,1.413679359e-07,1.564870336e-07,1.79838716e-07,1.781659312e-07,1.767499229e-07,1.986323571e-07,1.913345207e-07,2.034044946e-07,2.124934e-07,2.11657299e-07,2.296919313e-07,2.44047885e-07,2.377811606e-07,2.566103775e-07,2.642501262e-07,2.796493457e-07,2.965503874e-07,3.062376292e-07,2.919811309e-07,3.17288185e-07,3.288689913e-07,3.392718114e-07,3.608115104e-07
float,max,1.40012286e-08,2.21912941e-08,3.12683377e-08,4.02100768e-08,1.197303207e-07,1.549810538e-07,2.022098923e-07,2.476218433e-07,2.803306078e-07,2.976312486e-07,3.207504338e-07,2.005507733e-07,2.002901469e-07,2.09039064e-07,2.3470052e-07,2.393398418e-07,2.620907196e-07,2.697196933e-07,2.871694983e-07,3.292987386e-07,3.287502786e-07,3.43549418e-07,3.697193866e-07,3.891490855e-07,4.068401613e-07,4.432510657e-07,4.395393008e-07,4.866910771e-07,4.777385744e-07,5.202206287e-07,5.120781947e-07,5.530990268e-07,5.661288828e-07,5.966902498e-07,6.07408833e-07,6.274198564e-07
float,min,1.40012286e-08,2.04714262e-08,1.72903197e-08,2.72696527e-08,7.91894583e-08,6.79309216e-08,6.96006114e-08,9.1701628e-08,1.931814957e-07,1.968692041e-07,1.833401357e-07,1.97010947e-07,1.159790378e-07,1.154712195e-07,1.384604764e-07,1.736698283e-07,2.096089734e-07,1.837492638e-07,1.918500078e-07,2.005798584e-07,2.14610267e-07,1.781502176e-07,2.000714058e-07,2.005298314e-07,2.116199924e-07,1.999099947e-07,1.976695096e-07,7.96696109e-08,3.316710649e-07,3.688482521e-07,3.50809254e-07,4.055695374e-07,4.184996919e-07,4.318882396e-07,3.635283772e-07,4.420887834e-07
