omp_atomicread_close
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,3.503592e-10,5.492981e-10,7.695094e-10,7.685829e-10,7.680823e-10,7.596243e-10,7.614259e-10,7.605476e-10,7.593362e-10,7.587593e-10,7.592651e-10,7.591884e-10,7.786769e-10,7.493077e-10,7.891547e-10,1.2696027e-09,1.359239e-09,1.2806935e-09,1.2705573e-09,1.2606549e-09,1.3505685e-09,1.2692024e-09,1.3999136e-09,1.3992342e-09,1.3593355e-09,1.3907558e-09,1.3994339e-09,1.3906714e-09,1.3988858e-09,1.3691293e-09,1.3613644e-09,1.3702246e-09,1.3408189e-09,1.3600285e-09,1.3511696e-09,1.3892415e-09
int,min,3.503592e-10,3.997087e-10,3.593057e-10,4.005641e-10,3.998502e-10,3.597163e-10,3.608827e-10,3.609506e-10,3.710712e-10,3.701511e-10,3.693857e-10,4.211334e-10,4.106898e-10,4.112166e-10,4.115167e-10,3.809494e-10,4.204271e-10,4.105762e-10,3.698236e-10,6.794745e-10,6.114589e-10,5.487143e-10,4.106975e-10,4.109297e-10,5.511125e-10,4.106931e-10,3.714163e-10,3.704829e-10,4.100932e-10,5.60002e-10,5.618745e-10,6.499249e-10,4.304922e-10,4.121098e-10,4.302756e-10,4.600346e-10
int,med,3.503592e-10,4.741962e-10,7.596516e-10,7.251872e-10,7.596935e-10,6.953297e-10,6.914095e-10,7.23884e-10,6.90309e-10,7.094343e-10,6.907088e-10,6.94651e-10,6.900362e-10,6.899068e-10,6.909856e-10,6.94182e-10,6.903033e-10,7.104861e-10,6.904861e-10,7.253208e-10,7.400443e-10,7.750848e-10,8.402684e-10,8.904671e-10,8.613986e-10,9.988786e-10,1.0187384e-09,9.843513e-10,1.0003427e-09,9.706738e-10,6.806206e-10,6.844208e-10,6.791692e-10,6.709158e-10,6.711804e-10,6.793855e-10
int,avg,3.503592e-10,4.741962e-10,6.29152e-10,6.54142e-10,6.747942e-10,6.031388e-10,6.286496e-10,6.483775e-10,6.434402e-10,6.836803e-10,6.589098e-10,6.931248e-10,6.582554e-10,6.809564e-10,6.724885e-10,7.693402e-10,7.723916e-10,8.041574e-10,8.164579e-10,8.297294e-10,8.777878e-10,8.978045e-10,9.821355e-10,9.53614e-10,8.765211e-10,9.780638e-10,1.0264251e-09,1.0105682e-09,1.018828e-09,9.174801e-10,8.51718e-10,8.482157e-10,7.703009e-10,7.631061e-10,7.806069e-10,7.866678e-10
ull,max,4.50759e-10,8.912813e-10,7.898972e-10,8.897437e-10,7.097328e-10,8.98251e-10,8.797798e-10,8.386464e-10,8.494917e-10,8.382796e-10,8.286838e-10,8.39998e-10,8.096713e-10,1.1981723e-09,8.079718e-10,8.086934e-10,1.0083418e-09,9.882257e-10,9.801237e-10,1.2397284e-09,1.0006854e-09,1.2515356e-09,1.33117e-09,1.2490273e-09,1.3800531e-09,1.3792981e-09,1.3400165e-09,1.3497119e-09,1.3394484e-09,1.3501559e-09,1.3506172e-09,1.379677e-09,1.3400635e-09,1.3201872e-09,1.0210265e-09,1.0208623e-09
ull,min,4.50759e-10,6.601282e-10,4.297569e-10,4.291325e-10,3.796878e-10,4.193507e-10,3.793901e-10,3.813263e-10,3.706923e-10,3.808377e-10,3.706625e-10,3.796967e-10,3.789827e-10,3.791884e-10,3.79274e-10,3.807051e-10,3.900703e-10,4.095958e-10,4.297429e-10,4.308052e-10,6.299542e-10,6.593266e-10,4.396661e-10,4.491687e-10,6.195798e-10,6.596858e-10,4.39873e-10,4.300217e-10,4.412508e-10,6.504938e-10,6.509016e-10,6.600768e-10,4.90538e-10,4.718414e-10,4.814268e-10,4.606906e-10
ull,med,4.50759e-10,7.806955e-10,4.608148e-10,7.042147e-10,4.29425e-10,7.447509e-10,7.001402e-10,7.099854e-10,6.995576e-10,7.003636e-10,7.093604e-10,6.650761e-10,5.69149e-10,5.710848e-10,6.695653e-10,6.68067e-10,7.005914e-10,7.106505e-10,6.999956e-10,7.056073e-10,6.896858e-10,6.991058e-10,7.191635e-10,6.995229e-10,6.798096e-10,7.396804e-10,6.807051e-10,6.849648e-10,8.901953e-10,6.892905e-10,6.709285e-10,9.840379e-10,6.706726e-10,6.70054e-10,6.703809e-10,6.688792e-10
ull,avg,4.50759e-10,7.806955e-10,5.575399e-10,6.798544e-10,4.810029e-10,7.120282e-10,6.219472e-10,6.669324e-10,5.934443e-10,6.373021e-10,5.971833e-10,6.211799e-10,5.921002e-10,6.249223e-10,6.103927e-10,6.27996e-10,6.695845e-10,7.272051e-10,7.083261e-10,7.650394e-10,7.343716e-10,7.821586e-10,8.102429e-10,7.878657e-10,8.275751e-10,8.670152e-10,8.439422e-10,8.770801e-10,8.827138e-10,9.134999e-10,8.397485e-10,9.20803e-10,7.968329e-10,7.666172e-10,7.067429e-10,6.974501e-10
float,max,9.172e-13,7.755e-13,2.05284e-11,1.19138e-11,1.6144e-12,1.9884e-12,1.404e-12,1.02571e-11,9.868e-13,1.45e-12,1.3957e-12,1.0768e-12,1.07932e-11,1.12688e-11,1.08884e-11,1.595966e-10,1.00668e-11,1.621632e-10,1.519189e-10,1.704677e-10,2.018872e-10,1.91188e-10,2.097505e-10,2.112234e-10,2.100989e-10,2.00804e-10,2.000723e-10,2.101604e-10,2.011897e-10,2.093327e-10,2.087593e-10,2.09801e-10,2.011127e-10,2.505084e-10,2.284435e-10,2.29489e-10
float,min,9.172e-13,-5.681e-13,1.8739e-12,1.452e-12,1.2744e-12,-3.29e-13,-4.36e-14,-6.219e-13,-7.068e-13,-8.2362e-12,3.877e-13,7.32e-14,5.437e-13,1.377e-12,6.067e-13,5.235e-13,7.799e-13,9.5753e-12,-6.529e-13,9.2728e-12,-1.01e-14,9.1872e-12,9.01314e-11,8.00932e-11,9.1844e-12,8.94354e-11,9.03697e-11,9.01848e-11,8.0863e-11,8.9644e-11,3.23e-13,9.00044e-11,1.2451e-12,2.1519e-12,1.06989e-11,9.023e-13
float,med,9.172e-13,1.929e-13,1.5738e-12,1.723e-13,1.0266e-11,3.9508e-12,5.592e-13,-1.239e-13,7.373e-13,6.873e-13,-7.7557e-12,5.98381e-11,9.6428e-12,3.88722e-11,1.1836e-12,-1.776e-13,9.2723e-12,4.34e-13,1.000595e-10,1.53994e-11,3.01636e-11,1.44312e-11,2.96469e-11,1.46044e-11,3.05183e-11,5.93407e-11,1.389421e-10,1.538208e-10,1.410579e-10,1.492174e-10,1.493674e-10,1.447728e-10,3.16208e-11,1.00528e-10,1.598694e-10,1.201932e-10
float,avg,9.172e-13,1.929e-13,5.028e-12,5.542e-12,7.3505e-12,3.5673e-12,8.932e-13,1.8929e-12,1.2941e-12,1.5378e-12,2.224e-13,-2.494e-13,5.0658e-12,4.34703e-11,1.3343e-12,2.86642e-11,1.51539e-11,3.73127e-11,4.73271e-11,6.5153e-11,8.54165e-11,8.60073e-11,9.54572e-11,1.052171e-10,1.187756e-10,1.120296e-10,1.235196e-10,1.292485e-10,1.368041e-10,1.390378e-10,1.423146e-10,1.399115e-10,1.140122e-10,1.762094e-10,1.558836e-10,1.53119e-10
double,max,8.8654e-12,1.0706e-11,9.8376e-12,9.919e-12,1.3423e-12,1.5158e-12,7.152e-13,1.5118e-12,5.814e-13,8.51e-13,2.1745e-12,1.11122e-11,4.86079e-11,1.04182e-11,1.00603e-11,1.604214e-10,1.05795e-11,1.90808e-10,2.0028e-10,5.06665e-11,2.019414e-10,2.005299e-10,2.007191e-10,2.101402e-10,2.106979e-10,2.098856e-10,1.608679e-10,2.304242e-10,2.00462e-10,2.086195e-10,2.102512e-10,2.013741e-10,2.501004e-10,1.5790022e-09,2.90049e-10,3.509001e-10
double,min,8.8654e-12,9.3684e-12,-6.677e-13,7.14626e-11,1.302e-13,8.7131e-12,1.189e-13,9.4481e-12,2.519e-13,6.392e-13,-6.642e-13,4.813e-13,1.07661e-11,9.447e-13,9.3217e-12,-4.431e-13,9.791e-12,-3.966e-13,-7.8734e-12,8.0754e-12,-6.67e-14,-1.402e-13,8.96851e-11,8.9951e-11,-3.262e-13,8.9875e-11,9.05978e-11,6.89067e-11,8.98007e-11,9.15195e-11,8.88863e-11,8.88951e-11,9.836e-12,9.02893e-11,8.07899e-11,2.10472e-11
double,med,8.8654e-12,1.03817e-11,-8.562e-12,4.0524e-12,8.244e-13,4.3361e-12,-8.0602e-12,-9.401e-13,8.4709e-12,9.261e-13,1.528e-12,-7.756e-13,4.97839e-11,4.03e-14,5.235e-13,-2.023e-13,8.945e-13,8.231e-13,-1.154e-13,8.031e-13,1.2712e-12,1.144531e-10,5.939e-13,-1.059e-13,3.0984e-11,1.308206e-10,1.304709e-10,1.347597e-10,9.9926e-11,1.001968e-10,1.08204e-10,1.045217e-10,1.095091e-10,1.590504e-10,1.495818e-10,1.006836e-10
double,avg,8.8654e-12,1.03817e-11,1.27e-13,2.23396e-11,1.8179e-12,4.0465e-12,-2.2364e-12,6.503e-13,2.2703e-12,9.96e-13,7.61e-13,4.33e-13,4.69972e-11,3.6779e-12,1.49769e-11,2.44557e-11,1.65904e-11,6.58068e-11,5.87644e-11,5.97504e-11,7.55644e-11,9.36921e-11,9.37901e-11,1.068629e-10,1.194293e-10,1.031475e-10,1.032067e-10,1.124511e-10,1.085536e-10,1.171924e-10,1.237648e-10,1.288257e-10,1.43868e-10,1.683201e-10,1.547786e-10,9.8912e-11
