omp_atomicread_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,3.504633e-10,7.594688e-10,7.602957e-10,7.686476e-10,7.590582e-10,7.694853e-10,7.602005e-10,7.804829e-10,7.608783e-10,7.69644e-10,7.682707e-10,7.591599e-10,9.294624e-10,8.115814e-10,8.385226e-10,1.3502652e-09,1.3596179e-09,8.315244e-10,1.3599498e-09,1.3981209e-09,1.3978259e-09,1.3992824e-09,1.3684789e-09,1.369321e-09,1.3689606e-09,1.3589313e-09,1.3692676e-09,1.3693166e-09,1.3603299e-09,1.3517281e-09,1.3985017e-09,1.3910179e-09,1.3896219e-09,1.3908891e-09,1.3610933e-09,1.3690388e-09
int,min,3.504633e-10,6.900888e-10,3.510426e-10,3.607469e-10,3.596999e-10,3.616899e-10,3.691338e-10,3.614983e-10,3.616887e-10,3.610153e-10,3.7062e-10,3.700044e-10,3.702126e-10,3.605826e-10,3.70507e-10,3.706898e-10,3.69679e-10,4.101053e-10,5.413625e-10,5.7162e-10,5.403757e-10,3.705038e-10,4.207425e-10,4.113167e-10,4.103656e-10,3.695564e-10,5.502913e-10,5.601575e-10,6.097818e-10,3.811635e-10,5.590944e-10,6.496593e-10,4.60154e-10,4.405376e-10,4.104713e-10,4.310812e-10
int,med,3.504633e-10,7.248648e-10,6.903275e-10,7.050012e-10,6.896605e-10,7.598495e-10,7.004842e-10,7.457646e-10,5.50976e-10,7.104179e-10,6.900755e-10,6.89505e-10,6.905191e-10,6.938724e-10,7.198718e-10,7.151129e-10,7.388324e-10,6.95099e-10,6.994576e-10,7.256184e-10,7.603572e-10,7.402477e-10,7.400699e-10,7.40137e-10,6.892587e-10,7.543684e-10,9.605412e-10,6.899252e-10,6.799026e-10,6.802527e-10,6.805247e-10,8.288975e-10,6.804256e-10,6.789496e-10,6.709792e-10,6.705961e-10
int,avg,3.504633e-10,7.248648e-10,6.030939e-10,6.346663e-10,6.495502e-10,6.546523e-10,6.320303e-10,6.340365e-10,5.659903e-10,5.958298e-10,5.742205e-10,5.859861e-10,6.598088e-10,6.085035e-10,6.620447e-10,7.235516e-10,7.550165e-10,7.138183e-10,7.762191e-10,8.208398e-10,9.066093e-10,8.058282e-10,8.284962e-10,8.849727e-10,8.75266e-10,9.094451e-10,9.474961e-10,8.91069e-10,8.134395e-10,8.340766e-10,8.913927e-10,9.544096e-10,8.205155e-10,7.841316e-10,7.744891e-10,7.592089e-10
ull,max,4.21162e-10,4.594765e-10,6.283234e-10,5.594688e-10,5.693089e-10,6.39953e-10,6.205858e-10,8.400691e-10,8.696211e-10,8.784744e-10,8.898216e-10,8.50014e-10,8.782904e-10,8.897557e-10,1.3598598e-09,8.812889e-10,9.097392e-10,1.3298598e-09,1.359724e-09,1.3688811e-09,1.3488063e-09,1.380957e-09,1.3701378e-09,1.3705122e-09,1.3306955e-09,1.3584998e-09,1.3299695e-09,1.3391502e-09,1.3494785e-09,1.3406549e-09,1.3491522e-09,1.3400044e-09,1.3886597e-09,1.3407996e-09,1.0295781e-09,7.197119e-10
ull,min,4.21162e-10,4.399321e-10,4.302837e-10,3.793813e-10,3.807634e-10,3.809583e-10,3.698959e-10,3.708136e-10,3.697874e-10,3.707951e-10,3.706734e-10,3.798686e-10,3.718213e-10,3.811543e-10,3.808224e-10,3.909703e-10,4.205103e-10,4.312122e-10,4.803371e-10,4.400153e-10,4.298116e-10,4.415192e-10,4.501511e-10,4.408434e-10,4.399289e-10,6.104416e-10,4.396548e-10,4.4062e-10,6.594588e-10,6.60495e-10,4.403568e-10,6.597488e-10,4.815204e-10,4.902303e-10,4.717928e-10,4.404813e-10
ull,med,4.21162e-10,4.500514e-10,4.499638e-10,4.038288e-10,4.289104e-10,4.3099e-10,4.188019e-10,4.289288e-10,4.189554e-10,5.302811e-10,5.60759e-10,4.750191e-10,7.49538e-10,7.556555e-10,7.80771e-10,7.152296e-10,7.795279e-10,7.893178e-10,7.116341e-10,8.538969e-10,8.908517e-10,9.00636e-10,8.794588e-10,8.053635e-10,8.784998e-10,6.892326e-10,6.79192e-10,7.686436e-10,6.791844e-10,7.799926e-10,6.794774e-10,6.789932e-10,6.788976e-10,6.803896e-10,6.699048e-10,6.697099e-10
ull,avg,4.21162e-10,4.500514e-10,5.059352e-10,4.376678e-10,4.515874e-10,4.803348e-10,4.323556e-10,5.394033e-10,5.184808e-10,5.97103e-10,5.99818e-10,5.597349e-10,6.483785e-10,6.705146e-10,7.67268e-10,6.759271e-10,7.316381e-10,7.977668e-10,8.007775e-10,8.908477e-10,9.054349e-10,9.354005e-10,8.52194e-10,8.682727e-10,8.838879e-10,8.665926e-10,8.474049e-10,8.432693e-10,8.581593e-10,8.75064e-10,8.816082e-10,8.334859e-10,7.80505e-10,7.609417e-10,6.6107e-10,6.524076e-10
float,max,1.131e-12,8.015e-13,2.1049e-12,3.0184e-11,1.8491e-12,1.05516e-11,9.8027e-12,1.3821e-12,5.0274e-11,6.87381e-11,1.8552e-12,9.0457e-12,8.4872e-12,1.299e-12,1.597328e-10,1.01961e-11,8.98376e-11,7.184e-13,2.010699e-10,2.109213e-10,1.991498e-10,2.005356e-10,1.809213e-10,2.108694e-10,2.101997e-10,2.183876e-10,2.193788e-10,2.091109e-10,2.098184e-10,2.18996e-10,2.294765e-10,2.194659e-10,1.592036e-10,1.381448e-10,1.991199e-10,2.399147e-10
float,min,1.131e-12,9.43e-13,9.1077e-12,-9.735e-13,1.2918e-12,1.4771e-12,7.425e-13,1.366e-13,-3.247e-13,8.766e-13,-2.928e-13,-4.556e-13,3.842e-13,1.299e-12,3.629e-13,1.0089e-12,3.54e-13,1.2921e-12,-6.754e-13,-3.191e-13,8.94054e-11,9.3246e-12,1.227e-12,8.94199e-11,9.84966e-11,8.94142e-11,1.997e-13,1.4674e-12,1.5324e-12,1.13557e-11,9.03351e-11,8.90181e-11,1.02821e-11,3.082e-11,7.35e-13,9.5741e-12
float,med,1.131e-12,9.43e-13,-6.062e-13,9.141e-13,1.3858e-12,1.2454e-12,8.658e-13,-3.7393e-12,8.04e-14,2.99763e-11,9.085e-13,-3.78e-13,2.59203e-10,1.9e-13,-2.145e-13,4.7902e-12,8.662e-13,9.5227e-12,-8.7015e-12,8.751e-13,-4.749e-13,5.02025e-11,1.716e-12,4.51e-12,3.03082e-11,4.6225e-12,9.5705e-12,1.538514e-10,1.501314e-10,1.495625e-10,1.394408e-10,1.34388e-10,9.95457e-11,6.11095e-11,1.403224e-10,9.35692e-11
float,avg,1.131e-12,9.43e-13,7.9449e-12,8.0666e-12,6.708e-13,2.7679e-12,2.9599e-12,3.612e-13,4.43015e-11,3.18901e-11,3.88118e-11,-1.8613e-12,7.1852e-12,3.002e-13,2.97197e-11,1.60046e-11,3.09894e-11,2.70083e-11,4.20513e-11,7.52519e-11,6.35334e-11,8.84899e-11,9.23744e-11,9.86897e-11,1.156619e-10,1.130018e-10,1.273478e-10,1.258238e-10,1.322135e-10,1.375272e-10,1.328692e-10,1.345387e-10,9.60019e-11,9.75537e-11,7.30477e-11,1.544167e-10
double,max,8.795e-13,1.10608e-11,1.219e-12,1.0844e-12,1.2889e-12,8.9027e-12,1.2077e-12,4.01028e-11,4.97786e-11,1.472e-12,1.0052e-12,1.3194e-12,9.341e-13,1.5747e-12,1.1688e-12,1.899084e-10,2.006042e-10,7.585e-13,1.999614e-10,1.992912e-10,2.08887e-10,1.998071e-10,2.006035e-10,2.100819e-10,2.107983e-10,2.10462e-10,1.89149e-10,2.189485e-10,2.191273e-10,2.09986e-10,2.31653e-10,2.106793e-10,2.70788e-10,3.107678e-10,2.309041e-10,1.712114e-10
