omp_atomicwrite_scalar
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,2.718024e-10,1.413713446e-07,1.705706902e-07,1.457901848e-07,1.143485909e-07,1.544791312e-07,1.554197127e-07,2.767105672e-07,2.607895865e-07,2.380510165e-07,3.49951013e-07,3.62699456e-07,3.670495152e-07,3.574917032e-07,3.772995274e-07,3.931610905e-07,3.506916248e-07,3.5760896e-07,4.215801361e-07,3.904791869e-07,4.89369325e-07,4.606010973e-07,4.818202094e-07,4.953600711e-07,5.186506386e-07,5.188004533e-07,5.386512488e-07,5.613900815e-07,5.600090945e-07,5.810584041e-07,5.953513167e-07,6.227414478e-07,6.34409021e-07,6.582105734e-07,6.918490736e-07,7.104190697e-07
int,min,2.718024e-10,1.413480963e-07,3.78595766e-08,6.2987059e-09,1.67400424e-08,1.67604124e-08,1.78309297e-08,1.557596205e-07,1.536886679e-07,9.76396628e-08,2.084908891e-07,2.064287692e-07,2.043820099e-07,2.123197037e-07,2.061178191e-07,2.444200415e-07,2.343215512e-07,2.48159465e-07,2.40448531e-07,2.376984296e-07,2.662900677e-07,2.378398447e-07,2.86637939e-07,2.936402954e-07,2.963507796e-07,3.002515648e-07,3.108897548e-07,2.998299095e-07,3.59950739e-07,4.367501353e-07,5.729016736e-07,5.415988261e-07,5.044992703e-07,4.983195764e-07,5.146592744e-07,5.464099507e-07
int,med,2.718024e-10,1.41369554e-07,1.704514809e-07,9.8299856e-08,1.069004959e-07,1.540201104e-07,1.526798645e-07,2.033401143e-07,2.504691698e-07,1.936097934e-07,2.807495514e-07,3.083541029e-07,3.112185069e-07,2.917903675e-07,3.506490987e-07,3.354848551e-07,3.402898543e-07,3.288741773e-07,3.907113313e-07,3.638747865e-07,4.304294957e-07,4.01955518e-07,4.347301558e-07,4.564349283e-07,4.555807785e-07,4.46121065e-07,4.839604216e-07,4.965494209e-07,5.056006662e-07,5.452290557e-07,5.557890353e-07,5.669743816e-07,5.687204985e-07,5.935497842e-07,6.398078951e-07,6.660699382e-07
int,avg,2.718024e-10,1.41369554e-07,1.271598957e-07,8.86766634e-08,7.75116277e-08,1.074788698e-07,1.300757418e-07,2.104981515e-07,2.124983741e-07,1.876629188e-07,2.891663786e-07,2.993692926e-07,2.922755937e-07,2.894180804e-07,3.014560343e-07,3.218294389e-07,3.055030523e-07,3.137030438e-07,3.56512515e-07,3.423236494e-07,4.127009377e-07,3.934519712e-07,4.20942657e-07,4.405049909e-07,4.549813768e-07,4.545827261e-07,4.899520299e-07,5.065799351e-07,5.096223913e-07,5.516530835e-07,5.667071075e-07,5.698928624e-07,5.749333679e-07,5.805057575e-07,6.084055083e-07,6.225250149e-07
ull,max,4.194504e-10,1.711495564e-07,1.667599765e-07,1.699718724e-07,1.197500307e-07,1.852394588e-07,2.614089493e-07,3.200606279e-07,1.512193512e-07,3.194702469e-07,3.764003262e-07,3.619684828e-07,3.435020441e-07,3.776903117e-07,3.946293689e-07,4.029003351e-07,3.875484689e-07,3.679401831e-07,3.762206659e-07,4.587205142e-07,4.669806935e-07,4.404711664e-07,4.903510767e-07,4.964011864e-07,4.981894838e-07,5.150394276e-07,5.528790338e-07,5.609290807e-07,5.929907014e-07,5.573715773e-07,5.518195831e-07,5.959480045e-07,6.317499635e-07,6.596285228e-07,6.827892931e-07,7.048795341e-07
ull,min,4.194504e-10,1.711590932e-07,3.34586443e-08,7.4511763e-09,7.8585513e-09,4.06094009e-08,4.75008995e-08,1.733497301e-07,1.038189693e-07,1.538208215e-07,2.015996368e-07,1.864799007e-07,1.758985977e-07,2.191197487e-07,1.79169334e-07,2.446009604e-07,2.418601723e-07,2.301487779e-07,1.971893172e-07,2.659315144e-07,2.701216962e-07,2.786092752e-07,2.592107709e-07,2.570201962e-07,2.504191986e-07,2.909693935e-07,3.094806873e-07,3.981802936e-07,4.8830845e-07,3.623086809e-07,5.073102335e-07,4.959509883e-07,4.990093674e-07,5.235898024e-07,5.405315916e-07,5.501191476e-07
ull,med,4.194504e-10,1.711543248e-07,1.666595335e-07,9.37296784e-08,1.107814677e-07,1.771444192e-07,2.304705664e-07,2.392004538e-07,1.487585733e-07,3.007498517e-07,2.99411595e-07,3.080807219e-07,2.975997783e-07,2.926505965e-07,3.615803596e-07,3.568841631e-07,3.189496854e-07,3.245302097e-07,3.386705121e-07,4.268754057e-07,4.102606667e-07,4.04525526e-07,4.409591599e-07,4.74774726e-07,4.46490612e-07,4.595544146e-07,5.002320686e-07,5.153406009e-07,5.267999951e-07,5.0836987e-07,4.861309595e-07,5.310197318e-07,5.628899104e-07,5.892853728e-07,6.341321907e-07,6.281238375e-07
ull,avg,4.194504e-10,1.711543248e-07,1.304903072e-07,9.17546811e-08,7.52163011e-08,1.583748393e-07,1.916031078e-07,2.46718371e-07,1.293858421e-07,2.764161762e-07,2.95971179e-07,2.871490189e-07,2.771041864e-07,3.090447689e-07,3.367132398e-07,3.374890089e-07,3.255001782e-07,3.150909273e-07,3.204500667e-07,3.963873377e-07,3.909174358e-07,3.871474972e-07,4.33146216e-07,4.539906222e-07,4.436965874e-07,4.592642775e-07,5.066749066e-07,5.228014135e-07,5.467854304e-07,5.128678968e-07,5.194516818e-07,5.335526153e-07,5.724449342e-07,5.797619553e-07,5.990032975e-07,6.026848977e-07
float,max,4.096384e-10,1.60501978e-07,1.591904921e-07,1.351794856e-07,1.72042007e-07,1.043702402e-07,1.706284795e-07,2.575099292e-07,1.980097801e-07,2.239107803e-07,3.488312607e-07,3.781300989e-07,3.463500778e-07,3.891903487e-07,4.040987407e-07,3.971401654e-07,4.086214043e-07,3.871791954e-07,3.884409123e-07,4.889202322e-07,4.588593797e-07,5.280807487e-07,4.783604951e-07,5.041284413e-07,5.158379362e-07,5.517896609e-07,5.57809735e-07,6.075213832e-07,5.849793842e-07,5.733193785e-07,6.146506277e-07,6.030580804e-07,6.26779446e-07,6.56318486e-07,6.894897627e-07,6.961405681e-07
float,min,4.096384e-10,1.604613416e-07,1.899963e-10,7.4102972e-09,1.68589418e-08,3.49984567e-08,3.62500874e-08,1.331891194e-07,1.321600868e-07,1.416192004e-07,1.809294791e-07,2.127208803e-07,1.923606003e-07,2.181303296e-07,2.518918658e-07,2.33371449e-07,2.496897964e-07,2.424997031e-07,2.354387857e-07,2.900006015e-07,2.702604346e-07,2.628413992e-07,2.629608287e-07,2.895807526e-07,2.610388509e-07,3.092187363e-07,3.008111021e-07,2.745401456e-07,3.928514711e-07,3.925893956e-07,4.571790607e-07,5.004411241e-07,4.976287569e-07,5.141001567e-07,5.273194188e-07,5.41639713e-07
