omp_criticaladd_scalar_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,2.78204907e-08,4.78305453e-08,1.124595451e-07,2.4180979e-07,6.292412308e-07,6.833320708e-07,1.1662796657e-06,1.140828559e-06,1.4517396516e-06,2.0524384244e-06,3.0853118526e-06,3.8096496468e-06,4.3087099219e-06,5.0941295705e-06,5.7070602716e-06,6.5189817181e-06,6.8450099406e-06,8.0652901973e-06,8.1535098886e-06,8.6168399519e-06,9.1090593398e-06,9.4133907381e-06,1.01024118246e-05,1.0737551713e-05,9.33900938e-06,1.1947799655e-05,1.27375186295e-05,1.39788100316e-05,1.54247897455e-05,1.63603401256e-05,2.03052708965e-05,2.20789495738e-05,2.7729987169e-06,2.8490983107e-06,2.9270411374e-06,3.0548082455e-06
int,min,2.78204907e-08,2.84114174e-08,5.09694527e-08,1.407085593e-07,1.821888519e-07,2.009093909e-07,5.387880316e-07,5.119315326e-07,5.473180238e-07,4.318406644e-07,2.054900648e-06,2.2236609615e-06,2.4097799028e-06,2.9584700803e-06,4.4484389783e-06,4.2392997513e-06,2.7785993079e-06,1.9509497818e-06,2.8679111201e-06,2.4501300127e-06,2.991429986e-06,2.0327609911e-06,2.892871994e-06,2.3347421626e-06,-4.0458990172e-06,1.3145302484e-06,1.6562098788e-06,2.301479303e-06,2.4156511746e-06,1.6063000099e-06,1.45583204062e-05,1.91590187817e-05,2.4119200897e-06,2.5191902356e-06,2.5447997281e-06,2.6685814365e-06
int,med,2.78204907e-08,3.8380825e-08,9.69616679e-08,2.020010536e-07,6.254904156e-07,5.480714378e-07,9.376607034e-07,9.665211947e-07,1.1251716351e-06,1.8845447189e-06,2.9192702811e-06,3.5087357526e-06,3.701151792e-06,4.60911982e-06,5.4991481538e-06,5.8681065981e-06,6.9393918463e-06,7.0677600221e-06,7.9285100458e-06,7.439320626e-06,8.2077797629e-06,8.2190841877e-06,8.6742014204e-06,8.5554653906e-06,6.641751656e-06,9.5101746552e-06,9.3558719284e-06,1.04069259196e-05,1.25786112173e-05,1.44855840297e-05,1.98675679462e-05,2.21154917277e-05,2.7479501199e-06,2.7239404269e-06,2.8327799945e-06,2.9413003234e-06
int,avg,2.78204907e-08,3.8380825e-08,8.63163245e-08,1.965757079e-07,4.712871122e-07,4.88600224e-07,9.372036871e-07,8.869004954e-07,1.1279211754e-06,1.5207880236e-06,2.6845801287e-06,3.246169462e-06,3.6413883595e-06,4.4667123703e-06,5.0609369636e-06,5.5096907182e-06,5.7835587917e-06,6.5445810465e-06,6.4104234694e-06,6.8973184777e-06,6.9646644301e-06,6.8242551894e-06,8.0472523646e-06,8.1550712063e-06,5.1607561314e-06,8.9287879356e-06,8.9766200372e-06,1.05279654663e-05,1.2180958385e-05,1.31570510892e-05,1.90247960771e-05,2.1890375255e-05,2.6565683782e-06,2.7163517999e-06,2.8140271355e-06,2.948893836e-06
ull,max,2.1000089e-08,8.00888712e-08,1.0977811e-07,2.350296185e-07,5.732690587e-07,8.830213663e-07,1.0338187486e-06,1.3825320689e-06,1.5371082674e-06,1.9890896022e-06,3.0958196011e-06,4.7763314713e-06,4.2477288116e-06,4.5567693758e-06,5.9682389868e-06,6.8105600505e-06,7.1109504504e-06,7.7369507625e-06,8.0741586357e-06,8.6794599451e-06,9.0361483694e-06,9.4838393661e-06,1.01919002539e-05,1.10436195195e-05,1.167320992e-05,1.18158002042e-05,1.28662509692e-05,1.30093085576e-05,1.29901706854e-05,1.5347320099e-05,2.07282277463e-05,1.88028291476e-05,2.7567797354e-06,2.8482720393e-06,2.9074679861e-06,3.1025412033e-06
ull,min,2.1000089e-08,7.15115147e-08,4.87692371e-08,1.829591112e-07,2.581402754e-07,2.658602872e-07,5.795712036e-07,4.967808893e-07,6.821684128e-07,8.802418541e-07,2.2998907057e-06,3.0306114464e-06,3.7543000252e-06,2.8612677721e-06,3.9929408922e-06,4.336859377e-06,2.0390999889e-06,1.8245210887e-06,2.4897709018e-06,2.2656384157e-06,3.1810007104e-06,3.0353516638e-06,1.9956290224e-06,3.1154393173e-06,2.9148096548e-06,2.0794200555e-06,2.6234688669e-06,2.2628597437e-06,-4.992996732e-07,-9.635798506e-07,1.83640202243e-05,5.911339816e-06,2.3854284596e-06,2.492669913e-06,2.493309384e-06,2.4489115997e-06
ull,med,2.1000089e-08,7.64293776e-08,9.21614421e-08,2.049149963e-07,5.269082401e-07,6.958508607e-07,7.619703891e-07,1.1613353919e-06,1.1830983342e-06,1.7897438213e-06,2.9761507002e-06,4.3942064748e-06,3.6924319002e-06,4.1816001315e-06,5.0878301447e-06,5.9214650764e-06,6.7319217307e-06,6.8277498231e-06,7.2299490462e-06,7.6231757411e-06,7.3768691045e-06,7.2548248348e-06,8.0378204004e-06,9.0062962035e-06,9.3406414801e-06,9.0973447967e-06,1.00148501326e-05,9.6354893075e-06,8.4820205922e-06,1.23075362964e-05,2.00971693311e-05,1.36913409766e-05,2.6958506985e-06,2.8035961377e-06,2.8978992752e-06,3.032539033e-06
ull,avg,2.1000089e-08,7.64293776e-08,9.22075642e-08,2.04153008e-07,4.857401119e-07,6.303274747e-07,8.194628011e-07,1.0883312007e-06,1.2433531184e-06,1.745917096e-06,2.826766251e-06,4.2802604117e-06,3.9883095699e-06,4.1072431932e-06,5.1191658771e-06,5.6805061145e-06,5.9443921243e-06,6.3035155047e-06,6.5298566807e-06,6.9422817228e-06,6.7909276079e-06,7.0120939947e-06,7.260264631e-06,8.2467543144e-06,8.6685754814e-06,8.3635765402e-06,9.8550797828e-06,9.0659099947e-06,7.9740484331e-06,1.10211325094e-05,2.02225934053e-05,1.29372939169e-05,2.5565429435e-06,2.7013698201e-06,2.8468345585e-06,2.930000276e-06
float,max,1.45888509e-08,8.49696957e-08,4.69648756e-07,8.182913142e-07,1.4208789668e-06,9.503210208e-07,1.1612504657e-06,1.7356496082e-06,1.7409888629e-06,2.8301007588e-06,3.7135907527e-06,3.6515905898e-06,4.5415004701e-06,4.7826783517e-06,5.8460881845e-06,6.6465386957e-06,6.9303908447e-06,7.5896189763e-06,7.8268804155e-06,8.6420411584e-06,9.0069586295e-06,9.5305797906e-06,1.07519600577e-05,1.13190207253e-05,1.21220410983e-05,1.25334699924e-05,1.37284315167e-05,1.44886308379e-05,1.60145996889e-05,1.45956510133e-05,2.03267814497e-05,2.28476483258e-05,2.9496285915e-06,3.103068746e-06,2.9982805513e-06,3.2314111299e-06
float,min,1.45888509e-08,7.90807568e-08,3.759999883e-07,3.589384773e-07,1.0155893224e-06,6.563605339e-07,6.345915115e-07,1.0317306131e-06,6.137992451e-07,2.3897886249e-06,3.1659900591e-06,2.4022605075e-06,2.4171908588e-06,2.8608192065e-06,4.215150569e-06,4.6089004303e-06,1.3538417084e-06,2.8724606021e-06,1.7363305962e-06,2.5529596956e-06,3.9378704417e-06,2.7280811089e-06,4.0469488838e-06,3.4980100941e-06,4.1408189174e-06,3.123269731e-06,7.8425187685e-06,7.2958691713e-06,4.906659352e-06,1.4819691711e-06,9.9150702605e-06,2.68962203708e-05,2.5342305122e-06,2.5756183591e-06,2.4131617697e-06,2.4673902043e-06
float,med,1.45888509e-08,8.20252263e-08,4.741500987e-07,7.817947948e-07,1.3468906381e-06,9.743058689e-07,9.230196001e-07,1.521004829e-06,1.55833931e-06,2.8202162662e-06,3.0765407175e-06,3.32781084e-06,4.0793189226e-06,4.1895051517e-06,4.9645200671e-06,6.1403088338e-06,6.8392803636e-06,6.5526954715e-06,7.0760482745e-06,7.8898654756e-06,7.3487701735e-06,8.1026448959e-06,8.7551000208e-06,8.2193894949e-06,9.4980406577e-06,9.9185643678e-06,1.12920008205e-05,1.17692557817e-05,1.40044890077e-05,1.1339974614e-05,1.99559385297e-05,2.43948253029e-05,2.8777883081e-06,2.9429949068e-06,2.9244091466e-06,3.107658723e-06
float,avg,1.45888509e-08,8.20252263e-08,4.419230594e-07,7.014473925e-07,1.3002140697e-06,9.028553652e-07,9.850687562e-07,1.2757578413e-06,1.3580465632e-06,2.9417174459e-06,3.4387726864e-06,3.3184770201e-06,3.9070617845e-06,4.1068733016e-06,4.8291171607e-06,5.7600293292e-06,6.0209528133e-06,6.2204093526e-06,6.2431683175e-06,6.9507229252e-06,6.7014788546e-06,6.970017231e-06,8.5032733038e-06,8.26350484e-06,9.3976401341e-06,9.5473568963e-06,1.13045105658e-05,1.1935723155e-05,1.34622554412e-05,1.04743544886e-05,1.9517119602e-05,2.4851786719e-05,2.7701389139e-06,2.8388622651e-06,2.8157532656e-06,3.0063579239e-06
double,max,1.43505011e-08,8.36805873e-08,2.038291817e-07,6.342087659e-07,9.358412039e-07,1.054879929e-06,1.164540479e-06,1.3475298911e-06,1.557699706e-06,2.5038007896e-06,3.2788109093e-06,3.6507805142e-06,4.6117881931e-06,5.1861588991e-06,6.1745892108e-06,6.5643503493e-06,6.77102103e-06,7.4127817499e-06,7.7430995544e-06,8.260600298e-06,9.1270996165e-06,9.668440265e-06,1.01890088031e-05,1.10006014334e-05,1.12778203798e-05,1.39572705312e-05,1.38620094466e-05,1.3432549601e-05,1.51487395901e-05,1.70419198361e-05,1.56659211293e-05,1.86295177536e-05,2.9887301456e-06,3.0015503049e-06,3.0878694643e-06,3.2122199831e-06
double,min,1.43505011e-08,7.91078857e-08,1.220396881e-07,3.223105008e-07,6.032615709e-07,5.866692638e-07,7.046587296e-07,8.542389343e-07,5.376313486e-07,1.8651804564e-06,2.7140903096e-06,2.317338541e-06,2.5525489145e-06,2.7937608586e-06,3.9158898938e-06,4.0637113885e-06,3.5896389952e-06,1.9959405598e-06,2.5109596358e-06,2.3902913603e-06,1.6976007233e-06,4.028449221e-06,4.9432099846e-06,4.366690961e-06,3.2385013487e-06,6.5619501363e-06,5.2032403525e-06,6.4990392081e-06,4.0346400584e-06,5.7458401157e-06,-4.247404944e-07,4.722081763e-06,2.5022492422e-06,2.470979337e-06,2.4117899719e-06,2.6274901563e-06
double,med,1.43505011e-08,8.20440105e-08,2.025207413e-07,5.9815034e-07,9.136615868e-07,9.404045481e-07,9.493098167e-07,1.1562152015e-06,1.3445796082e-06,2.402728628e-06,2.9380911287e-06,3.4832206454e-06,4.1179705453e-06,4.7925254957e-06,5.1639986763e-06,6.3215255289e-06,6.0882802853e-06,6.622990139e-06,7.0889487112e-06,7.2156499147e-06,7.3995914371e-06,8.0152596731e-06,8.9927203609e-06,9.2519893771e-06,8.7197505812e-06,1.1407909896e-05,1.18679582179e-05,1.05325890315e-05,1.24567007809e-05,1.42241505424e-05,1.25399692035e-05,1.24444096114e-05,2.9480279169e-06,2.8754459814e-06,2.9775097411e-06,3.0724053969e-06
double,avg,1.43505011e-08,8.20440105e-08,1.752798241e-07,5.158253883e-07,8.281287362e-07,8.823818106e-07,1.0295497245e-06,1.1499093763e-06,1.2033810144e-06,2.2183238559e-06,3.0828576016e-06,3.2597170228e-06,3.9000908077e-06,4.5840622443e-06,5.2023417657e-06,5.697147268e-06,5.6194162392e-06,6.0506886228e-06,6.1202305092e-06,6.5129292734e-06,7.0252347805e-06,7.2734322825e-06,7.9642364156e-06,8.4934791216e-06,8.380378835e-06,1.23647376447e-05,1.08177386055e-05,9.8502374893e-06,1.16093053624e-05,1.40857398505e-05,1.10644337337e-05,1.27421752699e-05,2.8192341975e-06,2.7889197041e-06,2.8428443598e-06,3.0418674581e-06
