omp_flush_array_close
n iter,1000
arr step,1
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,3.8302487e-09,-3.78001151e-08,1.37592773e-08,8.92312462e-08,2.443104396e-07,3.75479205e-07,4.573505312e-07,5.790595195e-07,5.495898622e-07,5.444504085e-07,6.291405971e-07,6.35309675e-07,6.236493333e-07,6.779277936e-07,6.029697469e-07,6.213412105e-07,6.02638494e-07,5.977993753e-07,6.337718919e-07,6.145100818e-07,6.10920851e-07,6.417508521e-07,6.834316367e-07,6.489180519e-07,6.105592026e-07,6.415508008e-07,6.554490582e-07,6.347478944e-07,6.127097623e-07,6.170596237e-07,6.028102818e-07,6.198397318e-07,6.149011694e-07,6.218804008e-07,5.922698503e-07,6.723397147e-07
int,min,3.8302487e-09,-3.7568849e-08,3.60483844e-08,1.27780674e-07,1.603495631e-07,2.892915503e-07,5.351298419e-07,5.093991963e-07,1.941306668e-07,1.288409369e-07,6.050111578e-07,6.444190051e-07,5.264298943e-07,5.827196204e-07,4.926613205e-07,5.529192503e-07,4.993088045e-07,5.96620117e-07,5.540796518e-07,5.715684055e-07,6.385192657e-07,3.235599908e-07,4.300707185e-07,4.132102507e-07,5.314497237e-07,5.229196823e-07,4.510292148e-07,5.248515517e-07,5.545098067e-07,5.220602368e-07,6.47821747e-07,5.6668026e-07,3.98350802e-07,5.744707295e-07,3.392296753e-07,3.509913849e-07
int,med,3.8302487e-09,-3.7684482e-08,1.39700122e-08,8.51953197e-08,2.38988055e-07,3.636897669e-07,4.490197227e-07,5.759040496e-07,5.269988844e-07,5.002546035e-07,5.638807597e-07,6.053555602e-07,5.568306473e-07,6.39455252e-07,6.045897633e-07,6.220394135e-07,5.769085576e-07,5.890193326e-07,6.08941026e-07,6.139492956e-07,5.713818759e-07,6.344802639e-07,6.152800665e-07,6.059302323e-07,6.106807529e-07,6.026699622e-07,6.572906697e-07,6.184891319e-07,5.957200334e-07,6.304552246e-07,5.394202553e-07,5.604100981e-07,5.548493869e-07,5.712738478e-07,5.014097957e-07,5.374145154e-07
int,avg,3.8302487e-09,-3.7684482e-08,2.31329222e-08,1.00793274e-07,2.223137217e-07,3.551817666e-07,4.660046807e-07,5.553063378e-07,4.90059657e-07,4.470269819e-07,5.982450592e-07,6.164433531e-07,5.88648533e-07,6.449000338e-07,5.72966767e-07,6.161935188e-07,5.949162445e-07,5.950683237e-07,6.076674257e-07,6.074018267e-07,5.837044092e-07,6.096627718e-07,6.09797423e-07,5.714069793e-07,6.067742574e-07,6.069535249e-07,5.805752987e-07,5.847654376e-07,5.874418685e-07,5.756195547e-07,5.698931763e-07,5.620424182e-07,5.539562661e-07,5.743797279e-07,5.221023606e-07,5.498490837e-07
ull,max,8.3314534e-09,4.4710905e-08,8.86993442e-08,2.06210175e-07,1.889595717e-07,3.5010884e-07,3.926785802e-07,3.384809305e-07,3.445486237e-07,4.01430687e-07,5.084194235e-07,5.516296849e-07,5.415504683e-07,5.622508243e-07,5.423497987e-07,5.481088954e-07,5.344098091e-07,5.25349597e-07,6.260093953e-07,5.678202541e-07,4.919501276e-07,5.150787524e-07,5.825598624e-07,4.883190451e-07,5.097093344e-07,5.303098091e-07,5.126695035e-07,6.026588286e-07,5.167697334e-07,4.918090112e-07,4.557813373e-07,4.318321698e-07,5.199900763e-07,4.7168017e-07,5.414000029e-07,4.776487662e-07
ull,min,8.3314534e-09,4.46203059e-08,5.0168829e-08,1.546102007e-07,1.310504337e-07,2.761386774e-07,2.532991042e-07,1.99971946e-07,1.846700775e-07,2.504388019e-07,2.507313057e-07,3.045092668e-07,3.37210105e-07,5.008094051e-07,3.712302858e-07,3.009410005e-07,3.336808669e-07,1.391398206e-07,2.564477438e-07,1.524207207e-07,2.63270356e-07,1.545489746e-07,2.887511668e-07,1.502294783e-07,2.383707373e-07,1.577512474e-07,2.385089848e-07,1.63591454e-07,1.546179706e-07,1.683308824e-07,1.492200151e-07,2.58719501e-07,1.5363133e-07,2.065101819e-07,1.804898817e-07,1.287078928e-07
ull,med,8.3314534e-09,4.46656055e-08,8.92501193e-08,1.811550185e-07,1.306820796e-07,3.260405667e-07,3.983198161e-07,2.805104517e-07,3.355002658e-07,3.859356567e-07,4.97981237e-07,5.471640355e-07,5.339796556e-07,5.315999116e-07,5.189479362e-07,4.452341022e-07,4.68758981e-07,4.437196123e-07,5.578998851e-07,5.590050286e-07,4.455801736e-07,3.315747356e-07,4.614189211e-07,4.044337104e-07,3.877200842e-07,4.616705149e-07,4.286996146e-07,4.924434657e-07,4.370205339e-07,3.941399251e-07,4.209812036e-07,4.007356213e-07,4.264614595e-07,4.131302454e-07,4.430192087e-07,4.16590021e-07
ull,avg,8.3314534e-09,4.46656055e-08,7.58461986e-08,1.814750955e-07,1.538776546e-07,3.073295488e-07,3.398395735e-07,2.743820179e-07,2.792516173e-07,3.46931983e-07,4.663922193e-07,4.652358192e-07,4.732677516e-07,5.093529256e-07,5.00566925e-07,4.329302386e-07,4.587832372e-07,4.275274402e-07,4.945482608e-07,4.782940886e-07,4.191389376e-07,3.527846193e-07,4.502086752e-07,3.871977958e-07,3.898608204e-07,4.337987239e-07,4.211524318e-07,4.500247921e-07,3.948077804e-07,3.71120146e-07,3.803827284e-07,3.723681147e-07,4.085114492e-07,3.913915738e-07,4.453564291e-07,3.871800078e-07
float,max,3.2297147e-09,3.14191264e-08,3.48178679e-08,1.073403207e-07,2.313912901e-07,2.784315894e-07,5.71299417e-07,5.940110706e-07,5.948388503e-07,5.922797591e-07,6.497002e-07,6.775884531e-07,6.937111006e-07,6.882409845e-07,6.112807256e-07,6.09818291e-07,6.110902277e-07,6.017189647e-07,6.278307155e-07,6.105501901e-07,6.183096803e-07,6.58349527e-07,6.342788126e-07,6.444090877e-07,6.618578214e-07,6.596792206e-07,6.515497951e-07,6.656312207e-07,6.583303699e-07,6.577710648e-07,6.357095802e-07,6.369877797e-07,6.392002676e-07,6.65959299e-07,6.530120518e-07,7.661504883e-07
float,min,3.2297147e-09,3.13205751e-08,6.96410867e-08,2.334707884e-07,2.639205145e-07,2.71749044e-07,6.054420186e-07,6.148403131e-07,1.72858546e-07,7.24410799e-08,7.300801167e-07,7.109207684e-07,7.113498796e-07,6.619189473e-07,5.936297861e-07,5.936894788e-07,5.618589371e-07,5.244985281e-07,5.696712173e-07,5.530491112e-07,7.086409297e-07,6.435006551e-07,4.590297745e-07,4.135397807e-07,4.243799739e-07,5.353493266e-07,5.018585077e-07,2.310991078e-07,6.233805991e-07,5.934089537e-07,6.005684572e-07,3.60799989e-07,3.299497667e-07,5.41131051e-07,3.526785146e-07,5.923509526e-07
