omp_flush_array_spread
n iter,1000
arr step,1
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,7.5604837e-09,-1.83100726e-08,2.05794398e-08,7.31918488e-08,2.436116862e-07,3.880695807e-07,4.784693819e-07,6.033902255e-07,5.779714874e-07,5.716112859e-07,6.111505984e-07,6.772388457e-07,6.36969359e-07,6.494404961e-07,6.011814618e-07,6.233601967e-07,6.309508354e-07,6.01591974e-07,6.540884909e-07,6.386803621e-07,6.12500127e-07,6.060705431e-07,6.578186118e-07,6.156192641e-07,6.063902464e-07,5.74909572e-07,6.327205141e-07,6.307294064e-07,6.058596759e-07,5.785589278e-07,5.956193594e-07,5.891596289e-07,5.580687027e-07,6.404499739e-07,6.707010693e-07,6.986514966e-07
int,min,7.5604837e-09,-1.83196094e-08,6.70206934e-08,1.279815466e-07,1.615497748e-07,3.133788863e-07,3.928009715e-07,5.825594765e-07,6.87600777e-08,1.135483203e-07,5.862603859e-07,5.757983807e-07,5.337791885e-07,5.622299173e-07,4.489404874e-07,5.275504326e-07,6.070692265e-07,5.544300105e-07,6.405919156e-07,5.929591014e-07,4.228718297e-07,6.221601668e-07,4.553499774e-07,4.646196127e-07,4.51281185e-07,3.393805284e-07,5.239614221e-07,3.988007802e-07,4.495017371e-07,1.948808601e-07,6.513288704e-07,4.122898872e-07,4.27958904e-07,5.679298857e-07,5.017489232e-07,3.439197977e-07
int,med,7.5604837e-09,-1.8314841e-08,2.06894371e-08,9.25146165e-08,2.383202425e-07,3.768146178e-07,4.792006769e-07,5.707553095e-07,5.179289215e-07,4.916612139e-07,5.69729106e-07,6.776011786e-07,5.948096797e-07,6.152493509e-07,6.040708443e-07,6.093903193e-07,6.32631628e-07,6.102891737e-07,6.228411998e-07,6.16370288e-07,5.940399252e-07,5.921359358e-07,6.557593553e-07,6.050804774e-07,5.844402103e-07,5.572743501e-07,5.911005513e-07,6.168105985e-07,6.173485963e-07,5.471446954e-07,5.769600085e-07,5.31949736e-07,5.535295778e-07,5.335347931e-07,5.655188608e-07,5.795700192e-07
int,avg,7.5604837e-09,-1.8314841e-08,3.66761976e-08,1.037198095e-07,2.145262201e-07,3.684449212e-07,4.4956403e-07,5.832238759e-07,4.954247733e-07,4.580411897e-07,5.800747052e-07,6.566474634e-07,6.07859444e-07,6.253564778e-07,5.660360492e-07,5.997944868e-07,6.1606504e-07,6.025806949e-07,6.187098076e-07,6.116173898e-07,5.675333387e-07,5.901915772e-07,6.018504101e-07,5.669817599e-07,5.689969209e-07,5.457842226e-07,5.875091938e-07,5.768411945e-07,5.904502287e-07,5.564038862e-07,5.657966695e-07,5.409159959e-07,5.480935713e-07,5.683300865e-07,5.934870293e-07,5.986912247e-07
ull,max,3.5393002e-09,5.18012088e-08,8.82883879e-08,1.914894037e-07,1.841887029e-07,3.032391528e-07,4.042406667e-07,3.279107825e-07,3.463204797e-07,3.928996326e-07,5.478896312e-07,5.899206993e-07,4.932696451e-07,4.823103227e-07,5.773087245e-07,4.696099371e-07,5.461589458e-07,5.32591803e-07,4.624795081e-07,5.422700665e-07,5.137682214e-07,5.069700995e-07,5.402801822e-07,5.266608885e-07,4.379892259e-07,5.316990988e-07,4.379706728e-07,4.739920313e-07,4.611397961e-07,5.02079872e-07,5.125599193e-07,4.888604846e-07,4.507183922e-07,4.712309315e-07,4.828996803e-07,4.776704607e-07
ull,min,3.5393002e-09,5.18608134e-08,5.88612708e-08,1.51720513e-07,1.200798732e-07,2.194184993e-07,2.827106082e-07,2.017209268e-07,1.724511868e-07,2.347488951e-07,4.546913907e-07,2.954093423e-07,1.306507469e-07,3.114306361e-07,3.352407858e-07,1.554394388e-07,2.821502591e-07,1.521600146e-07,2.092815677e-07,2.448206401e-07,2.072705925e-07,1.588008755e-07,1.600794179e-07,2.568985027e-07,1.88391599e-07,3.14721008e-07,2.516810733e-07,9.21909804e-08,2.598392657e-07,1.656306932e-07,1.621891997e-07,1.659289075e-07,1.818198866e-07,9.21290189e-08,1.647300668e-07,1.462486673e-07
ull,med,3.5393002e-09,5.18310111e-08,8.85411116e-08,1.692955589e-07,1.342090161e-07,3.021253131e-07,4.054300592e-07,2.727264631e-07,3.496195583e-07,3.746002635e-07,5.294687785e-07,5.615605018e-07,5.043599487e-07,4.587406801e-07,5.350280524e-07,3.228798529e-07,4.558882619e-07,4.536749844e-07,4.089591386e-07,4.867740368e-07,4.638913193e-07,5.037955615e-07,4.738094633e-07,4.571952513e-07,3.877177623e-07,4.504501414e-07,3.571607899e-07,4.522557076e-07,4.000195773e-07,3.881202594e-07,4.576813934e-07,3.692252284e-07,3.479194385e-07,4.253392094e-07,4.27149424e-07,4.195693266e-07
ull,avg,3.5393002e-09,5.18310111e-08,7.6579541e-08,1.69040173e-07,1.537098247e-07,2.744605464e-07,3.55708346e-07,2.705514774e-07,2.84873814e-07,3.343484333e-07,5.160098554e-07,4.880556565e-07,3.994569864e-07,4.177012002e-07,4.778429546e-07,3.544837915e-07,4.306800583e-07,4.209244883e-07,4.014675953e-07,4.50327437e-07,4.05550323e-07,4.300791326e-07,4.625190278e-07,4.29477204e-07,3.739487079e-07,4.287511164e-07,3.7040181e-07,4.089170404e-07,3.889982319e-07,3.632115261e-07,4.288249086e-07,3.62473348e-07,3.409962829e-07,3.652124272e-07,3.953093313e-07,3.91970136e-07
float,max,3.2585063e-09,-9.9099799e-08,3.3511554e-09,1.283009407e-07,3.231108659e-07,3.668201416e-07,5.662705276e-07,5.85108063e-07,5.549485805e-07,5.490713017e-07,6.22911757e-07,6.50050925e-07,6.645221169e-07,6.511180136e-07,5.712887035e-07,6.022317114e-07,5.972705348e-07,6.282294563e-07,6.167217851e-07,6.19659966e-07,6.107414632e-07,6.185700685e-07,6.506003069e-07,6.621098611e-07,6.27690256e-07,6.486705754e-07,6.507305898e-07,6.339087682e-07,6.60069433e-07,6.347200044e-07,6.166597354e-07,6.269288593e-07,6.738392407e-07,6.894103903e-07,6.978896399e-07,7.400693182e-07
float,min,3.2585063e-09,-9.96410092e-08,9.03101308e-08,2.307492842e-07,2.631009035e-07,2.886413222e-07,5.641415804e-07,6.025995631e-07,6.78807098e-08,1.06619216e-07,3.86291826e-07,7.262884366e-07,7.065598071e-07,6.841602744e-07,4.510304489e-07,5.484801605e-07,5.599189906e-07,5.920106013e-07,6.333205327e-07,6.261610698e-07,6.43810071e-07,4.960206897e-07,4.229788466e-07,4.756010957e-07,5.69090139e-07,5.620687805e-07,5.396092371e-07,5.742189709e-07,5.75081665e-07,6.401619975e-07,4.442306149e-07,4.720086949e-07,6.217102037e-07,4.756185362e-07,4.719888545e-07,3.771310558e-07
float,med,3.2585063e-09,-9.93704041e-08,2.8810075e-09,1.732198647e-07,3.265393251e-07,3.494843069e-07,5.558492213e-07,5.868653039e-07,5.496216872e-07,5.364499554e-07,6.065491428e-07,6.247899504e-07,6.566896819e-07,6.338207457e-07,5.612500043e-07,5.972244865e-07,6.142798183e-07,6.27533801e-07,6.277796471e-07,6.212839728e-07,5.864412773e-07,5.684645291e-07,6.246905258e-07,6.369249809e-07,5.797781216e-07,6.194848252e-07,6.543281801e-07,6.137303232e-07,6.032185243e-07,6.399710199e-07,5.555797957e-07,5.730855972e-07,5.948099541e-07,6.226760869e-07,5.90131889e-07,6.187753072e-07
