omp_flush_close
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,3.8206183e-09,1.25696439e-08,2.51503596e-08,1.130014053e-07,4.37194653e-08,2.499396953e-07,1.939386412e-07,1.64349857e-07,5.721508347e-07,6.060988495e-07,5.673485167e-07,5.61798717e-07,6.562706039e-07,6.601703984e-07,6.578803972e-07,6.361416908e-07,6.882613194e-07,6.411190778e-07,6.154987668e-07,6.784815048e-07,6.459203407e-07,6.079407027e-07,6.319995198e-07,6.113512248e-07,6.069379675e-07,6.095089124e-07,6.22448074e-07,6.011093401e-07,5.924197983e-07,5.877706985e-07,6.050302222e-07,5.772009525e-07,6.248696649e-07,5.962988731e-07,6.185611719e-07,6.943295995e-07
int,min,3.8206183e-09,9.1712669e-09,2.25079687e-08,1.440195758e-07,1.49797939e-08,1.914607361e-07,2.05789011e-08,2.81297812e-08,3.713989699e-07,5.203778432e-07,1.792309367e-07,2.707698947e-07,6.197219276e-07,6.671592282e-07,6.1343036e-07,5.123779295e-07,3.41297433e-08,6.502009047e-07,5.776692093e-07,4.139513229e-07,3.982193195e-07,5.396804799e-07,5.095195953e-07,5.372511639e-07,5.19881496e-07,5.933692596e-07,5.677403526e-07,5.757215355e-07,5.182891612e-07,5.460695847e-07,5.784903172e-07,3.954403387e-07,3.51278117e-08,1.938181377e-07,2.268306245e-07,2.679689211e-07
int,med,3.8206183e-09,1.08892818e-08,2.52600322e-08,1.13730812e-07,3.61812967e-08,2.259097936e-07,1.90461561e-07,1.431492635e-07,5.081009445e-07,5.878690067e-07,5.194408968e-07,4.974745661e-07,6.34479473e-07,6.587452995e-07,6.619399161e-07,6.23526235e-07,6.512102745e-07,6.438759006e-07,5.956993056e-07,6.406534583e-07,6.312904259e-07,5.880361115e-07,6.229295642e-07,5.889403119e-07,6.067004926e-07,5.910645498e-07,6.048515509e-07,5.699664406e-07,5.727795186e-07,5.906297011e-07,5.757186853e-07,5.938194454e-07,6.114385521e-07,5.822852811e-07,5.873107486e-07,6.177948636e-07
int,avg,3.8206183e-09,1.08892818e-08,1.97396729e-08,1.172669935e-07,3.49536216e-08,2.269519791e-07,1.468955658e-07,1.134985751e-07,5.253780016e-07,5.8083554e-07,4.926208576e-07,4.628710124e-07,6.387268479e-07,6.627844364e-07,6.329693521e-07,6.236700866e-07,6.31136045e-07,6.36479702e-07,6.127956465e-07,6.281933616e-07,5.968734136e-07,5.859056738e-07,6.181085863e-07,5.871975353e-07,5.751617342e-07,5.839745422e-07,6.18895818e-07,5.848527765e-07,5.901488843e-07,5.86235076e-07,5.862264596e-07,5.609549898e-07,5.835432006e-07,5.508118579e-07,5.704753241e-07,6.207626999e-07
ull,max,8.0992188e-09,2.74994545e-08,1.176305121e-07,4.22705154e-08,2.018893721e-07,3.852116133e-07,4.061376868e-07,4.429303293e-07,5.202089859e-07,4.37791313e-07,6.030389702e-07,5.81700094e-07,6.025088904e-07,5.451088638e-07,4.539713483e-07,4.937402339e-07,5.405190355e-07,5.84500153e-07,5.526809648e-07,5.514192981e-07,5.271290158e-07,4.459808357e-07,5.245719299e-07,5.562205141e-07,4.842420039e-07,4.692396599e-07,5.670598189e-07,5.248980496e-07,4.897207021e-07,5.828902968e-07,4.851686789e-07,5.630100894e-07,3.914991579e-07,4.80261132e-07,4.371697896e-07,5.000486166e-07
ull,min,8.0992188e-09,2.7210968e-08,7.70296043e-08,3.93497101e-08,1.692400034e-07,3.19599166e-07,2.917788776e-07,3.014795079e-07,4.421792165e-07,2.21730242e-07,2.98299294e-07,2.43428383e-07,3.622006895e-07,4.198684785e-07,3.507278992e-07,3.359394487e-07,2.999118684e-07,4.499510077e-07,2.12899742e-08,3.360890569e-07,1.675989583e-07,3.089697198e-07,2.561615471e-07,3.314715387e-07,2.280399072e-07,2.06609379e-07,2.19994998e-08,2.773595473e-07,2.381400879e-07,1.916189655e-07,2.167999579e-07,2.508500536e-07,4.48310568e-08,2.00389548e-07,8.42896451e-08,2.139310359e-07
ull,med,8.0992188e-09,2.73552113e-08,1.168794936e-07,3.82754942e-08,1.774705412e-07,3.712948247e-07,3.931712651e-07,3.936351355e-07,4.727714305e-07,4.053195857e-07,5.867600275e-07,5.054243515e-07,4.955092517e-07,5.340094378e-07,4.799287311e-07,4.583042417e-07,4.820487395e-07,5.285042303e-07,5.021603587e-07,4.9886593e-07,4.779091322e-07,4.511558784e-07,4.618104726e-07,5.164943561e-07,4.477894427e-07,4.572148309e-07,4.816892049e-07,4.980002162e-07,4.31890461e-07,4.395260817e-07,4.294589369e-07,4.873004873e-07,3.573407297e-07,4.312693609e-07,3.85800331e-07,4.096388042e-07
ull,avg,8.0992188e-09,2.73552113e-08,1.038001043e-07,3.85642341e-08,1.817202369e-07,3.652187032e-07,3.806748016e-07,3.834204474e-07,4.762976403e-07,3.816026697e-07,5.50700903e-07,4.911682129e-07,4.960323436e-07,5.120322371e-07,4.381652908e-07,4.423709193e-07,4.50721981e-07,5.246147672e-07,4.551914823e-07,4.984732273e-07,4.389670554e-07,4.151095045e-07,4.307178426e-07,4.970773483e-07,4.343951545e-07,4.278201378e-07,4.520065911e-07,4.510178443e-07,4.334844044e-07,4.30524574e-07,4.155513991e-07,4.68038151e-07,3.345637503e-07,3.986082031e-07,3.693143419e-07,3.846030172e-07
float,max,6.2479124e-09,-7.5849426e-08,4.1931452e-08,1.315105841e-07,5.66700591e-08,2.962987482e-07,3.080097066e-07,2.798502753e-07,2.942996336e-07,6.141318388e-07,6.047291086e-07,5.672199371e-07,6.527896001e-07,6.514593494e-07,6.30009478e-07,6.48800132e-07,6.743879527e-07,6.502191335e-07,6.366690038e-07,6.457897453e-07,6.729394382e-07,6.583798979e-07,6.738103777e-07,6.836685631e-07,6.761609903e-07,6.606792735e-07,6.705791408e-07,6.94790453e-07,6.781693698e-07,6.723000945e-07,6.954921713e-07,6.795495042e-07,6.583903888e-07,7.178298451e-07,6.619804787e-07,7.34310072e-07
float,min,6.2479124e-09,-7.56586911e-08,3.53310776e-08,2.039408296e-07,1.81312885e-08,2.232800475e-07,1.298703275e-07,1.387204172e-07,1.163582022e-07,6.433795514e-07,3.108606345e-07,2.391808662e-07,6.670504478e-07,7.200811264e-07,6.008179704e-07,5.727001399e-07,2.249795284e-07,4.822793791e-07,5.485499602e-07,5.988884993e-07,5.7739982e-08,5.814403433e-07,5.720588522e-07,5.804480722e-07,6.080988625e-07,6.033703226e-07,5.889192703e-07,6.344497353e-07,5.908099217e-07,5.616401001e-07,6.084593427e-07,7.225612701e-07,1.66696272e-08,4.595090056e-07,3.383699922e-07,6.038596608e-07
