omp_flush_spread
n iter,1000
""
type mode,aggregate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
int,max,3.8385504e-09,2.16898906e-08,3.5588024e-08,3.69504698e-08,3.28261167e-07,2.241003305e-07,2.022189919e-07,5.56551682e-07,5.625590883e-07,5.668199506e-07,5.876605353e-07,6.079792187e-07,5.837793764e-07,5.970889558e-07,6.362406784e-07,6.317183804e-07,6.104501511e-07,6.459277977e-07,6.133510365e-07,6.387608528e-07,6.363810994e-07,5.950313176e-07,6.299986714e-07,6.024620149e-07,6.33349908e-07,5.953199954e-07,6.083906567e-07,5.892692162e-07,6.058798288e-07,6.056505702e-07,5.748820789e-07,6.205585677e-07,5.742806361e-07,6.186595093e-07,6.373402039e-07,6.312102208e-07
int,min,3.8385504e-09,2.01796342e-08,3.29016652e-08,1.83093584e-08,1.680301022e-07,5.47992763e-08,4.73503387e-08,5.307797803e-07,5.208807756e-07,3.85720468e-07,3.270206203e-07,1.661402361e-07,7.035013535e-07,5.976484978e-07,5.9121101e-07,6.531188612e-07,4.307994931e-07,4.157118443e-07,4.838810683e-07,5.685702811e-07,5.268407582e-07,5.392788089e-07,4.884891048e-07,5.253896262e-07,5.069905148e-07,5.501895206e-07,5.690506123e-07,5.68811857e-07,3.620382782e-07,5.186180069e-07,4.353711919e-07,5.12141174e-07,4.076706113e-07,4.648904128e-07,1.942594844e-07,2.478195947e-07
int,med,3.8385504e-09,2.09046945e-08,3.21810225e-08,3.56747851e-08,3.311417267e-07,1.291098506e-07,1.435610909e-07,5.273947451e-07,5.628807854e-07,5.304799762e-07,5.439496046e-07,5.335403028e-07,5.769404808e-07,5.869885844e-07,6.483494365e-07,6.225257079e-07,5.745400609e-07,6.097701527e-07,5.884109476e-07,6.380507603e-07,6.094016644e-07,5.837792812e-07,5.992499316e-07,5.725551126e-07,6.389299753e-07,5.544457911e-07,5.885286441e-07,5.622248753e-07,5.823913551e-07,6.233110263e-07,6.01339474e-07,6.118041309e-07,5.276210446e-07,5.552805158e-07,5.785191022e-07,5.591295705e-07
int,avg,3.8385504e-09,2.09046945e-08,3.36965699e-08,3.16829576e-08,2.745068985e-07,1.401799804e-07,1.413811127e-07,5.226603567e-07,5.433233093e-07,5.104379183e-07,5.237498031e-07,4.859830542e-07,5.974878945e-07,5.932423037e-07,6.173254573e-07,6.24641498e-07,5.71995703e-07,5.970183645e-07,5.76056596e-07,6.219308581e-07,6.185999824e-07,5.74607638e-07,6.051171191e-07,5.696128516e-07,6.095030197e-07,5.689129265e-07,6.015825017e-07,5.591138427e-07,5.637902914e-07,5.938669823e-07,5.586367448e-07,6.021441043e-07,5.352820742e-07,5.488849299e-07,5.498922429e-07,5.573110205e-07
ull,max,8.0386136e-09,-4.92998466e-08,2.95809389e-08,-2.3100462e-09,1.139794641e-07,2.466796323e-07,4.170089027e-07,4.696293893e-07,4.235288606e-07,4.157699451e-07,4.746408484e-07,5.486403047e-07,6.088700046e-07,5.979793831e-07,5.587794606e-07,4.805809486e-07,4.529719226e-07,6.231899596e-07,6.109098476e-07,5.887408507e-07,5.542496057e-07,5.388500537e-07,4.624898878e-07,5.683409622e-07,5.675896208e-07,5.161597105e-07,6.199286354e-07,5.319988605e-07,5.501592245e-07,4.555904085e-07,5.101917984e-07,3.78878318e-07,4.381012071e-07,4.822694089e-07,4.568804451e-07,5.059508311e-07
ull,min,8.0386136e-09,-4.97385368e-08,1.17596989e-08,1.82897859e-08,2.8620472e-08,1.417793488e-07,2.857391383e-07,3.860483783e-07,2.374796143e-07,2.931391412e-07,3.000992938e-07,3.674497301e-07,2.493206206e-07,1.578992172e-07,3.388790248e-07,3.337614897e-07,2.104907747e-07,1.550700697e-07,2.0933853e-07,1.950196301e-07,2.494307111e-07,2.833098331e-07,3.73890029e-07,1.653704666e-07,2.733200618e-07,1.859100613e-07,2.903213957e-07,6.84614441e-08,9.91616129e-08,2.357205241e-07,1.806709656e-07,1.827304869e-07,6.62289703e-08,1.486008748e-07,2.684799646e-07,1.61911335e-07
ull,med,8.0386136e-09,-4.95191917e-08,2.71407794e-08,1.84051675e-08,1.055116495e-07,2.211457835e-07,4.011316031e-07,4.286257489e-07,4.141308635e-07,4.013699267e-07,4.686116978e-07,5.065951617e-07,5.96510244e-07,5.602048871e-07,4.617889055e-07,4.378041202e-07,4.09941586e-07,5.342261035e-07,5.096198576e-07,5.465751686e-07,4.985277541e-07,5.018601482e-07,4.653906398e-07,4.45290013e-07,5.135706613e-07,4.094143237e-07,4.281403114e-07,4.747846114e-07,4.442097282e-07,4.485097001e-07,3.748697765e-07,3.475449636e-07,3.883100647e-07,4.296839211e-07,4.265106224e-07,4.323203961e-07
ull,avg,8.0386136e-09,-4.95191917e-08,2.30934105e-08,1.39029921e-08,8.07495724e-08,2.151602155e-07,3.874692752e-07,4.426273561e-07,3.744519856e-07,3.772760774e-07,4.182480918e-07,4.799450889e-07,5.410315946e-07,5.008838047e-07,4.644223611e-07,4.327701605e-07,4.017871968e-07,5.165191038e-07,4.749090266e-07,5.280198077e-07,4.740243864e-07,4.760336739e-07,4.346530059e-07,4.174627702e-07,4.881553739e-07,4.116919059e-07,4.77929241e-07,4.434826048e-07,4.253273273e-07,4.314831366e-07,3.677037373e-07,3.229078866e-07,3.549213553e-07,3.846977821e-07,4.132483528e-07,4.272928425e-07
float,max,3.2711119e-09,-1.58210522e-08,3.65980704e-08,4.28701671e-08,5.93185043e-08,1.997210506e-07,1.047998566e-07,5.592818231e-07,3.018287569e-07,5.881707829e-07,5.910014603e-07,6.305795329e-07,6.536193701e-07,6.402212978e-07,6.532511841e-07,6.534209875e-07,6.633505598e-07,6.289503755e-07,6.746908463e-07,6.265482495e-07,6.597185974e-07,6.708211656e-07,6.508294148e-07,6.520594673e-07,6.334588585e-07,7.0306093e-07,6.43469805e-07,6.341801233e-07,7.303708694e-07,6.910900699e-07,6.935413275e-07,6.806112143e-07,7.093411874e-07,6.705296875e-07,7.110593777e-07,7.500087604e-07
float,min,3.2711119e-09,-1.52989156e-08,3.01591556e-08,1.77496729e-08,1.87096747e-08,8.26192957e-08,6.88191837e-08,5.570404459e-07,4.29910641e-08,2.058992352e-07,2.312701819e-07,6.489193109e-07,6.352502232e-07,6.864600528e-07,5.196881596e-07,6.731904111e-07,4.878113568e-07,4.522412726e-07,5.562713052e-07,4.930382726e-07,5.953598862e-07,6.088987584e-07,4.653294142e-07,4.07918179e-07,5.249407101e-07,5.708890955e-07,5.418886279e-07,6.055099196e-07,1.633486098e-07,5.385007362e-07,6.993693315e-07,6.683300687e-07,1.15380405e-08,4.47159666e-07,4.211799564e-07,5.031094455e-07
float,med,3.2711119e-09,-1.55599839e-08,3.27999062e-08,3.89004977e-08,5.70003519e-08,1.32289759e-07,1.041421165e-07,5.666745793e-07,2.395310368e-07,5.938697674e-07,5.766189801e-07,6.282864117e-07,6.256003526e-07,6.422956336e-07,6.41400031e-07,6.412799847e-07,6.710996269e-07,5.71744597e-07,6.26261508e-07,6.050403822e-07,6.342397812e-07,6.171553952e-07,6.035601616e-07,6.182439193e-07,6.135603156e-07,6.691755044e-07,5.874384386e-07,6.006006849e-07,6.445706596e-07,6.37559866e-07,6.918614066e-07,6.545152368e-07,7.055912814e-07,6.583595046e-07,6.605507635e-07,6.857295581e-07
float,avg,3.2711119e-09,-1.55599839e-08,3.31090871e-08,3.42805417e-08,4.88263167e-08,1.433471126e-07,8.80386665e-08,5.652889591e-07,2.304625166e-07,5.593071111e-07,5.361429348e-07,6.400784978e-07,6.404776154e-07,6.549772303e-07,6.24798428e-07,6.43518761e-07,6.247130837e-07,5.770753935e-07,6.489017214e-07,5.882470746e-07,6.454105848e-07,6.356170734e-07,5.982810327e-07,6.178642498e-07,6.029059697e-07,6.426406666e-07,6.011825778e-07,6.018411009e-07,6.42089104e-07,6.407522878e-07,6.840838499e-07,6.607892759e-07,6.661899653e-07,6.370009836e-07,6.231282384e-07,6.90730831e-07
double,max,3.2401463e-09,3.58398631e-08,-1.013212048e-07,7.768006e-08,2.712717725e-07,3.229511542e-07,4.12639789e-07,6.37160108e-07,3.677593219e-07,6.40149333e-07,6.095305209e-07,6.455805394e-07,5.596508749e-07,4.624680338e-07,6.450383997e-07,5.021391722e-07,5.520795946e-07,5.058285751e-07,5.356882178e-07,5.133284311e-07,5.219399617e-07,6.140195125e-07,6.36360703e-07,5.470714795e-07,5.206595836e-07,5.112711913e-07,5.680589621e-07,5.485404817e-07,5.54818636e-07,5.332090181e-07,5.368093077e-07,5.648000883e-07,5.54970052e-07,4.998282436e-07,5.441708037e-07,5.463494305e-07
double,min,3.2401463e-09,3.43812587e-08,-3.80201347e-08,5.42986658e-08,2.355708867e-07,1.391204182e-07,3.133494469e-07,6.216893266e-07,2.123217813e-07,2.876082277e-07,4.54107823e-08,5.033813879e-07,1.193603378e-07,3.791890385e-07,3.971407733e-07,4.147901421e-07,4.577408783e-07,2.077501923e-07,2.350688792e-07,2.475215358e-07,2.410687762e-07,3.399782132e-07,3.153405882e-07,3.769186745e-07,1.02004665e-08,1.346199042e-07,1.982399681e-07,1.709315379e-07,3.603196684e-07,1.18870128e-07,4.493890784e-07,2.504501097e-07,6.49903351e-08,2.294299469e-07,2.53428627e-07,3.328701544e-07
double,med,3.2401463e-09,3.47252563e-08,-1.011090123e-07,6.52501655e-08,2.360618073e-07,2.642942458e-07,4.503085606e-07,6.318895521e-07,3.567110049e-07,6.634500213e-07,5.852309059e-07,6.214915678e-07,5.31780883e-07,4.82439916e-07,6.64078876e-07,5.168195349e-07,4.62500966e-07,4.817247845e-07,5.001905302e-07,4.476800577e-07,4.934002754e-07,5.361746208e-07,5.649096188e-07,4.425059267e-07,4.831799919e-07,4.503454985e-07,4.560014319e-07,4.884888017e-07,4.835585434e-07,4.771243192e-07,5.053705481e-07,4.808561846e-07,4.617718372e-07,4.496815082e-07,4.322802557e-07,4.605439942e-07
double,avg,3.2401463e-09,3.47252563e-08,-8.30400629e-08,6.48802845e-08,2.558286727e-07,2.455397546e-07,4.176973847e-07,6.308596417e-07,3.192447876e-07,5.746194229e-07,5.338633138e-07,6.10453152e-07,4.671756639e-07,4.639988513e-07,5.853751547e-07,4.832219875e-07,4.66845794e-07,4.376294241e-07,4.628950927e-07,4.22470214e-07,4.647128958e-07,5.261643517e-07,5.291130761e-07,4.737292629e-07,4.753807957e-07,4.258978997e-07,4.674296405e-07,4.430281498e-07,4.927038321e-07,4.597807638e-07,5.040238971e-07,4.488993685e-07,4.501371163e-07,4.306072798e-07,4.398032416e-07,4.437746409e-07
